,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,"1,3","1,6","1,12","1,k","2,3","2,6","2,12","2,k","3,3","3,6","3,12","3,k","4,3","4,6","4,12","4,k"
0,0,0,0,0,0,0,0,0,0,0,0,0,(1+0j),(1+0j),(1+0j),(1+0j),(1+0j),(1+0j),(1+0j),(1+0j),(1+0j),(1+0j),(1+0j),(1+0j),(1+0j),(1+0j),(1+0j),(1+0j)
1,1,1,1,1,1,1,1,1,1,1,1,1,(1.0000002574320916-5.301365470222752e-07j),(1.0000002574320916-5.301365470222752e-07j),(1.0000002574320916-5.301365470222752e-07j),(1.0000002574320916-5.301365470222752e-07j),(1.0000002574320916-5.301365470222752e-07j),(1.0000002574320916-5.301365470222752e-07j),(1.0000002574320916-5.301365470222752e-07j),(1.0000002574320916-5.301365470222752e-07j),(1.0000002574320916-5.301365470222752e-07j),(1.0000002574320916-5.301365470222752e-07j),(1.0000002574320916-5.301365470222752e-07j),(1.0000002574320916-5.301365470222752e-07j),(1.0000002574320916-5.301365470222752e-07j),(1.0000002574320916-5.301365470222752e-07j),(1.0000002574320916-5.301365470222752e-07j),(1.0000002574320916-5.301365470222752e-07j)
2,2,2,2,2,2,2,2,2,2,2,2,2,(1.000000183004052-9.77967901369392e-07j),(1.000000183004052-9.77967901369392e-07j),(1.000000183004052-9.77967901369392e-07j),(1.000000183004052-9.77967901369392e-07j),(1.000000183004052-9.779679013555143e-07j),(1.000000183004052-9.779679013555143e-07j),(1.000000183004052-9.779679013555143e-07j),(1.000000183004052-9.779679013555143e-07j),(1.000000183004052-9.779679013555143e-07j),(1.000000183004052-9.779679013555143e-07j),(1.000000183004052-9.779679013555143e-07j),(1.000000183004052-9.779679013555143e-07j),(1.000000183004052-9.779679013555143e-07j),(1.000000183004052-9.779679013555143e-07j),(1.000000183004052-9.779679013555143e-07j),(1.000000183004052-9.779679013555143e-07j)
3,3,3,3,3,3,3,3,3,3,3,3,3,(1.0000009710047282-5.672607211008873e-07j),(1.0000009710047282-5.672607211008873e-07j),(1.0000009710047282-5.672607211008873e-07j),(1.0000009710047282-5.672607211008873e-07j),(1.0000006148831606-9.245048531811989e-07j),(1.0000006148831606-9.245048531811989e-07j),(1.0000006148831606-9.245048531811989e-07j),(1.0000006148831606-9.245048531811989e-07j),(1.0000006148831604-9.24504853193342e-07j),(1.0000006148831604-9.24504853193342e-07j),(1.0000006148831604-9.24504853193342e-07j),(1.0000006148831604-9.24504853193342e-07j),(1.0000006148831604-9.24504853193342e-07j),(1.0000006148831604-9.24504853193342e-07j),(1.0000006148831604-9.24504853193342e-07j),(1.0000006148831604-9.24504853193342e-07j)
4,4,4,4,4,4,4,4,4,4,4,4,4,(1.0000014765574565-7.647164365250092e-07j),(1.0000014765574565-7.647164365250092e-07j),(1.0000014765574565-7.647164365250092e-07j),(1.0000014765574565-7.647164365250092e-07j),(1.0000000886053981-1.0850526114200565e-06j),(1.0000000886053981-1.0850526114200565e-06j),(1.0000000886053981-1.0850526114200565e-06j),(1.0000000886053981-1.0850526114200565e-06j),(1.0000000886053981-1.085052611347198e-06j),(1.0000000886053981-1.085052611347198e-06j),(1.0000000886053981-1.085052611347198e-06j),(1.0000000886053981-1.085052611347198e-06j),(1.0000000886053981-1.085052611392301e-06j),(1.0000000886053981-1.085052611392301e-06j),(1.0000000886053981-1.085052611392301e-06j),(1.0000000886053981-1.085052611392301e-06j)
5,5,5,5,5,5,5,5,5,5,5,5,5,(1.000002030801775-1.180404523806744e-06j),(1.000002030801775-1.180404523806744e-06j),(1.000002030801775-1.180404523806744e-06j),(1.000002030801775-1.180404523806744e-06j),(0.9924994312244072+0.006368664787035322j),(0.9924994312244072+0.006368664787035322j),(0.9924994312244072+0.006368664787035322j),(0.9924994312244072+0.006368664787035322j),(0.9999996914933316-7.489407387942237e-07j),(0.9999996914933316-7.489407387942237e-07j),(0.9999996914933316-7.489407387942237e-07j),(0.9999996914933316-7.489407387942237e-07j),(0.9999996914933318-7.489407388011626e-07j),(0.9999996914933318-7.489407388011626e-07j),(0.9999996914933318-7.489407388011626e-07j),(0.9999996914933318-7.489407388011626e-07j)
6,6,6,6,6,6,6,6,6,6,6,6,6,(1.0000024921970585-1.6999834910047529e-06j),(1.0000024921970585-1.6999834910047529e-06j),(1.0000024921970585-1.6999834910047529e-06j),(1.0000024921970585-1.6999834910047529e-06j),(1.0040367697873829+0.002130639421240421j),(1.0040367697873829+0.002130639421240421j),(1.0040367697873829+0.002130639421240421j),(1.0040367697873829+0.002130639421240421j),(1.0000005920288333-3.480912349335119e-08j),(1.0000005920288333-3.480912349335119e-08j),(1.0000005920288333-3.480912349335119e-08j),(1.0000005920288333-3.480912349335119e-08j),(1.0000005920288337-3.480912345865672e-08j),(1.0000005920288337-3.480912345865672e-08j),(1.0000005920288337-3.480912345865672e-08j),(1.0000005920288337-3.480912345865672e-08j)
7,7,7,7,7,7,7,7,7,7,7,7,7,(1.0005621728287304-0.0003412541643194808j),(1.0000026936904962-2.2353738850303118e-06j),(1.0000026936904962-2.2353738850303118e-06j),(1.0000026936904962-2.2353738850303118e-06j),(1.000195000711166+0.00108877610015113j),(1.000195000711166+0.00108877610015113j),(1.000195000711166+0.00108877610015113j),(1.000195000711166+0.00108877610015113j),(0.9974842404718395-0.004738340234982687j),(0.9974842404718395-0.004738340234982687j),(0.9974842404718395-0.004738340234982687j),(0.9974842404718395-0.004738340234982687j),(1.000001492400581+4.892219209601256e-08j),(1.000001492400581+4.892219209601256e-08j),(1.000001492400581+4.892219209601256e-08j),(1.000001492400581+4.892219209601256e-08j)
8,8,8,8,8,8,8,8,8,8,8,8,8,(1.004877158683931-0.00015076849445259943j),(1.0000027526657014-2.6634651900669937e-06j),(1.0000027526657014-2.6634651900669937e-06j),(1.0000027526657014-2.6634651900669937e-06j),(1.0010287346282276-0.0022208807005874714j),(1.0010287346282276-0.0022208807005874714j),(1.0010287346282276-0.0022208807005874714j),(1.0010287346282276-0.0022208807005874714j),(0.9981023640813064-0.0030912933097947543j),(0.9981023640813064-0.0030912933097947543j),(0.9981023640813064-0.0030912933097947543j),(0.9981023640813064-0.0030912933097947543j),(1.0000022682749867-2.3451824944509259e-07j),(1.0000022682749867-2.3451824944509259e-07j),(1.0000022682749867-2.3451824944509259e-07j),(1.0000022682749867-2.3451824944509259e-07j)
9,9,9,9,9,9,9,9,9,9,9,9,9,(1.0211690043276693+0.004606045327416142j),(1.0000028159502667-2.984635252108875e-06j),(1.0000028159502667-2.984635252108875e-06j),(1.0000028159502667-2.984635252108875e-06j),(1.0010333112410328-0.00045640430858101544j),(1.0010333112410328-0.00045640430858101544j),(1.0010333112410328-0.00045640430858101544j),(1.0010333112410328-0.00045640430858101544j),(0.9975476259238761-0.0009887403700318195j),(0.9975476259238761-0.0009887403700318195j),(0.9975476259238761-0.0009887403700318195j),(0.9975476259238761-0.0009887403700318195j),(0.9998600341154827+0.0013848559581493836j),(0.9998600341154827+0.0013848559581493836j),(0.9998600341154827+0.0013848559581493836j),(0.9998600341154827+0.0013848559581493836j)
