,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,"1,3","1,6","1,12","1,k","2,3","2,6","2,12","2,k","3,3","3,6","3,12","3,k","4,3","4,6","4,12","4,k"
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,1,1,1,1,1,1,1,1,1,0.0003879070281982,0.000364065170288,0.0003058910369873,0.0002930164337158,0.0110368728637695,0.0221610069274902,0.0118770599365234,0.0096971988677978,0.0346951484680175,0.0400981903076171,0.0389230251312255,0.0354537963867187,0.219728946685791,0.221041202545166,0.2232639789581298,0.21788501739501953
2,2,2,2,2,2,2,2,2,2,2,2,2,0.0005149841308593,0.0005052089691162,0.0004401206970214,0.0004010200500488,0.0159809589385986,0.0291481018066406,0.0166499614715576,0.0142281055450439,0.1235072612762451,0.1215512752532959,0.1056759357452392,0.1052117347717285,0.6761622428894043,0.6638681888580322,0.6862959861755371,0.7029638290405273
3,3,3,3,3,3,3,3,3,3,3,3,3,0.0007479190826416,0.0007691383361816,0.0006840229034423,0.0005998611450195,0.0280320644378662,0.0416569709777832,0.0268740653991699,0.0243210792541503,0.1690988540649414,0.1705002784729004,0.1638851165771484,0.1509790420532226,1.5085110664367676,1.4830272197723389,1.4782569408416748,1.5232157707214355
4,4,4,4,4,4,4,4,4,4,4,4,4,0.0012190341949462,0.0012822151184082,0.0012269020080566,0.0010910034179687,0.0377948284149169,0.0510299205780029,0.0350821018218994,0.0325040817260742,0.2256450653076172,0.2266209125518798,0.2217416763305664,0.2110388278961181,2.294835090637207,2.322831153869629,2.2340807914733887,2.373070001602173
5,5,5,5,5,5,5,5,5,5,5,5,5,0.0021967887878417,0.002331256866455,0.0022227764129638,0.0020508766174316,0.0535228252410888,0.0660240650177002,0.0493161678314209,0.0467100143432617,0.3063061237335205,0.3072099685668945,0.3108079433441162,0.2977299690246582,3.603138208389282,3.306843042373657,3.505797863006592,3.34572696685791
6,6,6,6,6,6,6,6,6,6,6,6,6,0.0042669773101806,0.0044982433319091,0.0043439865112304,0.004206895828247,0.0675289630889892,0.0794951915740966,0.0617961883544921,0.0592660903930664,0.3909890651702881,0.3867280483245849,0.399245023727417,0.382145881652832,4.743073225021362,4.4673011302948,4.632736921310425,4.496862888336182
7,7,7,7,7,7,7,7,7,7,7,7,7,0.0086870193481445,0.0089480876922607,0.0090177059173583,0.008469820022583,0.0895049571990966,0.0991709232330322,0.0811450481414794,0.0785720348358154,0.4924900531768799,0.4843871593475342,0.5106499195098877,0.4814808368682861,6.202383995056152,5.919508218765259,6.089950084686279,5.938415765762329
8,8,8,8,8,8,8,8,8,8,8,8,8,0.0174839496612548,0.0183751583099365,0.019676923751831,0.02099609375,0.1093339920043945,0.115934133529663,0.0980041027069091,0.0952529907226562,0.6189119815826416,0.6055910587310791,0.6411209106445312,0.6127109527587891,7.8200342655181885,7.715311050415039,7.562458038330078,7.801519870758057
9,9,9,9,9,9,9,9,9,9,9,9,9,0.0342299938201904,0.0381782054901123,0.043536901473999,0.044461965560913,0.1380560398101806,0.1400339603424072,0.1270380020141601,0.1223719120025634,0.7515261173248291,0.7248961925506592,0.7676260471343994,0.7411079406738281,9.831536054611206,9.40280532836914,9.213413000106812,9.510970830917358
