 (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (9.178794627795553533e+05-5.158226956331917785e-05j), (5.300182840453329118e+04+5.509284270779254148e+05j), (1.019331037055306835e+06+1.419096336440467974e+06j), (-9.178794627632095944e+05+4.690517322569352689e-05j), (4.634328304417764884e+05+3.090274433771374752e+05j), (5.046404933979754569e+05-5.050720108180257375e+05j), (1.048537554184920737e+06+4.267120171098089777e+05j), (-3.734894424995702575e+05-8.020234352910643211e+05j), (-1.297549049145183293e+06-8.081983446083141025e+05j), (2.427118466340659070e+05+6.703560346795701189e+05j), (7.109180969293145463e+05+9.642235261387702485e+04j), (3.619176028914417257e+05+4.204583518972818856e+05j), (1.385064082550471416e+06+1.174739865632491885e+06j), (-1.296233665278011467e+06+3.827251615976266330e+05j), (6.475772175719474908e+05-2.713993573167170398e+05j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (5.300182841574856138e+04-5.509284272852255963e+05j), (5.751504651823685504e+06-3.846911910843729953e-05j), (1.237250137090351433e+06+2.518572730402582325e+06j), (-5.300182835066754342e+04+5.509284272576443618e+05j), (2.568314707115340978e+06-1.066606429994109785e+06j), (1.358843661921931896e+06-2.027272401376738446e+06j), (1.134529681421574205e+06+1.194443976913699182e+06j), (1.275760109885482816e+06+2.324804318051206879e+06j), (2.215022621671592351e+06-7.569333051470812643e+05j), (1.561681901567028137e+06+6.674629256893802667e+05j), (1.882397342179657891e+06-1.459179747281299497e+05j), (1.158258571763728978e+06+8.274222301854433026e+05j), (2.307899363977443893e+06-1.631804156308303354e+06j), (1.017504689426659723e+06+1.290337491364241578e+06j), (1.688437174804331269e+06+2.692929712912011426e+06j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.019331037042624201e+06-1.419096336407655152e+06j), (1.237250137110315962e+06-2.518572730475276709e+06j), (3.869092566678429954e+06-1.747931890141367516e-05j), (-1.019331037053913926e+06+1.419096336387837771e+06j), (1.339328486448666081e+06+4.635368115779599175e+05j), (3.942254280607464723e+06+5.784932348028507113e+04j), (3.125121479490802158e+06+1.392570942171440693e+06j), (2.177557428688340355e+06-8.510791496209504548e+05j), (2.660485298334879801e+06-2.296042027587485500e+05j), (2.566432052736896556e+06+1.198842334055935498e+06j), (2.030579477092945715e+06-3.012932772213145159e+06j), (2.880001202708549332e+06-1.702904234570766333e+06j), (2.452557552221610211e+06+5.949158997238474694e+04j), (7.803720998567608185e+05+2.076702722888601711e+06j), (4.653163737596680410e+06+8.906236691791324411e+05j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-9.178794628051815089e+05-6.758513410244506127e-05j), (-5.300182832975049678e+04-5.509284274527782109e+05j), (-1.019331037134537008e+06-1.419096336510786554e+06j), (9.178794627824921627e+05+2.848063837777650167e-05j), (-4.634328304604042787e+05-3.090274435109201586e+05j), (-5.046404934379369952e+05+5.050720105951473233e+05j), (-1.048537554246925516e+06-4.267120173352383426e+05j), (3.734894425538650248e+05+8.020234349090559408e+05j), (1.297549048959406326e+06+8.081983441783728776e+05j), (-2.427118467406455893e+05-6.703560350112158339e+05j), (-7.109180967751251301e+05-9.642235293593133974e+04j), (-3.619176026393637294e+05-4.204583520359082031e+05j), (-1.385064082549030194e+06-1.174739865830423776e+06j), (1.296233665135183604e+06-3.827251620568499784e+05j), (-6.475772175250725122e+05+2.713993571242070175e+05j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (4.634328304634037777e+05-3.090274434624484275e+05j), (2.568314707184153609e+06+1.066606429998623906e+06j), (1.339328486477525672e+06-4.635368115516410908e+05j), (-4.634328304254729301e+05+3.090274433779409155e+05j), (3.819511407763584051e+06-5.162794452254479074e-05j), (-8.756194575362595497e+05-9.286296119703912409e+05j), (2.486915987714665476e+06+4.044318491634501843e+05j), (1.977534174760936294e+06+3.712869039097180939e+05j), (3.107811485249797814e+06-1.433217925008048071e+06j), (1.050336454211784527e+06-1.218936896692942973e+05j), (1.837628476126413327e+06+3.067682953928165371e+05j), (1.225156224494008115e+06-1.528340774408597208e+05j), (2.566276696213345043e+06+1.775694463727836264e+05j), (1.760684279929739190e+06+1.120225013345438289e+06j), (2.939707407299860381e+06+8.564978509599593235e+05j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (5.046404933988683042e+05+5.050720106951312046e+05j), (1.358843661935881479e+06+2.027272401309851091e+06j), (3.942254280712699052e+06-5.784932355608936632e+04j), (-5.046404934077984071e+05-5.050720106298821047e+05j), (-8.756194575485183159e+05+9.286296119831517572e+05j), (3.126982727372907568e+06-6.943697756304572060e-05j), (2.579591469662209973e+06-1.349386252392475493e+06j), (1.026906818620951148e+06-1.601857350853306998e+05j), (5.588261803125382867e+05+9.878979908331672195e+05j), (1.576841314668518025e+06+3.292551119029450638e+04j), (2.374895947704174556e+06-4.570876150714125833e+05j), (1.808421241935875500e+06-2.624100826436936855e+06j), (2.241713730397753417e+06+2.498490460054292271e+04j), (2.933520087073306204e+05+1.958629481010676245e+05j), (2.853044476878476795e+06-5.514897573491921648e+05j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.048537554148520809e+06-4.267120172506167437e+05j), (1.134529681394748157e+06-1.194443976991360309e+06j), (3.125121479455748107e+06-1.392570942294520559e+06j), (-1.048537554240146070e+06+4.267120172743208823e+05j), (2.486915987677713390e+06-4.044318492482390138e+05j), (2.579591469536333345e+06+1.349386252317596925e+06j), (3.488997790620230138e+06-6.216608809398646563e-05j), (4.184897366125159897e+06+1.186539246276053833e+06j), (1.637048078152636997e+06+1.741735290601003449e+06j), (1.902919579428843223e+06-4.834965054251324618e+05j), (3.617639759730355348e+06+2.862130071133690653e+05j), (1.347126297298913123e+06+6.712443751502510859e+05j), (1.297554029310701182e+06-6.861728629368975526e+05j), (3.241607964490463957e+06+7.907067595564024523e+05j), (1.810789926281239139e+06+2.145631950678177818e+05j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-3.734894424878384452e+05+8.020234351804577745e+05j), (1.275760109917117283e+06-2.324804318186211865e+06j), (2.177557428675556090e+06+8.510791494907763554e+05j), (3.734894424972797278e+05-8.020234350485627074e+05j), (1.977534174758311594e+06-3.712869039424827206e+05j), (1.026906818656519288e+06+1.601857350828561175e+05j), (4.184897366147567984e+06-1.186539246301242383e+06j), (3.723770511823957786e+06+7.529657178254481282e-06j), (2.749642482890290208e+06+1.013500595021492685e+06j), (4.705625833078337833e+06+3.776065670970429783e+05j), (1.790382341916047037e+06+4.135527050707045128e+05j), (2.207731148729358334e+06+5.071577498329469818e+05j), (9.720122828208078863e+05-1.339260341494027816e+05j), (3.954034520961730741e+06-1.631206913285061892e+05j), (3.125432276075614151e+06-1.235725882374949288e+06j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.297549049091874855e+06+8.081983444926866796e+05j), (2.215022621686793864e+06+7.569333050857203780e+05j), (2.660485298380608670e+06+2.296042026713832456e+05j), (1.297549049035588047e+06-8.081983443715159083e+05j), (3.107811485202729236e+06+1.433217924919760553e+06j), (5.588261803957634838e+05-9.878979908893667161e+05j), (1.637048078098349739e+06-1.741735290719407145e+06j), (2.749642482864962425e+06-1.013500595006714575e+06j), (1.821889946559895063e+06-8.615616831057495647e-06j), (3.316324738872973248e+06-1.320232010803835932e+06j), (-2.523745367079858624e+04+1.149963172623874379e+04j), (1.979738422941658428e+04-1.697086202639266558e+05j), (1.611847481208224082e+06+1.567279458324261243e+06j), (3.635205388257992920e+06+4.679860042445617728e+05j), (8.126475127426667314e+04+9.310765946272212022e+04j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (2.427118466768510116e+05-6.703560348021276295e+05j), (1.561681901557686273e+06-6.674629257475840859e+05j), (2.566432052817989141e+06-1.198842334092354402e+06j), (-2.427118466712482914e+05+6.703560348661878379e+05j), (1.050336454234468052e+06+1.218936896475817921e+05j), (1.576841314772202866e+06-3.292551111887008301e+04j), (1.902919579393399414e+06+4.834965054544173763e+05j), (4.705625833070998080e+06-3.776065670930587221e+05j), (3.316324738841851242e+06+1.320232010732206982e+06j), (5.047212030021606013e+06-1.120472357191607599e-05j), (2.004212913611889584e+06-1.236755803506824886e+06j), (1.554059341341983294e+06-8.431498916875983123e+05j), (1.489201580341213383e+06+5.898832209147992544e+05j), (1.373242753124173498e+06+2.922260060579646379e+05j), (2.182486960189190228e+06+1.919096784441372438e+04j)
