 (1.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (8.610833324266381483e-01-1.859714324209004593e-02j), (5.147067824434808925e-02+1.306927260576870309e-01j), (1.151264095226544985e-02-1.396316536240845702e-02j), (1.389166675724261002e-01+1.859714324238637834e-02j), (-8.714925628544221980e-02-1.309739622304298967e-01j), (-1.229037401784977557e-01-5.542932709226304835e-03j), (4.934380368838110070e-02-8.165711624130386759e-02j), (1.525005502094909683e-02+1.727991046449923020e-03j), (-2.801277662162112228e-02-7.420285103370838353e-02j), (-1.328101419560866747e-01+4.561906526865023084e-03j), (4.686208602948283702e-02+1.607597381647266066e-02j), (9.824651993282682017e-02+1.204538153485623930e-01j), (2.455561560922989994e-01-5.396372709709611887e-02j), (-1.250300300091898853e-01+8.144921747949875057e-02j), (-9.237527200539419336e-02-1.571287550956450563e-01j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-6.206509903926869104e-02+1.473191650727318502e-01j), (6.135129762990955138e-01-6.666005408321316883e-02j), (-6.858928715125642284e-02-1.881288209131694589e-01j), (6.206509904051507598e-02-1.473191650745991621e-01j), (-2.391604160211111552e-01-1.677482374605096249e-01j), (6.373634975687558768e-02-5.980314989688889638e-02j), (-1.503219960198384775e-01-6.791352709660879172e-02j), (1.209096216767797105e-01-2.224579003485987194e-01j), (1.811583091289898362e-01-9.936086665627613668e-02j), (-2.200483675378076265e-01-3.106755124446310967e-01j), (9.131756780242945848e-02+1.496705866753763811e-02j), (-9.280474018155006333e-02-2.832934264542370517e-01j), (-5.979856507873268501e-02+6.402158681145192487e-02j), (-6.125669596559340374e-02+1.416466108569422455e-01j), (-1.368465324904084013e-01+9.154101518243579205e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-5.034100114048366791e-03-3.595002772625476711e-02j), (-4.778266598849249813e-02-1.304810172070658136e-01j), (6.315477632205693803e-01+3.216730536584059275e-01j), (5.034100113173884013e-03+3.595002772522755408e-02j), (-7.167265049565307855e-02-8.547724034125156467e-02j), (7.833737722802884551e-02-1.673684536247138643e-01j), (-7.005205881300398396e-02+3.497274961714597757e-02j), (-1.177056676115804251e-01-2.704795481227523224e-01j), (-4.753123772247102446e-02-4.906731986318040722e-02j), (1.447384449533321016e-01-2.326767587704271778e-02j), (-1.589711967499457812e-01-4.281381243373710843e-02j), (-2.944418873143679338e-01-1.127489849524541954e-01j), (-1.633187527406997422e-02-4.317613320689549922e-02j), (-1.040049763781476233e-01-1.598505193798288463e-03j), (-2.940896169231949631e-01-2.896266292852636703e-01j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.389166675744527291e-01+1.859714323975258585e-02j), (-5.147067824879515002e-02-1.306927260587970041e-01j), (-1.151264095521384485e-02+1.396316536269192991e-02j), (8.610833324277203937e-01-1.859714323812389214e-02j), (8.714925628521558165e-02+1.309739622343497334e-01j), (1.229037401836915872e-01+5.542932711718935937e-03j), (-4.934380368652931809e-02+8.165711623805568808e-02j), (-1.525005502202230433e-02-1.727991048488341065e-03j), (2.801277662447840267e-02+7.420285103242992009e-02j), (1.328101419533279093e-01-4.561906526580392258e-03j), (-4.686208602474008916e-02-1.607597381546727738e-02j), (-9.824651993556385299e-02-1.204538153459869254e-01j), (-2.455561560877054517e-01+5.396372709709312820e-02j), (1.250300300044754620e-01-8.144921747573730109e-02j), (9.237527200233641711e-02+1.571287550954153234e-01j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.682983875428219200e-01-3.064044155446317072e-02j), (6.697314905129050921e-02-3.996955712795950688e-02j), (1.271215189055768524e-01-1.723303040929406171e-01j), (-1.682983875415609287e-01+3.064044155704154920e-02j), (6.780438880333098384e-01+1.836249447973095639e-02j), (-2.550079037578087144e-03-4.261191090386273750e-02j), (-2.755263947027316029e-01+4.145023696547788655e-02j), (-1.103658528539479128e-01-8.712701845786850058e-03j), (3.419961533965681227e-02+2.848295722947236097e-02j), (-2.285231251877606340e-01-1.624511494692940372e-01j), (-1.170836896298182994e-01-2.887090345384077383e-01j), (2.486022984345420336e-02-2.158219909226219979e-01j), (-1.197566743130396537e-02-2.144810154050703910e-01j), (1.004628863599372895e-01-2.210803369864537127e-01j), (4.560570383831433205e-02+7.545310333090153587e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (6.347855867506227434e-02-1.676492557807302344e-02j), (-1.204826976504960456e-01-5.435470935959439698e-02j), (-1.090941185681527925e-01-2.054999101674117867e-01j), (-6.347855867640722627e-02+1.676492557885798582e-02j), (-7.886204232718165008e-02-5.001934844688776804e-02j), (7.118234829567946509e-01+2.831515142757319234e-02j), (-1.607211675981313759e-01-1.964397803043929983e-02j), (-5.189121182643269270e-02-9.164188338694560787e-02j), (-2.562240875600014789e-01-3.057716009876431662e-01j), (1.743768951876414897e-01-1.543945764979072210e-01j), (1.277242657197801279e-01+2.966605886089743530e-02j), (3.908501697567849653e-02+1.587899128844544594e-01j), (-2.459695589489303141e-02-1.825445333955688365e-01j), (-2.061544306649202574e-01-1.694448720157157862e-01j), (6.110103826347973444e-02-7.302707990970518613e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (7.153452374369456690e-02+7.669619274346173299e-02j), (3.346481480656349899e-02-1.437720349172890710e-01j), (-5.349903345680275674e-02+9.228839319895976168e-02j), (-7.153452374311121409e-02-7.669619274414998800e-02j), (-8.249854349157099975e-02-2.345257730338744240e-02j), (1.239855718523851305e-02+7.083758490183227063e-02j), (6.798801483339469431e-01-1.403528274315302138e-01j), (-2.542976824940558767e-01+1.077724527226035789e-02j), (-1.007815911329682790e-01-3.926339894564743332e-02j), (-1.031382356108067645e-02-1.536522364317418066e-01j), (-1.641956217663621542e-01-1.108586043391171228e-01j), (2.104746681414152720e-01-2.346448971387505023e-01j), (-1.857107052443226214e-01-1.029178867572480838e-01j), (-5.551340727793687563e-02-2.995963584124509138e-01j), (-1.968652498107841819e-01+1.867793827366613924e-01j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.257580170766384696e-02+5.520615426837507250e-02j), (-8.712494413958696282e-02-2.286053015489817597e-01j), (7.012012747321413886e-02-2.466208647468919324e-01j), (-1.257580170712746179e-02-5.520615426901571282e-02j), (-8.824338858936266183e-02+1.900662512679325289e-01j), (-1.182515272590762556e-01-1.449134626590275476e-01j), (1.345371074049891980e-01+4.422329051831798419e-02j), (6.974458261247203916e-01+1.544715822285113171e-01j), (2.573806318544257649e-02-5.858579809734257293e-02j), (1.037850190373534459e-01+4.754803410098447369e-02j), (-1.133855212541351742e-01-2.958096098773658755e-01j), (-9.418366784985995888e-02-2.527638331782292719e-02j), (-2.078776728672170060e-02-2.534114271430654708e-01j), (-2.483478730410762780e-01-5.739761857346553642e-02j), (-1.898414674904527061e-02-4.216586002046267267e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-4.307263449374832548e-02-1.495973384934111972e-01j), (-2.702867944014817336e-01-9.056795178193480234e-02j), (-1.676743045491820849e-01-8.894955953498544232e-02j), (4.307263449177815146e-02+1.495973384925502470e-01j), (-1.518535076321922972e-01+8.817699837838294252e-02j), (8.032246934307671338e-02-1.460254406878168099e-01j), (-4.346598585962307970e-02-1.741868576151204065e-02j), (-1.600657073899813265e-01-1.901644203968613223e-01j), (6.763201190183075751e-01+1.948066090113480253e-01j), (-2.216915953456406047e-02-7.702778226119762206e-02j), (-2.304543249696099430e-02-6.862766087829748340e-02j), (1.031062550069366118e-01-4.106079477526305282e-02j), (2.843793697431554746e-01+3.976423148245234601e-02j), (-2.171085982359801381e-01-2.319023532317084912e-01j), (-8.345825161284838034e-02-4.457104118950828975e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (4.960798707867124235e-02+7.429147670512338542e-02j), (1.069322193758184825e-01-2.080214223802167098e-02j), (-2.889805606969892970e-01-1.905345136393109540e-01j), (-4.960798707748252656e-02-7.429147670321925578e-02j), (3.532579039924976794e-02-1.491657588936339818e-01j), (-1.797490396310749694e-01-1.661569492613229615e-01j), (-2.694801143412463643e-02-2.435865710718210231e-01j), (-2.947039675477191034e-01+3.002077327688793332e-03j), (-3.042176970866767791e-02+8.495119784033246246e-02j), (6.146008781339142857e-01+1.412351134076513803e-01j), (7.857295345688720956e-02-2.017155505768741808e-01j), (-3.005476326081960581e-01-1.423778048958393716e-01j), (9.122369594349472033e-02-1.745723041628244043e-01j), (5.308623599419266814e-02+9.781754718199671406e-02j), (2.480125581242475022e-02-8.329023310600841556e-02j)
