 (1.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-0.000000000000000000e+00+0.000000000000000000e+00j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (9.534960116631716609e-01+1.293748285239229578e-01j), (-2.144832251037058837e-02-1.574076642056181780e-02j), (1.900823949260053991e-02+2.825032970855005307e-02j), (4.650398833955416561e-02-1.293748285234108120e-01j), (1.894341024281183741e-02+8.644583149684414991e-02j), (2.267339972530831027e-02-5.128362959232313917e-02j), (-1.383871622618929736e-02-3.041066375409920072e-02j), (-3.772311675693391930e-02+1.781223276639827199e-02j), (-9.315411840941440619e-03-1.740334763889076625e-02j), (-7.529128122370866427e-02-5.925626868742395192e-02j), (-1.825046269497212006e-02-8.559952940329298987e-02j), (-1.987630419597388384e-02+3.618280673665968256e-02j), (-1.018809137209315402e-01-1.138403417344762986e-03j), (1.347295373063726528e-02+5.588868505484586441e-02j), (8.280955189421962404e-02-5.433975846068118953e-03j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (2.699685396572674978e-02+4.562996245960727199e-03j), (7.819261425840903224e-01+9.240480887150101519e-02j), (-9.343287595054877714e-02+6.083265164016016247e-02j), (-2.699685396959611294e-02-4.562996250350335667e-03j), (-1.186675510332111938e-01+9.534263157826301793e-02j), (-2.771664431198984091e-01+2.497122155100845939e-02j), (-1.821903032458407068e-01-4.595578295580392963e-03j), (-2.533889905723048508e-01-5.724730350024544168e-02j), (-1.371338181798839595e-03-8.317776864923270841e-02j), (-7.957970351602536296e-02-3.551255411657733979e-02j), (-7.573956118274918770e-02+1.535913695764596354e-01j), (-1.415533668133484302e-01-7.644337581893639877e-02j), (-4.176124910917037442e-02+1.225754227531827140e-01j), (-1.823395331131385799e-01+8.084782601357386189e-03j), (-2.076727970847982718e-01-4.331922036261415254e-02j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (-2.601720434522075340e-02+2.984028148218857007e-02j), (-2.401314688993186064e-01+3.982802902829313263e-02j), (7.577982704569528050e-01+2.357011005288120464e-01j), (2.601720434644856639e-02-2.984028148607574885e-02j), (-1.976126553144218478e-01+1.458702683613357087e-01j), (-2.149869812192112539e-01+3.334014331799650677e-02j), (-1.292925465092132908e-01+1.234083757267860071e-01j), (-7.815839534288100687e-02-9.983486456668934361e-02j), (-1.072570660618732408e-01+1.037092638322616028e-01j), (-1.327283514345112270e-02+1.068216210318947423e-01j), (-8.477361282751030847e-02+3.510974746619170694e-02j), (-1.120053715177446313e-01+4.091190715969433844e-02j), (-8.294043836058737074e-02+7.315752051408794254e-02j), (-2.333765513729845198e-01-7.082521753896134364e-02j), (-1.106442327608502946e-01-1.080825595124835364e-01j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (4.650398833314979552e-02-1.293748285244916141e-01j), (2.144832251727316064e-02+1.574076642770082593e-02j), (-1.900823949458100084e-02-2.825032970013782729e-02j), (9.534960116685058384e-01+1.293748285272004472e-01j), (-1.894341023909084168e-02-8.644583148082016222e-02j), (-2.267339973492828870e-02+5.128362960783499486e-02j), (1.383871623872270917e-02+3.041066376841294189e-02j), (3.772311675435320588e-02-1.781223275818064403e-02j), (9.315411844605221703e-03+1.740334765639181200e-02j), (7.529128122571139559e-02+5.925626869663391111e-02j), (1.825046269518487696e-02+8.559952941273946125e-02j), (1.987630420121524674e-02-3.618280672512389634e-02j), (1.018809137174281759e-01+1.138403437224360520e-03j), (-1.347295372896300213e-02-5.588868504324028680e-02j), (-8.280955188489177998e-02+5.433975854455361243e-03j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (-7.992478413873717324e-02+7.702199696499702208e-02j), (-1.516705019222939210e-01+8.708701777811760081e-02j), (-1.221557292466700639e-01+1.113824703573467884e-01j), (7.992478413664501347e-02-7.702199696446289379e-02j), (7.997780436753859634e-01+1.069263303210032656e-01j), (-4.541914922783006625e-02+5.326730322305191917e-02j), (-2.093548442302649026e-01-6.690724742211145992e-02j), (-2.099413551328174476e-01-8.827312265584599804e-02j), (-1.023449387064095523e-01-3.142508449557074313e-03j), (-6.838818271373824087e-02+2.010352795398100134e-01j), (-1.260506279563929355e-01-3.465358476055372533e-02j), (-2.085841134882953085e-01-4.970352741155741050e-02j), (-1.447060043688246922e-01+9.108837851114529038e-02j), (-1.114769616820221187e-01+2.515676605305864136e-02j), (1.868510410055553017e-02+1.086535063647184329e-03j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (-7.725452589309617438e-03-4.832140760096650944e-02j), (-4.907404642304242365e-02+1.386309851107291602e-01j), (-3.039988314429592151e-02+5.007860284941535040e-02j), (7.725452591913088696e-03+4.832140760301373295e-02j), (-2.596814656744168004e-01+5.707325781144780702e-02j), (7.650862487837776227e-01+1.255371207975729264e-01j), (-7.457849064417894358e-02-7.545145908461982354e-02j), (-1.760585952139843702e-01+4.156805466731089416e-02j), (-8.257127339886270734e-02-1.111401046900538925e-01j), (-1.537077259723235723e-01+1.598478611661261206e-01j), (-8.463559518047333863e-02+1.268573853216084235e-01j), (-3.156907454340229791e-01-4.233971809809129044e-02j), (-9.620556612769713689e-02+1.402649400228042909e-01j), (-2.706174613070753271e-02-1.568981629559297597e-03j), (-1.277506911176987392e-01+1.237840844370957094e-01j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (-3.932192965574344418e-02-1.999842604915227917e-02j), (-5.865289554542749140e-02+5.806635987518778130e-02j), (-1.499411449997516410e-01+1.408079367109772717e-01j), (3.932192964814577169e-02+1.999842604617095565e-02j), (-5.453169957989808386e-02-2.999311823332143079e-03j), (-1.568626242890645006e-01-4.474868401594177258e-02j), (7.677437457401266041e-01-1.876665666394168597e-02j), (-1.838627022021026014e-01+3.384069165080050290e-02j), (-2.306743890235678496e-01+1.930443114318619868e-01j), (-1.219970216564865984e-01-4.563108999913723096e-02j), (-9.047025827036858647e-02+1.021302829946074964e-01j), (-8.370188679925111286e-02+1.411817161749808480e-01j), (-2.655339921745680787e-01+1.520792319760844169e-01j), (-1.359006764401794742e-01+1.398427450799343552e-01j), (2.036620900857438743e-02+8.712112897219033425e-02j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (-7.389363792274290799e-03+5.844094063080287893e-02j), (-2.673589495106502845e-02+9.840080739461756765e-02j), (-1.535430566844369071e-01-2.615859038541775913e-02j), (7.389363790070690649e-03-5.844094063575112213e-02j), (-4.009880963648858321e-02+4.687466899021922040e-02j), (-1.234197395667036290e-01+1.054591954667832288e-01j), (-1.320886036563879429e-01+5.812393420421081008e-02j), (7.637167017739174835e-01+2.502101272489525297e-01j), (-6.723094913127440619e-02+1.613427282718126951e-02j), (-1.740971936897696970e-01-1.095164647252477516e-02j), (-2.709312272268097899e-01+5.022477222371338201e-02j), (-2.090124492738512918e-01+1.169851550094455211e-01j), (-7.407324268751964980e-02+1.654780745609381321e-01j), (-2.027963098090008742e-01+8.625773788217740157e-02j), (-8.188972336833735821e-02+6.999239517665695187e-02j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (-2.076869044755017685e-02-1.708274999698114471e-02j), (-2.250587307078031896e-01-6.296530859874244213e-02j), (-1.611066031183057412e-01+6.521166236290637519e-02j), (2.076869044149791746e-02+1.708274999706189262e-02j), (-7.808806690800471073e-02+1.600364461300286811e-02j), (-7.955325222545545083e-02-1.326657780642337414e-01j), (-6.157811588967561367e-02+1.387819444981668870e-01j), (-1.720469173912354544e-01+6.420595146858609770e-03j), (8.209092618374533856e-01+3.222401853109826964e-02j), (-1.898060174363890018e-01-1.963462936631696007e-02j), (-5.378078526654862107e-02+1.713335813041819700e-01j), (-1.072281324701693378e-01+1.870631028470090829e-01j), (-7.058523480571092523e-02-7.758311807923067363e-03j), (-1.673690432904347825e-01+8.493605960002142963e-02j), (-1.991880238596476643e-02-2.687589914426280133e-03j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (7.776072979458599488e-02-4.749888958113260978e-02j), (-1.909252146537032679e-01-2.102289057431256519e-02j), (-3.185077590692043659e-01+2.286978919319310188e-02j), (-7.776072979586932943e-02+4.749888957841114784e-02j), (-2.281609288554913573e-01+9.238796707270317821e-02j), (-1.440899385850485936e-01+1.223022817236208842e-01j), (-1.455020938969369682e-01-1.253523439536562145e-01j), (-6.682216787083805620e-02-3.715522825586305838e-02j), (-4.945576606618246052e-02+2.702198918381070944e-02j), (7.238369424752166825e-01+2.722893304473312792e-01j), (-3.275840605119276217e-03-4.661863038096748443e-03j), (-1.325520470057756431e-02+7.695480638491904168e-02j), (-1.723124010715460230e-01-1.945700164424383691e-02j), (-1.977566173134747418e-01+7.798687002535695245e-02j), (-1.302310235094491508e-01+7.667846263778266280e-02j)
