 (1.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-0.000000000000000000e+00+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (8.181474827260686311e-01+1.300807441594199199e-01j), (-3.073020475041120247e-03-1.393703498371051674e-01j), (-7.004529535304533996e-03+1.136864358222964694e-01j), (1.818525172750660446e-01-1.300807441600509984e-01j), (7.791674930545744449e-02+1.923826860253141924e-01j), (2.151048375219254127e-02-1.135882229858881792e-01j), (1.208924412191769715e-01-1.548744775463993251e-01j), (-1.111949392547532944e-01+6.784085584914043010e-02j), (-6.660123394645633965e-02+3.836918697200882022e-02j), (8.395903363387891005e-02+9.083538222244477711e-02j), (-1.774101909577062430e-01+1.179520623118254612e-02j), (1.175752466314822220e-01-1.510316607153793234e-01j), (1.761006119567889300e-03+9.205393345901477509e-02j), (2.601910114856842426e-02+2.612883451576502453e-02j), (-4.886904070873040323e-02-1.327374730332125385e-01j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (1.547951811327843707e-01-1.150798405973792737e-01j), (5.774736069377607306e-01+7.361229930075303962e-02j), (-2.157963750369162326e-01-2.117792375122543314e-01j), (-1.547951811344240869e-01+1.150798405970340776e-01j), (-9.289764857118179564e-02+1.370089142011899908e-01j), (-2.259447452617271423e-01+2.812141287797754186e-01j), (-1.445333770568899001e-01-2.787990879966816826e-01j), (-2.448674594744230659e-01-1.385283952098596838e-01j), (1.530052173161670220e-02+3.038628273894738736e-03j), (-2.455129949879324980e-01+2.296181612168489428e-02j), (-4.532513119004800972e-02-4.766116076905136528e-02j), (-9.373806360915412639e-02+1.528393453182674486e-02j), (-4.123994353814645908e-02-2.658378419105701940e-01j), (-9.140698394795751525e-02-5.182479816859868194e-02j), (1.526929255304217657e-03+4.654887524723328590e-02j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (-1.376596349301012490e-01+9.467665929950888626e-02j), (1.037555215548767590e-01-6.135654780450211510e-02j), (6.602604763714453595e-01+1.960439907636395418e-01j), (1.376596349320956258e-01-9.467665929920759949e-02j), (-9.714591503090506952e-02+1.280118934505637407e-01j), (5.309091961006966176e-02-1.521131820680456936e-01j), (-2.332220668106715356e-01-9.104728154335163526e-02j), (-2.298987045067035218e-01+1.401645084063191105e-02j), (4.632707822883552762e-02-1.110459178910511435e-01j), (-3.167324347184472672e-02-1.084009028328083990e-02j), (-1.456176544735663936e-01-1.033230770704465229e-01j), (-2.137836047784137938e-01-8.032415735610884400e-02j), (4.090168917870522225e-02-1.601591450236517500e-01j), (-3.491469282144533670e-01+4.550213267193414790e-02j), (-1.914286995380262424e-01-1.324214327571858474e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.818525172753296670e-01-1.300807441580205670e-01j), (3.073020480626346973e-03+1.393703498388271789e-01j), (7.004529532216384469e-03-1.136864358249858042e-01j), (8.181474827272627870e-01+1.300807441581027235e-01j), (-7.791674930062816862e-02-1.923826860258026072e-01j), (-2.151048374515181910e-02+1.135882229903786289e-01j), (-1.208924412227567330e-01+1.548744775460808853e-01j), (1.111949392541106835e-01-6.784085584604510055e-02j), (6.660123394775988026e-02-3.836918696927867772e-02j), (-8.395903363761722527e-02-9.083538222384919536e-02j), (1.774101909541378475e-01-1.179520622746280979e-02j), (-1.175752466341857955e-01+1.510316607157819735e-01j), (-1.761006121988779177e-03-9.205393346243156971e-02j), (-2.601910114466333968e-02-2.612883451695260234e-02j), (4.886904070691172608e-02+1.327374730342038289e-01j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (-1.468598064959822369e-01+1.284379537717697251e-01j), (-4.671427515022687216e-02+1.594432459914801314e-01j), (-2.948550502830331599e-01+6.930728552574826062e-02j), (1.468598064946754489e-01-1.284379537711776431e-01j), (6.215584833540005461e-01+2.513727734652012602e-01j), (-1.808191807798325834e-01-1.318256942867845338e-01j), (-1.850508439577839837e-01+3.441359674271470687e-02j), (-4.119449931776396345e-02-1.806225101078873518e-01j), (-2.023167924719129485e-01-2.574805653181026499e-01j), (1.306728118029967800e-01-1.355409577369527940e-01j), (7.027639101674838795e-02+1.011083630792825733e-02j), (-1.567646521832987555e-02-1.744957878280559149e-01j), (-1.088621586918546991e-01-1.152083634720970501e-01j), (-1.561234071878935259e-01-4.915847011698665919e-02j), (-6.811355142381859962e-02+1.459278948313506158e-02j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (7.471395098170904858e-02+6.008078695855537804e-02j), (-1.197671396475428474e-01+1.900637403857473318e-01j), (-1.206656382095092905e-01-2.317619135551100829e-01j), (-7.471395098614645736e-02-6.008078695926982737e-02j), (-4.305009061790562169e-02-1.330611334733453610e-01j), (6.975473712788800018e-01+1.806927889302291645e-01j), (-2.304683997820987651e-01-1.165239210321344920e-01j), (6.933676495753521296e-04-1.277583904204425969e-01j), (-6.936542781331632435e-02-2.108818062534544013e-02j), (8.602448928687646268e-03-2.539972598676521476e-01j), (-2.160859503420711203e-01-5.964332174342790172e-02j), (-4.575589490887092825e-02-1.979017267487009624e-01j), (-1.029988491505514220e-01+1.583378532152649940e-02j), (8.304277105631587344e-03+1.390291310341635125e-02j), (-2.346697768100546311e-01+1.163246098681862822e-01j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (-1.029892909237321852e-01-2.137303101883272771e-01j), (-2.224593137087824135e-02-1.153561804279569225e-01j), (7.007925427484254510e-02-4.443359169133098696e-02j), (1.029892909230858550e-01+2.137303101905034530e-01j), (5.554891429680364201e-02+6.771515314257564588e-02j), (5.684247622522411308e-02-3.349636865108876482e-02j), (6.641445953733049468e-01+8.889477746839294370e-02j), (-1.159678815347335856e-01-1.441306991323237641e-01j), (-1.618762363277919114e-01-4.062603082029486723e-02j), (-1.534176277747330286e-01-1.847729278602506520e-01j), (-2.357167972535061662e-01+1.059893965818293204e-01j), (-1.100399071816874630e-01-1.980003908525870826e-02j), (-3.618451185382778879e-01-1.550115678839143196e-01j), (7.041574550133024302e-03-5.719550691255251285e-02j), (-1.995110884627702974e-01-9.265892958681015701e-02j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (8.074007010015878116e-03+2.595936088679941939e-02j), (1.268330863059297930e-01-2.023833281550709573e-01j), (-7.329052604521334169e-02+3.761197075901422798e-02j), (-8.074007006753685517e-03-2.595936088701374447e-02j), (-1.658761021238379652e-01-1.710403528334654144e-01j), (-1.358013687909927492e-01-1.494639042140793184e-01j), (-1.440777361518107980e-01-1.546154084565877773e-01j), (6.506987532780361683e-01+1.493191924426461314e-01j), (-3.446692419231652815e-01-2.190316545633628764e-01j), (-2.302948920710054526e-01-7.764202025845037825e-02j), (-1.733041895371372765e-01-3.081070728691629595e-02j), (8.280461944308627198e-02-6.283287094916573112e-04j), (-1.097175448202653419e-01-1.410593020462313357e-02j), (-1.564632857876382399e-01-1.101345350282392221e-01j), (-1.387247379832049210e-01-1.224794600361538005e-01j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (3.603976863774747269e-02+1.196653817816633186e-01j), (-2.647075339775489811e-01-2.570080772015287951e-01j), (-1.780639838292483457e-01-1.124616912524057238e-01j), (-3.603976863719979967e-02-1.196653817790784696e-01j), (1.565341961621753708e-02-1.707913279458688482e-01j), (-1.925300936023582321e-01-2.195522170733912523e-02j), (-3.117705415160626492e-02+2.497257517285193101e-02j), (3.804935141844250496e-03-1.314691017713635890e-01j), (6.187496687207865165e-01-7.938630071035876479e-02j), (-2.569589293333758295e-01-1.094736754969612286e-01j), (-1.902375012827967893e-01-1.538212368059237167e-02j), (-2.497935305716635912e-01-2.207561384322529185e-01j), (-1.082983377769667077e-01+7.358300545984171326e-02j), (-1.815058008560739011e-01-6.371641305209474471e-02j), (1.385142300629734202e-01-1.198756556789112998e-01j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (-6.350036410263626419e-02-5.667313696628935304e-02j), (-2.642992988505921820e-02-2.580395165599352891e-02j), (-2.518550275953037043e-01-9.573435639040181466e-02j), (6.350036410297305034e-02+5.667313696743702528e-02j), (-2.752769170469271387e-01-2.689065387823971753e-01j), (-1.683934314371474117e-01-1.806031086182916245e-01j), (7.910662328323746217e-02-9.957726508725850412e-02j), (-1.136980532265886024e-01-1.824229575995199581e-03j), (-1.037511961034342511e-01-1.176979661625990672e-02j), (6.258093629798007207e-01+2.155826451396197219e-01j), (-2.088762019817915483e-01-2.231351818117381924e-01j), (-1.715418667875241721e-01-1.159116324584749530e-01j), (-9.306607702012090200e-02-8.163175512035757142e-02j), (-1.885700754633682363e-01+1.076072687039213022e-01j), (-1.071181456718750535e-03+1.600760920060831094e-01j)
