 (1.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-0.000000000000000000e+00+0.000000000000000000e+00j), (-0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (9.600417792645851156e-01+7.957896330277919317e-02j), (5.280908504228028905e-02+5.560163640896895187e-02j), (5.748456044733993298e-02+4.223525117400390300e-02j), (3.995822073563633225e-02-7.957896330320200773e-02j), (-1.771372835514688215e-02-8.941999421651669611e-02j), (-4.454319244222568371e-03-7.503843369926679191e-03j), (4.854895233070071620e-02+3.763117688703867397e-02j), (5.169021405690772675e-02+4.017389931371835587e-02j), (2.591607642552076762e-02-3.581323881914452029e-02j), (9.192621633353244281e-02-7.573611730929328406e-03j), (-5.821909312726909584e-03-7.295700905548958837e-02j), (-4.934124528091503314e-02-4.839525809137482787e-02j), (3.032647576929800928e-02-4.043661844922100124e-02j), (-6.101638316697403919e-02+2.276103706360897011e-02j), (8.479874347570691070e-03+9.581750313402166708e-02j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (-4.243571524183736843e-02+9.490418180729860362e-03j), (8.446172853427706961e-01+2.483582257152354422e-01j), (-1.163867757761677113e-01+5.258915399275344849e-02j), (4.243571524208884782e-02-9.490418181681867932e-03j), (-2.549759749413268994e-02-3.342909226853278681e-02j), (-4.333454090231309008e-02+7.393691518545708954e-03j), (-2.201931890701935013e-01-3.823650729815195742e-02j), (-1.236922373820373289e-01+1.304953227334877119e-01j), (-3.592741097887244134e-02+1.404060380234226635e-01j), (-9.119633197962852267e-02+3.958792643977494113e-02j), (-1.165342413678942812e-01+1.680751338456342239e-02j), (-5.494828646624368151e-02+3.460884496167455915e-02j), (-1.813147070090632140e-01+8.832651535209033733e-02j), (-1.479082765390192511e-01+7.241823529341879020e-03j), (-3.178747224733879939e-02+7.928307687776731116e-02j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (-2.910525351289566798e-02+2.276995995184401267e-02j), (-1.010815700916776472e-01+1.178580493171013654e-02j), (7.637755719734454773e-01+1.991401316984574288e-01j), (2.910525351277314446e-02-2.276995995274410517e-02j), (-2.189542057414967102e-01-2.879043352589372162e-03j), (-1.392417981348486877e-01+9.470698217817476172e-02j), (-2.548986627238458702e-02+5.421859373506415780e-02j), (-1.425477248325323909e-01-6.205775637689520813e-02j), (-1.601929304549068456e-01+2.811227561266635422e-02j), (-9.888488054968166963e-02+7.305930753524822463e-02j), (-1.915488617499919166e-01+1.705207365183816492e-01j), (-8.603056589669096088e-02+4.684678035328093681e-02j), (-1.866288633355836779e-01+7.409184465573021017e-02j), (-1.828402942998172964e-01-5.003704051234167394e-03j), (-2.587079239652005924e-01+4.687995699593992815e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (3.995822073375115968e-02-7.957896330343819380e-02j), (-5.280908504000794701e-02-5.560163640712631472e-02j), (-5.748456044524526132e-02-4.223525117327765754e-02j), (9.600417792658407778e-01+7.957896330289312981e-02j), (1.771372835740520763e-02+8.941999421764940115e-02j), (4.454319244322678395e-03+7.503843370826306786e-03j), (-4.854895233010301375e-02-3.763117688895108170e-02j), (-5.169021405740181069e-02-4.017389931477128445e-02j), (-2.591607642581188198e-02+3.581323882107700918e-02j), (-9.192621633489350685e-02+7.573611731533244629e-03j), (5.821909311039692378e-03+7.295700905857778473e-02j), (4.934124528393216136e-02+4.839525809361354403e-02j), (-3.032647576960558616e-02+4.043661845172465130e-02j), (6.101638317074033202e-02-2.276103706040835326e-02j), (-8.479874346892731646e-03-9.581750313218516391e-02j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (8.362063702556805922e-02-9.214693148795120858e-02j), (-1.291305924951648421e-01-2.599522281451965150e-02j), (-9.939045893634859685e-02+1.060018317396275167e-01j), (-8.362063702515959429e-02+9.214693148840588655e-02j), (7.603591804190320547e-01+2.305210837712103888e-01j), (-2.316484924233664366e-01+2.187030741800174150e-01j), (-1.218190834511991144e-01+3.609955630860429282e-02j), (-1.167773893938962720e-01-2.430737876405701312e-02j), (-4.974578446309987911e-02+9.033149939145243210e-03j), (-2.248773029975621729e-01+1.351227057873097270e-01j), (-1.168992411052894587e-01+9.351807851674892591e-02j), (-1.117631735138038401e-01+1.327647583989283522e-02j), (4.834941161912377494e-02+1.144051630874504955e-01j), (-1.349533372162634581e-01+1.733257596000986611e-02j), (-8.738685934994126769e-02+1.392147613911210169e-01j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (6.596404949721426658e-02+1.932673925457022157e-02j), (-1.396637777614183340e-01-6.231788785100930705e-02j), (-1.991361248429214248e-01+5.993247136165853750e-02j), (-6.596404949691439534e-02-1.932673925537673615e-02j), (-1.142267838507615707e-01+8.460242526360443882e-02j), (7.867576374760761881e-01+2.421755344628796214e-01j), (-7.263649166271818336e-02-7.733976802515075272e-03j), (-4.460529892176093303e-02-3.306166942401267406e-02j), (-1.169702999297775325e-01+9.973934452039677490e-02j), (-2.232311363597160869e-01-6.714574122851878213e-02j), (-2.381951995053072924e-01+1.064802841394274363e-01j), (-1.048478186728568629e-01-5.106969687386995332e-02j), (-1.400372446288750405e-01+1.228583579772769413e-01j), (-1.132310985521535474e-01-7.466232001814218644e-02j), (-5.522040142299679266e-02+4.309143830959049487e-02j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (-3.424994923636698330e-02+1.773599237308506882e-02j), (2.847034862695706214e-02+6.830043969975602147e-02j), (-2.761832398870799343e-01+9.646885046811282116e-02j), (3.424994923626072801e-02-1.773599237493411751e-02j), (-1.361943111542324725e-01+2.913422349670595490e-02j), (-1.483717118452887174e-01+7.649844029582761329e-02j), (7.927589990784922325e-01+1.670633385625125422e-01j), (5.886913627544992922e-02+1.084229611981014918e-01j), (-1.468271419462848781e-01-7.742350197924023625e-02j), (-1.296851038161783432e-01+7.324716225360787536e-02j), (1.061489628619526060e-02+1.411373682296017396e-01j), (-1.130388257388727780e-01+1.940702986040112321e-01j), (-8.168745215405470717e-02+1.115756937600200227e-01j), (-1.888305822251362120e-01+5.900049528210340316e-02j), (-7.269072253673816708e-02+5.788274035940912943e-02j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (-5.826990490222512531e-02+3.233158104912842602e-03j), (-1.133093329010695371e-01+1.441577696300677947e-01j), (-3.763305035557421019e-02-5.981306779505542182e-03j), (5.826990490222989233e-02-3.233158106931281403e-03j), (-5.558637802727166288e-02+1.787458139260679132e-02j), (-7.949223135850344568e-02+4.073385065534800009e-02j), (-2.621720998259600699e-01+1.789292213342755580e-02j), (8.406373099010815420e-01+1.962365236854237416e-01j), (-6.457290614269119156e-02+1.024248239715955383e-01j), (-1.647862560824018760e-02+1.426972351228027180e-02j), (-6.017967311719153722e-02+1.641114698593552912e-02j), (-1.758590368076495825e-01+6.893003150941692803e-02j), (1.425203107455722158e-02-2.997304902913380115e-02j), (-1.937458875488078935e-01+1.551494087551473777e-01j), (-1.220750317520266359e-01+1.330550500082569761e-02j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (-1.847331710735283360e-03-3.333520093781473792e-02j), (-2.033415468681100680e-01+7.920940922442762377e-02j), (-1.610844919437635914e-01+1.129609784483049661e-01j), (1.847331712011545009e-03+3.333520093808810952e-02j), (-2.748503110491571366e-01-4.280111259230418019e-03j), (-1.704750714144973034e-01+1.714313107880238440e-01j), (-7.868034225120994207e-02-1.013334896916021632e-01j), (-1.622756838512617039e-01+4.476815864873986278e-02j), (7.732618590423576688e-01+1.771391379372347918e-01j), (-6.506999060020586534e-02+1.315426494028192894e-01j), (-5.768294043182047026e-02+2.866539429471551617e-02j), (-1.926921843713616522e-01+3.263582920982202595e-02j), (-9.686673485395971839e-02+2.157426827085652879e-02j), (-4.702911988214919514e-02+9.054468131403592412e-02j), (8.004462519227328182e-03+1.382583231420170811e-01j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (-1.539344987933680305e-02+1.559313285666654586e-02j), (-1.414583003103603576e-01-1.417008026948020361e-02j), (-2.158547735610209517e-01+9.498380754254595604e-02j), (1.539344987727553696e-02-1.559313285766961328e-02j), (-3.258735636862638424e-02+8.095545415303027903e-02j), (-9.007741547592711118e-02-8.033860000985926925e-03j), (-1.457648569323697907e-01+5.135433285553908656e-03j), (-1.776384832156901183e-01-3.750435246201132278e-02j), (-2.294727982913168929e-01+1.093487872933124189e-01j), (7.788446921221658936e-01-8.587089969737692063e-02j), (-1.304488491433852537e-01+1.765055502678138655e-01j), (-1.882101630623682353e-01+1.657133437028038558e-01j), (-1.560976015911269554e-01+1.381997676900170724e-01j), (-1.075687999149506635e-01+6.554545537007079592e-02j), (6.012013367941262953e-02+2.435500053594838107e-02j)
