 (1.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-0.000000000000000000e+00+0.000000000000000000e+00j), (-0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (9.253803432681834140e-01+1.043432946462472533e-01j), (5.899040233553166923e-02+9.188293895187159277e-02j), (7.035855250083761225e-02+7.637056835009670142e-02j), (7.461965673215903427e-02-1.043432946469476097e-01j), (-2.017349039742957414e-02-1.098209303737675974e-01j), (-2.664123565849180024e-04-1.961644640030444676e-03j), (5.525335930247419342e-02+6.003682935559682965e-02j), (5.451160922251415547e-02+6.587346641524008395e-02j), (2.717729570592921154e-02-3.827238000831324760e-02j), (1.298426260035503432e-01-6.196378665708196683e-03j), (-8.189494798639545409e-03-8.302322337926486273e-02j), (-7.126169634348761273e-02-5.236965486047424206e-02j), (3.906468340982063858e-02-4.648480471944922005e-02j), (-9.980038748637663770e-02+2.509850695996089162e-02j), (1.087612333777382076e-02+1.375005247394379682e-01j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (-5.699734368767606779e-02+9.422868400070802050e-03j), (7.616135882953692926e-01+2.742948922695114811e-01j), (-1.482041325399449938e-01-7.858422500730096599e-03j), (5.699734368832318210e-02-9.422868401195971452e-03j), (3.328176403320570048e-03-1.126636184608767743e-01j), (-5.905972384295220257e-02-5.474390775198782061e-02j), (-2.678273342716465111e-01-1.414345892371918767e-01j), (-1.739337689198864056e-01+1.117472417082980563e-01j), (-4.122222304119699948e-02+1.268898647747641883e-01j), (-1.252135546951923528e-01-1.139592942917938903e-02j), (-1.373218061772859266e-01-4.117199552317557520e-02j), (-6.649561324159350417e-02-2.764630920463272482e-02j), (-2.401682872487639619e-01+5.457913175553604640e-02j), (-1.857394000329790629e-01-5.849854630816884310e-02j), (-4.144670378743832428e-02+5.191714341082732942e-02j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (-4.472051225253297069e-02+4.064617965392086640e-02j), (-1.006068437383148828e-01-5.631326455839452683e-02j), (6.742567215926665858e-01+1.483239623027235998e-01j), (4.472051225246979900e-02-4.064617965509771669e-02j), (-2.407263630880939198e-01-1.161004839861585480e-01j), (-1.812110690746757680e-01+1.945439327314549272e-02j), (6.585292892006960885e-03-9.488187853091439861e-03j), (-1.488027320136647846e-01-1.545412599353202243e-01j), (-1.686780950710504157e-01-8.012206560498003061e-02j), (-1.039453806894683335e-01-7.155414776236157515e-03j), (-2.307504911462731345e-01+1.454771092391630716e-01j), (-8.635927231089614298e-02-2.829150607784847171e-02j), (-2.474809594632785270e-01+1.164400782834601467e-02j), (-2.031067208901209953e-01-8.304059315828592192e-02j), (-3.364551541814813640e-01-2.915217451964979833e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (7.461965672976039743e-02-1.043432946470691652e-01j), (-5.899040233316379944e-02-9.188293894945807894e-02j), (-7.035855249903961994e-02-7.637056834903344082e-02j), (9.253803432696358078e-01+1.043432946464144667e-01j), (2.017349039973832109e-02+1.098209303749191068e-01j), (2.664123556944050786e-04+1.961644641245451071e-03j), (-5.525335930237012388e-02-6.003682935848514424e-02j), (-5.451160922373381873e-02-6.587346641674392267e-02j), (-2.717729570735648997e-02+3.827238001066846085e-02j), (-1.298426260067195859e-01+6.196378666597186086e-03j), (8.189494795693658818e-03+8.302322338314886696e-02j), (7.126169634678417020e-02+5.236965486349975246e-02j), (-3.906468341125627491e-02+4.648480472297990967e-02j), (9.980038749086637961e-02-2.509850695519035349e-02j), (-1.087612333780820298e-02-1.375005247368929484e-01j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (1.193562722566920420e-01-1.071554864511804761e-01j), (-1.413333464567428921e-01-1.085022644201003861e-01j), (-1.365753055246297365e-01+3.339137482590748274e-02j), (-1.193562722558668687e-01+1.071554864520044142e-01j), (6.540725090966067468e-01+2.013446307198021590e-01j), (-3.460920666205697382e-01+1.940282802278587293e-01j), (-1.398882746875329819e-01-3.610400794323283258e-02j), (-1.304179600608799672e-01-1.103959306209659486e-01j), (-5.447494489590581912e-02-1.031259993472263131e-01j), (-2.894405200695596148e-01+7.681793818520579742e-02j), (-1.647792020428885396e-01+1.601194910592516896e-02j), (-1.414594961230746240e-01-6.879242054887081681e-02j), (5.704316417035566050e-02+6.938865266018624800e-02j), (-1.525983696180205351e-01-4.904605155211172463e-02j), (-1.333213356246090442e-01+1.192319422818663710e-01j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (9.111279306617117713e-02+4.750719731959230502e-02j), (-1.473630707233573867e-01-1.457586006206894880e-01j), (-2.410762807241705885e-01-2.508924049422381342e-02j), (-9.111279306560014779e-02-4.750719732037063381e-02j), (-1.139952502398109413e-01+1.096569138182186889e-02j), (6.929866361657683882e-01+2.309987849157726369e-01j), (-4.540715312776119617e-02-7.902017962803370432e-02j), (-3.244082070115592714e-03-9.936885683580264084e-02j), (-1.090687887653911947e-01+4.265606924202457878e-02j), (-2.739688251309188027e-01-1.844136211242681511e-01j), (-2.870626037284780274e-01+4.980634583339384192e-02j), (-9.652644794861500732e-02-1.443041100305993141e-01j), (-1.586623926609251056e-01+9.851334533659129866e-02j), (-1.051590961390044959e-01-1.573227093273555643e-01j), (-6.025150046870487303e-02-1.226211451243231290e-02j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (-4.895102920033439498e-02+2.944761213773674363e-02j), (4.355018834110144232e-02+4.601321939990778154e-02j), (-3.805825428310893876e-01+1.668165103295277119e-02j), (4.895102920058330698e-02-2.944761214036922120e-02j), (-1.582840931917375016e-01-5.091391998933483820e-02j), (-2.038179105660850032e-01+1.611094924589807909e-02j), (6.918662701697997353e-01+1.346307156635195845e-01j), (7.818664499270921997e-02+1.021647086612792465e-01j), (-1.770288491419227395e-01-2.000323138393196865e-01j), (-1.790693551459009991e-01+1.454771969224318007e-02j), (2.564840865184869756e-02+1.035328736112734183e-01j), (-1.625241992284841563e-01+1.775585360310427407e-01j), (-1.123570307437117416e-01+6.024750836461176262e-02j), (-2.460340967297952042e-01+5.454199058648481757e-03j), (-1.081393793205603082e-01-8.796864686337751982e-03j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (-8.299684402310784914e-02+1.533283885336975908e-03j), (-1.661206339705450508e-01+1.347492254914910148e-01j), (-3.979384995518286949e-02-7.967210061524786224e-02j), (8.299684402337281774e-02-1.533283888019930895e-03j), (-5.232967703354765576e-02-2.524062388560378151e-02j), (-1.009710981247103623e-01-3.169456515384395934e-03j), (-3.329199355135182836e-01-5.841076772857912991e-02j), (7.489017408138988197e-01+2.031767871273724158e-01j), (-8.258135831291420204e-02+7.794702906467665393e-02j), (-1.558418566882002927e-02-4.747718571489993600e-02j), (-7.117985993597811256e-02-2.922453999509059402e-02j), (-2.194034324034080385e-01+3.399769719215475772e-03j), (2.766775110544276300e-02-1.075728974924566039e-01j), (-2.663815832411285389e-01+1.412342360672867447e-01j), (-1.681820272941364491e-01-3.974405532739736652e-02j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (-7.989395628911958799e-03-2.801874804153630175e-02j), (-2.547204011833006931e-01+1.650133311635540445e-02j), (-2.088331653572887692e-01+4.864893339166500436e-02j), (7.989395630866648682e-03+2.801874804212847389e-02j), (-3.422707144992800377e-01-1.047079168975167951e-01j), (-2.334560749528627743e-01+1.281062354022920458e-01j), (-5.817051168522217874e-02-2.196464402669656146e-01j), (-1.989187602880897465e-01-2.171299617939000462e-02j), (6.790616465448885419e-01+1.316049862416355798e-01j), (-7.399677037192162188e-02+7.301964382513211060e-02j), (-5.978802072261737988e-02-5.891161525181425745e-02j), (-2.460203349207771839e-01-5.230941286261209244e-02j), (-1.272629263826337287e-01-6.578717943869655249e-02j), (-4.300306620892141440e-02+5.366034577998011340e-02j), (1.627274405676283967e-02+1.067626758032491630e-01j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (-8.818165517822981747e-03+4.109897666386706089e-02j), (-1.684449473341601000e-01-9.432410619299437526e-02j), (-2.729335794523806702e-01+2.350961770117369204e-02j), (8.818165515098112806e-03-4.109897666494394947e-02j), (4.347054897801183593e-03+1.548228793528053093e-02j), (-1.262268967972959288e-01-1.016906784411662767e-01j), (-1.652166914440900969e-01-7.358318209268589760e-02j), (-2.136840756830601373e-01-1.236919805395677863e-01j), (-2.768543916317831588e-01+4.979001348771601443e-02j), (6.774345012246771880e-01-2.054400709674620296e-01j), (-1.408731248532038294e-01+1.562839591438987541e-01j), (-2.252288953611077948e-01+1.334097246203471976e-01j), (-1.819496994001486845e-01+1.086636837939295858e-01j), (-1.185238409961155842e-01+2.529590866971455701e-02j), (8.668075529191161810e-02-6.151522369902744092e-02j)
