 (1.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-0.000000000000000000e+00+0.000000000000000000e+00j), (-0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-0.000000000000000000e+00+0.000000000000000000e+00j), (-0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (8.833177540693056828e-01+1.241081513067999881e-01j), (5.180516903808955742e-02+1.264779426487444014e-01j), (6.978618762480601201e-02+1.110413604999435366e-01j), (1.166822459312050753e-01-1.241081513078271387e-01j), (-2.423461945379468130e-02-1.283845226702977071e-01j), (-1.822350425436578252e-04+3.279514542864238671e-03j), (5.136562130383537372e-02+7.653489487653072909e-02j), (4.376454520705500006e-02+8.743772904138691349e-02j), (1.820925984915165025e-02-4.184901996055299944e-02j), (1.596790348626106193e-01-9.716867820841686848e-03j), (-1.612690300280207947e-02-8.766784358332002647e-02j), (-9.816960526914833562e-02-5.392183811983159575e-02j), (4.115419933852960260e-02-5.209614135106972743e-02j), (-1.459750123951116807e-01+1.497638119187980066e-02j), (7.958307792468116704e-03+1.736142019358636324e-01j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (-7.335641394896937062e-02+3.559255286785993275e-03j), (7.025638744734865604e-01+2.856200081946912439e-01j), (-1.196919330668506365e-01-7.282689481115764418e-02j), (7.335641395003313081e-02-3.559255287852434481e-03j), (8.785247143959441785e-02-1.791247149259092286e-01j), (-2.676047862483402207e-02-1.209064869225115468e-01j), (-2.549500763160795769e-01-2.463431007609531986e-01j), (-1.911284361763437301e-01+7.980305903498050024e-02j), (4.256475613711192124e-04+1.150718888860716993e-01j), (-1.133001092271703203e-01-6.237217364940425557e-02j), (-1.054728719927046088e-01-9.852046769143127380e-02j), (-2.636925948600282038e-02-9.476944181653841615e-02j), (-2.475482210199553279e-01+1.216724182082713768e-02j), (-1.788358962609873926e-01-1.279840313848779609e-01j), (-1.002101786320549331e-02+1.786751079438836376e-02j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (-6.954705563857924155e-02+5.583567726781685225e-02j), (-4.273496659232768613e-02-1.083477066621479357e-01j), (6.568948924979287618e-01+9.298942284062450270e-02j), (6.954705563843623095e-02-5.583567726914014789e-02j), (-1.794910549350033913e-01-2.112561065630103319e-01j), (-1.491425925559772270e-01-6.222964550185539068e-02j), (9.737758410303933021e-02-5.190724861644346877e-02j), (-9.479979728318219112e-02-2.290073050233449314e-01j), (-9.199050690927595975e-02-1.781522359990693194e-01j), (-3.423017132409408858e-02-8.184757092654337818e-02j), (-1.984869439489431731e-01+1.297409637026725182e-01j), (-1.591916411005664389e-02-9.201464271787357374e-02j), (-2.451109229864857353e-01-5.042769577905686917e-02j), (-1.600756066568266300e-01-1.444324646235347620e-01j), (-3.452262016838944514e-01-1.117493679754561209e-01j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.166822459283272662e-01-1.241081513076691401e-01j), (-5.180516903568048448e-02-1.264779426462424861e-01j), (-6.978618762344480919e-02-1.110413604991975500e-01j), (8.833177540708259112e-01+1.241081513069539899e-01j), (2.423461945628799241e-02+1.283845226707214793e-01j), (1.822350404931810663e-04-3.279514541993655552e-03j), (-5.136562130411789773e-02-7.653489488092560245e-02j), (-4.376454520892924388e-02-8.743772904370607224e-02j), (-1.820925985172582376e-02+4.184901996250921935e-02j), (-1.596790348677978311e-01+9.716867821478330364e-03j), (1.612690299875656902e-02+8.766784358720461356e-02j), (9.816960527262275082e-02+5.392183812293113027e-02j), (-4.115419934127914625e-02+5.209614135503474325e-02j), (1.459750124002158200e-01-1.497638118579899986e-02j), (-7.958307793468351321e-03-1.736142019331556874e-01j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (1.437912067177624931e-01-1.131669093887946453e-01j), (-8.690702397825014747e-02-1.852194335619340437e-01j), (-9.541058122757657689e-02-5.540898143072348764e-02j), (-1.437912067165827701e-01+1.131669093901762763e-01j), (6.063207064043470984e-01+1.626158635306282074e-01j), (-3.956304654073808935e-01+1.374650052324589700e-01j), (-9.215472127131688063e-02-9.965069460077390084e-02j), (-8.470137147146886147e-02-1.925694507714914572e-01j), (1.514591685064109461e-02-2.219566915777085592e-01j), (-2.708607916259650472e-01+1.391971019067086979e-03j), (-1.518839434428083668e-01-8.013228667832428265e-02j), (-1.026241786696727998e-01-1.515725230603632290e-01j), (1.167691647045092651e-01+8.191967502581790073e-03j), (-1.087248730692395166e-01-1.088897810793753584e-01j), (-1.273226472730527026e-01+8.593349091267195317e-02j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (1.064542419124622219e-01+7.916732531221375158e-02j), (-1.022461475644376450e-01-2.058820609812728741e-01j), (-2.075552506518789642e-01-1.030424590578799537e-01j), (-1.064542419117348593e-01-7.916732531273842910e-02j), (-5.324118118860825255e-02-5.086070903887667666e-02j), (6.519661889740400174e-01+2.121499312804000781e-01j), (3.691810338054930807e-02-1.209679558440017316e-01j), (9.255036689071238776e-02-1.408339015731030486e-01j), (-3.023722480663933176e-02+2.141905856848175249e-03j), (-2.559354184939769961e-01-2.854972921912559691e-01j), (-2.686732403401837499e-01-4.524978083677404228e-03j), (-2.172966066003783475e-02-2.154202868161514406e-01j), (-1.144498388709171283e-01+8.134322446654822236e-02j), (-4.527771670204709664e-02-2.131289793775375530e-01j), (-1.619932684402536002e-02-6.253173561460040331e-02j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (-7.018063030520965695e-02+3.804726306628093691e-02j), (9.825176444189216707e-02+2.850224297657846795e-02j), (-4.085110995788072685e-01-8.651526546500540316e-02j), (7.018063030592239238e-02-3.804726306957073589e-02j), (-1.100825241575972280e-01-1.238023227598517850e-01j), (-1.909898038788034880e-01-6.093446241090556825e-02j), (6.322832073393565011e-01+9.111143637288993125e-02j), (1.288043876824191969e-01+9.893661773585427088e-02j), (-1.336568974160417256e-01-3.206994950534451938e-01j), (-1.661356105587297738e-01-5.198749265860812263e-02j), (9.775561925117182138e-02+5.358292656287094724e-02j), (-1.543365637997305972e-01+1.434584054112856277e-01j), (-8.597815945707586172e-02-1.452409862285436448e-02j), (-2.521551320639167648e-01-5.519719067810158197e-02j), (-9.356246923425043382e-02-9.744222275997577176e-02j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (-1.107862888852052669e-01-5.421048235433753582e-03j), (-1.894954170439863694e-01+1.119757245925058348e-01j), (1.259851583883708423e-02-1.554227259185355925e-01j), (1.107862888857267941e-01+5.421048232298572231e-03j), (-2.540576720519157478e-03-5.210705146893391398e-02j), (-7.343216335636623682e-02-5.230488340105541450e-02j), (-3.462959584504669008e-01-1.378647303669549573e-01j), (6.759391624635118223e-01+1.919395123828528948e-01j), (-5.481278637167388834e-02+5.495201033692369286e-02j), (3.204760757097264295e-02-1.139742423327122917e-01j), (-3.965456947927116504e-02-6.959444700580542931e-02j), (-1.998623646288178457e-01-7.719195308849531589e-02j), (8.495212668493808128e-02-1.906201184436214779e-01j), (-3.006420771862580721e-01+1.126814117171359431e-01j), (-1.735096510789157498e-01-1.000908854713274815e-01j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (-2.591310422667063643e-02-1.754907292246861428e-02j), (-2.450901791416935371e-01-5.133311786963012935e-02j), (-1.768391931429972863e-01-1.991280229388528444e-02j), (2.591310422918716161e-02+1.754907292358188348e-02j), (-3.322653064989026794e-01-1.913332479972850719e-01j), (-2.242951473706804033e-01+6.500534571761633351e-02j), (3.371232079799146852e-02-3.149232164167439230e-01j), (-1.797556371390107988e-01-8.850491714276412236e-02j), (6.455695267907680668e-01+8.250275963617763331e-02j), (-1.344578212880301327e-02+5.857678654415193753e-03j), (3.729998316232649436e-03-1.471669131067495362e-01j), (-2.249927334551288793e-01-1.375938529221806539e-01j), (-9.588002425080419111e-02-1.624165187311660263e-01j), (1.159333473603085460e-02+2.292786122861451698e-02j), (8.092752616736699489e-02+6.227413215532329183e-02j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (-2.144697742340374164e-03+7.032297293277363359e-02j), (-1.421776993388928212e-01-1.663598679360362709e-01j), (-2.502089802399126706e-01-4.927997482072910690e-02j), (2.144697738887618721e-03-7.032297293364787871e-02j), (1.082670442568697960e-01-3.704173916062224181e-02j), (-1.020934233519139867e-01-1.965816640937986248e-01j), (-1.266795497666503845e-01-1.326793081345009062e-01j), (-1.977420222558381735e-01-2.029040910758068694e-01j), (-2.471534755394343419e-01-4.345893997722685698e-03j), (6.260732276949366737e-01-3.115468664908058738e-01j), (-8.286441949514274097e-02+1.351827964843547725e-01j), (-1.878492234541393469e-01+9.854598007303141949e-02j), (-1.366185485700419366e-01+7.387241427428094254e-02j), (-7.891322325698885143e-02-3.812725444638107031e-03j), (1.594288642605471984e-01-1.582362070214977379e-01j)
