 (1.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (9.852101586297712377e-01+2.392897984665734966e-03j), (1.929835424688898168e-03+5.879121888521939010e-02j), (-9.999474026263237628e-03-1.803868404276168669e-03j), (1.478984137010067729e-02-2.392897984549731405e-03j), (-5.630914386769984847e-02-2.632560524871494639e-02j), (-4.849369920708892362e-02-3.504068044625258832e-04j), (-1.660249823271006675e-02-8.934455772027449783e-03j), (-1.277606977529067815e-02+7.217637810511815487e-03j), (-1.278670317714904019e-02-2.659869308808492788e-02j), (-4.824964274476394033e-02+1.984708604849993313e-02j), (7.360880494079712240e-03+1.536460430996723029e-03j), (3.377724580652052833e-02+5.212378763060127040e-02j), (6.989224330948561048e-02-3.450808412336491687e-02j), (-3.688383460217585508e-02+3.128142638813338067e-02j), (-4.268834087178475373e-02-3.219993084222878138e-02j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (-1.819312858555756016e-02+6.935130839879882769e-02j), (8.817513404360564078e-01+1.354651928055532750e-01j), (-9.843770019278944017e-02+4.267877115173428215e-02j), (1.819312858617932321e-02-6.935130839928364821e-02j), (-1.116321499646942550e-01+8.999191361975186765e-02j), (-3.712257119374640785e-02+9.076538045501147955e-02j), (-1.210817729566579931e-01+8.094284171410853768e-02j), (-2.950105928836508143e-02+2.683866695902739283e-02j), (-6.702631261460910775e-03+7.078374968846846971e-02j), (-1.633049882354149218e-01+3.654145737646784936e-02j), (-2.457208227747648827e-02+9.024918152850740227e-02j), (-1.140000200613049408e-01+1.482936697290367263e-02j), (-8.274216313781643239e-02+1.040997243118875759e-01j), (-5.927433766134752868e-02+1.737330007265586174e-01j), (-4.528116680884718831e-02+1.446980953009730231e-01j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (-1.811471200363684239e-04+6.153567856902061005e-03j), (-4.393583618553699444e-02+7.957229851831996992e-02j), (9.068748669124238049e-01+2.199166486656912167e-01j), (1.811471198886042445e-04-6.153567857132561519e-03j), (-4.019560887740725869e-02+7.316479185628042836e-02j), (-8.316999084471796144e-03+4.098930262859405704e-02j), (-5.986489711992215579e-02+1.252682474132071067e-01j), (-6.324311790535172562e-02+1.491039847366635966e-02j), (-3.257891412419591792e-02+7.544739231957503511e-02j), (1.812571332274114794e-02+8.506476784266012170e-02j), (-8.313050505555483194e-02+9.381160714824596236e-02j), (-1.184754757546197801e-01+9.855711736939261336e-02j), (-4.586899393686329207e-02+7.805294150764049976e-02j), (-5.186533033261173098e-02+1.097469487515842224e-01j), (-1.083707151251361023e-01+1.436590544730676974e-02j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (1.478984137077281671e-02-2.392897985155214950e-03j), (-1.929835425271110181e-03-5.879121888534430407e-02j), (9.999474025928536611e-03+1.803868404682765301e-03j), (9.852101586297266067e-01+2.392897985616717748e-03j), (5.630914386772713220e-02+2.632560524986531439e-02j), (4.849369920912121462e-02+3.504068051875101376e-04j), (1.660249823336530997e-02+8.934455771262462750e-03j), (1.277606977537048584e-02-7.217637811006776330e-03j), (1.278670317889719910e-02+2.659869308787109893e-02j), (4.824964274433017619e-02-1.984708604776916005e-02j), (-7.360880492327023968e-03-1.536460430570811336e-03j), (-3.377724580702957252e-02-5.212378762940316629e-02j), (-6.989224330776802607e-02+3.450808412346485776e-02j), (3.688383460145908815e-02-3.128142638651917884e-02j), (4.268834087095076113e-02+3.219993084212347673e-02j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (5.133742837214979454e-02-9.811561790490821999e-03j), (-4.155919274162407639e-02+7.792773471604946822e-02j), (-6.034488164598668380e-02+1.648856668667687472e-02j), (-5.133742837176816926e-02+9.811561791161250989e-03j), (9.074858605773581388e-01+1.291325616538783194e-01j), (-6.566758690296639611e-02+6.941730101466248026e-02j), (-1.371550775945709344e-01+9.916393445105094184e-02j), (-9.544078787365356531e-02+1.096480350764467565e-01j), (-5.258130162427927801e-02+8.774601891821171007e-02j), (-1.490527381519350936e-01+3.045290510674199258e-02j), (-1.268387569378724711e-01-1.351926703166533850e-02j), (-9.466270057370476665e-02+1.363044393304308106e-02j), (-1.091200929480428683e-01+6.370155730900076314e-04j), (-4.365599777999389780e-02+1.666292154684066024e-02j), (1.947795971703461873e-02+1.010608179299608278e-01j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (3.162248166710787678e-02+6.965152275040725066e-03j), (-9.643148911590361527e-02+9.734743042587382100e-02j), (-1.015671891421140310e-01+1.796422001242500843e-02j), (-3.162248166736657956e-02-6.965152274920743784e-03j), (-5.038272013234025570e-02+9.510972921836982619e-02j), (9.203099154269298587e-01+1.043867404465593229e-01j), (-1.029071068315212112e-01+1.041463818883671399e-01j), (-4.033492680486517462e-02+5.339331035140108817e-02j), (-1.284531868416985967e-01-4.998696732131606597e-03j), (-2.478373579606262152e-03+3.509296639978059379e-02j), (-6.655428562461720987e-03+9.902477974762390056e-02j), (-2.171796510476061912e-02+1.372689878467620583e-01j), (-5.636273003138954352e-02+4.870789483724938945e-02j), (-1.140802188758382185e-01+2.480395737887616803e-02j), (9.011444511645648123e-03+8.328310751910905640e-02j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (1.753803929155307514e-02+1.701914389983803788e-02j), (-2.907542211045579736e-02+9.161964094433978911e-02j), (-6.887923115010169406e-02+1.186388477920109624e-01j), (-1.753803929145260690e-02-1.701914390021648169e-02j), (-1.438072864115991917e-02+1.302512984999629198e-01j), (-2.393448295954134566e-02+1.220772889565016617e-01j), (9.074831611674083476e-01+7.339773827018901409e-02j), (-1.145370940806346022e-01+1.125075231578771956e-01j), (-7.460285054214736700e-02+8.673071560449083228e-02j), (-6.049933181473280547e-02+3.517647690296490937e-02j), (-1.046154081614325410e-01+5.735657291935555846e-02j), (1.330691370980036092e-02+1.839660071623481705e-02j), (-1.234303231077001628e-01+6.537682451079140922e-02j), (-6.180055287020032317e-02+1.100783412576026091e-02j), (-5.448138858668762075e-02+1.557434832124654500e-01j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (4.838245601032627879e-03+2.018194493308177184e-02j), (-9.068031635291021186e-02+2.918539242233950115e-02j), (-4.452744726994616042e-02-5.942733754547470035e-03j), (-4.838245600715510020e-03-2.018194493346159649e-02j), (-3.116020478240984562e-02+1.524104017990950410e-01j), (-7.641276695284394960e-02+4.419483288155005157e-02j), (-6.080808900915906159e-03+1.040297369145504885e-01j), (9.214007487796265217e-01+1.490505828484030015e-01j), (-2.908360724785111900e-02+4.001539203162914754e-02j), (-5.866014828876443300e-03+1.014866930799103728e-01j), (-9.947637166168429856e-02+1.275964286312308849e-02j), (-7.716526791948112585e-02+9.870978130650097382e-02j), (-9.156490369449715727e-02+5.920999741844436282e-04j), (-1.327028233920699574e-01+8.171122120668074251e-02j), (-1.173189909419736741e-02+5.150627934571647831e-02j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (-4.267480880828077722e-03-2.571089965135912175e-02j), (-1.226889994477271539e-01+9.030887257226358211e-02j), (-9.041290516464901839e-02+6.273253486714547300e-02j), (4.267480880475373745e-03+2.571089965104709010e-02j), (-5.804108000451060900e-02+1.282114656338108061e-01j), (1.485352743916536385e-02+2.097470792631408315e-02j), (-4.510996891159215622e-02+9.176820655296459572e-02j), (-7.721862545207419659e-02+3.920058271568366282e-02j), (9.225007877343898155e-01+1.527642734734721008e-01j), (-6.307193834343066685e-02+8.353749710070718093e-02j), (-5.682062806643452257e-02+6.314066983259733479e-02j), (-2.054936555204720655e-02+8.098708524994463476e-02j), (6.354025164688430205e-02+7.162708346031934625e-02j), (-1.036610360134242598e-01+2.870642987199280294e-02j), (-2.988419197871899566e-02+6.141533042936650477e-02j)
 (-0.000000000000000000e+00+0.000000000000000000e+00j), (2.826238334653976766e-02+3.685331218796118746e-02j), (1.626689393023129926e-02+9.051591583577373035e-02j), (-1.498386130145901718e-01+6.041003288743136690e-02j), (-2.826238334600007437e-02-3.685331218753246790e-02j), (1.743039110696768118e-02+7.477693928262381384e-02j), (-1.074285753483593259e-01+4.619931833401125926e-02j), (-6.287417300897467365e-02+3.127831018505711214e-02j), (-1.206648397923281574e-01+1.123857573012876504e-01j), (-4.699413433830233050e-02+1.028075031266928036e-01j), (9.010909823705267607e-01+1.733400105047913642e-01j), (-2.563410951837869628e-02+3.234261375945273603e-02j), (-1.279363927807267154e-01+1.105866728454195785e-01j), (-3.546475159410162475e-02+2.390304250844163363e-03j), (-1.097035985617454169e-02+1.445008745553623963e-01j), (-5.944789940689116682e-03+4.522374979535302708e-02j)
