 (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.728855826639421517e+06-1.737912335716802433e-05j), (-1.600881795960110612e+06+2.412294262688818853e+06j), (-2.336451735326981870e+05+3.520823564682959579e+06j), (-1.728855826595200459e+06+1.428889879165832000e-05j), (1.323566028563104803e+06-2.641086350621119607e+06j), (-2.891475527749814093e+06-1.043440610709835426e+06j), (1.396588212663272396e+06-1.437649995742475148e+06j), (1.808868244680600241e+06-6.453592662079679576e+04j), (1.942326191581706749e+06-7.635862658927780576e+05j), (4.008741879398729070e+05-7.888738200821344508e+05j), (8.127864296561480733e+05+1.344798850526303053e+06j), (1.474423361844998784e+06+1.311763146854302846e+06j), (1.531806800557726296e+06-1.742477508891160833e+06j), (2.248512618591358420e+06+1.475889227151825326e+05j), (-4.049663719845342566e+05+3.498262584179987316e+05j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.600881795952677960e+06-2.412294262696538586e+06j), (6.877636532916956581e+06+5.978628592356036094e-06j), (4.808402304885735735e+06-6.775540287922567222e+04j), (1.600881795980873285e+06+2.412294262709316798e+06j), (-2.196077300046578981e+06+6.828333654553026427e+05j), (4.332824139985865913e+06-4.982751324075111188e+06j), (4.073812643741018604e+06+2.099121340129540768e+06j), (5.679014037221624516e+06-1.637198742309294874e+06j), (3.404671347527850419e+06+2.059897072813415201e+06j), (1.895575833454921376e+06+1.473844053149421467e+06j), (7.493683568821195513e+06-1.810909661361472448e+06j), (5.385081495784059167e+06+1.600958847531295847e+06j), (4.303619848175879568e+06+8.212746985460001742e+05j), (-1.191426930323532550e+06-1.236359148708754685e+06j), (-7.780525137538451236e+04-3.003325028643663507e+06j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.336451735684901651e+05-3.520823564704304095e+06j), (4.808402304868351668e+06+6.775540288103029889e+04j), (3.519956813676724210e+06-2.280653598091936083e-05j), (2.336451736099576810e+05+3.520823564749921206e+06j), (8.755036354703913676e+05-1.627466811291976133e+06j), (1.637474428638262907e+06+2.885829905222176458e+05j), (8.403473536034068093e+06-2.816037019948747009e+06j), (4.711437361705156043e+06+1.652868220957787940e+06j), (3.890750439383484423e+06-2.255284109586784150e+06j), (6.075169868057265878e+06-1.758716016944773030e+06j), (3.496694287878423464e+06-1.643402721585045336e+06j), (2.589431291702470277e+06+8.625199112793682143e+05j), (9.135064047502696514e+06-9.267364304173045093e+05j), (3.427368183019759133e+06-1.881441330345344031e+05j), (4.749063787346659228e+06+1.675976246691304492e+06j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.728855826601383975e+06-2.317273344576548078e-05j), (1.600881795962158125e+06-2.412294262766167521e+06j), (2.336451736376982299e+05-3.520823564850196708e+06j), (1.728855826596046332e+06+2.151936936937857747e-05j), (-1.323566028643439524e+06+2.641086350616920739e+06j), (2.891475527746873908e+06+1.043440610690627131e+06j), (-1.396588212715303060e+06+1.437649995632624254e+06j), (-1.808868244673189241e+06+6.453592655307334644e+04j), (-1.942326191575392382e+06+7.635862658014616463e+05j), (-4.008741878926297068e+05+7.888738199927043170e+05j), (-8.127864296636448707e+05-1.344798850579083897e+06j), (-1.474423361877099844e+06-1.311763147051348351e+06j), (-1.531806800683184294e+06+1.742477508904368151e+06j), (-2.248512618605713360e+06-1.475889227508241311e+05j), (4.049663720028161770e+05-3.498262583615149488e+05j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.323566028583963169e+06+2.641086350594468415e+06j), (-2.196077300029398873e+06-6.828333654527950566e+05j), (8.755036354745985009e+05+1.627466811278882902e+06j), (-1.323566028614689596e+06-2.641086350623602979e+06j), (1.264270773525797762e+07-2.002354857436015336e-05j), (6.299861166875806637e+06+4.651443514913237304e+05j), (7.280259189097860828e+06-7.214994430346291047e+05j), (3.937679484509000555e+06+1.680377818457466317e+06j), (2.566270792297780514e+06-7.105113321017108392e+05j), (9.686703931951036793e+04+2.090430676209609257e+06j), (7.081364619559438899e+06+2.879434788238094188e+06j), (2.583524840586497448e+06+4.170449242073253263e+05j), (5.708693076604305767e+06+1.188740001817049226e+06j), (6.213999975822634995e+06-6.157472740752946120e+05j), (1.925919746798118344e+06-4.614943124469437636e+06j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.891475527757171541e+06+1.043440610719403485e+06j), (4.332824140032275580e+06+4.982751324061658233e+06j), (1.637474428583350033e+06-2.885829904890154721e+05j), (2.891475527759110555e+06-1.043440610684658517e+06j), (6.299861166837661527e+06-4.651443515331938979e+05j), (4.750099534155485220e+06-3.733399441590504463e-05j), (6.831167863181316294e+06-3.139899953855121508e+06j), (4.473168671929417178e+06-2.803470796907193959e+06j), (4.593048403813071549e+06+5.496863343328244518e+05j), (4.700183225998737849e+06+4.332349577944198623e+06j), (6.655187355277591385e+06+1.463995924632510170e+06j), (4.863918767296708189e+06+1.367862637635958381e+06j), (3.467854100626160391e+06+3.042896586604423355e+06j), (7.718543793407652527e+06-6.834405277376124868e+05j), (-1.959580567655269057e+06-9.897721997700101929e+05j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.396588212677695090e+06+1.437649995723107131e+06j), (4.073812643751500174e+06-2.099121340145899449e+06j), (8.403473536079889163e+06+2.816037019933664240e+06j), (-1.396588212702786084e+06-1.437649995685637696e+06j), (7.280259189079821110e+06+7.214994429536674870e+05j), (6.831167863220743835e+06+3.139899953783510718e+06j), (1.107989499539095350e+07-5.507328776479309318e-05j), (3.276842121462158393e+06-1.151254987308006501e+06j), (9.045045780889607267e+05-2.159037965231848881e+06j), (4.020141847216925584e+06+3.164511892388652195e+05j), (3.947665532129333820e+06-5.313333957216942683e+06j), (2.100606087601390667e+06+4.205305761580446269e+05j), (4.122045902358912397e+06+5.876045651191183366e+06j), (3.816862012134738266e+06+1.577533091728922911e+06j), (3.400042588442108128e+06+1.719027163304205751e+06j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.808868244699263480e+06+6.453592660267593601e+04j), (5.679014037243121304e+06+1.637198742280832492e+06j), (4.711437361666146666e+06-1.652868220972228795e+06j), (-1.808868244667527499e+06-6.453592653334679198e+04j), (3.937679484477300663e+06-1.680377818410202395e+06j), (4.473168671896312386e+06+2.803470796886901371e+06j), (3.276842121436215937e+06+1.151254987303560833e+06j), (5.122933664514974691e+06+4.994991050924619437e-06j), (-1.438521497498590965e+06-1.157164386265694397e+06j), (1.003501293227805384e+07-6.952433276255192468e+05j), (2.552328707682568929e+05+9.129417263346163090e+05j), (7.603281325047272258e+05-4.899599899500068859e+05j), (1.959582445091073401e+06+7.332958776118645910e+05j), (3.485430756694227457e+06-6.563181752426604507e+05j), (2.975837765741240233e+06-6.763214393074992113e+05j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.942326191566781141e+06+7.635862658956160303e+05j), (3.404671347510935739e+06-2.059897072825193172e+06j), (3.890750439372436143e+06+2.255284109528348781e+06j), (-1.942326191571364412e+06-7.635862658756881719e+05j), (2.566270792271025013e+06+7.105113320391784655e+05j), (4.593048403785365634e+06-5.496863343536161119e+05j), (9.045045780776691390e+05+2.159037965197939426e+06j), (-1.438521497520934092e+06+1.157164386253651930e+06j), (9.357234134020676836e+06+7.339187493949143002e-08j), (7.147272427865469828e+06-2.044706866215757094e+06j), (5.756716792739490978e+06+1.028022914663157426e+06j), (9.923529453303731978e+06+6.996818737487829057e+05j), (4.327445781655889004e+06+5.851234108913909877e+05j), (6.808184790187437087e+06+2.154120941705395468e+06j), (7.133211096858704463e+06+8.606182489842028590e+05j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (4.008741879020357155e+05+7.888738200350935804e+05j), (1.895575833444604184e+06-1.473844053113664500e+06j), (6.075169868064652197e+06+1.758716016923171934e+06j), (-4.008741878882398596e+05-7.888738200118293753e+05j), (9.686703927836561343e+04-2.090430676231661113e+06j), (4.700183225990385748e+06-4.332349577980870381e+06j), (4.020141847196558956e+06-3.164511892475555651e+05j), (1.003501293232720159e+07+6.952433276927457191e+05j), (7.147272427833913825e+06+2.044706866210228298e+06j), (8.387540314859212376e+06+1.845323686563881869e-05j), (2.447050995522966608e+06+1.190760119395619025e+06j), (2.998077974461082835e+06+3.929898233520219568e+06j), (1.912760554580956697e+06-2.226713489003805444e+06j), (5.960153568376787938e+06-1.550042093276190339e+06j), (3.259586664200475439e+06+1.832476035148248309e+06j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (8.127864296750813955e+05-1.344798850535641424e+06j), (7.493683568848488852e+06+1.810909661356806289e+06j), (3.496694287856364623e+06+1.643402721584954765e+06j), (-8.127864296922264621e+05+1.344798850543440785e+06j), (7.081364619599062018e+06-2.879434788256211206e+06j), (6.655187355176146142e+06-1.463995924631201196e+06j), (3.947665532148261089e+06+5.313333957200127654e+06j), (2.552328707926979987e+05-9.129417263694866560e+05j), (5.756716792767585255e+06-1.028022914680647082e+06j), (2.447050995483859442e+06-1.190760119451702572e+06j), (1.023037435002413206e+07+8.696855507815441850e-05j), (2.284019844905806240e+06+3.201839656506652012e+06j), (5.113852113373758271e+06-2.631335560692734085e+06j), (4.922182647090530023e+06+2.400918128385027405e+06j), (6.100443195220994763e+06-1.010344915841669310e+06j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.474423361867325380e+06-1.311763146885042777e+06j), (5.385081495742125437e+06-1.600958847582709976e+06j), (2.589431291668540332e+06-8.625199112688848982e+05j), (-1.474423361823722022e+06+1.311763146948394598e+06j), (2.583524840594342910e+06-4.170449242580512073e+05j), (4.863918767255058512e+06-1.367862637598799076e+06j), (2.100606087583734654e+06-4.205305761597587261e+05j), (7.603281325120335678e+05+4.899599899845231557e+05j), (9.923529453342568129e+06-6.996818737216440495e+05j), (2.998077974484061357e+06-3.929898233509786427e+06j), (2.284019844986235723e+06-3.201839656524115708e+06j), (1.375839749589891918e+07-7.105786632420529251e-05j), (6.603800861811143346e+06+1.524251382637498609e+05j), (5.169452994175933301e+06-4.327925865236816928e+06j), (6.684386520383445546e+06+1.515620413625984453e+06j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.531806800537136383e+06+1.742477508895171573e+06j), (4.303619848142031580e+06-8.212746985730286688e+05j), (9.135064047534003854e+06+9.267364303461197997e+05j), (-1.531806800617487403e+06-1.742477508905694820e+06j), (5.708693076663758606e+06-1.188740001892013941e+06j), (3.467854100647738203e+06-3.042896586617805064e+06j), (4.122045902340677101e+06-5.876045651193040423e+06j), (1.959582445140570402e+06-7.332958776044438127e+05j), (4.327445781673680060e+06-5.851234108905059984e+05j), (1.912760554575318005e+06+2.226713489044782240e+06j), (5.113852113324752077e+06+2.631335560711136553e+06j), (6.603800861820131540e+06-1.524251383464090759e+05j), (4.655970347970414907e+06-7.545276081816762050e-07j), (4.658746364486596547e+06-5.402657462655742653e+06j), (5.428815560677172616e+06-3.145707578332390636e+06j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (2.248512618557395414e+06-1.475889227442138363e+05j), (-1.191426930327811511e+06+1.236359148721693084e+06j), (3.427368183016661555e+06+1.881441330513907888e+05j), (-2.248512618578955065e+06+1.475889227305238310e+05j), (6.213999975839225575e+06+6.157472740674158558e+05j), (7.718543793390622362e+06+6.834405276463985210e+05j), (3.816862012097892817e+06-1.577533091705250554e+06j), (3.485430756696041208e+06+6.563181752075399272e+05j), (6.808184790152954869e+06-2.154120941674187314e+06j), (5.960153568302822299e+06+1.550042093252052786e+06j), (4.922182647080879658e+06-2.400918128384429961e+06j), (5.169452994100980461e+06+4.327925865233615041e+06j), (4.658746364487474784e+06+5.402657462736829184e+06j), (7.819790157588939182e+06+2.389139639652056667e-05j), (3.625678388481883332e+06+6.080931798090795055e+05j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-4.049663719722872484e+05-3.498262584293306572e+05j), (-7.780525136320773163e+04+3.003325028640626930e+06j), (4.749063787355427630e+06-1.675976246682291152e+06j), (4.049663719801158295e+05+3.498262583749150508e+05j), (1.925919746847836999e+06+4.614943124454059638e+06j), (-1.959580567667773226e+06+9.897721997860693373e+05j), (3.400042588458235376e+06-1.719027163297489518e+06j), (2.975837765792485792e+06+6.763214393178428290e+05j), (7.133211096857989207e+06-8.606182490204708884e+05j), (3.259586664190643933e+06-1.832476035132349934e+06j), (6.100443195165146142e+06+1.010344915917953709e+06j), (6.684386520374512300e+06-1.515620413535557920e+06j), (5.428815560692554340e+06+3.145707578249345534e+06j), (3.625678388472616207e+06-6.080931798499330180e+05j), (2.179321833931934088e+06-9.958194819903747474e-07j)
