,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0
0.0,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0.5,(0.45243248250222534-0.0131209495279049j),(0.5475669083367084+0.013122197358007553j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
1.0,(0.08500657639694026+0.0036152026342324665j),(0.45243248250222534-0.0131209495279049j),(0.5475669083367084+0.013122197358007553j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
1.5,(0.10868689907992393+0.019557538739719965j),(0.1463325138379008-0.008712028963022164j),(0.3213650526719668+0.0010470947062295498j),(0.22620326057137133+0.012075526466996878j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.0,(0.15646746613312404-0.010275473233391523j),(0.0908510496074307+0.030114611962608163j),(0.16614227912338442-0.026424523442876095j),(0.16334188837034122-0.013773631857209586j),(0.06286324908811185+0.02584862485960357j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.5,(0.1142315943881619+0.028370545198495533j),(0.1934364568254199-0.0324976827854435j),(0.09332667458545651+0.015049074398246045j),(0.1333829882769486-0.027268070885225256j),(0.06891770402645156-0.006663991519070572j),(-0.006053155542185567+0.03251194249474073j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3.0,(0.13967848190552565-0.026925164806327003j),(0.12234768585776742+0.01578269908177052j),(0.17414489831317242-0.03952172393706511j),(0.07854056520974491+0.0014643744192868943j),(0.07726868340074003-0.01952170000485348j),(0.017187288340850048+0.00219071373720624j),(-0.023239759432392783+0.030320675136314548j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3.5,0j,(0.15491633233102894-0.04358946116818424j),(0.10894826032289147+0.0017239523437347012j),(0.12109324716470075-0.03589404611018934j),(0.04952795454681425-0.005477589532387838j),(0.032041741331650206-0.006746245609560738j),(-0.002871810938577664+0.007499218265338213j),(-0.02036767626255251+0.02282113707337288j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
4.0,0j,0j,(0.13728649939106596-0.05257234191093036j),(0.07825118178194365-0.00786548629660437j),(0.06795445868052302-0.022621047193450153j),(0.024221394859001235-0.005404180515484431j),(0.00519770278374793+0.00435273638163821j),(-0.00753281441937929+0.008658977948931426j),(-0.01283479699591059+0.014162028953072035j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
4.5,0j,0j,0j,(0.10085691194292372-0.04744094532804491j),(0.04709510116737186-0.009616748725275159j),(0.02813970066870847-0.007309014010336881j),(0.007161768831018931-0.0016894446265120037j),(-0.005762844829170577+0.010166175633487831j),(-0.006183726487750972+0.0070485464197715545j),(-0.006651079748126683+0.007113465007459313j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
5.0,0j,0j,0j,0j,(0.06083580820237852-0.03321750992778933j),(0.022104213382779285-0.006156783934223392j),(0.005256407878255856+0.004448181933371383j),(-0.0011787610073678298+0.0018549131897727424j),(-0.007540198662767335+0.010953092137370854j),(-0.003695427993337598+0.004564262086627136j),(-0.00295567296627193+0.0025492319439516403j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
5.5,0j,0j,0j,0j,0j,(0.028874434886031464-0.01611974021760031j),(0.006467476054652465-0.0013174008605161347j),(-0.00452727774239915+0.010626675295349147j),(-0.0036776645140201604+0.003727019805424752j),(-0.0056543105034489545+0.008660995437412744j),(-0.001793941155782657+0.002359434399213232j),(-0.0011617451915539455+0.00018983398966446126j),0j,0j,0j,0j,0j,0j,0j,0j,0j
6.0,0j,0j,0j,0j,0j,0j,(0.008589939849206201-0.0016298356373535543j),(-0.0012017705785623443+0.0025457918464229083j),(-0.006538137767642751+0.011745156624106681j),(-0.0033051242664542363+0.003849547222673623j),(-0.00326659145876666+0.005419629441324324j),(-0.0007296311418384961+0.0008816061482604686j),(-0.000432118725776521-0.0006917446028524289j),0j,0j,0j,0j,0j,0j,0j,0j
6.5,0j,0j,0j,0j,0j,0j,0j,(-0.0012609017938325614+0.007387007128873197j),(-0.00359607436073193+0.004405354355119249j),(-0.005212258238976097+0.009723716931611075j),(-0.0021016614323859074+0.002951339448226058j),(-0.0015706325670664164+0.0026043680219007097j),(-0.00025695624348185005+0.00010090271134534055j),(-0.00017516253492459187-0.0007926314355150626j),0j,0j,0j,0j,0j,0j,0j
7.0,0j,0j,0j,0j,0j,0j,0j,0j,(-0.004243761455686176+0.010846241712012166j),(-0.003336795404438809+0.004497492719394017j),(-0.003210568726911253+0.006523987011640455j),(-0.0010522293661318872+0.001779634083910027j),(-0.0006734929184309044+0.0007498137566477629j),(-9.022798830044309e-05-0.0001983077736278287j),(-8.493339238016348e-05-0.0005943166241707588j),0j,0j,0j,0j,0j,0j
7.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.003855722324476981+0.010277867433161138j),(-0.002226695834881639+0.0035390309311524024j),(-0.0016664665558900579+0.003521463227819441j),(-0.00042113456101667505+0.0008043125469517433j),(-0.00030265183021122716-0.00018513937083421402j),(-4.374434353916164e-05-0.00023969373685817934j),(-4.118827480397633e-05-0.00035462088732037456j),0j,0j,0j,0j,0j
8.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.002484710169881147+0.007679611229241472j),(-0.0011880404937195499+0.002259323153331162j),(-0.0007893872709412755+0.0013572447569730126j),(-0.0001374836264281132+0.0001877102777189661j),(-0.0001778388682549547-0.00048697627443802316j),(-2.9815355080420557e-05-0.0001809894605905268j),(-1.1372816787824076e-05-0.00017363160158694282j),0j,0j,0j,0j
8.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.0013031354561956457+0.004677381836198146j),(-0.0005195265472148463+0.0011373695429075978j),(-0.00040021973745393705+0.00011645459760013006j),(-4.853406910876042e-05-0.00010486541049332577j),(-0.00013013764099006122-0.0004586752368543524j),(-1.9616058213410997e-05-0.000107255418281731j),(8.242922836507227e-06-6.637692861442803e-05j),0j,0j,0j
9.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.0006278785610790955+0.002216886774132373j),(-0.00019351993947366712+0.0003719617209476716j),(-0.0002601025188505792-0.00040860394771258566j),(-3.5170383795876655e-05-0.0001845593284107799j),(-9.22264668665148e-05-0.0003165426838388226j),(-9.247253484767886e-06-5.157437100276979e-05j),(1.748974618561486e-05-1.4803203684895328e-05j),0j,0j
9.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.0003592104257348388+0.0006196786480205028j),(-7.876459711780528e-05-3.8313029631901266e-05j),(-0.00020419366968794497-0.000501812383947454j),(-3.560695620033012e-05-0.0001598866576538824j),(-5.273321603865346e-05-0.00017594237592414506j),(-1.0027316120032448e-06-1.8985075282880047e-05j),(1.849212431856316e-05+4.181481735464309e-06j),0j
10.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.000294257941121253-0.00019157984366158638j),(-5.618428621791351e-05-0.0001902956398910266j),(-0.00015773255845924025-0.00040021638899988385j),(-3.007951034121041e-05-0.00010431063291809194j),(-1.859083443015615e-05-7.81167574604705e-05j),(3.6390299080266937e-06-3.705895348570804e-06j),(1.4852876252249265e-05+7.887195173524333e-06j)
