-10.0,-9.5,-9.0,-8.5,-8.0,-7.5,-7.0,-6.5,-6.0,-5.5,-5.0,-4.5,-4.0,-3.5,-3.0,-2.5,-2.0,-1.5,-1.0,-0.5,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.45243248250222534-0.0131209495279049j),(0.5475669083367084+0.013122197358007553j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.20916954091982473-0.0054269191940575j),(0.20916954091982473-0.0054269191940575j),(0.3213650526719668+0.0010470947062295498j),(0.22620326057137133+0.012075526466996878j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.11983363238480219+0.0005147663264401352j),(0.11983363238480219+0.0005147663264401352j),(0.23724066213463121-0.03742239490572019j),(0.2693674034696971+0.03703263849159627j),(0.16334188837034122-0.013773631857209586j),(0.06286324908811185+0.02584862485960357j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.05235041063152133-0.00406521738479247j),(0.05235041063152133-0.00406521738479247j),(0.15978771250366014+0.0034950175757450797j),(0.212556876359101-0.036245962846668686j),(0.17803320319166965-0.008479140138169104j),(0.24284125537785545+0.03703366835284956j),(0.06891770402645156-0.006663991519070572j),(-0.006053155542185567+0.03251194249474073j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.027916403690363974-0.0054106890777044225j),(0.027916403690363974-0.0054106890777044225j),(0.08267549210559744+0.0025181483273855904j),(0.12274689153608839-0.011049820011192363j),(0.1825060304843522-0.017247154917629126j),(0.21318190342496274-0.029489110163113754j),(0.13086045840161603+0.0012351506785791312j),(0.17629452765214365+0.03244826923312033j),(0.017187288340850048+0.00219071373720624j),(-0.023239759432392783+0.030320675136314548j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.01642089318692365-0.0029080282346749197j),(0.01642089318692365-0.0029080282346749197j),(0.043785639344794854+0.0002232306334675623j),(0.06637677525322369-0.006935700480330478j),(0.13614007598969685-0.0033473749610329236j),(0.1617814251885068-0.02518681949946685j),(0.16795226834425575-0.013906923170739178j),(0.1743009499442885-0.016127498067158734j),(0.08946527022600424+0.010500109447250083j),(0.10318773105536751+0.025483020289763292j),(-0.002871810938577664+0.007499218265338213j),(-0.02036767626255251+0.02282113707337288j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.010067138114486174-0.001012487108840234j),(0.010067138114486174-0.001012487108840234j),(0.02415628946881613-0.0008883342261332659j),(0.03912025691989034-0.004627456754037268j),(0.08932608412575213-0.0001352132845407894j),(0.11307052343661486-0.014019531746005691j),(0.1524727027759802-0.016289278424109j),(0.17286225453976722-0.020991378497839164j),(0.13149160412392674-0.012144898721982746j),(0.1277128305716531+0.005545773786674287j),(0.05363448131735021+0.012389330200544823j),(0.047138353408460155+0.02065285327952698j),(-0.00753281441937929+0.008658977948931426j),(-0.01283479699591059+0.014162028953072035j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.006376516056711456+9.606925369375465e-05j),(0.006376516056711456+9.606925369375465e-05j),(0.014160421377035753-0.0004993687707535531j),(0.024198260918667003-0.0016491668342448714j),(0.056273706965717867+0.00027259635104939946j),(0.07261232863258661-0.00714455187131266j),(0.12242332093557506-0.009385369372820376j),(0.14159819529254133-0.0224493454690797j),(0.14406467894381284-0.0169522828065481j),(0.158237360183304-0.01323633185825783j),(0.09238221918040317-0.003490191647102256j),(0.08471584115046374+0.02146114457903675j),(0.027602531803545584+0.01142665805362986j),(0.012626618094426799+0.01740185352022322j),(-0.006183726487750972+0.0070485464197715545j),(-0.006651079748126683+0.007113465007459313j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.004074322196657799+0.0006438090380375104j),(0.004074322196657799+0.0006438090380375104j),(0.008538632111695373+0.0001515555952231818j),(0.015188000714180526+0.00035121909534944795j),(0.03557256055949579+0.0004440210726693464j),(0.04686621447882315-0.003819146164157446j),(0.08709615338099626-0.0035688573627711386j),(0.1069095701208719-0.015507987078040906j),(0.132397836944917-0.01739161314182472j),(0.1509563836234058-0.023064049818510547j),(0.11992020773789423-0.012912572727507513j),(0.12973590849774977-0.001734753767750886j),(0.05786695171000577+0.004943138864611002j),(0.051577734165355375+0.02842190659320896j),(0.010673401652182455+0.009548582232605608j),(-0.0038126752306386446+0.014359158092732275j),(-0.003695427993337598+0.004564262086627136j),(-0.00295567296627193+0.0025492319439516403j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0025845863516458832+0.0008305211700592477j),(0.0025845863516458832+0.0008305211700592477j),(0.005251651797406163+0.0005737013774583015j),(0.009608458467543568+0.0013763993599085846j),(0.02290818873440829+0.00108075818031518j),(0.03082946748992758-0.0009281917395190159j),(0.05926748411983015-0.0008211298807899144j),(0.07536876927638123-0.008571035808462414j),(0.1098385588940169-0.01207627027894128j),(0.12763066696953243-0.021980486456952542j),(0.12784569808920246-0.018647711391686514j),(0.14047610475091424-0.01735478758014123j),(0.09201994430381587-0.00479214350457729j),(0.09501591977503183+0.008984410911050721j),(0.03300310368706944+0.010645670770180653j),(0.02778629984509272+0.027774802190372587j),(0.001506502158598454+0.007514398766425958j),(-0.008816594936811233+0.011011595632918142j),(-0.001793941155782657+0.002359434399213232j),(-0.0011617451915539455+0.00018983398966446126j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0016114439785095+0.0008189135780902736j),(0.0016114439785095+0.0008189135780902736j),(0.003259102521085201+0.0007687171637756912j),(0.006059181228600117+0.001757314722623632j),(0.014885010667423851+0.0017120313931166065j),(0.020311742219266075+0.0010852905333579616j),(0.03978455253651695+0.0008487830231037082j),(0.052007290508756056-0.004039339299545771j),(0.08376108896999233-0.006263506156107556j),(0.10068691855066937-0.016223520404279716j),(0.1188292111082651-0.017781010976372844j),(0.13444156132279664-0.0232310089505903j),(0.11100663855348068-0.01474953969436686j),(0.11899700799830636-0.006876239892593956j),(0.06477546554637598+0.002948605556799438j),(0.06263784556326453+0.016840987949844195j),(0.016740109775441752+0.012750574272729586j),(0.012049741355005018+0.022759717986266914j),(-0.0023420221393309353+0.005610799195406108j),(-0.008204942394078586+0.007538470428529761j),(-0.0007296311418384961+0.0008816061482604686j),(-0.000432118725776521-0.0006917446028524289j),0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0009787864947616008+0.0007150971763018286j),(0.0009787864947616008+0.0007150971763018286j),(0.0020126739409420417+0.0007950629769916666j),(0.0037676476166825933+0.001749973666863222j),(0.009697625487423834+0.002042045283723479j),(0.013348447278508233+0.0021462699792537303j),(0.026632460532039073+0.0019867004647279645j),(0.035840785539298765-0.000713924806689374j),(0.060914275166162685-0.0022958560860089935j),(0.0754673195197628-0.009619581752805213j),(0.1012448647310217-0.013493321500561485j),(0.11685070474678354-0.02154587648155603j),(0.11592487267944021-0.01920404629509419j),(0.127530917081555-0.018467792413961893j),(0.08924461234075463-0.007675376168034231j),(0.09253630659034193+0.004511091768798611j),(0.04207126452116074+0.008430659075312671j),(0.036653686380671596+0.020918937619689642j),(0.00710491768825285+0.011894912234365904j),(0.002587268891640948+0.016472135599186283j),(-0.0031531120257933896+0.003890988364506462j),(-0.005774603620367483+0.004437514537116087j),(-0.00025695624348185005+0.00010090271134534055j),(-0.00017516253492459187-0.0007926314355150626j),0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,(0.0005734839790808301+0.0005808233848559414j),(0.0005734839790808301+0.0005808233848559414j),(0.0012233389984867657+0.0007219837833311275j),(0.0022897631762110867+0.00154564586950103j),(0.00630006174646826+0.002090602837587152j),(0.008708749674929088+0.002531244299434053j),(0.01776950003962448+0.002679752315947799j),(0.024545566893696136+0.0015309782932733556j),(0.04329632055827091+0.00034801878904302413j),(0.054895116312633434-0.004515961065387372j),(0.08071443205821341-0.008071011852342422j),(0.09545766498116277-0.01641926975859272j),(0.10862352556037227-0.018325920308174926j),(0.12231154586097367-0.02282199792838037j),(0.10344829488762147-0.015826247326486458j),(0.111593147316478-0.009770680403218398j),(0.06655411979365676+6.48973666443959e-05j),(0.06664595024911113+0.013563045979753318j),(0.02479510522955482+0.01124366048291436j),(0.01836772200752515+0.021239172841771358j),(0.0018621983324181499+0.009469298702578625j),(-0.0022802607734583114+0.010763380074232031j),(-0.002622263638598155+0.002437776309896072j),(-0.0034156591263524425+0.002081649000753601j),(-9.022798830044309e-05-0.0001983077736278287j),(-8.493339238016348e-05-0.0005943166241707588j),0j,0j,0j,0j,0j,0j,0j
