(-0.00015372713970218907-7.501434846166372e-06j),(-6.043727219848827e-05+3.0178435374961084e-05j),(-0.0005048408469451897+0.000696440442808138j),(-0.00010354449853865201+0.00038089941802202517j),(0.00017225246541512256+0.0022499244121998684j),(0.0003510694498520001+0.0011182689467881448j),(0.0021888541109313197+0.004005642001710215j),(0.0017052860853659828+0.0020914436623842895j),(0.0060651043598241045+0.005723162133930007j),(0.004434769662595631+0.0029996226857171137j),(0.012096488426638132+0.006582609578687637j),(0.008847343542212708+0.0033149086402600586j),(0.019857125388003213+0.005856081768905262j),(0.01489696880590167+0.002526112415772269j),(0.028484573357767703+0.0033230685033213366j),(0.02219489963957421+0.00036866896931563297j),(0.036906200126085434-0.0006760775180617838j),(0.03007275923778347-0.0030098674887565546j),(0.044072182994108755-0.005279765966646775j),(0.03773127004080122-0.0069941979014679434j),(0.04917578342049169-0.009354169452649407j),(0.04438905350742367-0.0106312898266487j),(0.051737644141540404-0.011848173200511803j),(0.049372539343984334-0.012891320495720377j),(0.05158729482636562-0.012109556588110115j),(0.052143808848372185-0.01298739162226942j),(0.04880619025872935-0.010072536161911767j),(0.05228703147452487-0.01063200642671089j),(0.043686399028580875-0.006272299900617059j),(0.049564582694026624-0.006132542025568407j),(0.03671739798009237-0.00168674932197745j),(0.04406504576419028-0.0003961749848399414j),(0.02858938676937558+0.0025621833551508627j),(0.03621881670511284+0.005212947781663661j),(0.02018991056932949+0.005539217555368411j),(0.026788060552197308+0.009412103515585524j),(0.012495242043770798+0.006726051559295229j),(0.017114988774170205+0.011420307957281873j),(0.006318222365841963+0.006164903186457415j),(0.008760232600528075+0.010803261389483967j),(0.002137370523459865+0.004473179870799914j),(0.002540752135428762+0.007991769465427151j),(3.2934728988511e-05+0.0024863407559884885j),(-0.0009663752665672794+0.004637433482931229j),(-0.0005016844769228935+0.0008531657685952432j),(-0.0014826126166341746+0.0016997629687756069j),(-0.00032902569519712154+3.3903896577253145e-05j),(-0.0007759626996520045-0.00037620871158381824j)
0j,(-0.00021416506612834438+2.2676245932373686e-05j),(-7.658163568654475e-05+5.509860978635408e-05j),(-0.0005318113712768411+0.0010222403341019958j),(-6.054739104990323e-05+0.0005258130748406726j),(0.0005838472098679575+0.00284239536349094j),(0.0006391539707729636+0.0013810047271930075j),(0.0032549612386863877+0.004716133865361596j),(0.0024467773024284055+0.002403624348704045j),(0.008053085985203814+0.006319266260823982j),(0.0058487848717988+0.0031915120998374483j),(0.015095075370263692+0.006706179584202793j),(0.011061775368654788+0.0031468043043267986j),(0.02369241795493244+0.005235631498415768j),(0.01790411373836752+0.0017927988475119365j),(0.03277554983871648+0.0018992345404961863j),(0.02583253702817745-0.0010054609158256281j),(0.0411467092323427-0.0026801528242516802j),(0.03404747250678221-0.00487983045175888j),(0.047756351790313144-0.007393787634996645j),(0.04168127734095638-0.008981544969321813j),(0.05188398714600034-0.01100357224499207j),(0.04793860327522816-0.012207144984486966j),(0.053172026202449506-0.012532023281858857j),(0.0521506526522002-0.013535370683714507j),(0.05158087603668475-0.011561277461533343j),(0.053768358297170464-0.012344378736175792j),(0.04732523371602631-0.008359895726265054j),(0.052417565563142-0.008607728937277768j),(0.04083371015603487-0.0037968821407944526j),(0.048030278332185615-0.003022695109003427j),(0.03275237764186203+0.0009399585696373261j),(0.040838424605758226+0.003071812065395276j),(0.023969916122956545+0.00470345845304032j),(0.031446587300929064+0.008262482289766018j),(0.015531461523983506+0.006688932555526865j),(0.021216070791967554+0.011452087382422992j),(0.008394203149788886+0.006694329474212272j),(0.011817790282822656+0.011744422045103328j),(0.003260692807826113+0.005223769777951209j),(0.004239526077708684+0.00934154678399556j),(0.0004386129926270165+0.0031234151450544104j),(-0.00044002085187742614+0.005941364154844353j),(-0.0004934057533687305+0.0011824258882397456j),(-0.0015547821625050437+0.0024415653873342625j),(-0.000429502447616556+0.00011137320031168467j),(-0.0011049964190800404-0.00034229787882221994j),0j
0j,0j,(-0.0002907477650786321+7.777396486743062e-05j),(-9.277295927673835e-05+9.244373395182824e-05j),(-0.0004995960542056266+0.001455610009077964j),(2.4100990968111348e-05+0.0007024489891357679j),(0.0011988752990094607+0.0035209737319464077j),(0.0010373573443417338+0.0016589257669210361j),(0.004664357665115749+0.005460899235773244j),(0.00339049222567418+0.0026832906227054845j),(0.010511375955515814+0.0068276161569062535j),(0.007554003901291063+0.003262659400384775j),(0.018602897155658403+0.006590527736109872j),(0.013625461985966227+0.0027628772141622846j),(0.0279712043831524+0.00426582392141244j),(0.021271852069039265+0.0007737000278607154j),(0.037336468730799585+0.00012039482709289668j),(0.02977737064421977-0.0026593189307003626j),(0.04541714295155006-0.00490031383578004j),(0.038223847246076956-0.006905723791822245j),(0.05121419151056533-0.009469251326827403j),(0.045696998193333754-0.010894148876326856j),(0.05412604387001456-0.012316221877343353j),(0.051380747762135165-0.013435845507706599j),(0.05394238189569418-0.01263122543690307j),(0.054576002125231955-0.013578026341327208j),(0.050773641187529715-0.010327338484883713j),(0.05476718423806624-0.010903883012602198j),(0.044975952227414503-0.006063487616158716j),(0.051724655303156425-0.005805812128042621j),(0.037139585398370055-0.0010135549806304443j),(0.04545997205747075+0.0005141667735255067j),(0.02813099826773051+0.003497763527350074j),(0.03638624271715041+0.006602079966761397j),(0.019030358200741105+0.006363971900064362j),(0.025831117201528923+0.011053505451945079j),(0.010916469879954677+0.007087584183395659j),(0.01548293530556019+0.012450794626672231j),(0.004729092217072083+0.0059879893788410896j),(0.0064560558563801496+0.010711207316006567j),(0.001044181975839879+0.003854123720520465j),(0.00042482245696108626+0.0074637278785741005j),(-0.0004262113825921061+0.0016010689693872601j),(-0.0015010545476919145+0.0033896091793933817j),(-0.000547115756156143+0.0002343913235449749j),(-0.001534508108227683-0.00023091386030219213j),0j,0j
0j,0j,0j,(-0.00038352236671517165+0.00017021670738290052j),(-0.00010696589073659416+0.00014592047053884035j),(-0.0003685425037128187+0.0020121407606886054j),(0.00016103372982935227+0.000911494042929953j),(0.0020751708947848806+0.0042684367979889575j),(0.0015586840050211795+0.001950734529699839j),(0.006496142311088416+0.00619353886189587j),(0.004556767696323775+0.0029225260391635985j),(0.013508619367467034+0.00716790676876063j),(0.009573781984516685+0.0032053627553935726j),(0.022654654686055126+0.006148279057757956j),(0.01657107684427172+0.002161001249627145j),(0.032672153915741534+0.00287882498466142j),(0.0250297488031845-0.0005190794584356955j),(0.042084371112225134-0.0020194961660520558j),(0.03405037021971998-0.004542435906118995j),(0.0495909982166301-0.007263231672213259j),(0.04261720324190394-0.008997026551086073j),(0.054294432483179646-0.011366006149043342j),(0.04975859964521278-0.012627875817726534j),(0.055748661473122255-0.013123844438749777j),(0.05460547086086221-0.014193372095829064j),(0.05391335837697134-0.012015563799257004j),(0.05648902411640699-0.012855605451684732j),(0.049052183256948094-0.008375337699667692j),(0.055011492979525484-0.008611359912911799j),(0.041689410883022186-0.0032577060829545763j),(0.0499511857850254-0.0023961626410192714j),(0.032648575442677415+0.0018969562843147434j),(0.04150968849400059+0.004413027975263465j),(0.023007674157651797+0.005686946762492404j),(0.030926127130570632+0.010139804970307139j),(0.013935417886002693+0.007277757085407913j),(0.01978855592999563+0.01281436862612549j),(0.006610890575723489+0.006724049515024206j),(0.009275224536117626+0.012030075035139884j),(0.0019099451980906664+0.004669139023929129j),(0.001738512475935021+0.00919477587349767j),(-0.00026948292442928695+0.002123094811642317j),(-0.0012489806720150255+0.004569411274749795j),(-0.0006782615400114859+0.00042127399884028935j),(-0.0020816339367183633+3.4936753944282798e-06j),0j,0j,0j
0j,0j,0j,0j,(-0.000490490705028636+0.0003161361529721458j),(-0.00011688810089680762+0.00022091980052776593j),(-9.06379418878596e-05+0.0027027198898689573j),(0.00036219034916324354+0.0011615214007169143j),(0.0032716314492268086+0.0050576924819313515j),(0.0022301954975540586+0.0022733395730990978j),(0.008822689501314639+0.006842833509718143j),(0.00599237419111616+0.003133186065237939j),(0.01709005011293455+0.007240278575557225j),(0.011977149583100064+0.0030286516714743447j),(0.02724869400006068+0.005280903745907286j),(0.01998220380929298+0.001337918202395965j),(0.037719919205992276+0.0010221648848363083j),(0.02925111990363057-0.0020819735512293746j),(0.0468839545722614-0.004479581292763872j),(0.03870604529023863-0.006627883390837125j),(0.05350258333863545-0.009631987702720496j),(0.04722478386552654-0.011107416516511264j),(0.05682872690252524-0.012886093619555143j),(0.05375415855839828-0.014077949025630435j),(0.05660045055706426-0.013238926053967747j),(0.057452271421104734-0.014290510053173546j),(0.052950537752075644-0.010580355568747837j),(0.05774041419903978-0.011272106680801664j),(0.04632360581809329-0.005714332482747856j),(0.054158020906666014-0.005551967535408522j),(0.037482820092620696-0.00010169521564994614j),(0.046691401435440864+0.001712406022603509j),(0.02746701337040681+0.004597732676957743j),(0.036437235757240755+0.008638793901542813j),(0.017496654024739867+0.007188060629142656j),(0.0247448693344955+0.012717237552727316j),(0.00897915473398068+0.007374936491063922j),(0.012779220242777084+0.0132062247414764j),(0.0031069196035750104+0.00554792162586173j),(0.0036311038084447657+0.011102769829727408j),(1.7386529223100658e-05+0.002761165335023585j),(-0.0007039697094183181+0.005996925343439365j),(-0.0008144632991109174+0.0006955836418390446j),(-0.00275990556213908+0.00042479120738828004j),0j,0j,0j,0j
0j,0j,0j,0j,0j,(-0.0006073823789712993+0.0005370550156891553j),(-0.0001187121594832752+0.00032686100259759837j),(0.00039024177764693246+0.0035373891951383757j),(0.0006540967584778882+0.001473162371386405j),(0.00484768947206309+0.005857929929031106j),(0.0031199529997709193+0.0026512566047229673j),(0.011695088412097716+0.00732490916838924j),(0.0078000377735121355+0.003322856575224859j),(0.02126721298445251+0.006946314825733897j),(0.01490030681047301+0.0027114435313781633j),(0.03233074801874902+0.003907695529306622j),(0.023989322306216605+0.00023743987039205028j),(0.04298199334347246-0.0012968735287546833j),(0.034024667431097874-0.003973988636604161j),(0.051565725925393484-0.007133073556908048j),(0.043747759044215975-0.008948436361564924j),(0.056980083666346194-0.011790572029169877j),(0.05192456966608537-0.013170067526492156j),(0.05865881666176623-0.013793607563064926j),(0.05751849297620637-0.015045796814185056j),(0.056534698085194506-0.012483309663269312j),(0.059746048306775844-0.013592759954836987j),(0.050945296773383386-0.008259418151865565j),(0.05790477949653874-0.008797105379610396j),(0.042577136618978426-0.0024689624850513805j),(0.05177711900744048-0.001436429998222905j),(0.03239728822647853+0.003047321870896944j),(0.04226658084860734+0.006502378078214843j),(0.021637780655985175+0.006734272949386382j),(0.030332293573739635+0.012038858000576963j),(0.011909291303379095+0.007866500346444835j),(0.01704183627631242+0.014125987030519696j),(0.004716567233741087+0.006455202752745109j),(0.0062509503800030584+0.013125900158469947j),(0.0004871147778584017+0.0035248122021530664j),(0.0002531784145120328+0.007671229234892336j),(-0.0009397238568798615+0.0010868572418457098j),(-0.0035743774863237275+0.001120408093948442j),0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,(-0.000726099701785639+0.0008639154102825476j),(-0.00010244891449444712+0.00047901591337804817j),(0.001146756957223947+0.004531551614819619j),(0.0010974662945536717+0.0018680135123379721j),(0.006870128865637914+0.0066412629107515464j),(0.004352113682861854+0.003078388978100924j),(0.015143007989886511+0.007569574205882518j),(0.010143393471629925+0.0034421220123126576j),(0.026024222656930437+0.006215925345876084j),(0.018518714108797102+0.0021357435253587585j),(0.037801571139915925+0.0020097510048511756j),(0.02870146494034119-0.0013004467963902465j),(0.04830554050594352-0.003970007429634799j),(0.03933917738932884-0.006319753302106872j),(0.05597476429270151-0.009761340190310237j),(0.049030660270233346-0.01148604540920271j),(0.059874506876926505-0.013474200967159535j),(0.056540316610037264-0.014990897536613555j),(0.059637498991258676-0.013848150838625761j),(0.06084548548045151-0.015359975070196008j),(0.05543570304228707-0.010715783704111735j),(0.06099403754533968-0.011923353453943108j),(0.0478563768195978-0.005132909384445234j),(0.05658430917849899-0.004912217085070611j),(0.03777017313376729+0.001007036162300294j),(0.04827929636392207+0.0037207685770912304j),(0.02638471510522542+0.005829081521932049j),(0.0364945779376979+0.010666824741476845j),(0.015475572299637875+0.00810638183035515j),(0.02212154453861976+0.014655239294803998j),(0.0068296167329552895+0.007337286519888789j),(0.009760735992997866+0.01516310217111506j),(0.0012068341515701078+0.004418021514001947j),(0.001767203888390656+0.00956498929228017j),(-0.001026866400204051+0.0016310371612694966j),(-0.004514106071427364+0.002207311164997306j),0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,(-0.0008285560000753047+0.0013429315491095993j),(-4.441215354017733e-05+0.0006960535423710574j),(0.0022885956789166348+0.0057035403682931165j),(0.0017951261418468003+0.0023359891492528073j),(0.00942707275511049+0.007383796490435085j),(0.006083554499218762+0.0034678760633715133j),(0.01920288454551254+0.00754407127327126j),(0.01319880933402642+0.0033256150873260805j),(0.03134428419184798+0.005026383160961905j),(0.022939740335060955+0.0010502323612726265j),(0.04356358004533906-0.00034053334828315607j),(0.03406615880082096-0.003490239228986475j),(0.053578977201332464-0.006799093461740816j),(0.045010128676693344-0.009145036985107864j),(0.05999580640734522-0.012101931966557183j),(0.05436250853293498-0.014055606099169364j),(0.062052847918712385-0.01440910996460507j),(0.060835308650063986-0.016358813877311675j),(0.059648163375726405-0.012848973217462745j),(0.0632062088069836-0.014671365383465801j),(0.05322392074462572-0.007967479565404533j),(0.060903650880347576-0.008525055011045706j),(0.043537309287991925-0.0015198249459228825j),(0.05430214041431317+0.0003390145709980277j),(0.03174750892204295+0.0043889705692969905j),(0.043132958081542654+0.008511532142038357j),(0.01974642990941823+0.007984469697656645j),(0.028053426245693753+0.014643087442607826j),(0.00954373180321652+0.00811858615270383j),(0.014329878522087504+0.017064295531160067j),(0.0022605393530995134+0.005436112772178974j),(0.004006682059730456+0.011612676673404437j),(-0.0010325951644500628+0.002370303931632428j),(-0.005540969491886545+0.0038384100581568548j),0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,(-0.0008729784739131068+0.002038987105077141j),(9.862127999109311e-05+0.0009901165040745671j),(0.003985053101151937+0.007049462878478503j),(0.0028652325120378545+0.0027954028680953476j),(0.012645375844735447+0.008056454320022067j),(0.008432777496410868+0.0036277994782057264j),(0.02396901650807666+0.007242176048555978j),(0.017036442238976855+0.0026857820552164914j),(0.03724780372448106+0.003391190589466686j),(0.028053405810549558-0.0008210201874828169j),(0.049576689669019944-0.003009332237867385j),(0.039842863808140706-0.0063782986021850546j),(0.058746725424585124-0.009565396925784604j),(0.05083152353895489-0.01226018941348643j),(0.0635273355107287-0.013896939581818204j),(0.05949125474557191-0.01639726267398044j),(0.06339742695713188-0.014370292323269513j),(0.06429911243036174-0.016738510768417852j),(0.058555699561602975-0.010781500053993894j),(0.06450138208920358-0.012008593157990589j),(0.049626517863179266-0.004483654683643864j),(0.06012417284089378-0.0035251233284112507j),(0.03771550303498468+0.0023445286283421125j),(0.050102168484399946+0.005524707871421562j),(0.024778418491772175+0.007375915744783405j),(0.034840050646324866+0.013928559996537936j),(0.012959858057894498+0.008699068823271669j),(0.02012203433459236+0.018621045294336634j),(0.003751655649192014+0.006561853524225508j),(0.007158249655659428+0.013696881649417502j),(-0.0008909789318216415+0.0033518574256541237j),(-0.006573548244668914+0.006208795255668875j),0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.000774371022638585+0.0030291089537513387j),(0.00038519536878842516+0.0013512566087277265j),(0.0064650415886543175+0.008493687911613342j),(0.0043714659766454006+0.0030840995469966714j),(0.01670671542784472+0.008600379038155869j),(0.011383636039381492+0.003314175216901425j),(0.029621982482686854+0.006614085138359609j),(0.02150081293479143+0.0012618341246947542j),(0.043800672491849255+0.0013087165487996842j),(0.03356778656143653-0.0035104642475030138j),(0.05585218876888946-0.005876725545414073j),(0.04582424008095534-0.009736654653938035j),(0.06375453962170415-0.012088494559494123j),(0.05657800761462315-0.015340128819554264j),(0.06644113237413642-0.014953670512359867j),(0.06400954284678617-0.017798339995075033j),(0.0636874844205449-0.013310094054977496j),(0.0671220267359209-0.015018573448655462j),(0.055935444008360063-0.007771186472016639j),(0.06549959108197603-0.007663936357765206j),(0.04425138265277263-0.00034458531556096436j),(0.05720897767876405+0.0017211459503442034j),(0.0306088470079032+0.006148242884909198j),(0.04244126751958159+0.012350928643841517j),(0.017177271307004877+0.00895364409855134j),(0.02727623581474707+0.019559340682738555j),(0.005805752558487702+0.007760786499196363j),(0.011415003000397776+0.015633675177821427j),(-0.0005050550046819973+0.004624984530834351j),(-0.007464489009051755+0.009560757141644114j),0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.00038919313396055074+0.004380376281687457j),(0.0008670054669492554+0.0017388415447956317j),(0.00996946163096956+0.009839055962911236j),(0.006244205410044857+0.00303662656245019j),(0.021846222489971163+0.00887816641498243j),(0.014759105034583511+0.002398275327842263j),(0.03636387748039988+0.005477954696747038j),(0.026311091732426545-0.0009206467052036696j),(0.05105768555046981-0.0012806795961758416j),(0.03930150593492288-0.006720276613543679j),(0.06237540224738299-0.008892635375688976j),(0.05188525560875357-0.013151815389425059j),(0.06844784707965461-0.01427636213256698j),(0.06206233088720119-0.017539505510882764j),(0.06838887498850009-0.015212086654312621j),(0.06849060141029206-0.017144166157802624j),(0.06231936595591306-0.011184114069027909j),(0.07015209805580758-0.011766604866935036j),(0.05128328920690423-0.003668215463580445j),(0.06421336261342889-0.002798044759768045j),(0.03724719477419435+0.004174795582045435j),(0.05076250327611383+0.009764261795797397j),(0.02228770636632637+0.00873503879979276j),(0.03588008049155564+0.019537196087936047j),(0.0085735404361206+0.00897579589763755j),(0.016957065372415547+0.017158882896250928j),(0.00026371520121419535+0.0062354743234183385j),(-0.007969472313036671+0.014185872501477388j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
