(-2.3897351362557033e-06+5.062622181905654e-06j),(-7.206639293367062e-07+3.471129405155491e-06j),(2.6749997888260936e-05+2.8116988028713284e-05j),(1.7533953878003304e-05+1.7717964626301976e-05j),(9.603246791350587e-05+3.984578063603727e-05j),(8.114564337977819e-05+4.084365341360043e-05j),(0.0003772165479924856+0.0001354091922896466j),(0.00032566936059856896+9.816892272026516e-05j),(0.0011492321368073318+0.0001701441748372879j),(0.0010283518936410382+0.00015479937895722083j),(0.003018754739436288+0.0001868492465980397j),(0.002796241759957737+0.00015799542077376682j),(0.006950919679575935-1.3479466003131109e-05j),(0.0066423551860372585-9.143485393890474e-06j),(0.014275615246836603-0.0005244688141336851j),(0.01397868749396703-0.0004548389959731163j),(0.026150586846831792-0.0012925568015159223j),(0.02614950222938755-0.0011009092806396016j),(0.04267654730252673-0.0019143316499370725j),(0.04339060057584377-0.001512368743635807j),(0.06166815297078655-0.0016748123274307814j),(0.06344104299878314-0.0009782841054132982j),(0.07807503561380093-7.227924495276597e-05j),(0.08079888324258175+0.0008987010865136361j),(0.08524384038757624+0.002408373214687251j),(0.08807782520712332+0.0033718387905829943j),(0.07838208308942722+0.004105108982182195j),(0.07997768370562794+0.004487291385598691j),(0.05844647859427851+0.0033539106961100683j),(0.057801506529997985+0.002638114401252816j),(0.03297056374843669+0.00037807467794056816j),(0.030327631327578906-0.001267730941560357j),(0.011837802061183948-0.0023526897295962856j),(0.008688106461786768-0.00387806623635655j),(0.0007703307336926644-0.0025719795455072573j),(-0.0012623037890936854-0.00297969210412708j),(-0.001637634426033451-0.0009087043815222846j),(-0.0021270835797780733-0.0004607683768052809j),(-0.0006598168307605255+0.0002659690060108572j),(-0.00041688614198976396+0.0005874959205126476j),(5.313050704255774e-05+0.00023427702687278657j),(0.00022106949143862748+0.00021744939003196998j),(7.520191917428545e-05-1.2963565216160048e-05j),(5.0799197193576856e-05-5.594234780054415e-05j),(2.501007626655109e-06-2.0915031197815807e-05j),(-2.0473088269751167e-05-2.4512165929174526e-05j),(-3.6169068594904724e-06+3.6049576849503003e-06j),(1.7994277370792628e-06+5.702227459148978e-06j)
0j,(-3.1104423027115312e-06+8.533761377756108e-06j),(-6.497634096794703e-07+5.714983232601584e-06j),(4.493373523637297e-05+4.0120239469607415e-05j),(2.924644220008251e-05+2.55646160388054e-05j),(0.0001479317252688905+5.512517836650985e-05j),(0.00012772417811188604+5.729894263597173e-05j),(0.0005751620312239469+0.00017628186359685226j),(0.000496381608992954+0.00012697327727515762j),(0.0016812050592036815+0.0001979767443984738j),(0.0015189887172739876+0.0001820317016239197j),(0.004296015817422564+0.00016283098982156882j),(0.004008404839590413+0.00013834046243463776j),(0.00958489240717492-0.00016092185982806664j),(0.00923254952776425-0.00013911522060295437j),(0.019021806015019502-0.0008401052063215441j),(0.018775283304121718-0.0007235119908397114j),(0.03352491320352695-0.0016697894945087981j),(0.033771825683851446-0.001388469447810356j),(0.05229551437287631-0.0020379533619269107j),(0.05350933041959516-0.0014889514462820509j),(0.07160016945052239-0.0011637284060780975j),(0.0739976607831527-0.00028249173913133307j),(0.08487668392058123+0.0011094641189288424j),(0.08798418343229546+0.0021916530601648904j),(0.08533800962863078+0.0035891900571032886j),(0.08788110252852727+0.0043920098067435345j),(0.0704792356410913+0.004201003275467238j),(0.07100870873485311+0.004040348915844173j),(0.04523980477529812+0.0019521582073906134j),(0.043270934331075164+0.0005590449729796107j),(0.020027658610823427-0.001448423399468035j),(0.01666189569109862-0.003306658464466643j),(0.003864233888575944-0.0029240163745056016j),(0.0010691609564073585-0.0038909833060691737j),(-0.0015610668425004078-0.0016607181003702798j),(-0.0026274609221502055-0.0013868405081832948j),(-0.0011372681117541297+1.7329007511086994e-05j),(-0.0009971342856742752+0.0005202897904096839j),(-7.958715652229482e-05+0.00033316941448601313j),(0.0001599533434321448+0.0004185753675042431j),(0.0001142426074489721+3.315789186872255e-05j),(0.00010827569874314396-4.237661553907836e-05j),(1.772729396898692e-05-2.6528527717725395e-05j),(-1.019745771578172e-05-4.770426165187931e-05j),(-7.773869516391456e-06+2.2762579725128176e-06j),(-1.8176780798143241e-06+9.307315442491808e-06j),0j
0j,0j,(-3.760274117016206e-06+1.4248766839219687e-05j),(-2.02557263453536e-07+9.329700557021776e-06j),(7.438280354023811e-05+5.6355566435334765e-05j),(4.8212571374105824e-05+3.647502222008988e-05j),(0.00022744339605199464+7.594964843098778e-05j),(0.00020038478861211188+7.95953863247144e-05j),(0.0008711595314511992+0.00022366378094985475j),(0.0007526842222859572+0.00016032506620401206j),(0.0024475135822834373+0.0002196927742628051j),(0.0022328951912295404+0.00020360812494309928j),(0.006071537649532805+9.75888993552662e-05j),(0.005710667467353944+8.46306744631481e-05j),(0.013106806582174087-0.0003846102079233669j),(0.012730002487913441-0.00033521833353219126j),(0.02506715957883343-0.001228281516807142j),(0.02494790703974368-0.0010454440085492192j),(0.042348973799776264-0.0020126013463726876j),(0.04298147804983539-0.0016089656877680835j),(0.06282360967117927-0.0019175935749896086j),(0.06467451524770772-0.001184060084164466j),(0.08092368158726072-0.0002616670381713427j),(0.08394575673034091+0.0008069705454757488j),(0.08891559890084895+0.0024947590670228144j),(0.09214219917097342+0.003586676984218086j),(0.08107748352489091+0.004395172393925339j),(0.08285758933147497+0.004813443215406346j),(0.05863092946420566+0.0034284775292151974j),(0.05773836101282011+0.002529501940654258j),(0.030772857813304452-1.7916056342285383e-05j),(0.027594575874623092-0.00196359292698909j),(0.009095286310320229-0.0027913275065795545j),(0.005608868351180323-0.0043594009278108675j),(-0.0006753481258871864-0.0024555991815333636j),(-0.0025361405999826583-0.002571185494834483j),(-0.0016523800381273775-0.0004764210285221181j),(-0.0017951547510223194+0.00015817551170238634j),(-0.00033927093934327414+0.00037942553676743645j),(-5.7794081682798406e-05+0.0006309163457607285j),(0.00013815064870576448+0.00012083442223911996j),(0.00018035136752932496+1.437505435202513e-05j),(4.216908485425407e-05-2.3591453974698936e-05j),(2.009215716763974e-05-7.150413162334421e-05j),(-1.2560739389044618e-05-2.7291948663418336e-06j),(-9.59192357799825e-06+1.1583603952355874e-05j),0j,0j
0j,0j,0j,(-3.96293860351463e-06+2.3578513452760696e-05j),(1.055981755637506e-06+1.5103394393871464e-05j),(0.00012153955631506345+7.77278141081728e-05j),(7.865742675656774e-05+5.1407991751349275e-05j),(0.00034917082085449337+0.00010413789310217285j),(0.0003133878817336062+0.00010925861124783423j),(0.0013104572208121226+0.0002747362123780674j),(0.0011354648847556783+0.00019644105171124103j),(0.0035449499895639025+0.00022687348603011676j),(0.003265464732931888+0.00021100856921847565j),(0.008516758620968847-2.8752924538563883e-05j),(0.008081478116880184-1.9502102821123344e-05j),(0.017755376579691843-0.0007002472316862706j),(0.01739475903210175-0.0006081652903946006j),(0.03262040657631636-0.0016654040198120252j),(0.032743442114424044-0.0013903668937716488j),(0.052587194639324784-0.002230926451098337j),(0.053774329731297095-0.0016641279193141296j),(0.07372409722373567-0.0014371031317175766j),(0.07632266856854851-0.000484909439966133j),(0.08854720351779434+0.0010307822748373738j),(0.09207044593181071+0.002247501533922372j),(0.08898789903333432+0.003834592950832438j),(0.09189787214473745+0.004751104875058294j),(0.07203779886705311+0.0044581473814698765j),(0.07252848098403326+0.004218134607342978j),(0.04384136039946297+0.001740333715594408j),(0.04135702001366316+2.802432244339276e-05j),(0.017010815672625045-0.002009271345574639j),(0.013084831734155993-0.004077753233169501j),(0.0016195257298912786-0.003072922000085986j),(-0.001207048956889743-0.0037998646302194313j),(-0.0020043982640662043-0.001226966911044727j),(-0.002689414454783575-0.0006130423786339227j),(-0.0007581438335694742+0.00029476288990757353j),(-0.0005094323982969213+0.000758667031959527j),(0.00011235061279668828+0.00025167599887726934j),(0.00024501707225424305+0.00013808931849340787j),(7.348649394398021e-05-2.8752159113906802e-06j),(7.77054876473812e-05-8.17639634902691e-05j),(-1.5441755973479586e-05-1.3331204506174465e-05j),(-2.2153209957653696e-05+8.854166282344295e-06j),0j,0j,0j
0j,0j,0j,0j,(-2.907123257460931e-06+3.868199815601238e-05j),(3.945797214930839e-06+2.4245018567970314e-05j),(0.00019625152154415876+0.00010489170972293412j),(0.00012714197306381894+7.1480167250776e-05j),(0.0005354167736508064+0.00014191766990549016j),(0.0004885768324272642+0.00014778700308272123j),(0.0019573477549890946+0.0003233990611462712j),(0.0017041088599007057+0.00023143651421998795j),(0.005106315041397153+0.00020646532559594026j),(0.004749039810208242+0.0001910432910645038j),(0.011849223871697104-0.00023924774209167893j),(0.011352510655468964-0.00019297392641953138j),(0.023797689102817335-0.001115330344832485j),(0.023526663947267788-0.0009579690780926096j),(0.04183731765005437-0.0020975959536145903j),(0.0423629636822378-0.0016951542583946713j),(0.06399879778701453-0.0021995545797954823j),(0.06592646001479469-0.0014221686636778227j),(0.08412067458131843-0.0004993378765713036j),(0.08750165736049656+0.0006860154214651711j),(0.09311649458414363+0.0025929065743280025j),(0.0968342681416885+0.0038439042023619718j),(0.08405209936725812+0.004742472354585872j),(0.0860480379313339+0.005201213342885948j),(0.058518845104534194+0.0034756545518110646j),(0.057256803821175824+0.002317869423926072j),(0.027942071832758444-0.0005491351565289341j),(0.024036383492322944-0.0028566569273434377j),(0.006059561516133136-0.0032302338027601915j),(0.0022292007428822663-0.004722600126945654j),(-0.0018166269871035489-0.0021502138683318407j),(-0.0033615042671297497-0.0018252139535004288j),(-0.0013323224906817374-1.484635285175969e-05j),(-0.0012520495954400671+0.000650433090378243j),(-1.55507237108504e-05+0.0004029873547794876j),(0.00025462911549639384+0.00034353380693000885j),(0.00010273782889530706+4.623880302370539e-05j),(0.00016262472367790755-5.436630769190818e-05j),(-1.1429723266346413e-05-3.0270530942125487e-05j),(-3.759554407134806e-05-4.4777916235267684e-06j),0j,0j,0j,0j
0j,0j,0j,0j,0j,(1.0384184789466571e-06+6.292718730309644e-05j),(9.971113940932794e-06+3.858695666052566e-05j),(0.0003134230196574733+0.00013778627517446184j),(0.00020380148909340522+9.78939770898983e-05j),(0.0008201921127142281+0.0001918128113953056j),(0.0007592584789480886+0.0001962236678141761j),(0.002902202473198634+0.0003586247614175321j),(0.0025443306487704237+0.0002582287235588146j),(0.007311037939387715+0.0001393085552040897j),(0.006864727574571678+0.00012469245969783322j),(0.01633704623560168-0.0005568436475823041j),(0.01581664393684035-0.0004542633187809824j),(0.03150779826990682-0.0016188893747174414j),(0.03144710455885499-0.0013626657666896116j),(0.05275335263307029-0.002429816282759791j),(0.053888982311033846-0.0018520834145685917j),(0.07603657432610583-0.0017692112672869824j),(0.07887383971752264-0.0007344258649975393j),(0.09274893382001166+0.0009216939699034637j),(0.0967990503168065+0.0023042181506218373j),(0.09315228103487566+0.004133282362509459j),(0.09652825645625962+0.005191639920894571j),(0.07357251059037208+0.0047527091699588195j),(0.07396821678365172+0.00438085850770433j),(0.04180800967542928+0.0014131598138448025j),(0.03856897491288644-0.0007437976611920069j),(0.013409884597628735-0.0026617544120060357j),(0.00877596997511772-0.004917771738274978j),(-0.00048703082268474824-0.003035043360765441j),(-0.003204646699218172-0.0033486136812455702j),(-0.0019734728655675664-0.0006268760671422447j),(-0.002273774565629148+0.00012455696285373276j),(-0.00031062641162869396+0.0005110031586045183j),(0.00012773645083284665+0.0006151031999684029j),(0.00011133623098344861+0.00013142711873973944j),(0.0002583702616464513+4.2651245613140044e-05j),(6.9946648554644665e-06-5.077347490093546e-05j),(-4.90255022106094e-05-3.47498107738468e-05j),0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,(1.1009144932353292e-05+0.00010151445742327782j),(2.1833152638598717e-05+6.086848206438133e-05j),(0.0004953925119467916+0.0001748137318945371j),(0.00032422858609571756+0.00013177580066275196j),(0.0012552219100826288+0.00025626407049793965j),(0.00117594766153363+0.0002543386136309445j),(0.004270592747917378+0.0003625334959353716j),(0.003778999247013092+0.00026516864437470754j),(0.010396786736609277-1.126195311605985e-06j),(0.009856194058048717-1.3317396016539233e-05j),(0.02229755260804878-0.0009976919679581652j),(0.02183079038704126-0.0008148991060470894j),(0.04112423477461999-0.002166459068732219j),(0.04145868067143018-0.0017626126894390876j),(0.06518388329277745-0.002518942629215705j),(0.06717400488145325-0.0017031765057458094j),(0.0877367788583988-0.0007999404425133351j),(0.09157260917672316+0.0005197952539491565j),(0.09797589259225412+0.0027067846426848253j),(0.10234376907236502+0.004153796705192858j),(0.0873373949242543+0.005171837810177738j),(0.08960464499667453+0.0056543513976366295j),(0.057936720655907374+0.003479820550994472j),(0.056103792581995805+0.0019053592931452031j),(0.02427370482396673-0.001235631957537758j),(0.019361058076906964-0.004026339002307609j),(0.00282507758511058-0.0035530895602224797j),(-0.0012587268382612785-0.004835614154015499j),(-0.002432889664320131-0.0015480991052798433j),(-0.0034148071260969824-0.0009625226617407817j),(-0.0008324672124300457+0.00046015513717897707j),(-0.00025208632200864593+0.0008768230416600375j),(6.918218332515837e-05+0.00024929124132922793j),(0.0003214548000452241+0.00023932577163623535j),(4.825119415585771e-05-6.523870962285555e-05j),(-4.2030037792588905e-05-8.552553611554938e-05j),0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,(3.284171799913243e-05+0.00016238350333183682j),(4.4297679582775646e-05+9.511690955015292e-05j),(0.0007753254322801752+0.0002114754184660053j),(0.0005123470219788527+0.0001738774605524243j),(0.001918822310925294+0.00033673070141949517j),(0.0018147602158324805+0.0003192009879996447j),(0.006234843634102261+0.0003085279258547057j),(0.005582870736429912+0.0002345568168493286j),(0.014670140447536655-0.00024894069834525485j),(0.014044429132535497-0.0002529247032273918j),(0.030083993956302943-0.0015595320772221648j),(0.0298069427145353-0.0012680457703883707j),(0.052776138144960884-0.002660764629204705j),(0.05376843157885697-0.0020425812944502007j),(0.07858974973063197-0.002179103289554969j),(0.08168231246775086-0.0010507576604766712j),(0.09762752385380026+0.0007712271750103058j),(0.10236921172617623+0.0023514860991644005j),(0.0979510427788496+0.004509821329814316j),(0.10196581240501111+0.005730996658938925j),(0.07497689570621233+0.00509588611619921j),(0.07520859434272256+0.004460631431945271j),(0.03883252909762345+0.0009250466079775065j),(0.034500354963968714-0.0019276638806710097j),(0.009134811849751042-0.0033340973421316727j),(0.003767152475648877-0.005738182459873728j),(-0.002200661467915622-0.0026505428340073594j),(-0.004252214764142376-0.0026051237108807505j),(-0.0015954940741893186+9.443306721253562e-05j),(-0.0010200992518349437+0.0009637737378760915j),(-6.448045841790408e-05+0.0003732045875842395j),(0.00027370257228010906+0.0005425249968774292j),(0.00011692782778448874-5.389685361947944e-05j),(6.2239741777462545e-06-0.00015076676986043312j),0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,(7.713854487491912e-05+0.00025750140969993797j),(8.56488732732582e-05+0.00014712817851952645j),(0.0012020269860755519+0.000238228613158103j),(0.0008048239177786401+0.00022410366391364988j),(0.002928758183017739+0.00043183690515505177j),(0.002789503235441424+0.0003828520550752983j),(0.00902822988990934+0.00016027088926708454j),(0.008202257642850883+0.00014134148791977694j),(0.020512356884968736-0.0006431212068464652j),(0.019840628869795894-0.0006234713904079604j),(0.040050419667307005-0.0022039229481934596j),(0.040177852855604185-0.0017703251558983555j),(0.06636693676754023-0.0029326789054544724j),(0.06835692427837237-0.002013867648570006j),(0.09191550604548565-0.0012154570806387215j),(0.09629035543754957+0.00029791579714763506j),(0.10370691240915486+0.002825500049121036j),(0.10894953452458028+0.004540860015386509j),(0.0909679822073886+0.005700709299572986j),(0.09361528000038466+0.006181161647566198j),(0.05657089160261519+0.0033759806153686005j),(0.05388816763514108+0.0011073745035981922j),(0.01944524949883295-0.0021096427142028406j),(0.013307732102752757-0.0054445880317144915j),(-0.00040551574341368126-0.0036276392593568465j),(-0.003956316107220118-0.004527056639944674j),(-0.002496536341077325-0.0007286869067767317j),(-0.0022795650414500213+0.0006190201329846506j),(-0.000336068217878806+0.00043916871636942166j),(4.4896551673567585e-06+0.0009016296498477423j),(0.00020471631640359397+1.4109786558778623e-05j),(0.0001231576414585772-0.0002046649895899994j),0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.00016278618856869478+0.0004046313251433754j),(0.00016011333570664136+0.00022500817779310268j),(0.0018467431791867697+0.00023732946383577715j),(0.001257888413463885+0.00028087304302146427j),(0.004460372404338928+0.0005338303109731537j),(0.004268770722624493+0.0004286552333066452j),(0.012961745757234851-0.00012698870006721877j),(0.011980029497146463-4.753923233497737e-05j),(0.028373022425272898-0.0012189311040209142j),(0.02774977638858183-0.0011408676774016147j),(0.052478649825271444-0.0028331316781084665j),(0.053320078142472783-0.002210511750532305j),(0.08140406944912816-0.0027355955638915792j),(0.08478230297419945-0.0014157036027274094j),(0.10342401169426771+0.0004988054770172259j),(0.10906160718856689+0.0024259093778997414j),(0.10359545857489867+0.004941220185873258j),(0.10851030262427751+0.006474766285922856j),(0.0760736739816874+0.005407833966104387j),(0.07604554728118025+0.00437025071129478j),(0.034414162641698755+0.00011360621150205926j),(0.02853112940475164-0.003540247933456942j),(0.0042222444241873415-0.0040138129040572755j),(-0.001163801119566059-0.006125133470628185j),(-0.003197940312504699-0.0020296204101770453j),(-0.003988841449898229-0.0004460933331094476j),(-0.0007873103279095217+0.0003363783763478121j),(-0.0006086375749706094+0.0011660349819810263j),(0.00027703123005205744+0.00017476437717430172j),(0.00032788314408554374-0.0001905526500415164j),0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.00032289779583170993+0.0006296424920728432j),(0.0002919016471394534+0.0003396547036581353j),(0.002812738975459595+0.00017855498167231783j),(0.0019578490192981475+0.0003404030825190778j),(0.006771293522208016+0.0006221057019230963j),(0.006499353720597618+0.0004260772142096719j),(0.018442465206358564-0.0006005287307174021j),(0.017385079626307476-0.0003709531361761971j),(0.03873781581953587-0.0019886724409722925j),(0.038356989370898174-0.001779176951726642j),(0.06744194590357762-0.0032641325424743743j),(0.0694190715162968-0.0023791483727825897j),(0.0967676664834292-0.0017715990639215928j),(0.10187024488436355+2.231315688613068e-05j),(0.1106159214894362+0.002903144518987802j),(0.11709785875770903+0.005145227012928353j),(0.09500860525940606+0.006271556520356767j),(0.0982115889997194+0.006843492612946644j),(0.05390836921540292+0.002935240255110841j),(0.049719102718909246-0.00012117530247289603j),(0.013226736970619015-0.003305142925245631j),(0.006023402795366757-0.006574495284046065j),(-0.0029647618232419193-0.0035644480746387834j),(-0.005750371343449454-0.002392877811352563j),(-0.0014364576506557029-8.292220869527913e-05j),(-0.0016542999855747634+0.001052353900352531j),(0.000258314527729237+0.0004500399059789425j),(0.0006049252991519392-1.577771317868979e-05j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
