(3.0055367972080726e-06-1.6572408890342102e-06j),(2.0499832106099414e-06-9.687683887884732e-07j),(2.688044717599006e-05+1.7512707155402084e-06j),(1.9312422023894042e-05+3.051534450047697e-07j),(0.0001117719445109728+7.918302163807782e-06j),(9.233278589275015e-05+5.0502542700768065e-06j),(0.0004770009493332417+2.1429588217098986e-05j),(0.0003874711854064459+1.9586972556226917e-05j),(0.0014713791797692625+0.00012006545417269511j),(0.0012613309917819066+7.509953521181483e-05j),(0.003917026896192593+0.00015264037718985753j),(0.0034632370410950923+0.00013127591155419533j),(0.009048338678620897+0.00024009866962380349j),(0.008154140795521224+0.00016930403627304108j),(0.01788418827452616+0.0001718936503591232j),(0.016571365752131386+8.796003302836508e-05j),(0.031024797714358367-0.00014882074366081807j),(0.02934365799566408-0.00017165854398000133j),(0.0471418014276022-0.0005354042100165862j),(0.04544062636733364-0.0005092078958476772j),(0.06276590760331406-0.0007505072762019352j),(0.06158818695734598-0.0006544578653461381j),(0.07315510180153156-0.0005531794833056628j),(0.07294517577739222-0.0003801400679307847j),(0.07438822589521032+1.081363024642357e-05j),(0.07524505632352581+0.0002166614193292145j),(0.0656550024501593+0.0005610739559044467j),(0.06726959373000625+0.0007173111992640898j),(0.04996307388539298+0.0007139501332017659j),(0.0517921871636759+0.0007557099127856365j),(0.03251253481291183+0.00044395053821690364j),(0.034064457606191346+0.0003692972401881969j),(0.017901412940463667+5.211088575739346e-05j),(0.018939525990885765-8.27049187009844e-05j),(0.008225211070391753-0.00017604166173894404j),(0.008778700567088066-0.00030267367508265795j),(0.003095625944311638-0.0001929261844599175j),(0.003329161521039827-0.00027465681046204385j),(0.0009300227662596564-0.000113942110496601j),(0.0010064154885778768-0.00015212382118735232j),(0.00021476085060149732-4.396141939175591e-05j),(0.0002334508367288537-5.6874026760223484e-05j),(3.588637380629624e-05-1.1219156877010616e-05j),(3.9101986617495795e-05-1.4266669711466656e-05j),(3.882550421538141e-06-1.7600361808128935e-06j),(4.228021219297106e-06-2.2191211022522076e-06j),(2.0736907677515306e-07-1.3222950070310286e-07j),(2.250898959668349e-07-1.668776099444335e-07j)
0j,(5.055538939011374e-06-2.6259972372515285e-06j),(3.44117808844419e-06-1.5228237745236645e-06j),(4.275181694801032e-05+3.5793512325945465e-06j),(3.087602502218437e-05+9.458031558323272e-07j),(0.00017322960093268816+1.202334642610204e-05j),(0.0001440211477140555+8.099225264818251e-06j),(0.0007204544157134325+3.2920193600400715e-05j),(0.0005874366093832777+2.9721780671482014e-05j),(0.00214528542392981+0.0001654516542677657j),(0.0018520658801593007+0.00010224320076108194j),(0.005528232346796092+0.00018169780215011869j),(0.004917305380025123+0.00015943955196324216j),(0.012285253323640912+0.0002500199927290894j),(0.011149611853632127+0.00016638592814759737j),(0.02330610457911654+9.358169178261134e-05j),(0.021750232728252664+7.305815604273007e-06j),(0.03861850405854067-0.0003275810758719483j),(0.036804109451266276-0.0003297910280278427j),(0.05577873487821843-0.0007145024293561297j),(0.05418221562468289-0.0006458277651382008j),(0.07017240861483047-0.0007586989366277874j),(0.06938369415902215-0.0006134954305515222j),(0.0767171562080883-0.00031929498838168023j),(0.07707652603897755-0.00011224237598522097j),(0.07255727732684586+0.00034027156971676444j),(0.0739390304923858+0.0005431257346185293j),(0.058985958885979975+0.0007357571932932568j),(0.06087524261164619+0.0008447149496757453j),(0.04088025887450299+0.0006253243362049978j),(0.04267605645102783+0.0005976167180344029j),(0.023901050094984243+0.00021587351504891603j),(0.025213035592701695+8.881269762724836e-05j),(0.011627941164572301-0.00011927801077843438j),(0.012382575242270495-0.00026595084928204995j),(0.004621341693633796-0.00021270830117691924j),(0.004962192086656312-0.0003194705973820047j),(0.0014625926417579373-0.0001480924254315575j),(0.0015813594199763207-0.000202627963841826j),(0.0003550765264033604-6.343223710603848e-05j),(0.0003859200200199729-8.329058012313257e-05j),(6.229076583401341e-05-1.7543556564456453e-05j),(6.791651160996409e-05-2.2539902629117255e-05j),(7.0716286744196005e-06-2.945693245849939e-06j),(7.713453610546102e-06-3.7439058276586455e-06j),(3.9708501990609174e-07-2.3522259981901536e-07j),(4.324564957375649e-07-2.9910515462586574e-07j),0j
0j,0j,(8.496747944873333e-06-4.148800249374022e-06j),(5.772030272622906e-06-2.385692483268466e-06j),(6.78560132021097e-05+6.911011911723363e-06j),(4.928284540122513e-05+2.197924435228856e-06j),(0.00026796931987591326+1.7925585607100462e-05j),(0.00022422667080613252+1.2770076678319494e-05j),(0.0010836695674675838+4.987623743087575e-05j),(0.0008872492089933476+4.428449714373925e-05j),(0.003110119721604281+0.0002234227003893786j),(0.002705071650142848+0.00013570057926624334j),(0.007740515066316449+0.0002054718015531842j),(0.006929627383545497+0.00018446653325971077j),(0.01650534652256086+0.00023201679193309536j),(0.015093206820460071+0.00013692353371346796j),(0.029963343213813953-3.588663990584476e-05j),(0.02817570741715349-0.00011877472860094989j),(0.047247255360078254-0.0005383409725631862j),(0.04539073517141377-0.0005101834029372407j),(0.06457070226663883-0.000849764345200051j),(0.0632335970152978-0.0007260515126919137j),(0.0763230822218661-0.0006456443610073756j),(0.07606783806522315-0.0004460150032197066j),(0.07772641746950129+1.5041708738771392e-05j),(0.07870069589509791+0.00024335769813580474j),(0.06779608394981612+0.0006405869249895913j),(0.06961595311497293+0.0008116573234041055j),(0.0502455634228252+0.0007692642034289372j),(0.05224309488526333+0.0008048378382877593j),(0.03131338471472749+0.00041841155563977425j),(0.03292677019237402+0.0003180422957032789j),(0.01618737706874146-1.3181338175851998e-05j),(0.017195144596750485-0.00017262289078392437j),(0.006815383966945819-0.00021252507186143664j),(0.007304942779971419-0.0003472396413210872j),(0.0022785884327058328-0.00018490899275015144j),(0.0024609682924093134-0.00026119708144799355j),(0.0005829805122029389-8.951424496236173e-05j),(0.0006334038943696307-0.00011964942403881217j),(0.00010759122675239904-2.707124897475585e-05j),(0.00011736747538511531-3.519154764347813e-05j),(1.2839427160133813e-05-4.891522256013e-06j),(1.4025782945028106e-05-6.272850154625983e-06j),(7.592395626122951e-07-4.1669871338846054e-07j),(8.2953674952327e-07-5.343242380972543e-07j),0j,0j
0j,0j,0j,(1.4268828656057605e-05-6.534457004841754e-06j),(9.676925587297515e-06-3.722907553690614e-06j),(0.00010746225587946749+1.2832106861390163e-05j),(7.854857890423433e-05+4.51450111264467e-06j),(0.0004136496494601527+2.618264366287242e-05j),(0.00034842830080743866+1.9794815777507477e-05j),(0.0016224983754403685+7.437247772511043e-05j),(0.001334729531627274+6.470064684964958e-05j),(0.0044804878985692026+0.0002944405729207958j),(0.003928063652732341+0.00017464166301245162j),(0.010742148222351783+0.00021534593024823094j),(0.00968429271571004+0.00019945897671446564j),(0.021914408179233017+0.00016958577112439325j),(0.020202682857634786+6.812293909079136e-05j),(0.037936642103335624-0.00022259076408351095j),(0.035961524927008125-0.0002933349085526075j),(0.05667689071273889-0.0007548720701530564j),(0.05491436652024976-0.0006849494684962967j),(0.07289048641046522-0.0008904162257946427j),(0.07199222563085064-0.0007001631795917557j),(0.08039929906275914-0.0003909439555115027j),(0.08079572422385986-0.00013816058508565887j),(0.07563193493496868+0.0003971406081220053j),(0.07719587243119522+0.0006235751515924124j),(0.06021656425745784+0.0008291851783116047j),(0.06231889443652901+0.0009344893587848565j),(0.04016999346486668+0.0006399948705036386j),(0.04208856662227647+0.0005842604564714797j),(0.022151685026078276+0.00015242598179711171j),(0.023466839366012366-8.240903272787834e-06j),(0.009915706515241898-0.00017744848975841834j),(0.010607205377541132-0.00034086770162738517j),(0.0035131201133329288-0.00021885156385856812j),(0.0037896891397616525-0.00032310899995750266j),(0.0009498631706335485-0.0001229828151027733j),(0.0010315378777492523-0.00016802803163409855j),(0.00018484431022341375-4.113213440704355e-05j),(0.0002017247426998229-5.421284666666597e-05j),(2.3233326544520878e-05-8.049293925442105e-06j),(2.5415491080558433e-05-1.0429594716439618e-05j),(1.4496113207994268e-06-7.346904897880133e-07j),(1.5887671577984396e-06-9.510166501867284e-07j),0j,0j,0j
0j,0j,0j,0j,(2.3945836455203633e-05-1.0257303213823433e-05j),(1.621558756742249e-05-5.7777295374657365e-06j),(0.0001697957648320394+2.3124754880057044e-05j),(0.00012503636693026436+8.67640750000404e-06j),(0.0006370451107719604+3.730338971130385e-05j),(0.0005403163557343826+3.0236986147823438e-05j),(0.0024169234775911585+0.0001088459955991798j),(0.0019989975823869375+9.287582815268579e-05j),(0.00640959226522339+0.0003762323134432836j),(0.0056669848801677945+0.00021666821136909765j),(0.014759553554847921+0.00019820535004353617j),(0.013406796356806628+0.0001943664989092126j),(0.02871049240018706+4.348160436596104e-05j),(0.02669800439835326-5.325160731016143e-05j),(0.04720051012588648-0.00046242663722128224j),(0.04512687480644676-0.0005089499175985105j),(0.06646488742778842-0.0009304853835966503j),(0.06497793691589861-0.0008072576673243776j),(0.07990538411358812-0.0007828038119193624j),(0.07962992032814703-0.0005197142212542855j),(0.08156570860563028-8.79732907076814e-06j),(0.08267493848625447+0.00028463516773954875j),(0.07015335723492341+0.0007366534227284977j),(0.0721962237742777+0.0009276598894743098j),(0.05033954507417898+0.0008364746432452157j),(0.052516192047698834+0.000845158829791698j),(0.02974251466803269+0.0003793988203879922j),(0.03140736574811126+0.0002326647252781323j),(0.01421120295819005-8.831947955420583e-05j),(0.015168080439560722-0.0002788801849253453j),(0.0053548338266982375-0.00023936854542417103j),(0.005768085216923817-0.0003786545676744735j),(0.001534718396750201-0.00016328371264725703j),(0.0016656653544470552-0.00022968214814426602j),(0.0003157323088853679-6.132299330922392e-05j),(0.00034467347480387036-8.223851797792289e-05j),(4.189452083911615e-05-1.310535970619233e-05j),(4.588450761202779e-05-1.7190336761128118e-05j),(2.764116973266318e-06-1.288400751169505e-06j),(3.038360922152143e-06-1.6856958906010196e-06j),0j,0j,0j,0j
0j,0j,0j,0j,0j,(4.0161557947420854e-05-1.6034927610508746e-05j),(2.7144791582155824e-05-8.906155160881606e-06j),(0.0002676881715179655+4.070797679422488e-05j),(0.00019871174839198327+1.603504093855026e-05j),(0.0009786552677706198+5.1509010423601135e-05j),(0.0008357972094616906+4.556981016596853e-05j),(0.0035801417914034413+0.00015616673426112267j),(0.0029780683448615264+0.00013076662103011214j),(0.009098564737289599+0.00046217103146597885j),(0.008114829579392151+0.0002558117522953181j),(0.02005165590200024+0.0001368548520361352j),(0.018360916003257403+0.00015381363388221767j),(0.03704784195954165-0.00016339965238972164j),(0.03476942835569307-0.00023890649680888512j),(0.057558387625534634-0.0007321583718063809j),(0.05553177143607793-0.0007392260311276921j),(0.0759116356049255-0.000998056205232227j),(0.07491812126666814-0.0008111770796327862j),(0.08461782657128118-0.0004907611841630686j),(0.08511974133336733-0.00015897904796578484j),(0.07912147957746249+0.00043542986225223265j),(0.0809167669327566+0.0007399427257439081j),(0.06143321774287396+0.0009249071799110705j),(0.06376183774406964+0.0010392696120656425j),(0.03909411313324023+0.0006427466616174877j),(0.041118826638214256+0.0005398956375089301j),(0.020031129661771063+7.238675164420655e-05j),(0.021318990242630297-0.00013733068234656948j),(0.008060303309058875-0.00022977029399432258j),(0.008665715352776288-0.0004108361819694098j),(0.002457197106432992-0.0002071524179498285j),(0.002664366704719807-0.0003036344967876438j),(0.000536012003052931-8.932211452790777e-05j),(0.0005851239952367131-0.00012248153515304327j),(7.528004101564875e-05-2.1078126487166963e-05j),(8.251443699670934e-05-2.804962408392224e-05j),(5.2642470999740415e-06-2.2458111196916045e-06j),(5.802444264833627e-06-2.9740766347914923e-06j),0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,(6.730656751629863e-05-2.4940902730829916e-05j),(4.537964177211359e-05-1.3653907298232405e-05j),(0.00042102161742193096+7.039796257411968e-05j),(0.00031504118804421676+2.867829465050951e-05j),(0.0014994200089600979+6.840628728133945e-05j),(0.0012889638841108303+6.738244520219377e-05j),(0.005269273146075114+0.0002195727620363053j),(0.0044096674705469685+0.00017791312985074209j),(0.012803808009530985+0.0005401224994770299j),(0.011521773007159827+0.0002785796539524342j),(0.026890985263704075+1.2218315034644829e-05j),(0.02483958402905353+5.5607205844189016e-05j),(0.04697802539835204-0.00045767339839154704j),(0.04452718448552038-0.0004903707034369287j),(0.06856349596964899-0.000980627549614128j),(0.06679411268556587-0.0009260816608272866j),(0.08403629302327939-0.000882614686105856j),(0.08376176962103811-0.0006247703167333279j),(0.08597644494351675-2.4342496035512085e-05j),(0.08733406913860768+0.00035152404438005007j),(0.07270468380462301+0.0008244529855304728j),(0.07505179035707375+0.0010867379911635175j),(0.050143565247223444+0.0008779103297986562j),(0.0525072463030098+0.0008772199278481575j),(0.02770581646516213+0.00030571508041070026j),(0.02938595365393868+0.00010533837899893038j),(0.011964190995176939-0.000170140177920098j),(0.012830816312072292-0.0003931381130845943j),(0.0038951957706334804-0.0002474154057378967j),(0.004217408539374581-0.0003842246679085705j),(0.0009041479509494464-0.0001265473300278983j),(0.0009863675025921957-0.00017835780544639404j),(0.00013476563560570678-3.344275259971862e-05j),(0.0001477813862440137-4.523859132006223e-05j),(1.0012480202886588e-05-3.8887077020596675e-06j),(1.106662701986771e-05-5.219852281837583e-06j),0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,(0.00011268656349565973-3.8594502023503826e-05j),(7.582841447558626e-05-2.0855096039218668e-05j),(0.0006602365526302432+0.00011993298409811913j),(0.0004983393526260886+4.933408640735106e-05j),(0.0022900582181321345+8.646366783682472e-05j),(0.0019817830407781885+9.682739391925662e-05j),(0.007697197685643587+0.00030069075200040064j),(0.0064885500623438385+0.00022874011356730322j),(0.017837147674625773+0.000590036812024917j),(0.016206342083814405+0.0002633317058247015j),(0.035524479761828445-0.00019533118812535156j),(0.03313986457681406-0.00012283111126468464j),(0.05836577649655706-0.0008249043042646999j),(0.05591923926968348-0.0007792960818152784j),(0.07943898098267417-0.0011269440692043128j),(0.07819044738341799-0.0009769208903736924j),(0.08960830650092279-0.0005298563697920455j),(0.09023336193808539-0.00020598230405143066j),(0.08307776230567959+0.000533814631370769j),(0.0852485016617567+0.0008942406875498988j),(0.06250837965059959+0.0010175119400689379j),(0.06516688615500213+0.0011632828489925087j),(0.03748411671831377+0.000592229826600465j),(0.039619172358652144+0.0004527567363221744j),(0.017472648198831674-4.150178959916706e-05j),(0.01868963658390506-0.00029182687022289057j),(0.006105366521383667-0.00027137079526008554j),(0.0065986341456246616-0.0004580903704583293j),(0.0015139598876572418-0.000173525727290732j),(0.001650330334399987-0.0002526236175065698j),(0.00024018048927077642-5.227634238816499e-05j),(0.0002635299484787271-7.19996973323899e-05j),(1.9015993811073766e-05-6.680863616294431e-06j),(2.1078984365306888e-05-9.10849731212791e-06j),0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,(0.00018851555240233914-5.944907250705874e-05j),(0.00012681917767352508-3.1583128766826594e-05j),(0.0010317602129188632+0.00020085275378184866j),(0.0007876809835328554+8.201285867667779e-05j),(0.003484181646270861+0.00010129232413330362j),(0.003038312929267215+0.0001353700522766984j),(0.011147494198881096+0.0003941080544775179j),(0.009485899623261414+0.00027681510437435245j),(0.024557755940021447+0.0005766583144068209j),(0.02255335139370671+0.00018718094965319384j),(0.04611132933697593-0.0005051101354127169j),(0.04349936453834658-0.0003904287165196071j),(0.07078618599367215-0.0012133811445034445j),(0.06861060011514278-0.00103263847743689j),(0.08901951902713673-0.0010706699824684447j),(0.08856849249416418-0.0007865448363444007j),(0.09127387192377105+5.136958053700723e-05j),(0.0928784827092798+0.00040980319193857835j),(0.07544831097557546+0.001018891309848266j),(0.07824107242160273+0.001267091672666533j),(0.04943448033758664+0.0009141864887597924j),(0.05206985781119266+0.0008650113078146948j),(0.02503352549394613+0.00018025492476901958j),(0.02671886230369141-7.71347012501063e-05j),(0.009443426199075261-0.00025607242405176824j),(0.010191198135416309-0.0005011197632199881j),(0.002512788889057623-0.00022830295922960438j),(0.002738420364568797-0.00034600973192396755j),(0.0004258625023193037-8.013091361643173e-05j),(0.00046764298304036324-0.00011292194490220602j),(3.6065569576303874e-05-1.1352734061320798e-05j),(4.009474426140332e-05-1.5789250899370562e-05j),0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0003153356612619235-9.103130721447356e-05j),(0.00021208685013685512-4.692195435951867e-05j),(0.001607359964680575+0.00032979152360316475j),(0.0012450215335876379+0.00013521269469945872j),(0.005277506238768544+0.0001014716636597796j),(0.004640478582477047+0.0001873954234843837j),(0.015993002565242817+0.00048359609865721975j),(0.01375467690617525+0.00032215224467872056j),(0.03335666284725313+0.00044183213393729384j),(0.03097564749826225+2.503669119239865e-05j),(0.05863548617489788-0.0009202704420877607j),(0.05599792259159515-0.0007351883050269279j),(0.08339950727229689-0.0015103464165281224j),(0.08184511784579292-0.0011390338950403457j),(0.09574363682524992-0.0007175390568219501j),(0.09633336982043107-0.0002761189805887639j),(0.08781963471107763+0.0007379827072743957j),(0.09032820708806379+0.001070156592588041j),(0.06336158531265698+0.001216410573941658j),(0.06640217850359094+0.0012524008797197088j),(0.03510232346496998+0.0005271725224777527j),(0.03736120741550554+0.0002642114492065801j),(0.014391203144982732-0.00016091182153219028j),(0.015504656397054067-0.0004769241213613698j),(0.004129951520696404-0.00028020697253451263j),(0.004500109706179044-0.0004552996720591193j),(0.0007510882344085629-0.00011899843876094106j),(0.0008251720458208479-0.00017402638005108056j),(6.833019115076522e-05-1.9024123328035504e-05j),(7.615986883763138e-05-2.7141793805230603e-05j),0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0005274240233654805-0.00013795174043584237j),(0.0003533670417396597-6.827649481337642e-05j),(0.0024990235833404263+0.0005332867658739514j),(0.001961982007437666+0.00022354178509737693j),(0.007956054196469595+6.535918361300983e-05j),(0.007045572460498645+0.0002555091508617008j),(0.022702235010099155+0.0005503369345079949j),(0.01972219229421922+0.00034163839566763734j),(0.044610439995655275+0.0001254284467434259j),(0.04186028158672519-0.0002754438423074851j),(0.07277369019640786-0.0013796220824004587j),(0.07044476060519639-0.0011152472535278346j),(0.09480060954396596-0.0015335432932705453j),(0.09429314986125574-0.0009387079648405657j),(0.097784605523053-5.423669743215498e-05j),(0.09956863490646473+0.0005530266349812313j),(0.0785797530643509+0.001255788474839026j),(0.0817027508133683+0.0014980257990372988j),(0.048061275393385484+0.0009712710667463562j),(0.05087743047244018+0.000727594346572288j),(0.021586159683805707+6.404632647679498e-05j),(0.02317706260316843-0.00033673834509864156j),(0.006718780159562321-0.00030100209345392453j),(0.007311572999130267-0.0005657579174805909j),(0.001318471416156609-0.0001697246029987118j),(0.001446811316497303-0.0002615824813971735j),(0.00012944339221950137-3.143829970393975e-05j),(0.00014448921148284147-4.616558866604695e-05j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
