(-0.000492244209563165+0.0002611789327413077j),(-0.00010118081598281931+0.00016217089088977534j),(-0.0002455892398542791+0.002151924350422985j),(0.00016842717271310526+0.00079068203679066j),(0.0019123177914766591+0.003407444771174877j),(0.0011167155912706213+0.0014432409287687745j),(0.0042888335946025405+0.004626836797180975j),(0.0028408652977155563+0.0021760570299498893j),(0.008625553720415716+0.006105824109142941j),(0.005794976128579559+0.0027211223603787744j),(0.014865994046210204+0.0062728908004288705j),(0.010075991364031976+0.0026046071279681696j),(0.021944737849081918+0.004814289927266118j),(0.015506249570691515+0.0015121257030602413j),(0.029170820054378883+0.0020305372826434696j),(0.021723920728174098-0.0006480533218658944j),(0.035894209051165575-0.001690791814654375j),(0.02823409299593043-0.003684378903457206j),(0.04141543983782962-0.0057067690680124485j),(0.03449268621200095-0.007109950299836572j),(0.045221047794159926-0.009164263044352429j),(0.04000793452695762-0.010229038296889181j),(0.04708303321511664-0.011289648246897103j),(0.044363034500563114-0.01232466739038304j),(0.046977304578543634-0.011622230108062301j),(0.04716968192642766-0.012791687537182923j),(0.04498787132279396-0.010102777150701887j),(0.04813886417548124-0.011239887093757254j),(0.04126200702485238-0.007061607810674405j),(0.047137159097629854-0.0077527686743048925j),(0.03602303747203635-0.0031200343920906315j),(0.04397361567113407-0.002959320244796234j),(0.029639564451828755+0.0009394240852549278j),(0.03847634401051684+0.002409411065136044j),(0.022635773933107006+0.00429264747671295j),(0.031134689249599824+0.007579196177666343j),(0.015602815562993854+0.006296282325876096j),(0.022901210401241552+0.011223526013946557j),(0.009204728415032386+0.006746418306841197j),(0.014271170007624194+0.01228010466616279j),(0.0041817919329645075+0.005827154943087376j),(0.006144522967332095+0.01121023372453603j),(0.0009824872769366034+0.003927649418812461j),(0.0005614241605463524+0.008558153083595256j),(-0.0005219320037643451+0.0017867932442024268j),(-0.0019040208045051567+0.004213195305862447j),(-0.0006803434892939825+0.00032774889845932587j),(-0.002290320553765178-0.000274182598016159j)
0j,(-0.000593428182818351+0.000423348651892909j),(-0.00010343801963865215+0.0002271383288794917j),(2.6257213725410206e-05+0.002715472969057942j),(0.00032382825697216194+0.0009629482999460247j),(0.002705175614609723+0.0038877758985184233j),(0.0015284546018182693+0.0016430403052649116j),(0.0056012259482066925+0.005159932797372712j),(0.0036568328204231674+0.002361322882468366j),(0.010763700342612129+0.006465753903591395j),(0.007166197211843312+0.0027569163076144455j),(0.017775835839459384+0.0061207721482635655j),(0.012077156489742401+0.0023202009586796965j),(0.02537394610937801+0.004006460560188198j),(0.018101936190409444+0.0007662355226504431j),(0.0327930019457761+0.0006165352506094236j),(0.024774361481471052-0.0018815990908862899j),(0.03935422027391342-0.0034932631995805586j),(0.03153794051341313-0.005278791880428893j),(0.04437053399735588-0.007537614206047472j),(0.037825435693835015-0.008801757674583249j),(0.047403941364755425-0.010591238275337284j),(0.043116162553471324-0.011677256296058853j),(0.04833031710866925-0.011936771085242145j),(0.04694605324387888-0.01312734695573951j),(0.047201330911704927-0.011286303801951534j),(0.048989855501887246-0.012542522098831235j),(0.044137237215980785-0.008799897382824978j),(0.04906556135982797-0.009810886674693075j),(0.03933390438986517-0.005003270721098294j),(0.04686444179316636-0.005391603380080089j),(0.03313244146720677-0.0006875641128073922j),(0.042093853631560374+0.00013701765266548648j),(0.02602221240775702+0.0032119720101993366j),(0.035197432317430326+0.005983084916684171j),(0.01857313044501934+0.005888880837130735j),(0.027000694926362603+0.010551154955347749j),(0.011503390939271586+0.006968735256315844j),(0.01778285462519942+0.012567037957627845j),(0.005693071418569208+0.006459529605279206j),(0.008593832553596628+0.012405116005346772j),(0.0017324942363094026+0.004632301174373179j),(0.00191927402335835+0.010195436707987364j),(-0.0003753440222756706+0.002290383820446919j),(-0.001615572825850415+0.005461956368674782j),(-0.0008103648499997936+0.000538037264945692j),(-0.0029706726625968517+5.3582548835601765e-05j),0j
0j,0j,(-0.0006968704940593239+0.0006504859859293855j),(-9.596862158524869e-05+0.0003116497142195222j),(0.0004460309390779412+0.003366780273882428j),(0.00053709889840578+0.001157457627060665j),(0.003696498811944709+0.004373409058067422j),(0.0020444380812034133+0.0018536071797570187j),(0.007213604496019276+0.005667746590018431j),(0.004648131278739617+0.002526730862515044j),(0.013281781760461681+0.006696095008264727j),(0.008790975370948162+0.002715410470356215j),(0.02106208783258175+0.005725780319361806j),(0.014386611288079009+0.0018761788368356225j),(0.029089419239187998+0.0028967894542504275j),(0.021006852218152183-0.00019819371557576915j),(0.03656074851443526-0.0010665620551150526j),(0.028102184625241812-0.0033277103975642404j),(0.042790296111438864-0.005444022189526315j),(0.03506854735596007-0.007023272155221689j),(0.047127805169515764-0.009315779524665944j),(0.04127411937079519-0.010535498945140226j),(0.049246401579038236-0.011732690040491616j),(0.046150159733182414-0.012948629186499628j),(0.0491266279839878-0.01211520413074767j),(0.04932545812965572-0.013432894572307352j),(0.04686611584050638-0.010395668962414274j),(0.050566361292136236-0.011658164492343366j),(0.04263677258253952-0.006952383595489873j),(0.0494472958302049-0.007856462149885137j),(0.03675131522272567-0.0025382083109210135j),(0.04557277903017036-0.0023824999839641156j),(0.029653703261424243+0.001832125354530656j),(0.039345458085091975+0.003994318079622787j),(0.021874309786280896+0.005200877710777842j),(0.031404331248259136+0.009433975450794175j),(0.014169569891175925+0.007006154633819606j),(0.02174028477329156+0.012504235466899154j),(0.007545995271519626+0.007031590744937635j),(0.011558958561019203+0.013485963889053819j),(0.002727960764866307+0.005378716769870289j),(0.003772394231367118+0.011938853123487728j),(-0.00012060209199942939+0.0028889041463757625j),(-0.0010516714640206213+0.006923080914542469j),(-0.0009392268282879927+0.0008292618450799959j),(-0.0037810456487184594+0.0005916420644863506j),0j,0j
0j,0j,0j,(-0.0007928448658463619+0.0009621351192584535j),(-7.2886640999177e-05+0.00042067288311800166j),(0.0010559879617748542+0.004103579261216084j),(0.0008259561583703655+0.0013768562504450485j),(0.004914945343794366+0.004850226653620754j),(0.0026957202441773675+0.0020775600374869883j),(0.009166004665981508+0.006117039965062649j),(0.005861598606135122+0.002665433667244774j),(0.01621119206115276+0.006746256009510591j),(0.01072594690146871+0.002568405128985061j),(0.02472285170083565+0.005033800594712163j),(0.01704522907802112+0.0012340737832329304j),(0.03305122917519105+0.0014648209662624099j),(0.024254685490063103-0.001402015610711185j),(0.04040852884626416-0.0029919290574446085j),(0.03173954095243483-0.005004988113819218j),(0.04611966376791648-0.007461972755167098j),(0.03879497615947261-0.008932967722218106j),(0.049607362072859436-0.01091798776621373j),(0.04472330713848178-0.012214038714516828j),(0.05067368535842365-0.012466976834617094j),(0.049075878900582126-0.01381727419412062j),(0.04937662234441539-0.011730543235398246j),(0.05155759471529733-0.013175992620940586j),(0.04587525344240201-0.008877586963921172j),(0.05162929438713939-0.010240615509396922j),(0.04045507572407139-0.004568009076405301j),(0.04881831638703598-0.0050708402203849525j),(0.033505998215038774+0.00015032255699402614j),(0.0434953697218637+0.001631874922845962j),(0.025503942577506093+0.004194725766014163j),(0.03605175029752856+0.007828699333972575j),(0.017226985720570007+0.006806261987110671j),(0.026124281371406856+0.01201412045842213j),(0.00978561633563738+0.007496332889026195j),(0.015085869901391824+0.014375054744997656j),(0.004019104005762213+0.00614254320454552j),(0.006220538825868105+0.01372942704505962j),(0.00027984636104437906+0.00358816330832957j),(-0.00011989779068015546+0.008588429938004391j),(-0.0010523539584554394+0.0012235538297098343j),(-0.004720278938955171+0.0014209337339581712j),0j,0j,0j
0j,0j,0j,0j,(-0.0008657391093218676+0.0013828082169644452j),(-2.476467298548623e-05+0.00056021743196835j),(0.001906673988221694+0.0049202405152670185j),(0.0012181238636329405+0.0016214495143834996j),(0.006392505346141742+0.005306425914908876j),(0.0035297461029185646+0.0023088622336837044j),(0.011497858142681823+0.006473763689618051j),(0.007360951809746146+0.002753689018340623j),(0.019576245544660937+0.006561186307141204j),(0.013034067459795903+0.002266905396738366j),(0.028734147419944536+0.004001245757806021j),(0.020102637396374745+0.00034383826594756953j),(0.03720350885888945-0.0002807079318668295j),(0.027884017827258724-0.0029007260013581403j),(0.044264380253070224-0.005095847393795834j),(0.03565109596636495-0.006959271195340431j),(0.049263944228554984-0.009435329600435588j),(0.0426038719639615-0.010918686554380247j),(0.05172723443216292-0.0122130164579226j),(0.04816650834300691-0.013617438948421297j),(0.05158349410655507-0.012666510474508385j),(0.05195156717801653-0.014241576003131058j),(0.048983055386420706-0.010664686798394928j),(0.05331144459027091-0.012409724602920743j),(0.044193443123549565-0.006708237919133289j),(0.051727673342364014-0.007820546302934186j),(0.037545975735568504-0.0018180918946068476j),(0.04754993933921001-0.0010584115015919138j),(0.029451611998454592+0.0028407863035626655j),(0.04086179476262397+0.005709771054824151j),(0.02069401614569878+0.006313777613391416j),(0.03089522211791357+0.011023767244643427j),(0.012456098758634836+0.0077966909424012285j),(0.019210988462703877+0.014982183687858596j),(0.005660524350791469+0.006889257639349406j),(0.009367450467079963+0.01548183193875646j),(0.0008722299521796176+0.004390159430994073j),(0.0012872225761246963+0.010430004181088914j),(-0.0011272496022820774+0.0017465823205309236j),(-0.005772635889153962+0.0026445267571715055j),0j,0j,0j,0j
0j,0j,0j,0j,0j,(-0.0008905136759484528+0.0019430272555648119j),(6.335476658495234e-05+0.0007358616792499393j),(0.0030614016396619836+0.005805862829802964j),(0.001752192551750458+0.0018811827390887844j),(0.00817002671254598+0.005734222597638843j),(0.004606347281134647+0.002522133200201966j),(0.014252484675309735+0.006705503906471413j),(0.009221084329716045+0.0027415903026841337j),(0.023389318189228774+0.006086745486562196j),(0.015780468194302445+0.001731218340801319j),(0.033056492330362515+0.002614172979572558j),(0.023594429614526784-0.000886489523419322j),(0.04149337895777596-0.0022945972614229855j),(0.03185255709110899-0.004764906912117467j),(0.04806329360542133-0.007289857270921159j),(0.03973225364695874-0.009114915436383864j),(0.05213599563831799-0.011238757166384837j),(0.046514440345299855-0.01278347658592695j),(0.053379756928635-0.013046655421413223j),(0.0516527229177045-0.014735420791455992j),(0.051882775344981896-0.012172371752346658j),(0.054388230318712885-0.014211295369476932j),(0.04790664809717041-0.008862855563489033j),(0.054190967157490444-0.010493456877527053j),(0.041730446148726306-0.004035093842649771j),(0.05139883569639252-0.003998403886552171j),(0.033697300219072114+0.001122099595289051j),(0.04573188228031227+0.003077170607900618j),(0.024581669900396154+0.005473527346072312j),(0.03599074567471923+0.009471651973246785j),(0.01559855989230252+0.007865983807944218j),(0.023956988597426856+0.015206145772486253j),(0.007710134169506947+0.007572795430228226j),(0.013315344824378145+0.017079781762029973j),(0.0017126761283833157+0.005291329043667648j),(0.00329016064391946+0.012393014009551914j),(-0.0011306824653935796+0.002427135663005193j),(-0.0068998824054844945+0.004391159614808919j),0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,(-0.0008271715206671652+0.0026788928115437684j),(0.0002126949457963397+0.0009497991165643374j),(0.00460085208519009+0.006737297792021054j),(0.002471275767268419+0.002128199975167613j),(0.010305079025654336+0.006128305725998036j),(0.005989117359916207+0.002665632128472153j),(0.01748450365074052+0.006781676348731417j),(0.011516074920021999+0.0025362542485029326j),(0.027653837150241545+0.005281982893975469j),(0.018991306596096925+0.0008352143333469834j),(0.03765983924269364+0.0008928046604955807j),(0.027464104456372405-0.002542597275612995j),(0.04588216472120367-0.004516542965511482j),(0.03607171605439637-0.006930121761608748j),(0.051724247209026006-0.00947428809080963j),(0.044027424448477376-0.011314516605632192j),(0.054623472751734826-0.012707370662902291j),(0.05055406268316039-0.014552488397652663j),(0.0544788801847747-0.013229270808301262j),(0.0547462111727395-0.01548026385063209j),(0.05152521043543692-0.010903119780625577j),(0.05609155766880976-0.012920977816610174j),(0.04600639719539741-0.006435076320915011j),(0.05491937778384922-0.007072488067924383j),(0.03821016762802116-0.0009607869800760464j),(0.05053838069004151-3.461594959020977e-05j),(0.028890979496926796+0.004234045466616864j),(0.04132449041834655+0.007315921753570668j),(0.019248009521280758+0.007629366797199079j),(0.029328098389781107+0.01493745804117927j),(0.010227497960856608+0.00813475384309027j),(0.01815709437828645+0.018372112285386367j),(0.002868440469448054+0.00628048552702715j),(0.006018031016795037+0.014388220267711051j),(-0.0010151696480405815+0.003296099912983235j),(-0.00803055203284493+0.006818359217696493j),0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,(-0.0006144922332773968+0.0036286992842809425j),(0.0004496747646975604+0.0011982210062575526j),(0.00662240287555649+0.007667349975847784j),(0.0034128925069087743+0.0023149654527795864j),(0.012881307869894883+0.006479154207085893j),(0.007729427193208217+0.0026540574214448756j),(0.021271237640418602+0.006664111414541211j),(0.014266407909062691+0.001997580219858415j),(0.032378900777872824+0.004119919289230928j),(0.022590351005478855-0.0005152951297547502j),(0.0425338675494786-0.0011341367119457693j),(0.03163874028398243-0.004561033648684375j),(0.05031552253154256-0.006885251974289377j),(0.04061547301333218-0.009285094543349996j),(0.0551366534915203-0.011503339992773464j),(0.048534183133056984-0.01362018829085449j),(0.056643832717206875-0.01363932810668673j),(0.05426163942972248-0.016049028301305984j),(0.05496390218157595-0.012660196269191196j),(0.057305418208635696-0.014907438877812698j),(0.05031173450854815-0.0089163723904657j),(0.05797678205726422-0.010123663653763429j),(0.04294930468329571-0.003383652473748369j),(0.0551377448791383-0.0035467822995984633j),(0.033611018865339+0.00255155923620673j),(0.04678606925897275+0.004544147676668794j),(0.023429506638412208+0.007005950642455866j),(0.035304832624808324+0.014062674279847058j),(0.013271339935860061+0.008504251690004863j),(0.023965642987533457+0.01917045764420359j),(0.004419016071784469+0.007336427596093839j),(0.009601175249360116+0.016284124434499482j),(-0.0007146837532519678+0.004384548097708394j),(-0.009045694038543342+0.010114538451434084j),0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,(-0.00016483629527508405+0.004826932674609042j),(0.0008042961576484813+0.0014691718212724004j),(0.009230950083813947+0.008513242683173362j),(0.004595181472764935+0.00237712185238532j),(0.016015586918867727+0.006756296626643575j),(0.009829368114900575+0.002382747190087579j),(0.0257083934777302+0.006279202921341564j),(0.017391864582940595+0.0010313920205632227j),(0.03757759241968014+0.0025735669968329415j),(0.026510606255801896-0.0022524605407689166j),(0.04766232898906531-0.0034423226383669386j),(0.036223324074968415-0.006861748862939056j),(0.05470810273120015-0.009308204539825397j),(0.04546016961453884-0.011925372427227266j),(0.058211152393978324-0.013197785111425477j),(0.05279880725446262-0.015763850893850778j),(0.058107143145121526-0.013924164238774262j),(0.05769953100932974-0.016238484859007977j),(0.05457021992950551-0.011328831496684118j),(0.06042382119495981-0.012952719824054874j),(0.04786506072799213-0.006087039936540757j),(0.0593677791976181-0.007326897924733574j),(0.03871952952488984+0.00039666571038029445j),(0.05224198343672126+0.0011842498755156839j),(0.028155238141345004+0.005911614066264625j),(0.04183788688468691+0.012470666655654793j),(0.01689653973819394+0.008598081434400946j),(0.030780056596124965+0.019249735656352268j),(0.006457005009673075+0.00842499020675754j),(0.014159755826135385+0.017899973733456313j),(-0.0001395541259073483+0.0057205339208315255j),(-0.009760328544765209+0.014499182884193476j),0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0006394380141940183+0.006296123703457847j),(0.0013049230746674417+0.0017405815874185651j),(0.01252116403229864+0.009149909719828264j),(0.0059965601844408686+0.002256912840958638j),(0.019848452442992635+0.006882355167011333j),(0.012235215381142544+0.0018036240023506555j),(0.030865178452131596+0.005507258960562628j),(0.020833512610523068-0.00030293625004940643j),(0.04325493712031002+0.0006244203969047586j),(0.030870174364877725-0.004299805809252571j),(0.05301586481022091-0.006003851986664761j),(0.041206283901588474-0.009549299755678862j),(0.0589624627051668-0.011683876539802216j),(0.05020913915090221-0.014509532692543526j),(0.060801316856767644-0.014451726111974417j),(0.05713079844734986-0.016695620390219285j),(0.058676350709856134-0.013466671763930776j),(0.06210091574364049-0.01532242192240034j),(0.05289354921765457-0.00895882193881575j),(0.06304891331876256-0.011182862760254065j),(0.04418423572017851-0.0022308473094090455j),(0.05753644755989432-0.00268453910233109j),(0.033425233575685206+0.004265642381683718j),(0.04884067376955973+0.010061254580372091j),(0.021152569008837892+0.008321174608093545j),(0.038587622534381576+0.018352800123012387j),(0.009089065464977423+0.009495029806567487j),(0.019787312459819267+0.019000902704225945j),(0.0008294423155604501+0.00732400647532559j),(-0.00989980284586843+0.02021983105027383j),0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0019443364315657743+0.008036733302562823j),(0.0019686909412130905+0.0019903580120311957j),(0.016548992514983336+0.009416620307675509j),(0.007573498619811338+0.0019656522428760904j),(0.02451023371641701+0.0067205735813610085j),(0.014944790360755746+0.000969428258530562j),(0.03675405668542683+0.004235238830197524j),(0.024692695652035936-0.0019285154966986256j),(0.04943272908297617-0.001746441995474164j),(0.03570392256643055-0.00671394294203167j),(0.05851867080654868-0.008838774878759125j),(0.0463294927151787-0.012249231226929252j),(0.06284261114691303-0.013943761094830287j),(0.055442599429999885-0.01607686561081695j),(0.06249003051155594-0.01507007997300506j),(0.06283757856660362-0.01696552662897767j),(0.05794017365116737-0.011823224385415273j),(0.06598790721919688-0.014863587345971579j),(0.049954920520458156-0.005277841573766621j),(0.06249077592785493-0.006923814685697969j),(0.03923011855753098+0.0020086519776100005j),(0.056179527307365834+0.0067566260367297026j),(0.026086537661398797+0.007570448043628833j),(0.04730199373714429+0.01620077158037826j),(0.01243830325059535+0.01047321153047104j),(0.026528480240244463+0.019296775276178645j),(0.002347866368967424+0.009199095348647983j),(-0.009070238527955837+0.027543969271802346j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
