(-1.1193245122035204e-06-7.547787852657462e-06j),(-2.0338299565671057e-06-2.633970978255719e-06j),(-5.484013984341421e-05-2.2634171054000314e-05j),(-2.6496419956558578e-05+2.1785280780078098e-07j),(-0.0001939905479965962+9.138008956820501e-05j),(-7.675764515231651e-05+6.81134696169725e-05j),(-0.0004083839345760332+0.00023376289890015298j),(-0.00018733600541499934+0.00021495899107219153j),(-0.0007114437478837587+0.0005074028481568738j),(-0.00036210095001538214+0.0004907310815582161j),(-0.0010591492846028562+0.0009041818115940167j),(-0.0006037971164014521+0.0009241733780145512j),(-0.0014354559321041339+0.0014278149281701656j),(-0.0009066868089538595+0.0015395858618996393j),(-0.0018168071277065712+0.0020707250736916338j),(-0.001260871609776193+0.0023483657734339235j),(-0.002185379382053613+0.002818810594314951j),(-0.0016543927055884663+0.0033507458590998867j),(-0.002525935161681711+0.003654591798813454j),(-0.0020737675692326747+0.004536295404933334j),(-0.0028245855921318432+0.004557036123304792j),(-0.0025041704909194253+0.0058843543463301j),(-0.0030689079882812594+0.005500976690380104j),(-0.0029296731274583766+0.007364398073433243j),(-0.0032487664660510044+0.006457381986032598j),(-0.003333619828474271+0.008936843482710587j),(-0.003356777426624364+0.007394519707161291j),(-0.0036985337557093627+0.010554521728428658j),(-0.003387855903337001+0.008279372780705861j),(-0.004004945526012893+0.012164085068390054j),(-0.003337930638613099+0.009078426469769389j),(-0.004229634561942947+0.013706202731209318j),(-0.003202596485204501+0.009757182929622087j),(-0.004344434434163962+0.015114143306078425j),(-0.002976931316655092+0.010278261698879926j),(-0.004316868933957912+0.016310316864547397j),(-0.0026582728178762205+0.01059894972256446j),(-0.004116365055211431+0.01720106831546079j),(-0.002253039603292274+0.010671464903268122j),(-0.003730023277830063+0.017676760115862455j),(-0.0017844319392464156+0.01045005134700245j),(-0.003180306078520126+0.01762765242419265j),(-0.0012946066579877082+0.009903936312548337j),(-0.002529267728676327+0.016970726114672586j),(-0.000839399074524483+0.009030185732706824j),(-0.00187147721244546+0.01567319581719703j),(-0.0004781367148617223+0.007863821099174113j),(-0.0013217652781088343+0.01377889487901259j),(-0.0002575198422233299+0.006483899453218692j),(-0.000975796396346046+0.011432737765789935j),(-0.0001910602986719194+0.005007852744703644j),(-0.0008558668816403139+0.008856440377918186j),(-0.00024577656248649267+0.0035702809000034376j),(-0.0009100303170314347+0.006292544043301222j),(-0.00034718205671893963+0.002292951175429445j),(-0.001033121249693024+0.00398747922100828j),(-0.00040991164457960887+0.0012601124330250183j),(-0.0010620902362950217+0.0021415649877117577j),(-0.0003800311137761209+0.0005225943513509796j),(-0.0008828058635596287+0.0008291725389167507j),(-0.00025135248286721154+0.0001084723613317858j),(-0.0005500657616596673+8.488349068431118e-05j),(-9.07222493973954e-05-2.0557436577196855e-05j),(-0.0001955065820849276-0.0001070124472143937j),(-7.26621116570957e-06-2.2365181697324138e-05j),(1.4572442034622768e-05-5.9551872172994775e-05j)
0j,(-3.153123973728572e-06-1.0181797511751621e-05j),(-3.374041055750124e-06-3.198413018190792e-06j),(-7.796258863733048e-05-1.921837998988142e-05j),(-3.547955030443342e-05+5.6086985717052585e-06j),(-0.00023527038698254463+0.00015388352963827047j),(-8.812196628406896e-05+0.00010269864604741684j),(-0.0004829115206307308+0.00037759299219469066j),(-0.00020262988714618717+0.0003124870090837375j),(-0.0008164059324066843+0.0007857459612379519j),(-0.0003730805754555599+0.0006979261193425171j),(-0.0011802241827759852+0.0013566767507428798j),(-0.0005965310803435458+0.001294443941148861j),(-0.0015521890383007936+0.0020902662137614837j),(-0.0008601241877803734+0.002128826650919506j),(-0.0019034450992830515+0.0029697458187483033j),(-0.001148465570215817+0.003210100737060741j),(-0.0022139032275239018+0.003970978656003901j),(-0.00144592667464868+0.00453227893288395j),(-0.002467809365951511+0.005066015579644142j),(-0.0017371199610448685+0.006075242332138422j),(-0.0026522939459266977+0.006222614254708604j),(-0.0020070146451548754+0.007805573446613971j),(-0.0027577318402280354+0.007404036770203551j),(-0.0022409639589199212+0.009677392715146366j),(-0.0027782781632183146+0.00857003619831361j),(-0.002424467808922399+0.011633660448525773j),(-0.0027114459068945875+0.00967840001818865j),(-0.0025420678270875884+0.01360750673119978j),(-0.0025566901120822397+0.010685903189928847j),(-0.002575724642910795+0.01552254918336561j),(-0.0023138808475150208+0.011547845976132653j),(-0.0025037476935422073+0.017291735266266577j),(-0.0019831731418903237+0.012216037446623472j),(-0.002301722083850553+0.018814124516601433j),(-0.0015683271040691194+0.012636424821993637j),(-0.001949791349758467+0.019970250567594314j),(-0.0010844070798162848+0.012750276949425028j),(-0.0014500785125786558+0.020624549296956708j),(-0.0005658057453900375+0.012503382662288832j),(-0.0008443662585027748+0.02064580033779124j),(-6.726769886827845e-05+0.01186159160987629j),(-0.0002155558116635263+0.01993825157635845j),(0.0003439225460478488+0.010825634938673027j),(0.0003228209796915329+0.01846840884533998j),(0.000601512851750024+0.009442092804409821j),(0.0006445040278749909+0.016295597904257237j),(0.0006602180341801032+0.00780863474787763j),(0.000660812405103362+0.01359533809810164j),(0.0005192285518273011+0.006065325105258983j),(0.0003791010023413403+0.010623289721017334j),(0.00023620098051211236+0.004368725292088827j),(-0.00010541852217255499+0.007654095436755616j),(-8.117477812316076e-05+0.002856104631472175j),(-0.0006304017220518534+0.004967723224893538j),(-0.00031610091652370186+0.0016186795574240458j),(-0.0009652726932525972+0.0027815611333830517j),(-0.00039437142134329307+0.0007138445585087801j),(-0.0009615362956274532+0.0011707565976428883j),(-0.0003012996036521031+0.00018101508151777005j),(-0.0006804471075148397+0.00020308037410397294j),(-0.00012097205317291272-9.72160290717577e-06j),(-0.00027207946379805464-9.937486011414598e-05j),(-1.4150465948558884e-05-2.8193527606286008e-05j),(7.305628992090697e-06-8.191750814964748e-05j),0j
0j,0j,(-6.527131305632874e-06-1.3380270411206208e-05j),(-5.339598626404233e-06-3.682566675740633e-06j),(-0.00010810272991791458-9.927738895487171e-06j),(-4.631184285271699e-05+1.46044450436297e-05j),(-0.0002770830384803239+0.00024197632200909607j),(-9.654985261792914e-05+0.00014931664772330292j),(-0.0005516053925197532+0.0005752689180793805j),(-0.00020389631904297296+0.0004397442553993019j),(-0.0008964246747235822+0.0011589369420438409j),(-0.00034790029182392787+0.0009621679801298962j),(-0.0012456432107199832+0.0019510493631687597j),(-0.0005170214246516346+0.0017586472368834052j),(-0.001569553637918493+0.0029442362506241883j),(-0.0006894491087102043+0.0028566681237684453j),(-0.0018349595560725963+0.004108076397073707j),(-0.0008437373777472219+0.004260116445637161j),(-0.002021668728000045+0.005404337891778062j),(-0.0009611789369963141+0.005953229707916001j),(-0.0021162301195949093+0.006791017446354345j),(-0.0010262130613994977+0.007901903816863221j),(-0.0021103315928801946+0.008221632305137526j),(-0.0010262843670391685+0.010055158948150941j),(-0.0020008371470330395+0.009645692845314136j),(-0.0009512194389823925+0.012346425573814868j),(-0.0017893549813584335+0.011010034093646747j),(-0.0007921068544551905+0.01469473882870881j),(-0.0014807852764681347+0.012259840010568948j),(-0.0005398429256337585+0.01700522701731993j),(-0.0010816642360213832+0.01333825563551843j),(-0.00018412757379317234+0.01916838263290013j),(-0.0006000644081950724+0.014184333403413211j),(0.00028546450023715766+0.021057270824519136j),(-4.942811475030878e-05+0.014730852009451005j),(0.0008713144501834744+0.022523731740672077j),(0.0005429321873838506+0.014906634544851402j),(0.0015490744052538536+0.023403591805043384j),(0.0011277302984633519+0.014648154227601058j),(0.002250747034414391+0.023542010748858918j),(0.0016343167814483362+0.013917927519540768j),(0.002866765057277185+0.022828960270152444j),(0.0019817141268987943+0.012721376819263854j),(0.0032606038312754837+0.021229577232184854j),(0.002096321824130697+0.011118393619325925j),(0.0032939659838006536+0.018819104545932937j),(0.0019361817772447429+0.009227176788651724j),(0.0028895453522747657+0.015803431740432153j),(0.0015176318897543331+0.007211921532634717j),(0.002092153753538079+0.012469462918508898j),(0.0009300137413106693+0.0052515127194627705j),(0.0010501070097150753+0.009121092748064401j),(0.00032276987526649485+0.0034969520812723194j),(-1.99704005260761e-06+0.006068920040317305j),(-0.00014833360594991804+0.0020433879080557736j),(-0.0007497962401105046+0.003539186651854072j),(-0.00038288109411016775+0.0009538970041456185j),(-0.0010036441666584446+0.0016032404853397505j),(-0.0003522616391634027+0.0002813662461390405j),(-0.0008238290793233888+0.00037430080763557684j),(-0.00015791832077514682+9.798407497521493e-06j),(-0.0003685960057842609-7.456092913979905e-05j),(-2.445658811858869e-05-3.4533412535603845e-05j),(-6.845726842372931e-06-0.0001101115167266831j),0j,0j
0j,0j,0j,(-1.1866696295396576e-05-1.706292675168999e-05j),(-8.138637010653635e-06-3.9273550540376045e-06j),(-0.00014627631276756698+8.603261898589518e-06j),(-5.8856644408397954e-05+2.8629724335654668e-05j),(-0.0003147797862664854+0.00036266186795102395j),(-9.943497303420767e-05+0.00021047652371149634j),(-0.0006028182096150976+0.000840282090206053j),(-0.00018255902663269765+0.0006012518591811087j),(-0.0009267948392480338+0.0016459296453688393j),(-0.00026791320630905875+0.0012902900343486614j),(-0.0012135378712026606+0.002710660739299614j),(-0.00033161251441437574+0.0023251458966898923j),(-0.0014252469705246247+0.0040140940785833145j),(-0.0003410111925399411+0.003731275531706162j),(-0.0015269775853820294+0.005506620409029363j),(-0.00026847876325035+0.005503328391673414j),(-0.0015025340545335537+0.007131388556876592j),(-9.388170829439512e-05+0.007610634053446937j),(-0.0013454278136368386+0.008828699491008419j),(0.00019504545994666179+0.009999284865971077j),(-0.0010568846616062317+0.01053525834841819j),(0.0006036515508559051+0.012594396863908909j),(-0.0006446780247089423+0.012184893798431339j),(0.001131913415693677+0.015301349421180539j),(-0.00012161949070997529+0.013709177376226928j),(0.0017758821730173827+0.018006423565563652j),(0.0004960570193679669+0.015037001994088032j),(0.0025287370814825634+0.02057659966094816j),(0.0011887052766172373+0.016092609596128474j),(0.0033797775842238325+0.022857345376747964j),(0.001928986285125738+0.016793763710953754j),(0.004305651041063268+0.024669900451132667j),(0.0026727179063975788+0.01705542440422087j),(0.005250940549235507+0.025819630635726575j),(0.003351015628659123+0.016804050467066338j),(0.0061128678966392465+0.026126462986131242j),(0.0038731205143131566+0.015999084640018698j),(0.006747688988168276+0.02546466595608324j),(0.0041414707453226365+0.014651860538646727j),(0.006990272247738917+0.02379709751243682j),(0.004074371426678007+0.012837367875148713j),(0.006688541549372922+0.02121455535776175j),(0.003635106896461693+0.010696016752316104j),(0.005780189637664427+0.017951284789517397j),(0.002861980998811923+0.008417104552833881j),(0.0043543948269711905+0.0143203138459799j),(0.0018838726817596136+0.0062012334141889275j),(0.0026222001265517087+0.010649768585969294j),(0.0009015793021550197+0.004209785040887488j),(0.000907129989940431+0.007274920381321789j),(0.00011826599811992865+0.0025371430595120354j),(-0.0003751620653444799+0.0044180270937528125j),(-0.00033220662303670175+0.001250194298807555j),(-0.0009867048293188236+0.002140243696417743j),(-0.0003998174675123762+0.00041690017776889335j),(-0.0009742263067765413+0.0006139952477417207j),(-0.00020186469855283133+4.167656304068368e-05j),(-0.0004871112864302449-2.3898602217208037e-05j),(-3.940395428792229e-05-4.0861016344929195e-05j),(-3.130359218469807e-05-0.00014464538749863967j),0j,0j,0j
0j,0j,0j,0j,(-2.0005305959813978e-05-2.0990412345795455e-05j),(-1.202979702145231e-05-3.684903851554687e-06j),(-0.00019310381722535626+4.0916890576560725e-05j),(-7.280905487340417e-05+4.9490604170054395e-05j),(-0.00034141054292311364+0.0005236465898276329j),(-9.35870043543813e-05+0.00028924956615276773j),(-0.0006189055897389005+0.0011871618008281793j),(-0.000128120364185278+0.0008016605556623712j),(-0.0008732502156009722+0.0022649805281688266j),(-0.00010975460858121969+0.0016883993273075976j),(-0.0010277389270731039+0.003654787443778241j),(1.9888272368409267e-06+0.0029993649771129435j),(-0.0010386451141303195+0.005314912287249869j),(0.00025238725160437787+0.00475359439847149j),(-0.000874268245401115+0.007170227034290066j),(0.0006741144907156265+0.006930314306026604j),(-0.0005288676821727445+0.009140910872493458j),(0.0012846606952509007+0.009476847247011458j),(-9.535552680106586e-06+0.011146424630610012j),(0.002086433654626917+0.012312132808467434j),(0.0006668355756804965+0.013104561216168112j),(0.0030691503422277003+0.015329437209727818j),(0.0014761853223994369+0.014931015886727699j),(0.004211952758501878+0.018397245844823145j),(0.002388759159547771+0.016538263134981922j),(0.005484829426816539+0.021359519359586136j),(0.00336875418806935+0.017833629793563028j),(0.006847949584379793+0.024034103617428075j),(0.004369604403671695+0.01871806988553754j),(0.008242668121592423+0.026211250485068203j),(0.005324418320858583+0.01909144952364253j),(0.009572049959246544+0.027665336173132625j),(0.006138785347310076+0.018869803422571645j),(0.010688126073400677+0.028190368738203634j),(0.006696515051198437+0.01801010198400726j),(0.011403365868579327+0.02764392396577075j),(0.006879690400647908+0.016531097392280713j),(0.01151623957411172+0.02598566606355871j),(0.006597206199669977+0.014524726980666189j),(0.010857271708794866+0.02332087390422096j),(0.005819234767217762+0.012155025475972683j),(0.009381013034698906+0.01990824541014001j),(0.004610983538833797+0.00963674222057956j),(0.007225852747201374+0.01607932734660261j),(0.003149363707218241+0.007190397765084949j),(0.004674115168555468+0.012179191027153934j),(0.001696972980904851+0.004982444704976155j),(0.002155971968571649+0.008558034710466053j),(0.0005135310255266057+0.0030997678243274932j),(0.00020619980459370038+0.005415613233823995j),(-0.0002249904656726284+0.001609803520917597j),(-0.0008817026163442212+0.002794360512611405j),(-0.0004372045840230298+0.0005960846794961743j),(-0.0011215097958060547+0.0009402470726654576j),(-0.0002525336300147038+9.065427309377318e-05j),(-0.0006284725801948138+6.40173511703128e-05j),(-6.050394303544073e-05-4.623554234438209e-05j),(-7.070933278535463e-05-0.0001855067537496823j),0j,0j,0j,0j
0j,0j,0j,0j,0j,(-3.203509258096832e-05-2.4675501804978077e-05j),(-1.7343106521995888e-05-2.567836070814132e-06j),(-0.00024857083313219424+9.297410764120332e-05j),(-8.763307112455489e-05+7.964932349284423e-05j),(-0.000347371012069628+0.0007332460392564884j),(-7.46418959587257e-05+0.0003899457776242807j),(-0.0005747064442185322+0.001629776914065836j),(-2.705234495216339e-05+0.001046551019230096j),(-0.0006901700432973919+0.0030312142537452158j),(0.00015694773336904943+0.0021616258076098626j),(-0.0006163416410414175+0.004793985626336277j),(0.000537983573299318+0.0037813802186989743j),(-0.0003105483250303568+0.006845760072295694j),(0.0011747369594176838+0.005911344705711888j),(0.0002475710428601478+0.009079347907269174j),(0.0021007337234942827+0.00850673720418076j),(0.0010444729321993996+0.011388377431566035j),(0.003322451890885042+0.011484244581618263j),(0.0020509977504420975+0.013668981568694196j),(0.00482099430821282+0.01472744451886884j),(0.003227016165041214+0.01581769981342905j),(0.006556185988433883+0.018089495074479482j),(0.004524182413171588+0.01772833916159448j),(0.008469291854004782+0.021393690716785416j),(0.005884846699229725+0.019289287794603763j),(0.010483150304083562+0.024432301083762403j),(0.00723661147883985+0.020383046827498093j),(0.012493448425149791+0.026966300874148297j),(0.008482606210322848+0.02089347272397701j),(0.014349939630732342+0.028740439895557867j),(0.009495498005448756+0.02072621982680815j),(0.015847167157328694+0.029523565516447j),(0.010126954737193784+0.0198369022174984j),(0.016741725423884874+0.0291565082329414j),(0.010233759894606766+0.018253631507582805j),(0.01678507018621947+0.027595289890431668j),(0.009713176274494622+0.016087291633181823j),(0.015783928973536362+0.02495820904803729j),(0.008543255513533559+0.013526722836192138j),(0.013708543212405206+0.02152281118110111j),(0.006820792201282994+0.010811829372597939j),(0.010747840058150875+0.017629363754317947j),(0.004779536553922608+0.00817987885652507j),(0.007261833713379417+0.01363050114673486j),(0.0027548167595942983+0.005794782485580099j),(0.0038052274590636625+0.009877126758673579j),(0.00107250082575245+0.0037267876402385988j),(0.0010486711872425211+0.00652130315127552j),(-3.914621959311365e-05+0.002038740575829147j),(-0.0006521057704515291+0.003575831277524848j),(-0.00045458153047157033+0.0008283407509424331j),(-0.0012499929708734154+0.0013736180707777492j),(-0.0003087201217588526+0.00016272093326041615j),(-0.0007914350522267477+0.00020378084308855405j),(-8.957101588069722e-05-4.910427218462293e-05j),(-0.0001312157154091653-0.00023174239958056558j),0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,(-4.9378223364542086e-05-2.7243596419384363e-05j),(-2.449075149151599e-05+5.179649548543611e-08j),(-0.000311714821239132+0.00017257017513346197j),(-0.00010219571514677403+0.00012264916886524726j),(-0.0003198259769636424+0.0010005426656833508j),(-3.551525812908615e-05+0.0005184390367734105j),(-0.0004369498514858076+0.0021789617881186867j),(0.0001399323976240534+0.0013423514839158057j),(-0.000319338579743163+0.003953209445333574j),(0.0005730359890587514+0.0027115078029817338j),(0.00010812262466831+0.0061245295107796235j),(0.0013454529007594722+0.00465957329626747j),(0.0008746751016801152+0.008582418596226698j),(0.0025269130215176765+0.007168212353706198j),(0.0019776436271451677+0.011181541819410548j),(0.004142305396035676+0.010158499929188379j),(0.0033730284276916453+0.013786129436466123j),(0.006172534695256294+0.013507897247731784j),(0.004998714018745244+0.016266743884158292j),(0.008559466272927512+0.017057529408906424j),(0.0067804212606573+0.018495448883018222j),(0.011212173244685245+0.0206140619985797j),(0.008631285167472523+0.020339901144773905j),(0.014008909366563885+0.023948508497318673j),(0.0104449893190273+0.02166285466582359j),(0.016789352857908748+0.026796842143739685j),(0.012085765922711088+0.02233172006228612j),(0.019337380148024816+0.028878035627941258j),(0.013384228450279199+0.022242473520272667j),(0.021376055639820344+0.029938608780543864j),(0.014151496352429078+0.021351226703529475j),(0.02259128362126684+0.029804230867353877j),(0.014212573196779195+0.019698035336996687j),(0.022673449842905306+0.028428052490288912j),(0.013449523594079067+0.017415051370160844j),(0.0213953258198278+0.025940205787688672j),(0.011848103382821773+0.014717014744800486j),(0.01873717584971399+0.022630394685954278j),(0.009540612347915874+0.011868130694538728j),(0.01493459554961003+0.0188364177020802j),(0.006826268922579536+0.009117785763471328j),(0.010428277047259528+0.014907541411814974j),(0.004124007951031897+0.006617173676297001j),(0.0059142185686127105+0.01117614526858113j),(0.0018354558550199608+0.004408049474055318j),(0.0022126180300748454+0.007713987663016376j),(0.0002528759444864463+0.002541065885502241j),(-0.0002530894312643859+0.004490839229996635j),(-0.00043815501402655305+0.0011237413955801415j),(-0.0013367464211118418+0.0019366886375538342j),(-0.0003678254678270529+0.00026527893051610485j),(-0.0009714558707624971+0.00041354973813480635j),(-0.00012869806477967008-4.704179795132906e-05j),(-0.0002207899874985468-0.00028084631659871433j),0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,(-7.386906272910074e-05-2.7192152869081878e-05j),(-3.391863849955768e-05+5.202550315492498e-06j),(-0.00037999444400267657+0.00029001512490672187j),(-0.00011388274219612101+0.00018338976736066934j),(-0.00024147018250893955+0.001335593521215946j),(3.5738787129877495e-05+0.0006811044862954033j),(-0.000164908638236688+0.002840532634001864j),(0.00040127730716203985+0.0016934768041231632j),(0.0003102402012961865+0.0050288888799449325j),(0.0011918824384880627+0.003329522671036564j),(0.0012466952275238512+0.007622833200768975j),(0.002506813360190183+0.005600263436499055j),(0.0026447590787670085+0.010470460377930526j),(0.004418523647830945+0.00845070458378018j),(0.004462819366823377+0.013383050525003813j),(0.006926624933851687+0.011758315462209717j),(0.006611778213850288+0.016192729924058482j),(0.009964826572659404+0.015355483849495238j),(0.008981171400813318+0.01874244022162781j),(0.013411378880811542+0.019036893888805414j),(0.011444401999605966+0.020877024094149297j),(0.01709552884387294+0.022558394082531408j),(0.01385103852969386+0.02243890406453907j),(0.02079199377844895+0.02563781722146853j),(0.01601559241647157+0.023279358079973732j),(0.024206382740336423+0.027975142637230607j),(0.017715467351751904+0.02328630778253202j),(0.026975140915413455+0.029300172052315405j),(0.018710792875102408+0.022419238437550233j),(0.02869598545901959+0.029427531764251634j),(0.018786341802474106+0.020733661334498544j),(0.028980306460328138+0.028310552777185652j),(0.01780351393717143+0.01838592747710237j),(0.02755205172645056+0.0260913693639761j),(0.015753772497877388+0.015617987894819494j),(0.024389766780552647+0.023065255086686144j),(0.012807408159747721+0.012717202755793714j),(0.019764860688466147+0.01955642148330127j),(0.009336884722621787+0.00993907460348329j),(0.01419685941867491+0.01589933686257239j),(0.005854823310441204+0.00740924866460217j),(0.00853695511241293+0.012383402380097212j),(0.0028476651738578614+0.005126221915252446j),(0.0037628439348305264+0.008959759283993026j),(0.0006847881189434777+0.003117719456374683j),(0.0003689732696090594+0.005539422774910797j),(-0.00036917723335549914+0.0014924918833536297j),(-0.0013496516146468596+0.002653172172418101j),(-0.00042524539959072963+0.0004072682481036964j),(-0.0011591073728306632+0.0007152452692860232j),(-0.00018017108507379989-3.640917418004568e-05j),(-0.00034949229889354915-0.0003278869863024621j),0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,(-0.00010778789869671319-2.1990073058273255e-05j),(-4.593886442658694e-05+1.4489246249367217e-05j),(-0.00044794212069252824+0.0004589138887658728j),(-0.00011733049810559586+0.000267706557719969j),(-8.841605748368048e-05+0.0017489958493623681j),(0.00015714282968317265+0.0008818191024060767j),(0.0002887101585944183+0.0036149296921264866j),(0.0007955562506915865+0.002096023431002392j),(0.0012813507868093842+0.006241293279820994j),(0.0020759349454943245+0.003988252382424929j),(0.002910875173617968+0.00924039348116421j),(0.004107583927832188+0.006537735204021715j),(0.00513373480245694+0.012418445727634805j),(0.006948993447034927+0.00964028258825699j),(0.007847613087184336+0.015539275918108397j),(0.010550415295874672+0.013123934269089487j),(0.010896927134434995+0.018400865201207806j),(0.014770622478281677+0.01677451517353788j),(0.014099245640782505+0.020819015825451696j),(0.019391573782204307+0.020338842978831477j),(0.01724588371260143+0.022615832138794107j),(0.02411764307699334+0.023525064904145132j),(0.020088268694931192+0.02362807701547162j),(0.028565375648665136+0.02602373435286731j),(0.022337059834335846+0.023738540065069175j),(0.032269264045128504+0.027556927115569084j),(0.023688545185783793+0.022914360652685713j),(0.03471918800212341+0.02793593122304654j),(0.023876348300638034+0.021231316014255073j),(0.03542572412596922+0.027120929415697322j),(0.022733154339074687+0.018873925366527364j),(0.034043708014418306+0.025269104294360016j),(0.020251503883718703+0.0161133945460844j),(0.030530669844732523+0.0226766659050202j),(0.01663989378533904+0.013259314033695178j),(0.025174285904092798+0.01964544851722733j),(0.012350078346438729+0.010566268509972363j),(0.018564798894149134+0.01648486373329547j),(0.007996690172620873+0.00811905962688649j),(0.011717398082619252+0.013411958368174291j),(0.004158771190750421+0.005855256935383633j),(0.005766181046326721+0.010209755115148069j),(0.0012970657924300459+0.003765071510983083j),(0.001276607081594006+0.006713027397576887j),(-0.0002228340089287639+0.0019441251892412111j),(-0.0012452356819906414+0.0035464600893195964j),(-0.0004735863421128319+0.0005992161115756477j),(-0.001338060341404532+0.0011344412418574376j),(-0.00024628721997839415-1.191911625567952e-05j),(-0.000529668787996083-0.00036429380708999956j),0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.00015372713970218907-7.501434846166372e-06j),(-6.043727219848827e-05+3.0178435374961084e-05j),(-0.0005048408469451897+0.000696440442808138j),(-0.00010354449853865201+0.00038089941802202517j),(0.00017225246541512256+0.0022499244121998684j),(0.0003510694498520001+0.0011182689467881448j),(0.0009790246100178249+0.0044982482690388475j),(0.0013664202393047296+0.0025309407881160136j),(0.002686870977319243+0.007554485374867558j),(0.003285544577585039+0.004636082519020491j),(0.005219112023320158+0.01089821250784821j),(0.0062181990924175855+0.007373232321198313j),(0.008473728278188725+0.014289347150810035j),(0.010183506276049503+0.010580324849798711j),(0.012256711414911046+0.017443313470643203j),(0.015051938605406627+0.014034779423221878j),(0.016313367431488885+0.02012702572405127j),(0.020571332696506593+0.017477352441058212j),(0.020354207782451436+0.022139812371775286j),(0.026377820201532506+0.020613866428557462j),(0.02404962425756821+0.023307198160634653j),(0.031991949029666206+0.023136218773754713j),(0.027026917901148834+0.02351177647717819j),(0.03683210032071136+0.024771080402523224j),(0.028902774827139002+0.022734589667474384j),(0.0402596322284161+0.025338739139323024j),(0.029345728304732355+0.0210783194139628j),(0.0416592657359258+0.02481804239119889j),(0.02814831542036172+0.018761264471109318j),(0.04059082625771206+0.023389053131463156j),(0.025295918069438067+0.01608743978775334j),(0.03696287424040042+0.021348792479890025j),(0.021032158424826683+0.013388810147918208j),(0.031049768965173405+0.01897337087269117j),(0.015891296692572904+0.010911709666641905j),(0.023496769260653264+0.016540448873177214j),(0.010595385937554345+0.008682955938330284j),(0.015484068944786801+0.014161508412400855j),(0.0058217409311891516+0.006558934086350031j),(0.008288099843407455+0.011398466008712721j),(0.002137370523459865+0.004473179870799914j),(0.002540752135428762+0.007991769465427151j),(3.2934728988511e-05+0.0024863407559884885j),(-0.0009663752665672794+0.004637433482931229j),(-0.0005016844769228935+0.0008531657685952432j),(-0.0014826126166341746+0.0016997629687756069j),(-0.00032902569519712154+3.3903896577253145e-05j),(-0.0007759626996520045-0.00037620871158381824j),0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.00021416506612834438+2.2676245932373686e-05j),(-7.658163568654475e-05+5.509860978635408e-05j),(-0.0005318113712768411+0.0010222403341019958j),(-6.054739104990323e-05+0.0005258130748406726j),(0.0005838472098679575+0.00284239536349094j),(0.0006391539707729636+0.0013810047271930075j),(0.0019742028803417717+0.005481399105003944j),(0.002151517374961784+0.002963455146299447j),(0.004627678915188782+0.008908667812224788j),(0.004864534338927314+0.005203295149437481j),(0.008291183470479944+0.012478264062450848j),(0.008877857431107245+0.007989689193019291j),(0.012779261933602622+0.015889253375039627j),(0.01413823839116112+0.011099154731887832j),(0.017762382204615818+0.018816936280296855j),(0.02039632969626914+0.014260399993004302j),(0.02284107604728813+0.02101599395375204j),(0.027235452352832673+0.017179349539565937j),(0.02757644406880399+0.02230445432845035j),(0.03408150542154683+0.01955710810593948j),(0.03149047196734087+0.022572392839931975j),(0.04022586494423049+0.021138601130006145j),(0.03410064053003229+0.021823938637763128j),(0.044881224831579636+0.02177050697580724j),(0.03499271366323155+0.020198013677833717j),(0.04727973354163443+0.02146879840070692j),(0.033903381874216425+0.017954826944705182j),(0.04685539937511601+0.02045116690615055j),(0.030797917527316636+0.015437364439879838j),(0.04343087141601757+0.0190229633088557j),(0.025947465160453386+0.013002442122705911j),(0.03722693859343921+0.017440586859101388j),(0.019967855324516576+0.010881792808091127j),(0.028919622995135952+0.015949974516231806j),(0.013689733920743753+0.009026493167606486j),(0.01984426226796727+0.014522178210213958j),(0.007891326028261267+0.007189655452667995j),(0.011388270074775117+0.012442894290788516j),(0.003260692807826113+0.005223769777951209j),(0.004239526077708684+0.00934154678399556j),(0.0004386129926270165+0.0031234151450544104j),(-0.00044002085187742614+0.005941364154844353j),(-0.0004934057533687305+0.0011824258882397456j),(-0.0015547821625050437+0.0024415653873342625j),(-0.000429502447616556+0.00011137320031168467j),(-0.0011049964190800404-0.00034229787882221994j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
