(-0.0006835443640247586+0.00029918779952614307j),(-8.195127783194876e-05+0.00012571950091141008j),(-0.0003019962466134996+0.0014640611435281512j),(1.0768778086314447e-05+0.0003929830488393722j),(0.00011115793477534218+0.001368850861574844j),(0.00014768479494868108+0.0006507285136678889j),(0.00038914912970015343+0.003088890591457745j),(0.0005709323050335095+0.001142805317298316j),(0.0023252077772594817+0.004864271270374946j),(0.0014324600672208797+0.0017080103879096747j),(0.004341255858298014+0.006192599102603465j),(0.002741634848263594+0.0023550973375011308j),(0.006497013704479545+0.007863422902905377j),(0.004554250832602478+0.003064773112537064j),(0.009004188377517014+0.009645085326736903j),(0.006831122209642083+0.00382004061916702j),(0.011720268056430522+0.011353807991025549j),(0.009534017553303895+0.0046488037500512875j),(0.0144445049354728+0.012900307670197115j),(0.012615820150264382+0.005549207327870189j),(0.017003157427475494+0.014303176011380847j),(0.01598454193566521+0.006507846657231086j),(0.019316517870009774+0.015619962909756j),(0.019514890215709887+0.007525372281821122j),(0.021386444975190322+0.016850301687693754j),(0.02307774734292467+0.00862260409870793j),(0.02318744316728252+0.0179217878585085j),(0.02656658804706506+0.009815194237365422j),(0.02463976960138286+0.018780903365159016j),(0.029880989744895434+0.011082087526020738j),(0.02567646534704827+0.01943234900716387j),(0.03289609475044053+0.012375438557849146j),(0.026286407308855547+0.019887065278961693j),(0.035459726122346484+0.013662650726440238j),(0.02647385499600153+0.020127862499632648j),(0.03745078167609783+0.014951825765896801j),(0.026236698243242245+0.020134377274981886j),(0.038824020178605693+0.01622726995318764j),(0.025574908738037964+0.019897272650238565j),(0.03954491694333529+0.017391045358878917j),(0.024502315872892925+0.019418752435298642j),(0.03950679178661191+0.018329881353709575j),(0.02304717645133547+0.018703379163031966j),(0.03859247780765863+0.019036745715840308j),(0.02124814440246018+0.0177589903744112j),(0.0368327574820792+0.019564959113851903j),(0.019153118842988818+0.016595236064265755j),(0.03437987191931419+0.019838293845608583j),(0.01681522737469179+0.01522724977734973j),(0.031279664999948845+0.01964979553092711j),(0.014295571950472676+0.013677613972286012j),(0.027421280352146683+0.01892945651841397j),(0.011658894625355801+0.011974947236866042j),(0.022825981873249974+0.017859396257210572j),(0.008966890803181434+0.010167143933327656j),(0.0178222888402727+0.016587345423774925j),(0.006299979000219293+0.008344516046019637j),(0.01277228386203832+0.015006803041637595j),(0.0038081582302367397+0.006616587429997205j),(0.007824004132536902+0.013019793073341102j),(0.0017032543239258453+0.005029088607557492j),(0.0031817967626080884+0.010796429280323313j),(0.00015506194058156563+0.003538172030244971j),(-0.0006121163086428286+0.00846349943880247j),(-0.0007653376659730554+0.0021123538546530245j),(-0.00302958420476795+0.005751434164133298j),(-0.0009876906765487875+0.0007864830610853719j),(-0.003996403012455584+0.0022997661492916363j),(-0.0006059373810113921-0.00012409072447677695j),(-0.0018167799394656645-0.0021155361688938172j)
0j,(-0.0007654990900515511+0.00042490528575726735j),(-8.186210098080981e-05+0.0001559078944817069j),(-0.00020937967177591415+0.0017011351118111093j),(4.822425887403967e-05+0.000452758881914015j),(0.000210600160539518+0.0015668305481573088j),(0.0002233734224949848+0.0007420255364592108j),(0.0007001637864853534+0.003471201700450242j),(0.0007430488024669498+0.001263150916340893j),(0.0029962954360336622+0.005237462961714429j),(0.0017482350489781992+0.0018232402584188396j),(0.005327323514005084+0.00650547848780595j),(0.00325009720353842+0.0024291957729516834j),(0.00783125083512535+0.008114839569787998j),(0.005297596894094642+0.0030512827219893973j),(0.010705450966700876+0.009794491859115653j),(0.007839175234348496+0.003679549373619744j),(0.013773250787751844+0.011366156987925098j),(0.010835366324952862+0.004347337912167658j),(0.01681249598526228+0.012750984288719923j),(0.014227276600032078+0.00505065049967068j),(0.019634062759337958+0.013982952903532133j),(0.017900561640368153+0.005781473009467187j),(0.022154759254033162+0.015130312558813086j),(0.021707203088396413+0.006561804836448988j),(0.024373716928274097+0.016196285223157112j),(0.025520251187296485+0.007435042786461694j),(0.026262722884250876+0.01710586876367271j),(0.02923446997555536+0.008405238631090623j),(0.027729617662013636+0.017805588563624675j),(0.03271322860747745+0.009438004548340364j),(0.028704640865541687+0.018310603923574906j),(0.0357849529744612+0.01051368759501305j),(0.02918104338327833+0.01863490552824127j),(0.03830514653792335+0.011655187429143087j),(0.029169512108176462+0.01876181288434563j),(0.040210335249707775+0.012858874785922556j),(0.028671532705921217+0.018664988649329837j),(0.04144170008580471+0.014027063587111465j),(0.02768639572630849+0.01833726831847908j),(0.04185892384210574+0.015052626250820792j),(0.026236975084290234+0.017786428577254654j),(0.041322140418933756+0.015943020028324404j),(0.024365891852966386+0.0170184487800554j),(0.039859456389522194+0.016753547425107124j),(0.02212605399211709+0.016036923846875214j),(0.03761598341334036+0.017380190828534873j),(0.019574670202546777+0.01485029704397754j),(0.03460078955832524+0.017589547144556728j),(0.016779664571710616+0.01347722602117187j),(0.03067107559477921+0.01732236647406083j),(0.01381658710821845+0.011941060216685466j),(0.02587024112172222+0.016777359718381357j),(0.01075907447280805+0.010285066332421383j),(0.020577754694507903+0.016062028528868035j),(0.00770490966908354+0.008597634082703271j),(0.015160454927716248+0.014991440115287188j),(0.004831120239004852+0.006982661934156268j),(0.009735151180619694+0.01343645909560108j),(0.0023777512557634863+0.005467080566208399j),(0.0045326103539695215+0.011581785214463165j),(0.0005284438198457394+0.003983340918349134j),(0.00018381869822803047+0.009511025928923644j),(-0.0006408754120134241+0.0024906757071610644j),(-0.0027505718820812863+0.006839707475023686j),(-0.001044354187637408+0.0010241018304556542j),(-0.004255064855881827+0.0031497880725296296j),(-0.0007290353053673224-6.35259870535628e-05j),(-0.00242272959135399-0.0022396289423213993j),0j
0j,0j,(-0.0008473654411125684+0.0005808112070205689j),(-7.842200270932051e-05+0.00019115420945450929j),(-8.275012206789188e-05+0.0019627397635542756j),(9.672210558183894e-05+0.000518402623754251j),(0.00033723134972374634+0.0017904664252606467j),(0.00031847245181890736+0.0008418005818343723j),(0.0010826445328082082+0.0038775983533850668j),(0.000949061873088293+0.0013879062253059115j),(0.003767527627397935+0.005597202457154779j),(0.0021125738682682142+0.0019308969451546632j),(0.006431794265535254+0.006768407552377489j),(0.0038193227411719025+0.002475139502835631j),(0.009299064632087945+0.00827392371127295j),(0.006109468197605864+0.0029856728386111133j),(0.012547132960437095+0.00980515931823201j),(0.008924985336524489+0.0034577843771352616j),(0.0159643554256526+0.011191729765769749j),(0.012216942037626332+0.003923645459293924j),(0.01930410974077547+0.012369902610431553j),(0.015904915202407763+0.004386527729896839j),(0.02236589618504215+0.013391917121876387j),(0.019854724578833412+0.004858216164548575j),(0.025061103389647836+0.014336950548956867j),(0.023916075502696192+0.0053848071902596545j),(0.027390466181463083+0.015213996155191917j),(0.027964674670028795+0.006001435260792011j),(0.029319228246776415+0.015940767248595507j),(0.031853387871581346+0.006700717196507889j),(0.03074203769126576+0.016472632815590495j),(0.035399602902103866+0.007486795259721657j),(0.03159362336950407+0.016833407899376922j),(0.038444450415551834+0.008396301223034627j),(0.0318728677420262+0.01703819956462605j),(0.04090135072966796+0.009436780598809136j),(0.031596982615390505+0.017065321594944335j),(0.042682279491257934+0.010517628695106324j),(0.030764987973691076+0.016886974788440513j),(0.043609689989170676+0.011546713687449044j),(0.02938481717235834+0.016503946318833496j),(0.04352283340592149+0.01255352037340675j),(0.027495309132162776+0.01592327496955249j),(0.04244647576980341+0.013595050350309801j),(0.025153242238803285+0.015146691096552013j),(0.04051140972889781+0.014539323004625283j),(0.022423097074596287+0.014175439155812234j),(0.03768028290245254+0.01513090474573741j),(0.019379098499469474+0.013020228902869491j),(0.03377527236189655+0.015329492228182796j),(0.01610626876211103+0.011697300748680443j),(0.028865791095384827+0.015349439512546213j),(0.01268985956752665+0.010243716277981249j),(0.023379011217360083+0.015246117940783326j),(0.009246408802419885+0.008744071853869762j),(0.017670812534797773+0.014748010826795346j),(0.005981836483706093+0.007292506641060647j),(0.011814483121827856+0.013700569573816603j),(0.003164727691001525+0.005891831572869319j),(0.006072601425617326+0.012306206839449574j),(0.0009909291355737575+0.004446742213278837j),(0.0011715148169388159+0.010588269009942967j),(-0.0004592524514502612+0.0029061320713747404j),(-0.0023097921228358484+0.008026681723198157j),(-0.0010816576960451963+0.0013037258934331464j),(-0.004433937019610889+0.004149523780972325j),(-0.0008654877129515719+2.4381434068724035e-05j),(-0.0031517795974248908-0.002303155670465479j),0j,0j
0j,0j,0j,(-0.0009257926263959309+0.0007719635798580008j),(-7.052781845416174e-05+0.0002319385627415802j),(8.448040122872747e-05+0.002249205378960782j),(0.00015838594630784088+0.0005898950526292714j),(0.0004972958693683898+0.002042388368228238j),(0.000436713532609593+0.0009498359629446578j),(0.0015475003471074533+0.004305436465117312j),(0.001194114551754159+0.0015149439632661616j),(0.004647134350976264+0.005934704093753285j),(0.0025298413293469153+0.00202649521276001j),(0.007658493129974268+0.006967855683461534j),(0.004452026245475327+0.0024893250057011792j),(0.010898557912420594+0.008324225187139257j),(0.006996133962130216+0.002863155111160982j),(0.014521433257315931+0.009656881421047262j),(0.010091178634113403+0.0031399820001415417j),(0.01827463148932003+0.010807864040889698j),(0.013665235019162236+0.0033623711287209808j),(0.021890401499677352+0.011737272863854285j),(0.01762480431050836+0.003555852219327939j),(0.02515941945817105+0.012512384144877327j),(0.021831910207347052+0.0037503838623883716j),(0.02798639511315888+0.013228072226300005j),(0.026134772587908868+0.0039893920178528525j),(0.03037695717976628+0.013894949825887487j),(0.030365362360566774+0.004298707561028486j),(0.032282854577084956+0.014428823739329105j),(0.034328484463039065+0.00472113600787421j),(0.03359679765612613+0.014797474573264895j),(0.037864539605873555+0.005318706361345437j),(0.034257584440949035+0.015025929385411148j),(0.040869242688571956+0.006105892487489228j),(0.03426986645005248+0.015130115128955906j),(0.043220391785079505+0.007002795033026092j),(0.033652973100553846+0.015083454426879027j),(0.04469898695572238+0.00793959957654545j),(0.03241075939456991+0.01486537968085928j),(0.04512269321239993+0.00897850089379098j),(0.030569390564120804+0.014475774925026308j),(0.044514990795640655+0.010180524788004474j),(0.028180570393674616+0.01391636982184565j),(0.04298519661801009+0.0113859788243333j),(0.025316028464919378+0.01318695632326343j),(0.04044024467714777+0.012323414816746531j),(0.022059669358720436+0.012287563913509462j),(0.036663985545949816+0.01298072162924109j),(0.018504680327447048+0.011223466574892376j),(0.03175583361001221+0.013587488038148689j),(0.014746545282622968+0.010023078655380158j),(0.026185118766255944+0.014134732399615877j),(0.010920749646255775+0.008765591562907982j),(0.020278022901227044+0.01425863174229149j),(0.0072640878720101705+0.007531147614188755j),(0.014051622041203835+0.013788256329203444j),(0.004073341817413601+0.006292351601357138j),(0.007807348329022191+0.01294701509056512j),(0.0015541696964781991+0.00492189985316781j),(0.002371895648032176+0.01167769021127591j),(-0.00020944908009923552+0.003357359654207978j),(-0.0016770220422119273+0.009303633690125636j),(-0.001092022863456022+0.0016292078864787451j),(-0.004501677899458768+0.005307027585405614j),(-0.0010139213191721697+0.00014624001318986344j),(-0.004017284689247772-0.0022787731102157072j),0j,0j,0j
0j,0j,0j,0j,(-0.0009963267021315502+0.0010039005688438232j),(-5.682306241142391e-05+0.00027872784124281j),(0.0002996670304832122+0.0025603762268000332j),(0.000235731436122903+0.00066712685111547j),(0.00069825410503231+0.002325117970401874j),(0.0005823961729037858+0.001065648112887219j),(0.002106743494360298+0.004750437897928884j),(0.0014833411091757312+0.0016417932115292337j),(0.005642763797207759+0.006239594491607352j),(0.0030047233528980115+0.002107098099930207j),(0.009009583576349525+0.007090546951909507j),(0.005156105787614137+0.002468087327255829j),(0.012627036792176895+0.008249479753477337j),(0.007964332651005619+0.0026703375067909678j),(0.016615845647784303+0.009328892601591863j),(0.011328090587212635+0.002711265221745591j),(0.02067902191165109+0.010196814778848562j),(0.015163186957426562+0.0026647358772746692j),(0.02453790344436377+0.010838505553000912j),(0.019380493164296075+0.0025689297086892073j),(0.027968937265787773+0.011334569563099656j),(0.023831981129772726+0.002450731752840253j),(0.030875399676678794+0.011800239182431739j),(0.02832259115717443+0.0023506666033529067j),(0.03326294779301401+0.012244534885537816j),(0.032632483004447564+0.0023519139694785805j),(0.035076192371634965+0.01259209106944209j),(0.03660050497485149+0.0025629745629283753j),(0.03621206898342622+0.012810980766095034j),(0.0401205028270288+0.0030118867914183884j),(0.03660634957326059+0.012929544942168747j),(0.04303731908571105+0.003629929533915249j),(0.0362723632786731+0.012964970485216698j),(0.04509035551326837+0.004374205581929904j),(0.03523357074037984+0.012891699972986566j),(0.046071439505066716+0.00534674896109554j),(0.03351176468756131+0.012690338881021918j),(0.04600338144415457+0.006619951005159605j),(0.031145964583880963+0.012352383993877914j),(0.044968246485490665+0.008008642228082083j),(0.028204234640291186+0.01187981939697517j),(0.0428094290097713+0.009234195173470358j),(0.024782513003460866+0.011266491900721935j),(0.039270652817248564+0.010321646217918267j),(0.02098353173888447+0.010503064904846707j),(0.03448415725101239+0.011515568047885841j),(0.016912188277671023+0.009605562758769757j),(0.02895336783665801+0.012730947900812438j),(0.012721566805775126+0.008644726400247634j),(0.022953071672481843+0.013509541365144614j),(0.008680269555630674+0.007682930463924868j),(0.016432146940619244+0.01367678377987422j),(0.005112384059973571+0.006656068367124655j),(0.009739712706799106+0.013480057841854404j),(0.002230250289217512+0.005400590103073535j),(0.003805448460367894+0.012757929985431958j),(0.00012062293427182735+0.0038417034740149416j),(-0.0008200596511480846+0.010656926595709479j),(-0.001066409014944572+0.002004098044535902j),(-0.0044218790880502755+0.006626625909243446j),(-0.001171824525596916+0.0003096302334155589j),(-0.005031226281324808-0.0021325294123415704j),0j,0j,0j,0j
0j,0j,0j,0j,0j,(-0.0010531572477060238+0.0012826272626412475j),(-3.562864319790905e-05+0.0003318986225354629j),(0.0005710014683719298+0.0028956107907558634j),(0.00033176659427972536+0.0007496892907056994j),(0.000948857980542181+0.002641102088549903j),(0.0007605213692615781+0.0011884077339716905j),(0.0027727309688423385+0.005206644551144046j),(0.0018228132151154079+0.0017663117642788334j),(0.006761076060728154+0.006500947517679247j),(0.0035456490695328483+0.0021694762325904396j),(0.010487150624825326+0.007123476501393285j),(0.0059409560375204805+0.0024003202439964334j),(0.014479619317957168+0.008031735497813405j),(0.00900926768907818+0.0023922934656934514j),(0.01881133640343553+0.00880371035012076j),(0.012624029875322603+0.0021737725231911254j),(0.02314981070656357+0.009347065417827321j),(0.016713764794909092+0.0018385708113972396j),(0.02720766164490889+0.009664359085155175j),(0.021176869833876757+0.001413795739526421j),(0.030743408012114094+0.009858594509545578j),(0.02581938634235997+0.0009333112680929921j),(0.033665051533099455+0.010061590456669812j),(0.030396034285230602+0.0004962966761600341j),(0.03597423987101844+0.010288667052501387j),(0.034723574029625205+0.00026193794367183556j),(0.037623646921206476+0.010467585710712678j),(0.038700464719472645+0.00029530642190715945j),(0.038501211833344796+0.010560004166243928j),(0.04214913301580779+0.0005441102238384644j),(0.03854522968870125+0.0106079763295417j),(0.04477440905282863+0.0009988186133878705j),(0.03778113880401088+0.010626604092099137j),(0.046343016451667364+0.0018003254639380349j),(0.03624613025741833+0.010591597965916705j),(0.046871285338693496+0.0030395844071766163j),(0.03397874049864298+0.010473313958089592j),(0.046408603542226264+0.004512452991331986j),(0.031032208880478952+0.010262875539703379j),(0.044727811060942084+0.005946156880315756j),(0.027505098070000723+0.009954140574154032j),(0.04153510246842446+0.007412896790890026j),(0.023511147908603373+0.009524859763964217j),(0.036997277345998884+0.009170175856775077j),(0.019165817239527688+0.008976342638414568j),(0.03164064980115571+0.01104662284137142j),(0.014639510499690605+0.008365399261576378j),(0.025663905515356474+0.012491928214887009j),(0.010231141475792505+0.007731949842795123j),(0.018937551798080238+0.013345306273604588j),(0.006290145036498308+0.006968920575329886j),(0.011869431332799711+0.01388007267538298j),(0.003031544835045628+0.005872656369604953j),(0.005491626491166711+0.01380359339310168j),(0.0005440825137898796+0.004354975187840418j),(0.0002947257517692162+0.012067215309656999j),(-0.000994156552795576+0.0024314496920481744j),(-0.004153073286405579+0.008107627548881014j),(-0.0013352154877250709+0.0005231199018444054j),(-0.006203074133655396-0.001822892093957021j),0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,(-0.0010887947580492895+0.0016145253701397727j),(-4.9663195722542256e-06+0.00039163878621058387j),(0.0009077052080688638+0.0032536710621415077j),(0.00044981255893106144+0.0008367225309250288j),(0.0012595393501380332+0.002992818216597467j),(0.0009769675791421416+0.001316783371163297j),(0.0035582154454556676+0.0056672534746456575j),(0.00222094059753106+0.0018853365527561265j),(0.008009049549131052+0.006707764166512141j),(0.004162697088290541+0.002205085364759038j),(0.01209288030315711+0.007051822796586241j),(0.00680717639941636+0.0022721215233851722j),(0.01644565289913334+0.007653438924844103j),(0.01012383497359014+0.0020297471238273517j),(0.021086079518698057+0.008070930071430343j),(0.013989800452173712+0.0015336433809031306j),(0.02565729799698188+0.00825053286656183j),(0.018327043952128228+0.0008649958044184262j),(0.02985394829658876+0.0082145379855593j),(0.02298145717807704+6.400140828965057e-05j),(0.033427785018522546+0.008096112218391226j),(0.027719842871591217-0.0007733310297831865j),(0.03628718166945095+0.008038123719089341j),(0.03232810645838162-0.0014721788848023679j),(0.03844102932731717+0.008070399420466334j),(0.03668853537632878-0.0019139166416280821j),(0.03984598178925918+0.008105360623055868j),(0.04061102004417903-0.0021167476204174986j),(0.040374188669933433+0.008115873503107239j),(0.0437754397843247-0.0020436788155873587j),(0.039982752110309036+0.008152332826270032j),(0.04593808477947788-0.001515108215534828j),(0.03870814882347215+0.008225909361245815j),(0.04710164002290538-0.0004238194233380752j),(0.03660858555575353+0.008306556699540285j),(0.04727457903584792+0.0010169733730628992j),(0.033737295611556084+0.00835675689175539j),(0.046151464306697504+0.002556285601116932j),(0.030179701666123597+0.00836017237256786j),(0.043407239631878106+0.00432846226245822j),(0.026053474259320492+0.008286327704219486j),(0.039246830619963015+0.00659947318245977j),(0.021483971556185713+0.008124332000463396j),(0.034204621293860475+0.0091027200521847j),(0.016662313249475074+0.007913146648700756j),(0.028376118356611944+0.01120286061750616j),(0.01191548228763068+0.007662304011674719j),(0.02154534858723277+0.012775745845705462j),(0.007614102393410912+0.007215563681942613j),(0.014192806437265212+0.014121144661409457j),(0.00397055459505627+0.006325908726294667j),(0.007448155866680583+0.014785076082816772j),(0.001075030805056255+0.00489122761086808j),(0.0017016433101444451+0.013508634623245764j),(-0.0008628249195743473+0.002913594509089658j),(-0.003648978509462035+0.00974286575393336j),(-0.001498249238840819+0.0007962378197327259j),(-0.007538316075439424-0.0012997606957484637j),0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,(-0.0010937714930081572+0.002006164531103567j),(3.739070713099358e-05+0.0004579804945893198j),(0.0013200940900463703+0.003632427170231856j),(0.0005934141966063973+0.0009271650250989938j),(0.0016430637290950321+0.0033824740298926694j),(0.001238628490688874+0.001448605987531738j),(0.004477673359336191+0.006124388683763377j),(0.0026870165068623698+0.0019924095980705203j),(0.009394523856145582+0.006847041908924409j),(0.00486076951027758+0.002202595625313193j),(0.013824654472734699+0.0068594579352076945j),(0.007752807800239519+0.0020811690961267354j),(0.018510272804790357+0.007103137700271269j),(0.011323099356411282+0.0015869718244876404j),(0.023419800973487972+0.007123935391872743j),(0.01544155496529251+0.0007659896345882314j),(0.02816505005903173+0.006903402240786183j),(0.019971365780723154-0.00028473825636074864j),(0.03242772963064631+0.006502312954169207j),(0.02473095516616124-0.0014499998748314978j),(0.035964188925176666+0.006072166825074398j),(0.029521590807719992-0.002572952019878297j),(0.03867643486708239+0.0057750231674521015j),(0.03418484845839795-0.0035102334843933373j),(0.04059475755758966+0.005643583896041101j),(0.03851026869269144-0.0042260087886281834j),(0.04165863326585154+0.005579296292542103j),(0.04215641051278992-0.004620853802691892j),(0.041748248490919924+0.005577273115132073j),(0.04488894785212869-0.004461111114475276j),(0.040837256829436494+0.005679309746442437j),(0.046703064928425686-0.0036325389270949293j),(0.038979031512976915+0.0058984825990323385j),(0.04755535553051907-0.002349555156717055j),(0.03625757834912415+0.006190159215194801j),(0.04705537234267258-0.0008260646527846874j),(0.03275273613685061+0.006504381350711084j),(0.044850926622426714+0.0011539251483319295j),(0.028572112638950216+0.006796233247730914j),(0.04119254158156476+0.0038619578922595705j),(0.023841954998035878+0.007045178699724817j),(0.03660505296948011+0.006928699623732044j),(0.018775861558721407+0.007275730682230936j),(0.031053431989367518+0.009646049848780524j),(0.013730147420839053+0.007458098264827786j),(0.024229207027618757+0.011953790990185035j),(0.009090432834190918+0.007379380321594817j),(0.01670246630670047+0.014177363638972179j),(0.005059615617057776+0.006746112706264837j),(0.009690288458181226+0.015668467468165425j),(0.0017284434484553868+0.00544257703901906j),(0.003434729538445063+0.014948011140170192j),(-0.0006580402657676435+0.0034518934284754137j),(-0.002859037394669787+0.01151709833515864j),(-0.0016527605544640297+0.0011393910199009993j),(-0.009036594844755276-0.0005035057699528393j),0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,(-0.001056392914524454+0.002464146612577317j),(9.408177975921352e-05+0.0005308811089317966j),(0.0018193895107128178+0.004028730526268075j),(0.0007668700522630014+0.001019886411605017j),(0.0021147918497248968+0.0038112386452170913j),(0.0015532615144990699+0.0015804881225826217j),(0.00554722218639663+0.006567021823850103j),(0.003228258542780786+0.0020794497548915288j),(0.01092325987738633+0.006902858035972431j),(0.005643271225084823+0.0021572236013679157j),(0.015676518054945722+0.006534033413669019j),(0.008793742470154436+0.0018280805076526672j),(0.020661366412774794+0.006374840009377485j),(0.012628101517983402+0.001036742457703269j),(0.025788954516756408+0.005955355107738175j),(0.01694951324025239-0.000162639215904185j),(0.03062963763034088+0.005314667334208177j),(0.021592351651409943-0.00157726645597011j),(0.03488210820214396+0.004553525797499987j),(0.026431266816277707-0.0030416030156380997j),(0.03829424650758427+0.003827851331615491j),(0.031300767086796896-0.004436507742227385j),(0.04077342091601236+0.0033307272310962545j),(0.03594996828841455-0.0056830379211156995j),(0.042360964717515145+0.003079955380794933j),(0.040011940144818375-0.006612568403675217j),(0.04298493265426798+0.00299370973893818j),(0.04326351625051757-0.006912499157998378j),(0.042551854600973965+0.003065005922285449j),(0.04571415488033396-0.00645733040963884j),(0.041041093157124266+0.0033342677046872527j),(0.04726260211986961-0.005460300494742347j),(0.038544978521495+0.0038082710168929426j),(0.04743303720385502-0.004083758911850493j),(0.03517255475611646+0.004413138265206483j),(0.045846240426840816-0.002015280004202102j),(0.031022975105265988+0.0050715712643575874j),(0.0428049950329347+0.0010254502315676958j),(0.02621201743098307+0.005744077208499612j),(0.03880599953386479+0.004561540385138754j),(0.02096517309133727+0.006445299912301406j),(0.033658212821226656+0.007831996762259793j),(0.015670839097689758+0.007103975882671735j),(0.02695906882437062+0.010869818306536218j),(0.010723873824703366+0.007442198133478379j),(0.01938702580294263+0.01402365225757706j),(0.006310455982042638+0.00711689364180287j),(0.012229987394598907+0.016415631300867043j),(0.0025199453748650487+0.005999014639997156j),(0.005526569426628247+0.016344190792993187j),(-0.00036337535563243424+0.0040464433290472775j),(-0.0017293269311844733+0.01340531916559268j),(-0.0017877412031577359+0.001563704270734336j),(-0.010689387783387006+0.000635909367026205j),0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.0009623251285232541+0.002995030918254645j),(0.00016844423142925712+0.0006099711797466814j),(0.0024177741767332584+0.00443867183402837j),(0.0009756759727556348+0.001112884842048987j),(0.00269234613232035+0.004278895701949506j),(0.0019292764885955448+0.001707845816753501j),(0.006781871992374672+0.006980793830374337j),(0.003852443943111601+0.002140598105621922j),(0.012597208412807566+0.006860442382216132j),(0.006525513880243602+0.002065090901369213j),(0.01764521952111189+0.006067829024300198j),(0.009951665750160162+0.0014869728096223512j),(0.022888601024931905+0.005459811959294555j),(0.014014792591924152+0.0003417175853264557j),(0.02815948898960436+0.004564692810656826j),(0.018464852658916994-0.0012190366683541996j),(0.03301104255680445+0.0035098915598529685j),(0.02321471103035575-0.002935020550312605j),(0.037171496679108476+0.0024030878668554498j),(0.028164032040642616-0.004702960555621522j),(0.040363682349511244+0.001421024977069128j),(0.03303962758164758-0.006439507310107303j),(0.04251829100483614+0.0007754413208205865j),(0.03744888096438355-0.007923315802065298j),(0.043667218963328376+0.0004822137849818864j),(0.04115916040809363-0.008759321513433099j),(0.043764619402843194+0.00047541482382909523j),(0.04420523569862277-0.00878217979910163j),(0.04272557544867311+0.0007286557270021715j),(0.046435432015462484-0.008198851487642229j),(0.040560575138287355+0.001291718395851286j),(0.047296354690044506-0.007101360884208153j),(0.037401657953154144+0.002127947218812321j),(0.04638906602071131-0.005077666460928388j),(0.033364143471550846+0.003132958286762369j),(0.04406644896765654-0.0018340865033033094j),(0.02856102595977969+0.0042331884186046715j),(0.04077806161111797+0.002045728929451247j),(0.023213033249789666+0.005420623036191103j),(0.03615271861423656+0.0057777747129069135j),(0.01773241587162179+0.006586927398416125j),(0.029701492381313435+0.009519548962339898j),(0.012518296942775571+0.0073845335574296515j),(0.02223062424500275+0.013636462374930713j),(0.007733913778590468+0.00741948062672212j),(0.015074918288453174+0.016984501195895448j),(0.003465562348056744+0.006548095845799811j),(0.008006785068975288+0.017647559226892102j),(3.975770896203347e-05+0.004695695563524265j),(-0.00020394110266899304+0.0153710424576204j),(-0.0018887469428049634+0.00208075399756301j),(-0.012477163771905084+0.002199646382681142j),0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.0007938968838363524+0.0036050073783169385j),(0.000264334251261219+0.0006940549741916544j),(0.003129070573575232+0.004857535840493582j),(0.0012256383928416885+0.0012024804475260504j),(0.003395952566195406+0.004784324824263298j),(0.0023762070368633943+0.0018248480124309218j),(0.008195419273449397+0.007351719281062379j),(0.004573615897606035+0.0021677757223459806j),(0.014419716659174735+0.006708857077052377j),(0.007526358451742605+0.0019034032403354513j),(0.019731368922842114+0.005449317893444455j),(0.011210871478596661+0.0010219315824236826j),(0.025171882946330562+0.004348562239126916j),(0.015440214667423256-0.00047111309362736015j),(0.03049545337461822+0.002970551894787374j),(0.020026204320040174-0.0023323855669246884j),(0.03527847061234724+0.0015210920947581245j),(0.02492600208291158-0.004374722102746084j),(0.03924812309325981+9.863698191244263e-05j),(0.029903660100925083-0.006517139131368098j),(0.04212399999285829-0.00107720335899947j),(0.03457299707706232-0.008509950477310861j),(0.04384741436763974-0.001797209184632572j),(0.03868400735337661-0.009916314081272797j),(0.04445936050293292-0.0020167603570708974j),(0.04227013932987249-0.010507028158962742j),(0.043952395287400116-0.0018249697836218253j),(0.0451423695346632-0.010461114729439244j),(0.04224787985794541-0.0012502759405794348j),(0.04667978022094437-0.009774637161621979j),(0.039410843826021696-0.00027639900438733005j),(0.046490476777951664-0.007933181748810808j),(0.03556898748469365+0.0010132807564145064j),(0.04496963664590791-0.00463621715150361j),(0.03085658656065597+0.002526088000515118j),(0.04249840335877574-0.0005661427334510111j),(0.02549797276448244+0.004205279400929787j),(0.03850088286609144+0.003507645945122282j),(0.019907119311166267+0.005897684521470996j),(0.03242056403192389+0.007904758878689798j),(0.014476815263717774+0.007187220402713317j),(0.025212791642097027+0.01299416948837623j),(0.009340072189102672+0.0076327873687486066j),(0.018227185186366037+0.017329432187067777j),(0.00458169420730824+0.00707462829731234j),(0.01090010075672263+0.01879970385049241j),(0.0005722825598721368+0.005396003697368385j),(0.0017730612364127401+0.01736460124909083j),(-0.0019372250197718089+0.0027021726092047115j),(-0.014365947149736534+0.004280443592492926j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
