-10.0,-9.5,-9.0,-8.5,-8.0,-7.5,-7.0,-6.5,-6.0,-5.5,-5.0,-4.5,-4.0,-3.5,-3.0,-2.5,-2.0,-1.5,-1.0,-0.5,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.6801222376507158+0.13807363999148414j),(0.3198771531830311-0.13807239215589162j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.4620408161474776+0.17603421294682156j),(0.4620408161474776+0.17603421294682156j),(0.23918866899508714-0.03427396348306164j),(0.08068835457918538-0.10379856151533531j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.13077481971060126+0.017222476552233683j),(0.13077481971060126+0.017222476552233683j),(0.46160277969945335+0.16112860872304421j),(0.33972727590260215+0.011025436494517442j),(0.08945348164983044-0.06880194000431458j),(-0.008765165893797203-0.034995545151209964j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.07347927465565134-0.029416573882546246j),(0.07347927465565134-0.029416573882546246j),(0.30978223041901354+0.183829848689931j),(0.288592068058109+0.13601694149604962j),(0.27907600647320896+0.02833002807658832j),(0.19049657580209062-0.09377124974005271j),(0.0035103575635380994-0.01933322488854969j),(-0.012275753337820893-0.015662368795468375j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.009580546455414687-0.012111365938660208j),(0.009580546455414687-0.012111365938660208j),(0.18985895324299773+0.0230425878536897j),(0.14381735781262983+0.011556854182527408j),(0.35054636928567656+0.18597757028411016j),(0.2763642783322976+0.06160649002735345j),(0.15189008103147328-0.0578449792278291j),(0.04595952679687095-0.0657339300105455j),(-0.005937562320671409-0.015317192053524683j),(-0.006338072432351639-0.00034508497388059537j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.006221304378224444-0.009982203561781304j),(0.006221304378224444-0.009982203561781304j),(0.10166580661195532-0.0044356109443673495j),(0.09702093527448527-0.005653249999128399j),(0.2385990194252977+0.13773437335835376j),(0.2083954496531636+0.1004782272824931j),(0.2845340689565238+0.06738618853239763j),(0.20963601353534428-0.03541051746039716j),(0.04363626159275506-0.04185325493582514j),(-0.0029938001564335367-0.045523155074772045j),(-0.003621740713570327-0.0003727602675609494j),(-0.0027163800103289144+2.7659157053407714e-05j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.0013480754289070254-0.0019468406209872315j),(-0.0013480754289070254-0.0019468406209872315j),(0.04158624399369256-0.023769965350910374j),(0.03388352675375086-0.021414723443878743j),(0.19116380409967307+0.05043644044866545j),(0.15332517056102649+0.023814166049133348j),(0.23857846002972496+0.08626180758711281j),(0.19378721787946843+0.04421118814554821j),(0.18204026155703523-0.019020947606481008j),(0.09515470266483364-0.06072357042054762j),(0.0018976528393307886-0.0351638923773969j),(-0.010106110871228629-0.01198583636680008j),(-0.0025496744860731683-0.0009069338263366122j),(-0.00016666604641061102+0.00093458327803906j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(6.866489086186402e-05-0.001628345458884879j),(6.866489086186402e-05-0.001628345458884879j),(0.015050495934620474-0.014509010501109795j),(0.015425647729621711-0.013930126137586017j),(0.1127139914571925+0.004598600366617742j),(0.0970711342887262+0.0008073989174115954j),(0.17335226520229596+0.016337828501728432j),(0.13654615198510733-0.0007046233652281851j),(0.19401348276826838+0.0022806918654652776j),(0.141101034641567-0.01670862334115938j),(0.08380093871025258-0.04711971012413214j),(0.02357622361701126-0.05962557827457188j),(-0.0041733428423657805-0.010002812063000783j),(-0.009062115166251914-0.003495510349992363j),(-1.6264506027202446e-06+0.0006399891081380197j),(-0.00016505082556136187+0.00029460026989671317j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.0005349001162093705+2.5860737246478025e-05j),(-0.0005349001162093705+2.5860737246478025e-05j),(0.003052009227988567-0.009080230107089264j),(0.0021068106447930477-0.008208894566532246j),(0.06211347581366181-0.017897310457264712j),(0.05129322648052573-0.017946894779552473j),(0.10637503069293448-0.02012363108191289j),(0.09149643302780762-0.017940394701599992j),(0.13835102387137105-0.039150146632963456j),(0.09913760932385962-0.031926830461587466j),(0.09667607166239209-0.03686531375956969j),(0.06388219349570937-0.03967152044061316j),(0.02285141310324633-0.044582153785034766j),(-0.0033270900746941814-0.02961561342882183j),(-0.006836058151955316-0.0037449295148494514j),(-0.002469360906416149+0.0011285480105349553j),(-0.0003323210998779877+0.00019431269849659854j),(0.00016727522909271473+0.00010028090044327377j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
