-12.0,-11.5,-11.0,-10.5,-10.0,-9.5,-9.0,-8.5,-8.0,-7.5,-7.0,-6.5,-6.0,-5.5,-5.0,-4.5,-4.0,-3.5,-3.0,-2.5,-2.0,-1.5,-1.0,-0.5,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0
0j,(-2.3897351362557033e-06+5.062622181905654e-06j),(-7.206639293367062e-07+3.471129405155491e-06j),(2.6749997888260936e-05+2.8116988028713284e-05j),(1.7533953878003304e-05+1.7717964626301976e-05j),(9.603246791350587e-05+3.984578063603727e-05j),(8.114564337977819e-05+4.084365341360043e-05j),(0.0004154762362736921+0.0002661589317707298j),(0.0003697445776438252+0.00017852981531365844j),(0.0008041178914457375+0.0009268048362028131j),(0.0009288623602539186+0.0008032284081208103j),(0.0011343515848301954+0.0019921119389303857j),(0.0014446496447109174+0.0021798484020671242j),(0.0013806909449087389+0.0033789684514149098j),(0.0015382632203314284+0.004096438903096059j),(0.0015100630523495228+0.004879321857224903j),(0.0011596332742837276+0.005940039972854699j),(0.0015322191733953027+0.006094519464877406j),(0.0006508490040319323+0.0070468028027050435j),(0.0015430001061649328+0.006572359200542599j),(0.0004708949340230505+0.0070024154041923884j),(0.0016484994644669+0.006033534504388541j),(0.0008416449394359645+0.005752601530769845j),(0.001842541791949925+0.004519915065078031j),(0.0015728455672775197+0.003570966431617164j),(0.001965116425022157+0.0023941993473204906j),(0.0021663832247222933+0.0009736768336227248j),(0.001791535234970196+0.000214942127736776j),(0.002124314169188764-0.0013892129904430892j),(0.0011970131990678135-0.0014490610520297435j),(0.0012797183930836572-0.002893351679868492j),(0.0002878630339352516-0.0022122918465912493j),(-5.2666271250808876e-05-0.0031661540537984614j),(-0.000613603941653894-0.0020176846453448735j),(-0.0012264696182509656-0.002285940937290859j),(-0.0011258174346899135-0.0011506821156158974j),(-0.0016303321877322197-0.000810252941262213j),(-0.0010080485526018758-0.00015069878185411867j),(-0.0010841841236807804+0.0004024991934468537j),(-0.00040687438125710726+0.0003690663541151559j),(-0.00016092263583352188+0.0006464718489988876j),(5.313050704255774e-05+0.00023427702687278657j),(0.00022106949143862748+0.00021744939003196998j),(7.520191917428545e-05-1.2963565216160048e-05j),(5.0799197193576856e-05-5.594234780054415e-05j),(2.501007626655109e-06-2.0915031197815807e-05j),(-2.0473088269751167e-05-2.4512165929174526e-05j),(-3.6169068594904724e-06+3.6049576849503003e-06j),(1.7994277370792628e-06+5.702227459148978e-06j)
0j,0j,(-3.1104423027115312e-06+8.533761377756108e-06j),(-6.497634096794703e-07+5.714983232601584e-06j),(4.493373523637297e-05+4.0120239469607415e-05j),(2.924644220008251e-05+2.55646160388054e-05j),(0.0001479317252688905+5.512517836650985e-05j),(0.00012772417811188604+5.729894263597173e-05j),(0.0006389201980377316+0.00034945225794545j),(0.0005634948472896831+0.00023207937961283444j),(0.0012830592888499015+0.0012586433723601688j),(0.0014430634007906206+0.0010723126180557034j),(0.0018901774555291375+0.0027419379439938938j),(0.002348159614345053+0.002975258902326866j),(0.002412953204154717+0.004661461187603846j),(0.0027207597957895437+0.005655240582532823j),(0.002780073675935241+0.006703566083241861j),(0.00242848030475758+0.00822499977218913j),(0.0029565752813193926+0.008294923983338543j),(0.001876323325939517+0.009705688837807633j),(0.0030160820989122796+0.00880628436911447j),(0.0016358435247018877+0.00949290932566164j),(0.003059032350894875+0.00788376169433088j),(0.0019654960872146207+0.0075489449036659625j),(0.0030674557842269782+0.005657110757573912j),(0.0025946461054803705+0.0043607660680376635j),(0.0028645192512690445+0.002715523991090626j),(0.0029020216060473207+0.0007801591554713877j),(0.0022395113702535657-0.00010683443083477609j),(0.0023586282206969665-0.002202322285847955j),(0.0011581689306232837-0.002036555911883322j),(0.0009454238482349523-0.0037646937855370633j),(-0.00011938475237867025-0.0026575855063742525j),(-0.0007524341224294198-0.0035904346654304j),(-0.001122947269247144-0.0020576508374624603j),(-0.001854019422048252-0.0020617003565637057j),(-0.0013878865297287865-0.0008001624558704646j),(-0.001718655812084224-0.0002024722206699754j),(-0.0008121288842502029+0.00021210617727922894j),(-0.0006186421745392424+0.0007072480606163105j),(-7.958715652229482e-05+0.00033316941448601313j),(0.0001599533434321448+0.0004185753675042431j),(0.0001142426074489721+3.315789186872255e-05j),(0.00010827569874314396-4.237661553907836e-05j),(1.772729396898692e-05-2.6528527717725395e-05j),(-1.019745771578172e-05-4.770426165187931e-05j),(-7.773869516391456e-06+2.2762579725128176e-06j),(-1.8176780798143241e-06+9.307315442491808e-06j),0j
0j,0j,0j,(-3.760274117016206e-06+1.4248766839219687e-05j),(-2.02557263453536e-07+9.329700557021776e-06j),(7.438280354023811e-05+5.6355566435334765e-05j),(4.8212571374105824e-05+3.647502222008988e-05j),(0.00022744339605199464+7.594964843098778e-05j),(0.00020038478861211188+7.95953863247144e-05j),(0.0009714399217160657+0.00044948986182827505j),(0.0008517871357089743+0.00029578045721901606j),(0.0020086097293748034+0.0016801668419693606j),(0.002208854882262732+0.0014062485081505372j),(0.003055533171107948+0.0037110375064579276j),(0.0037199220506016514+0.003992852727538849j),(0.0040239840493018365+0.006317056755355175j),(0.0045699473814920615+0.007669935523899434j),(0.00477423382435405+0.009030515977162049j),(0.004483978059150652+0.011167059816670653j),(0.005187033314689045+0.011041019660568802j),(0.003915004140793644+0.013069355069671038j),(0.005282780538166117+0.01149676014210898j),(0.0035537876152329003+0.01252856527089113j),(0.005144679543639314+0.009979846409167272j),(0.003693053095882938+0.009574615999019648j),(0.004753424511047278+0.006785181294917158j),(0.003973416820873998+0.005047030432951311j),(0.003951313229231755+0.002844262908048073j),(0.0036769578491782167+0.00029965709486592435j),(0.002614588770832975-0.0006398782579356077j),(0.002340304944841672-0.0032368433131287986j),(0.0008876184493714278-0.002687600401956758j),(0.00022599107467913572-0.004580492367214093j),(-0.0007539845168249818-0.0029299308715450955j),(-0.0017107129173077344-0.0036325560348596706j),(-0.0016468584314058938-0.0017398536289385338j),(-0.0023372818967196647-0.0013338628891321085j),(-0.0013268283570243048-0.00020943858252210507j),(-0.001312474626909381+0.0004857683946053114j),(-0.00033927093934327414+0.00037942553676743645j),(-5.7794081682798406e-05+0.0006309163457607285j),(0.00013815064870576448+0.00012083442223911996j),(0.00018035136752932496+1.437505435202513e-05j),(4.216908485425407e-05-2.3591453974698936e-05j),(2.009215716763974e-05-7.150413162334421e-05j),(-1.2560739389044618e-05-2.7291948663418336e-06j),(-9.59192357799825e-06+1.1583603952355874e-05j),0j,0j
0j,0j,0j,0j,(-3.96293860351463e-06+2.3578513452760696e-05j),(1.055981755637506e-06+1.5103394393871464e-05j),(0.00012153955631506345+7.77278141081728e-05j),(7.865742675656774e-05+5.1407991751349275e-05j),(0.00034917082085449337+0.00010413789310217285j),(0.0003133878817336062+0.00010925861124783423j),(0.0014610800202632674+0.0005644511395673923j),(0.0012776864002095377+0.0003683516813586336j),(0.0030896385189626723+0.0021999044468964503j),(0.0033334971030000173+0.001807531842932763j),(0.004812139909649708+0.004929545119803796j),(0.005759174481107223+0.005258912527068269j),(0.00646540182043169+0.008392305107805599j),(0.007373528376911125+0.010199386289553988j),(0.0077916929721867775+0.01189928109904614j),(0.0076662908060930205+0.014830972842251431j),(0.008526578151060248+0.0143269594006617j),(0.0071036205355145005+0.01715206232053969j),(0.008593773393786993+0.014559479887315695j),(0.006494278742508439+0.016023487465500603j),(0.008052057528226861+0.012155140647112626j),(0.006165901315411909+0.011645221428604786j),(0.00691395653104943+0.007700711634183189j),(0.00568811068331361+0.00542285157509519j),(0.005123942491724747+0.002626760092108411j),(0.004334078018697942-0.0005781520149069211j),(0.0027672671927351684-0.001416378311160082j),(0.0018738485544602802-0.0044181630850163075j),(0.0002745919247773221-0.0032848634034085313j),(-0.0009693379224330734-0.0050810383221725815j),(-0.0015616902517239602-0.0027991483117259927j),(-0.002730911091477589-0.0029749380531717572j),(-0.0018603072377296125-0.0009571048046027226j),(-0.0022077154942479224-0.00020217593812486793j),(-0.0007581438335694742+0.00029476288990757353j),(-0.0005094323982969213+0.000758667031959527j),(0.00011235061279668828+0.00025167599887726934j),(0.00024501707225424305+0.00013808931849340787j),(7.348649394398021e-05-2.8752159113906802e-06j),(7.77054876473812e-05-8.17639634902691e-05j),(-1.5441755973479586e-05-1.3331204506174465e-05j),(-2.2153209957653696e-05+8.854166282344295e-06j),0j,0j,0j
0j,0j,0j,0j,0j,(-2.907123257460931e-06+3.868199815601238e-05j),(3.945797214930839e-06+2.4245018567970314e-05j),(0.00019625152154415876+0.00010489170972293412j),(0.00012714197306381894+7.1480167250776e-05j),(0.0005354167736508064+0.00014191766990549016j),(0.0004885768324272642+0.00014778700308272123j),(0.002174649468755568+0.0006887138691257764j),(0.0019026295085247736+0.0004461921278608339j),(0.004673786731992811+0.0028175567402790092j),(0.004962135637484792+0.002270810807940372j),(0.007401559673065763+0.006411573380933101j),(0.008727263785482154+0.00678226502732555j),(0.010060602792461711+0.010901864483638264j),(0.011498304272995639+0.013265357342078942j),(0.012196104429188502+0.015287815498520393j),(0.012391881465481196+0.019207706102967775j),(0.013310514225774709+0.018046005566971484j),(0.011825311891885548+0.02184421990615772j),(0.013178395560830305+0.017773083059785748j),(0.010716593054279768+0.019727738968734834j),(0.011844453953726592+0.014098590463087115j),(0.009446889031207953+0.01341879074477589j),(0.009438025315833081+0.008099437115479943j),(0.007592010303356248+0.005195498101418768j),(0.006160850846086647+0.0018847289311467084j),(0.00460056330293513-0.0019351114133593658j),(0.0024724864778242327-0.002405912028051846j),(0.0007314430643628278-0.005538693423447089j),(-0.0007444620811159043-0.0035684417053617285j),(-0.002555450703315067-0.0048137483426463675j),(-0.0022019952870196745-0.0019859319764989787j),(-0.0031530295082928543-0.0014823146482893005j),(-0.0013323224906817374-1.484635285175969e-05j),(-0.0012520495954400671+0.000650433090378243j),(-1.55507237108504e-05+0.0004029873547794876j),(0.00025462911549639384+0.00034353380693000885j),(0.00010273782889530706+4.623880302370539e-05j),(0.00016262472367790755-5.436630769190818e-05j),(-1.1429723266346413e-05-3.0270530942125487e-05j),(-3.759554407134806e-05-4.4777916235267684e-06j),0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,(1.0384184789466571e-06+6.292718730309644e-05j),(9.971113940932794e-06+3.858695666052566e-05j),(0.0003134230196574733+0.00013778627517446184j),(0.00020380148909340522+9.78939770898983e-05j),(0.0008201921127142281+0.0001918128113953056j),(0.0007592584789480886+0.0001962236678141761j),(0.003203993008481099+0.0008109622617166747j),(0.0028138110545451516+0.0005222629066453209j),(0.0069561137399159825+0.0035174888197910554j),(0.007287162321194348+0.0027786748172245286j),(0.011132293688908158+0.008140755315324122j),(0.012953359463064015+0.008541038645029525j),(0.015200779238666699+0.01380135890631128j),(0.017382591105806106+0.016820898194928033j),(0.018388277986551776+0.019068979956745405j),(0.019121541458285346+0.024156151731927776j),(0.01984669999907528+0.021931243993075045j),(0.018444491260259446+0.02683159513054049j),(0.01915232175658441+0.020719807293166165j),(0.01637418103019733+0.023150036432054044j),(0.01639690266706286+0.015324732274315562j),(0.013413445591371996+0.014357633072803784j),(0.012003844903434114+0.007587670782330834j),(0.009330273749489651+0.004013237631196114j),(0.006664459757873817+0.00047384142267113975j),(0.00406710875632999-0.0037474521158470755j),(0.0014527926364220555-0.0033949183102871404j),(-0.0012351930368934168-0.006099500184187418j),(-0.0019445294257457427-0.0030663758484510808j),(-0.0037992766452617844-0.0032849671821820804j),(-0.0019734728655675664-0.0006268760671422447j),(-0.002273774565629148+0.00012455696285373276j),(-0.00031062641162869396+0.0005110031586045183j),(0.00012773645083284665+0.0006151031999684029j),(0.00011133623098344861+0.00013142711873973944j),(0.0002583702616464513+4.2651245613140044e-05j),(6.9946648554644665e-06-5.077347490093546e-05j),(-4.90255022106094e-05-3.47498107738468e-05j),0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,(1.1009144932353292e-05+0.00010151445742327782j),(2.1833152638598717e-05+6.086848206438133e-05j),(0.0004953925119467916+0.0001748137318945371j),(0.00032422858609571756+0.00013177580066275196j),(0.0012552219100826288+0.00025626407049793965j),(0.00117594766153363+0.0002543386136309445j),(0.004673902994236756+0.000912044078868124j),(0.00413430227236135+0.0005848492201949868j),(0.010186372100521635+0.00426052358059972j),(0.010557456481235742+0.0032974540003445265j),(0.016378058155497983+0.01005104066935428j),(0.018830229226754452+0.010466811412605416j),(0.02231886880087014+0.016951433043258263j),(0.02550119547423693+0.020708352510869197j),(0.02673943756991307+0.022954710448971773j),(0.028278557561902767+0.02932700611330364j),(0.028300334608326712+0.025490265907293596j),(0.027176762979877884+0.03150210156314091j),(0.026369378955120933+0.022743384403406137j),(0.023352311093827027+0.025488927544065978j),(0.02125183499976567+0.01518480992029132j),(0.0176014328626056+0.013741600481713747j),(0.0139620176919797+0.005763701708413269j),(0.010249217941441888+0.0015583590225425547j),(0.006014158265903525-0.0015378320941590478j),(0.0021962182401485723-0.005639964538047974j),(-0.0003895762868366966-0.0037462661645207705j),(-0.0034807732628734556-0.0051875046978220405j),(-0.002432889664320131-0.0015480991052798433j),(-0.0034148071260969824-0.0009625226617407817j),(-0.0008324672124300457+0.00046015513717897707j),(-0.00025208632200864593+0.0008768230416600375j),(6.918218332515837e-05+0.00024929124132922793j),(0.0003214548000452241+0.00023932577163623535j),(4.825119415585771e-05-6.523870962285555e-05j),(-4.2030037792588905e-05-8.552553611554938e-05j),0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,(3.284171799913243e-05+0.00016238350333183682j),(4.4297679582775646e-05+9.511690955015292e-05j),(0.0007753254322801752+0.0002114754184660053j),(0.0005123470219788527+0.0001738774605524243j),(0.001918822310925294+0.00033673070141949517j),(0.0018147602158324805+0.0003192009879996447j),(0.006751890399395768+0.00096291477457046j),(0.0060366397690115635+0.0006164601189575187j),(0.014672064981486753+0.00497476228159571j),(0.015085555125113156+0.0037743702124074107j),(0.023559016543401923+0.012003694521094798j),(0.026790942858200533+0.01242735396606474j),(0.03182684461423405+0.020075059860326386j),(0.03628284543894792+0.024609778012888966j),(0.037465723674482046+0.02643824278993203j),(0.04009486553573992+0.034081328581685104j),(0.03851078736692712+0.02796288112028986j),(0.037873582337260625+0.034863862597965284j),(0.03421402663282523+0.02296704349176161j),(0.031021135916393425+0.02563723517332617j),(0.025422859421635222+0.012986126966985468j),(0.021016828012839536+0.010789027364472764j),(0.014194606238478213+0.0024682671409191267j),(0.00923511712264479-0.0021331866458085486j),(0.003517747765483887-0.003421492912057536j),(-0.001072802349405476-0.006336811335916529j),(-0.002200661467915622-0.0026505428340073594j),(-0.004252214764142376-0.0026051237108807505j),(-0.0015954940741893186+9.443306721253562e-05j),(-0.0010200992518349437+0.0009637737378760915j),(-6.448045841790408e-05+0.0003732045875842395j),(0.00027370257228010906+0.0005425249968774292j),(0.00011692782778448874-5.389685361947944e-05j),(6.2239741777462545e-06-0.00015076676986043312j),0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,(7.713854487491912e-05+0.00025750140969993797j),(8.56488732732582e-05+0.00014712817851952645j),(0.0012020269860755519+0.000238228613158103j),(0.0008048239177786401+0.00022410366391364988j),(0.002928758183017739+0.00043183690515505177j),(0.002789503235441424+0.0003828520550752983j),(0.009659999357271805+0.0009232686432185484j),(0.008760598374374769+0.0005930551189350867j),(0.020773335147471324+0.005547241262025965j),(0.021249190772721874+0.004137143925917638j),(0.03309573950305945+0.013763811357541867j),(0.03725295950963852+0.014211803716278094j),(0.043999922963338677+0.022718801832395427j),(0.0499643687731334+0.028004254038718545j),(0.050431652254096744+0.02876626945319795j),(0.054370748710141095+0.03742662134073441j),(0.04973328941092342+0.028356400666179653j),(0.04969136119269098+0.035556740325781044j),(0.04131725263130593+0.02046689853118008j),(0.03793336386008435+0.02235867149206573j),(0.02715135250025291+0.008335804076511523j),(0.021772632738628082+0.005035026006658402j),(0.01112558805286598-0.0015643223358823366j),(0.005088458625301273-0.005611331337930501j),(-0.00040551574341368126-0.0036276392593568465j),(-0.003956316107220118-0.004527056639944674j),(-0.002496536341077325-0.0007286869067767317j),(-0.0022795650414500213+0.0006190201329846506j),(-0.000336068217878806+0.00043916871636942166j),(4.4896551673567585e-06+0.0009016296498477423j),(0.00020471631640359397+1.4109786558778623e-05j),(0.0001231576414585772-0.0002046649895899994j),0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.00016278618856869478+0.0004046313251433754j),(0.00016011333570664136+0.00022500817779310268j),(0.0018467431791867697+0.00023732946383577715j),(0.001257888413463885+0.00028087304302146427j),(0.004460372404338928+0.0005338303109731537j),(0.004268770722624493+0.0004286552333066452j),(0.013689043451881083+0.0007417899689377921j),(0.012635295072323626+0.00048330810955657296j),(0.028885525621612475+0.005819990618774388j),(0.02948166496527392+0.004298311331207765j),(0.04532483283184585+0.014986736656814882j),(0.05052380212534096+0.015530289352585335j),(0.0587968606036531+0.024250608501826976j),(0.06638025693981534+0.03014698018067496j),(0.06487231790614657+0.029001378716893074j),(0.07010638123619994+0.0380536045567615j),(0.06027735436603202+0.02567972928158866j),(0.06068690454012171+0.03211778517218255j),(0.045218660557124875+0.014729230915757115j),(0.04129402957073562+0.014724358180674748j),(0.023756441214568765+0.0019317888451499397j),(0.01701911850886869-0.002151023982933893j),(0.0042222444241873415-0.0040138129040572755j),(-0.001163801119566059-0.006125133470628185j),(-0.003197940312504699-0.0020296204101770453j),(-0.003988841449898229-0.0004460933331094476j),(-0.0007873103279095217+0.0003363783763478121j),(-0.0006086375749706094+0.0011660349819810263j),(0.00027703123005205744+0.00017476437717430172j),(0.00032788314408554374-0.0001905526500415164j),0j,0j,0j,0j,0j,0j,0j,0j,0j
