0,-1,1,-2,2,-3,3,-4,4,-5,5,-6,6,-7,7,-8,8,-9,9,-10,10,-11,11,-12,12,-13,13,-14,14,-15,15,-16,16,-17,17,-18,18,-19,19
(1+0j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(0.055732578314788436+0.0013982250188069572j),0j,(0.9442668125161062-0.001396977178509504j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(0.001918108399309078-0.0021617790736673517j),(0.001918108399309078-0.0021617790736673517j),(0.055732578314788436+0.0013982250188069572j),0j,(0.9442668125161062-0.001396977178509504j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(0.0005717279842168339-0.0020303877915494686j),(0.001918108399309078-0.0021617790736673517j),(0.005182430219032175-0.004454781376383476j),(0.001918108399309078-0.0021617790736673517j),(0.04974085228096305+0.0008458535565486135j),0j,(0.8945254621990568-0.002242595198629985j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(0.005384078546183861-0.004423579009707118j),(0.0007733763113685198-0.001999185424873111j),(-0.0009968134692203878-0.0006631115549535112j),(0.004836058757378559-0.009161886103434993j),(0.008224591000410295-0.005511898724621527j),(0.004836058757378559-0.009161886103434993j),(0.049927147273590766-0.004092346996507226j),0j,(0.8445976465558275+0.001849372159202601j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(-0.0005878234357150895-0.0006387068312424586j),(0.010527338832295358-0.017157702029678867j),(0.008823840922052649-0.0053802944816425235j),(0.004787306031140149-0.010203161351469184j),(-0.0007988114685565228-0.0003106791262906137j),(0.003217075115307887-0.006742163481843785j),(0.00991739062859357-0.006296072688695026j),(0.003217075115307887-0.006742163481843785j),(0.04609803889599119-0.001803187277961721j),0j,(0.7984988079616684+0.003652078291834779j),,,,,,,,,,,,,,,,,,,,,,,,,,,,
(0.016107516849675745-0.023150884327654237j),(0.004246931471091216-0.009456202009770768j),(-0.0003881908887726602-0.0005156097246184106j),(0.006939901263047547-0.012442809341374397j),(0.010898790872788597-0.00617940472921897j),(0.003826598606804763-0.007726889993925777j),(-0.00015872962106237788+0.0004913149515953185j),(0.0036063917325680887-0.0015629950178109517j),(0.011980132368556336-0.007221507041923855j),(0.0036063917325680887-0.0015629950178109517j),(0.04299328132140184-0.003882293276667676j),0j,(0.7555046038655683+0.007533849599870903j),,,,,,,,,,,,,,,,,,,,,,,,,,
(0.004297439204501976-0.008825098145973296j),(0.01104493696648037-0.017133392235507625j),(0.020410833959429-0.02808428513799015j),(0.00437051861196557-0.007871754088403363j),(0.0002507287356025986+0.00016402980348167168j),(0.007171264893240859-0.0027021699840637523j),(0.013377377256286464-0.007208655099027049j),(0.004655641273990538-0.002126372803684165j),(-1.295450106717172e-05+0.00046663963989223775j),(0.005089063813019238+0.0012409803300274715j),(0.01358239516692853-0.007689502118175878j),(0.005089063813019238+0.0012409803300274715j),(0.041216186299874835-0.0023181245878100025j),0j,(0.7142875141062343+0.009851500584500798j),,,,,,,,,,,,,,,,,,,,,,,,
(0.014681897538165012-0.021340193646946153j),(0.004458868140386403-0.007491351871548383j),(0.004549903657322274-0.008452816761758273j),(0.010962009931849998-0.0040664032444694895j),(0.025061073303614078-0.03243176408699152j),(0.005588755871877067-0.002950805450059112j),(0.00028394204661253775+0.00011722691298110912j),(0.009509167718935035+0.0025386402001792334j),(0.01532589240713874-0.0078038184710418285j),(0.006213545914914259+0.0010572150638742393j),(0.0005039348381579158+0.0003490354572344513j),(0.0054080729066024145+0.0015858087785497995j),(0.015002359041251957-0.00828570216050336j),(0.0054080729066024145+0.0015858087785497995j),(0.038049279878127916-0.0025886698015517543j),0j,(0.676237331879559+0.012439744213870115j),,,,,,,,,,,,,,,,,,,,,,
(0.0045028096391907255-0.007720251017174726j),(0.014502644374983189-0.0057827997195259795j),(0.018432333006693037-0.025188138567448736j),(0.005500885808132813-0.0028437401130873494j),(0.004605384100312861-0.008079353851742842j),(0.013675525788302223+0.0031132496861747713j),(0.029049283559908972-0.03592164256616719j),(0.006955350811494154+0.00016948786919672177j),(0.000757967071484575-2.1939282844667394e-05j),(0.009861353475766246+0.003090643922125724j),(0.017036895760457405-0.008539393174525227j),(0.006402973863982123+0.001605681657805697j),(0.0005646994955988268+0.00034845342249894174j),(0.004434910270427863+0.001296694337491723j),(0.016250446427940792-0.008637895506236361j),(0.004434910270427863+0.001296694337491723j),(0.0366836955370317-0.00211536522741319j),0j,(0.639552792359443+0.014554708843824917j),,,,,,,,,,,,,,,,,,,,
