0,-1,1,-2,2,-3,3,-4,4,-5,5,-6,6,-7,7,-8,8,-9,9,-10,10,-11,11,-12,12,-13,13,-14,14,-15,15,-16,16,-17,17,-18,18,-19,19
(1+0j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(0.014790235208778741-0.002393482398490129j),0j,(0.9852094471304713+0.002392699352896995j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(-0.005784547916904885+0.0031221456942629356j),(0.020574996294114824-0.0055163348882964255j),(0.013910301406796926-0.0017310714018492024j),0j,(0.9712987632141247+0.004123008011790936j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(0.019005530819007136-0.004446894276567571j),(-0.0006760222493541001-0.0008122362480970552j),(-0.010879539215326159+0.005837272737070263j),(0.02125107874711594-0.004704294055503838j),(0.014333452013111255-0.003094838130009763j),0j,(0.9569649975623319+0.007217101541225056j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(-0.0011722788421099962-0.0014455873334904689j),(0.019501867537502604-0.0038137075924878187j),(0.01878780237114532-0.005651137660427j),(0.0003942247886870754-0.003415698719323576j),(-0.015333651605346055+0.008392898120080582j),(0.02085699367334141-0.0012884396224713884j),(0.01451183177396442-0.002371285241902484j),0j,(0.9424528357507372+0.009587695995024136j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(0.019010523084065572-0.005391191917907198j),(0.0009194150267888047-0.006588063406302253j),(-0.001394897744925128-0.0017056974135240283j),(0.018976862415845987-0.0006411792890880764j),(0.018811945166025353-0.00477681976071127j),(5.299122278664813e-05-0.003038055246304347j),(-0.019633519081818988+0.010797768696885139j),(0.02080420462203703+0.0017498321347219608j),(0.013829613608103749-0.0028379371074637944j),0j,(0.9286229083316663+0.012424925763442101j),,,,,,,,,,,,,,,,,,,,,,,,,,,,
(0.0016636184825924256-0.00941775774695116j),(0.018266534673837806-0.0025613431598423106j),(0.019008151451028226-0.004519183505671555j),(0.00018693239363803396-0.006014362482498799j),(-0.001590989499180647-0.001963485652230915j),(0.0188431552335944+0.0023353375528166547j),(0.017867447158602584-0.004966464495344269j),(0.0002998043776521683-0.0013568997304416247j),(-0.023671101815902068+0.012925653811030575j),(0.020504536577685743+0.0031068859883716486j),(0.014132302151626992-0.002800230637271948j),0j,(0.914490313557913+0.015224483100105999j),,,,,,,,,,,,,,,,,,,,,,,,,,
(0.018238848251004806-0.0019029650796775017j),(0.0004483991383110502-0.008859214350112443j),(0.0024331420007543906-0.012033817889537985j),(0.018005321753696554+0.00028371106967892525j),(0.017861879575872763-0.004711708417523343j),(0.000585623211141174-0.0027589235862656644j),(-0.0015853080576005664-0.002218389987173123j),(0.01855747288862237+0.003737508649035909j),(0.018036676616327758-0.004870128481097975j),(0.000991809234633921-0.00017650019101111557j),(-0.02757522538453+0.014994917530115996j),(0.019512746723011974+0.0032835013942144023j),(0.013605045147874863-0.0025773976577097026j),0j,(0.900884969010859+0.017801209011578632j),,,,,,,,,,,,,,,,,,,,,,,,
(0.0007278761060574766-0.011520192931758851j),(0.017959626495305955+0.0007582160378547982j),(0.016983033982129046-0.002183929341012476j),(0.0008837438122466701-0.004143859728914254j),(0.0033122102265978844-0.014561447228218853j),(0.017707338523410415+0.0016687983958213986j),(0.0180203983127666-0.004653070736318504j),(0.0019473313672603476-0.00037506513644466904j),(-0.001568910208361507-0.0024355909288586745j),(0.017601953245512877+0.003936206563220619j),(0.017441137726868887-0.004468367749096425j),(0.0013195802191966143+0.00016207623463290087j),(-0.03141106222451879+0.01688526808471818j),(0.01819311408029067+0.0031215394973230833j),(0.013519351541869895-0.002771948527168022j),0j,(0.8873653396781211+0.020572494052310857j),,,,,,,,,,,,,,,,,,,,,,
(0.01668143326428957+0.0003914587803087731j),(0.0011499872683038538-0.005466685634603309j),(0.0010297316048959845-0.014095388986644372j),(0.01769351886756525+0.002081194696966024j),(0.01707968295949734-0.0022359100695274452j),(0.002856917195005416-0.0005775457121811864j),(0.004253153131610509-0.016978457919243947j),(0.016797749972498277+0.001871426242214056j),(0.017366744137089135-0.004176160459445094j),(0.002640288901131268+0.0003474460846183211j),(-0.0014943986053195506-0.0027279328156523245j),(0.016281184066081377+0.0037509751405042013j),(0.01720580594761371-0.004583149272361777j),(0.0010878304718892609+0.00017303894287656253j),(-0.03509726374061052+0.018695862194016616j),(0.01710522071456395+0.002948610622312262j),(0.013349028966909326-0.002497670583118196j),0j,(0.8740160323931795+0.02306951657395579j),,,,,,,,,,,,,,,,,,,,
