0,-1,1,-2,2,-3,3,-4,4,-5,5,-6,6,-7,7,-8,8,-9,9,-10,10,-11,11,-12,12,-13,13,-14,14,-15,15,-16,16,-17,17,-18,18,-19,19,-20,20
0j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(0.001676239572656443-0.0011642745869157082j),0j,(0.001676239572656443-0.0011642745869157082j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2.4798668309330418e-05-0.00010852991574797694j),(2.4798668309330418e-05-0.00010852991574797694j),(0.001372590445585396-0.0010073211145825744j),0j,(0.001372590445585396-0.0010073211145825744j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1.6939542869430034e-05-9.741166046644879e-05j),(-0.00011390673717824132-0.00028977549392390263j),(1.6939542869430034e-05-9.741166046644879e-05j),(-0.00011390673717824132-0.00028977549392390263j),(0.0013613367113629177-0.0011621318163866302j),0j,(0.0013613367113629177-0.0011621318163866302j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(-0.0001255424485489119-0.0003042859968902959j),(-0.0001255424485489119-0.0003042859968902959j),(1.1927655077507036e-05-9.40090484781819e-05j),(-0.00017876429961579532-0.00019597897815351145j),(1.1927655077507036e-05-9.40090484781819e-05j),(-0.00017876429961579532-0.00019597897815351145j),(0.0013795864281481592-0.0009986377350324992j),0j,(0.0013795864281481592-0.0009986377350324992j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(-0.0001233531741433717-0.00030480469218350744j),(-0.00019799283176656589-0.0002127703788156899j),(-0.0001233531741433717-0.00030480469218350744j),(-0.00019799283176656589-0.0002127703788156899j),(1.2834743194453156e-05-8.76227611488198e-05j),(-8.003112262610904e-05-7.67981221722824e-05j),(1.2834743194453156e-05-8.76227611488198e-05j),(-8.003112262610904e-05-7.67981221722824e-05j),(0.0012569689000232114-0.0010140984539115053j),0j,(0.0012569689000232114-0.0010140984539115053j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(-0.00019658573997740676-0.0002177633890107587j),(-0.00019658573997740676-0.0002177633890107587j),(-0.0001329703005788981-0.0003033195386464765j),(-9.460611478820804e-05-8.545029819410652e-05j),(-0.0001329703005788981-0.0003033195386464765j),(-9.460611478820804e-05-8.545029819410652e-05j),(1.0705962429239458e-05-8.286602802821369e-05j),(4.1741067874704974e-05-5.713941919844755e-05j),(1.0705962429239458e-05-8.286602802821369e-05j),(4.1741067874704974e-05-5.713941919844755e-05j),(0.001323162792672346-0.0010084270102956568j),0j,(0.001323162792672346-0.0010084270102956568j),,,,,,,,,,,,,,,,,,,,,,,,,,,,
(-0.00020854160789086836-0.00021448538420862104j),(-9.617375641041923e-05-9.00702638329829e-05j),(-0.00020854160789086836-0.00021448538420862104j),(-9.617375641041923e-05-9.00702638329829e-05j),(-0.00013431865461394792-0.0003071631454098515j),(3.860616671435256e-05-6.201934975655621e-05j),(-0.00013431865461394792-0.0003071631454098515j),(3.860616671435256e-05-6.201934975655621e-05j),(1.221644993128247e-05-8.120347588331935e-05j),(8.100340223596112e-05-8.088396099445328e-05j),(1.221644993128247e-05-8.120347588331935e-05j),(8.100340223596112e-05-8.088396099445328e-05j),(0.0012828243485985427-0.0009354593011811955j),0j,(0.0012828243485985427-0.0009354593011811955j),,,,,,,,,,,,,,,,,,,,,,,,,,
(-0.00010363926511254676-8.706818492172068e-05j),(-0.00010363926511254676-8.706818492172068e-05j),(-0.00021314864172527164-0.00022009806063178627j),(3.6600564419732084e-05-6.4062118408075e-05j),(-0.00021314864172527164-0.00022009806063178627j),(3.6600564419732084e-05-6.4062118408075e-05j),(-0.00013553115999322555-0.0003032372394830812j),(8.525620812749255e-05-8.705934629182671e-05j),(-0.00013553115999322555-0.0003032372394830812j),(8.525620812749255e-05-8.705934629182671e-05j),(1.342000454565208e-05-7.780169194976217e-05j),(5.9046088195495696e-05-7.20375081277032e-05j),(1.342000454565208e-05-7.780169194976217e-05j),(5.9046088195495696e-05-7.20375081277032e-05j),(0.001277321075673229-0.0009643552597081998j),0j,(0.001277321075673229-0.0009643552597081998j),,,,,,,,,,,,,,,,,,,,,,,,
(-0.00010850759734686268-8.986817718069823e-05j),(3.363709536072491e-05-6.471774548657869e-05j),(-0.00010850759734686268-8.986817718069823e-05j),(3.363709536072491e-05-6.471774548657869e-05j),(-0.0002142204119347536-0.000215827264778058j),(8.465212438581449e-05-8.786456569989166e-05j),(-0.0002142204119347536-0.000215827264778058j),(8.465212438581449e-05-8.786456569989166e-05j),(-0.0001390070443167139-0.0003035312210050805j),(6.430074265401817e-05-7.838995713085753e-05j),(-0.0001390070443167139-0.0003035312210050805j),(6.430074265401817e-05-7.838995713085753e-05j),(1.3750038651346743e-05-7.708900771532106e-05j),(3.710398423548563e-05-2.9841536773221873e-05j),(1.3750038651346743e-05-7.708900771532106e-05j),(3.710398423548563e-05-2.9841536773221873e-05j),(0.0013041731279716336-0.0009267768960380817j),0j,(0.0013041731279716336-0.0009267768960380817j),,,,,,,,,,,,,,,,,,,,,,
