,-10.0,-9.5,-9.0,-8.5,-8.0,-7.5,-7.0,-6.5,-6.0,-5.5,-5.0,-4.5,-4.0,-3.5,-3.0,-2.5,-2.0,-1.5,-1.0,-0.5,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0
0.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.4179924259336615-0.016411751104969063j),(0.5820024414238413+0.016408583221258273j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
1.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.2224129743074781+0.01994404115375769j),(0.19557867673302004-0.03635769913160751j),(0.2803489379839376-0.02214190687613666j),(0.30165540993681167+0.03854699519410919j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
1.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.13913065515817857+0.006503493340131098j),(0.08328225205508416+0.01343965242787266j),(0.24336461466076414-0.009468985738725075j),(0.23256067243792977-0.04903403599437452j),(0.14786644830412768+0.023762135945000026j),(0.1537919992963863+0.014784324430770036j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.08959437898620602-0.00014550561157613152j),(0.04953594669782951+0.006648530589169642j),(0.1632012204442819-0.03559303604811215j),(0.16492178483951578-0.004780343772588635j),(0.18675804777574495-0.007684845399386407j),(0.1936672962750562-0.017589297468368355j),(0.07401414783456454+0.013360670391172539j),(0.0797791395963334+0.0014238651871228687j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.05280093836489007-0.0021246189759581953j),(0.03679322714658399+0.0019788016318699917j),(0.12975485192726044-0.04233033000009387j),(0.12457688738227315-0.02427064952484919j),(0.175812405022372-0.030185341365710765j),(0.18191936911480994-0.010355821023142277j),(0.1262285415282311-0.0023847862971379157j),(0.14145231471607583-0.0018454853887416198j),(0.03643152159356783+0.002588041735072291j),(0.04334804292243438-0.0011640447353986627j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.030956826251749076-0.0021674824881471183j),(0.021844011278443872+4.269625306481514e-05j),(0.09530368164339141-0.02471926925843274j),(0.08855378436668923-0.014056603307248975j),(0.16423674778256017-0.04425342131839501j),(0.1576106456453926-0.01726747045587726j),(0.15772091746548875-0.013392493897344211j),(0.16190217263635512-0.0005118667092223203j),(0.08653772632641535-0.00010342043922128208j),(0.09134619354065368+0.0008448385292754492j),(0.01981976242054394+9.793587407512524e-05j),(0.02352849576015388-0.0012619957708068462j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.01870396705945542-0.00150523022489555j),(0.01225279454330185-0.0006623512706670279j),(0.06401494641217025-0.014735687757930976j),(0.05442171085543135-0.009472326886723408j),(0.1255497187211655-0.03765865763313108j),(0.11582094023430507-0.016112378986066243j),(0.15753400042784071-0.02762560038043807j),(0.15372011087771306-0.007302194914754675j),(0.12065855619196071-0.002194111600570137j),(0.12549308280309968+0.0032414742595942253j),(0.05469719816922632+0.0006855241904902385j),(0.056469005040187474+0.00025671960936120926j),(0.011059278680548689-0.00029814841463428235j),(0.012469350039444481-0.0009638811404239612j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
4.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.01134781324696374-0.0011293575416610854j),(0.007356111365214631-0.0003759357512473567j),(0.04107742519756832-0.010107056855984406j),(0.033564643728668186-0.006764683253358253j),(0.09258821598891669-0.02585668859683278j),(0.08326328349330395-0.011109266450804506j),(0.13955693514434572-0.03482639131643722j),(0.132879073875107-0.016185420802879366j),(0.13736437714136415-0.01420649587700833j),(0.1356366517845606-0.0036596380067880257j),(0.08497077989817045+0.0009494948695808591j),(0.09059325517308382+0.001997799247582651j),(0.032748527670134246+0.0007975355955345286j),(0.03477994575849037-0.0008391792114154111j),(0.005889689326753638-0.00025546210701405265j),(0.006579738455796571-0.0007084332978121381j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
4.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.006831194557576078-0.000899742218868993j),(0.004516591961054089-0.0002296521817244525j),(0.02623434374066258-0.0069510199635077555j),(0.02167142651909518-0.004309488632519001j),(0.06762372679831831-0.016815782291643246j),(0.05907877500975237-0.0060654709469342505j),(0.11773650133603854-0.02864986664161964j),(0.10923741150002124-0.014441659450245801j),(0.1382009409112048-0.025067366334997704j),(0.13487134510086365-0.011377233987803503j),(0.11069295343969238-0.006548772591805762j),(0.11275334393770316-0.0018960746271267234j),(0.05815447111521907-8.963443868350158e-05j),(0.0632213800566466+0.0005978547459260844j),(0.0194914076072568+3.6334542841496697e-05j),(0.021178328870328934-0.0011310855092648772j),(0.003094028869007294-0.0002012952149130252j),(0.003485750693909523-0.000507143948462j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
