,-10.5,-10.0,-9.5,-9.0,-8.5,-8.0,-7.5,-7.0,-6.5,-6.0,-5.5,-5.0,-4.5,-4.0,-3.5,-3.0,-2.5,-2.0,-1.5,-1.0,-0.5,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0
0.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.261995114914123-0.1008176542412224j),(0.7379997524348647+0.10081448633801016j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
1.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.207007669816929-0.04916023958334418j),(0.054987997299730855-0.051657983643651935j),(0.20147620358467297-0.04815166712011526j),(0.5365182765218162+0.14896984529416596j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
1.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.17182568170573237-0.02439749730778485j),(0.035180428055284034-0.024762281851823678j),(0.170286619340833-0.03755941189084955j),(0.086178498846464-0.062253317490492135j),(0.1596045715881312-0.018808986980629605j),(0.3769092810784669+0.1677820856099762j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.13596614253829498+0.007595981291018535j),(0.03585936356991299-0.031994010981266585j),(0.1439652950395513-0.01563627313043512j),(0.061502738786324285-0.04668844452166945j),(0.14852990123812754-0.019018256797437634j),(0.09725478694724025-0.062047817407988815j),(0.15103456725090322+0.06015484564884872j),(0.22587467919660859+0.10762733665563361j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.09599920296786262+0.025528055147198088j),(0.039966633271316825-0.017932406359367922j),(0.10989680734948666+0.00376548889516858j),(0.06992777320464644-0.051395578397956804j),(0.12371255383178272-0.0037164257560513446j),(0.08632041201779139-0.06199044325482218j),(0.11521881674475042+0.025913849466536396j),(0.1330707722916453-0.027804813318011882j),(0.08328178082064416+0.04768155103500194j),(0.14259287119604785+0.0599466104563752j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.06407205199691501+0.030674601580918708j),(0.03192691341402615-0.005146931620485464j),(0.09051784215373834+0.00689854363380512j),(0.059345877901915756-0.02106663032912958j),(0.11059691831485395-0.014105110428988583j),(0.08304290878448395-0.04100709951195792j),(0.092440541539927+0.013636873744913283j),(0.10909950606265105-0.04971257687794299j),(0.07648531886694253+0.02482748029840125j),(0.13986853181991693-0.004947955412880187j),(0.02855223624214497-0.0012117512923038708j),(0.11403845786762626+0.0611624422167943j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.040943930246833536+0.03416140769031256j),(0.023128800184162347-0.003487055640261325j),(0.06955608249071796+0.0074435990882685925j),(0.05288848611326694-0.0056921444737778664j),(0.09675678644047218-0.01001219874652921j),(0.07318626705490115-0.025159679558127927j),(0.08265338293691732+0.0005111938414537392j),(0.09283014471112898-0.027881793806169872j),(0.07324054156099327-0.0023503277091790706j),(0.11234367744660352-0.02253460698007608j),(0.061839422385091825-0.015316811671845669j),(0.10658035498665244+0.009157006805211244j),(0.0403121275834262+0.005046182857674088j),(0.07372486728792092+0.056116695065408846j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
4.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.027291851814044085+0.0330363547287925j),(0.01365262528512988+0.0011248122848727515j),(0.05317275585978355+0.011295619778004959j),(0.039512516403103125-0.0073396076425493876j),(0.08914834732510342-0.0014147956177784642j),(0.06049657663256559-0.014290946403810723j),(0.07502363509256839-0.009426972169099268j),(0.0808154538381997-0.01522208629573902j),(0.07977973301571667-0.014547095979407338j),(0.08629107026878853-0.015685145235030347j),(0.07904607016249258-0.02465234838816994j),(0.09513714771577145-0.013199030492744623j),(0.05925763107678221+0.004001972116580236j),(0.08763505212087024+0.010201563757331519j),(0.022358298434817778+0.015572734909923518j),(0.05136653989921703+0.04054425978464035j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
4.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.014974968482608151+0.027006627020709863j),(0.012316931811233106+0.006029624463466833j),(0.038541206302289584+0.011646388760311287j),(0.028284257320268694+0.0007738953516539648j),(0.07598265166211052+0.00246047946634274j),(0.0526781187539118-0.011215031394402398j),(0.06864090098364736-0.01143555055056957j),(0.06687881491738587-0.01228272688286501j),(0.08160594937195235-0.017235584102136103j),(0.07898912360535613-0.012533954464880571j),(0.0825938401076388-0.023390332702551416j),(0.08274290678989454-0.016947254522386396j),(0.06765098266234654-0.0037459101790841736j),(0.08674350067111122-0.005451368513796255j),(0.039148739107600146+0.00968683760081642j),(0.0708445920825822+0.016087485092453002j),(0.01842867714487329+0.007664506388439776j),(0.032937806123926106+0.03287991652238832j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
