,-9.0,-8.5,-8.0,-7.5,-7.0,-6.5,-6.0,-5.5,-5.0,-4.5,-4.0,-3.5,-3.0,-2.5,-2.0,-1.5,-1.0,-0.5,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0
0.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.49667390720048604-0.147517548266458j),(0.5033258138315962+0.14751579201330361j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
1.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.2575994434603365+0.01915217016477943j),(0.19336661656066162-0.11369065856286999j),(0.2875787586773107-0.025390910065834632j),(0.20831973829988093+0.23362490663766994j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
1.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.12604254315506735+0.05473750581540918j),(0.13230860682612317-0.04861283831731615j),(0.20131349952252947-0.08221176057055607j),(0.22939703036597162-0.1266285932511921j),(0.1559775219340339+0.05880743445778246j),(0.09530091137625918+0.12418176303012175j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.06954564716287444+0.038065474534582075j),(0.05306218184216431-0.032279307147791245j),(0.20546908734924976-0.06303017671317064j),(0.15211069804526042-0.06296409059595072j),(0.1196880655614601-0.0783871638346412j),(0.2491398410119079-0.011848069794855302j),(0.0810169526203334+0.042330433105331605j),(0.022438047777978955+0.09501651540387193j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.03386738216894826+0.022251438071716333j),(0.01748881605610026+0.011082840172505779j),(0.18592095400083142-0.030444474094662395j),(0.03292024870872277-0.05130443538506392j),(0.22517482714778558-0.07605784489469126j),(0.2113963804277124-0.04877855189279603j),(0.1594583153873154-0.051978248876952585j),(0.1766605907215054+0.10344958105892549j),(0.0176735511786153+0.03739893179866278j),(-0.008928137306811275+0.02616965566004352j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.009047943224140865+0.014669905895604334j),(0.018699090877622386+0.0184124874012533j),(0.09652404423151764+0.02560225387448605j),(0.06740623894982678-0.01953160386921652j),(0.1473865399380533-0.07208159417622523j),(0.18157431123155165-0.027453987770865055j),(0.17085650527670784-0.03814650181735376j),(0.15804764619599204-0.03923123407818653j),(0.1301036774358637+0.028856834190445005j),(0.07505150565450687+0.05043689760335224j),(-0.006831208391519761+0.028536003616784312j),(-0.0030815845766221355+0.01221470469551426j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.002752136197046132+0.00935367278072506j),(0.009697546105862886+0.010003096163939226j),(0.05039173777037374+0.03866319597293523j),(0.034269963911816054+0.005969699196878993j),(0.10385713133370988-0.0005060562381285803j),(0.13156577386039492-0.04593770555596891j),(0.14804806415591765-0.06519295194462864j),(0.147020197487221-0.062056706726794156j),(0.10298339238594476-0.0070241244945130794j),(0.16022649886182794-0.003783947656453804j),(0.04130517296108115+0.026566308030148644j),(0.04892528383922826+0.061363060313533634j),(0.0020671933952601342+0.0020548028949051713j),(-0.0067150744098494804+0.007072816018279836j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
4.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.0013642641675720999+0.00784846517773557j),(0.004405665591223434+0.004573905894874523j),(0.024063184802994676+0.027886093847359742j),(0.02103508273636595+0.014559626868807456j),(0.08856482874592518+0.00026015496349473394j),(0.09242875823443823-0.034102616071210845j),(0.1197924240276321-0.04760461986018043j),(0.1570753039398936-0.04875407333581202j),(0.14434621474402126-0.025412594370260586j),(0.1324655189754181-0.030533249654511433j),(0.08743955953425445+0.010815558959774324j),(0.09562847138049355+0.04557236060054137j),(0.036526310448122906+0.028635417956684443j),(-0.003791515905408818+0.04750605246830804j),(-0.0015142548459819642+0.008137370814547362j),(-0.008603990297088304+0.0019577898605200412j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
4.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.0022745588948400123+0.0035404086389292906j),(0.0015035040715291432+0.0031881590062990623j),(0.016204613199133446+0.02402927288673446j),(0.014904159404641407+0.01259755093014394j),(0.06784310126458518+0.024136518240217505j),(0.060511894048030326+0.0018591108411475238j),(0.0989972608558053-0.0317750347525476j),(0.10097025167260193-0.030930570392410966j),(0.13824673351994085-0.05558910305082369j),(0.13383952915682562-0.0489893062790021j),(0.12067290000946589-0.014407791611215996j),(0.13399862724857184+0.011202494958650215j),(0.06296007402067443+0.01373619047683915j),(0.05245585620368485+0.0642063633413783j),(0.00482232511938684+0.024880222403981765j),(-0.006150011227395294+0.02844668649611316j),(-0.0014656319919054777+0.0019433284390743258j),(-0.0035864159536656707+0.0018952603559577764j),0j,0j,0j,0j,0j,0j,0j,0j,0j
