,-9.0,-8.5,-8.0,-7.5,-7.0,-6.5,-6.0,-5.5,-5.0,-4.5,-4.0,-3.5,-3.0,-2.5,-2.0,-1.5,-1.0,-0.5,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0
0.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.5057826698864467+0.19081343937410436j),(0.494217808488738-0.19081401551468483j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
1.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.3276393076291205+0.031937020824585036j),(0.17814081187551578+0.15887735697390687j),(0.2824836458425868-0.049230738366913315j),(0.17202908122946992-0.17791555931891445j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
1.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.12962562170218422-0.0604049753017501j),(0.14233367791496235+0.01068129851434809j),(0.1986725610046347+0.031198397036484984j),(0.2854588629614478+0.10217229915367404j),(0.14325124876245224-0.06789319384158754j),(0.02342765008606807-0.09887971240105636j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.04774979993712844-0.07965064742797141j),(0.09158210247220962-0.052121839938910654j),(0.12134898778157649+0.059497952504421255j),(0.20634235399021766+0.04371712240027109j),(0.19401152446628703+0.08436027190978473j),(0.24337178733975245-0.069365212059546j),(0.024809123662790936-0.0406241787538153j),(0.005666101195632978-0.04741007508638754j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0157777065260531-0.03810435292179877j),(0.04375753191967819+0.002342363589680419j),(0.17249555645950676+0.06535093446267935j),(0.11674912723450132+0.03912046194276109j),(0.1740857760123479-0.007781771723953468j),(0.13446437888264798+0.046917446121783446j),(0.16163315230164463-0.037878808518637265j),(0.14243702316961962-0.07930233067351546j),(0.021533569906879796-0.029249192735770067j),(0.00010814945768359771-0.027741185324612214j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.011449603065536908-0.017214144199692267j),(0.013065791342508938-0.00843362111183131j),(0.11945946491165489-0.032944171157931856j),(0.08576138264178183+0.010276911714966416j),(0.1787366597002221+0.06494999263950561j),(0.13814620110853257+0.04277686445366529j),(0.19657310041219095+0.06451258198794547j),(0.21067592375332778+0.024952980752969617j),(0.08444344665024693-0.031674847712352204j),(0.06513911262957725-0.05981547865840927j),(0.006291362162528938-0.022761433868417818j),(-0.008881328515320327-0.01724778806628169j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.007299188186440549-0.004476254389670183j),(8.622183124572767e-05-0.015689002017496442j),(0.05714160933215469-0.027453833306365992j),(0.07287108929133566+0.007223996334727612j),(0.10184788986449346+0.010595962768278807j),(0.08420764411847763+0.048199992422973605j),(0.18243342114053762+0.06020857107217838j),(0.17384157211756815+0.007350317011485469j),(0.12879090900057766+0.0419343341422263j),(0.13226376001063317-0.032231236912371994j),(0.05260682648377281-0.04294852508797713j),(0.022204696389371666-0.044524872655051895j),(-0.0029304452093806745-0.004479166633153663j),(-0.0038271966467100555-0.006889974353988547j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
4.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.003644375350166054-0.002032500349384663j),(-0.002835368300068293-0.007681315543714766j),(0.018925303185589555-0.03295023157776738j),(0.02913239239498471+0.0007726556458897394j),(0.06555204624616918+0.02247189654993277j),(0.09756000687330897+0.018618334258399323j),(0.10963914463204674+0.06483828496287229j),(0.1739992017477011+0.06162199010302074j),(0.14023993363218296+0.013349029922361269j),(0.15631823835713035+0.02632716704850583j),(0.0982153795790133-0.007518119697012373j),(0.10645447565948413-0.051403092430789034j),(0.015905811156645293-0.038330585377593734j),(0.02153465094204167-0.02690900754755323j),(-0.0011201523420231504-0.0024253967022082362j),(-0.00406556966610781+0.001083539720724112j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
4.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.00321656531186263+0.0010837647285045031j),(-0.0008439811044399412-0.0040590247690835786j),(-0.0002579314846569785-0.02507968127628394j),(0.016629891615188457-0.023261263891239295j),(0.06747306726776318-0.01523942208872173j),(0.05960856191908426-0.00791170051497999j),(0.10446105960667973+0.03194842554670589j),(0.11021788731919345+0.04399951591321411j),(0.1359665276953391+0.03962892781577081j),(0.148229273206266+0.029177977794926032j),(0.11268505457028856+0.027599002283553286j),(0.10044004061071622-0.009657070999371182j),(0.06998435138350782-0.02235590829917675j),(0.05838349748812416-0.04025584930228935j),(0.0018468639611618782-0.020215531792526616j),(-0.007168381333000769-0.016563487310992605j),(-0.0010501645469386284+0.00048741478572249947j),(-0.0015098932204908112-0.0003459868813429788j),0j,0j,0j,0j,0j,0j,0j,0j,0j
5.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.0013951196798095296+0.0005904929224512276j),(-0.00022964284524997581-0.0010028942057459648j),(-0.0036166498432174026-0.009847753273446799j),(0.012717405512827327-0.011792229147059286j),(0.02667993855222492-0.02911053347993186j),(0.04787446850546304+0.0036369252873448997j),(0.09255809731685365+0.012689975326936142j),(0.07695791367100596+0.009487344276814481j),(0.11578563084388904+0.0403913270742917j),(0.11274223864237115+0.03854302151994064j),(0.145553523513763+0.04503057343359071j),(0.13101971102445673+0.04988536509913551j),(0.0818804119603693-0.007574672467405723j),(0.08161481067477243-0.017608248039495667j),(0.042240264381135845-0.03142893564164044j),(0.024043239731294547-0.025171788735164683j),(-0.002959568551396452-0.010363139358286253j),(-0.004168832508811035-0.009941539535737457j),(-0.0011798926600541544-0.0008443064673957989j),(-0.000872390457950711+0.00015405391005636604j),0j,0j,0j,0j,0j,0j,0j,0j
5.5,0j,0j,0j,0j,0j,0j,0j,0j,(-0.00042056158818885056+0.00014804995171131566j),(-0.0006474082830519996+0.00028016273640578084j),(-0.0008529124183748185-0.0065003630789787804j),(0.0017670700265368026-0.008517548353486516j),(0.030762479750804893-0.018665374926160983j),(0.023810758640667343-0.0018915601058911878j),(0.06183379767040482+0.000160942774846651j),(0.057770660836828004-0.00427626346332412j),(0.11672603034256543+0.033526334364824974j),(0.09826536122479981+0.03781142327444722j),(0.13856696337738264+0.05212897344511404j),(0.1214141846722338+0.02845215883019632j),(0.10628972536813519+0.01693233538563803j),(0.11219446803403488+0.009770840394607393j),(0.07292157967994536-0.005150475838717556j),(0.04961005848754952-0.02005468257108951j),(0.021286382992330214-0.0196095441971561j),(0.005457549714586296-0.025551704473218508j),(-0.0005537923128335117-0.007493542753023852j),(-0.003756329919333353-0.0017408497678084735j),(-0.00030551847158227427+0.0001562035888311361j),(-0.0005883397441049907+9.346626232033028e-05j),0j,0j,0j,0j,0j,0j,0j
6.0,0j,0j,0j,0j,0j,0j,0j,(-0.00019675619714068214+0.0003045983712422085j),(-0.0002471159538324213+1.7632571425944936e-05j),(-0.003715652809594522-0.0016563072864349067j),(0.0015801891467540571-0.006235239206617489j),(0.002999787377980729-0.02239289273554536j),(0.01574299948171913-0.011564538099273228j),(0.05043252720759744-0.0051895032074014144j),(0.0448875921827051-0.012829920842917014j),(0.07996394437252723-0.013557188318017568j),(0.08315648507698538+0.016662460345856944j),(0.11112439225742479+0.03876279767708822j),(0.11462534001783942+0.0393288661369729j),(0.12169345318423029+0.019954503921698282j),(0.11824050821129513+0.01748906845354541j),(0.08101907215822123-0.00535149160324827j),(0.08820374897115213-0.006732279035508241j),(0.04879836836483784-0.01912615738268796j),(0.039422612336965646-0.029718266154441435j),(0.006619829170307717-0.007776512748759255j),(-0.002943063641203508-0.015476791834432731j),(-0.0027950555614844135-0.002770347813523501j),(-0.0023545318265574223-0.0018260932218937325j),(-0.00019923036042392752+0.0001166310035100334j),(-0.00022198818848317758+8.2510518798388e-05j),0j,0j,0j,0j,0j,0j
6.5,0j,0j,0j,0j,0j,0j,(0.00012726379154768942+0.00010888883802407618j),(-0.00013559025244200357+9.290781822150586e-05j),(-0.0025783414188050263-0.0013561346769142603j),(-0.002768074323847445-0.0013509496926973434j),(-0.0049270136525561906-0.013590280802325215j),(0.006186530393901552-0.00944914711876537j),(0.03368032535979775-0.02245694863818743j),(0.03014902368944658-0.005172008197948638j),(0.0712653299193379-0.007870549652872105j),(0.05676969141177866+0.00812270952087989j),(0.09619722981666154+0.021103904727139737j),(0.09490771181292043+0.034560699508750514j),(0.10634273189820354+0.029911187040664103j),(0.13111492641564904+0.03661063444874466j),(0.10111654811800894+0.014281974961748647j),(0.10472263142568393+0.016652841976641238j),(0.07520838745261102-0.013482977090372127j),(0.058610208382720214-0.02588307180283644j),(0.026614013807938635-0.01287738462847997j),(0.02436155815368335-0.027450246425022834j),(0.0040022393229774645-0.01017442875646817j),(-0.0023893172251343298-0.010364284633748992j),(-0.0015463608727378558+3.235100848592563e-05j),(-0.0016734551450430417-0.00028112601016426367j),(-7.083099084768585e-06+8.016355921450901e-05j),(-0.00011088261234219296+4.502506320500697e-05j),0j,0j,0j,0j,0j
7.0,0j,0j,0j,0j,0j,(2.8253630243602293e-05+5.589119130313499e-05j),(-9.589968521537238e-05+7.302775244898042e-05j),(-0.001214842451547975-2.667864990945346e-05j),(-0.0006163088281250656-0.000826792230328377j),(-0.0020156594199506085-0.008470667919563583j),(0.0006429017899160692-0.009172924982964152j),(0.011897072911162456-0.020608312288527175j),(0.015145276214001519-0.0060948977137524315j),(0.06848883376768039-0.015030700491259767j),(0.05156757995783831+0.006141316033264459j),(0.0759796378397474+0.005943437936343186j),(0.08072958989686044+0.023831160961120434j),(0.09862055829714733+0.023003913976637803j),(0.10299079245241821+0.03189098148029455j),(0.11501383939083311+0.03367469804526417j),(0.09956437407259837+0.01233542410843931j),(0.10401533836375411+0.01346333207602662j),(0.07890421496288492-0.00905086396681212j),(0.05595953989295928-0.021334251864183633j),(0.037477855197046425-0.02199507585428121j),(0.021016729981060647-0.015847803439285567j),(0.005640296435025508-0.01768516657649365j),(-0.002158684262782549-0.004408974451452955j),(-0.0032449027264465223-0.0032876296284777996j),(-0.000634799007312123-0.00041791837091704597j),(-0.0008565700191840485-0.00012378081134048358j),(-5.276259474225173e-05+1.6109579976599655e-05j),(-3.157716395499769e-05+4.6064747128126345e-05j),0j,0j,0j,0j
7.5,0j,0j,0j,0j,(1.9992320851849122e-05+3.167864082244473e-05j),(-3.068682537117905e-05+3.590259594119169e-05j),(-0.0006045973649529466+0.00024426939337628465j),(-0.0006152669025050089+0.00023608317157963252j),(-0.0016915503398620552-0.003866663162759462j),(-0.00012997047213198702-0.0025126509530313573j),(0.008913730652714396-0.016999847619655513j),(0.010659116413936113-0.007914869189090377j),(0.032299143824036695-0.010115211628800408j),(0.036505751919619946-0.003657576864975011j),(0.06650947340102685-0.007202028358553427j),(0.07020693867724011+0.0025628081382711686j),(0.08987752952419993+0.01986861017918253j),(0.09055394092830514+0.024035070236947793j),(0.10866966373534576+0.03257984010355071j),(0.11095518727964382+0.02779377789460896j),(0.0919225033747496+0.0238952877049518j),(0.09163331024808616+0.01209484589597481j),(0.06976574463199484+0.0028428459029744063j),(0.07015514053085255-0.006935860574728961j),(0.03417834045049171-0.016464482392901054j),(0.020340858813456444-0.024711497276275248j),(0.003993321250348315-0.009177234588141568j),(-0.0003291655145520621-0.009913936172819864j),(-0.0003418078458733791-0.002364044005472361j),(-0.002403140574375837-0.0011670064754223388j),(-0.0004516868339782562+0.00024407222571864038j),(-0.0002476169492495543+0.0003579214601439379j),(-5.505428107854847e-06+2.0955118117102144e-05j),(3.024277248517856e-06-5.085421832984377e-06j),0j,0j,0j
8.0,0j,0j,0j,(5.508847860956662e-06+9.671041344096975e-06j),(-3.5134161685061186e-06+3.11311427614866e-05j),(-0.00034204593271068003+0.00041267914748021163j),(-0.0005075252292116427+0.0002414236369567547j),(-0.002719582409025227-0.0017448471544074039j),(-0.0024710888704597804-0.0020040916920533785j),(0.00396118157218222-0.00654146254749853j),(0.004964989624271909-0.007755495146573002j),(0.016687838311890517-0.015502410423499298j),(0.020867716857496006-0.004718799716388712j),(0.06435017791537963-0.013268967277300836j),(0.0564155035874473+0.005993584078272356j),(0.08161261074065046+0.011547143597472009j),(0.08219890371478206+0.01994498970653985j),(0.10824982022438144+0.02726081883151764j),(0.09962425564051951+0.02923197405676532j),(0.09934785635471072+0.02682768805023937j),(0.10823060513722678+0.0336991756396033j),(0.07713928944495249+0.006669074349699176j),(0.08693294556039076-0.0006462836619007554j),(0.05559850535263525-0.012402292514232227j),(0.04008208106568645-0.013680663601496385j),(0.022469022335019163-0.012638673537251715j),(0.016314484906296584-0.020847421907880814j),(0.0022962140299123183-0.010448537576254193j),(-0.002772225990971593-0.0065046578099767546j),(-0.001080482246926224-0.0022872769960351398j),(-0.0011744885637897005+7.790923128141268e-05j),(-0.00041732132796324013-4.877839837566728e-05j),(2.884864510271815e-05+0.00015028138683007242j),(-6.779845756839655e-06+8.058311957100234e-06j),(6.014076431377133e-06-1.0481465817502277e-06j),0j,0j
8.5,0j,0j,(3.0825554647586257e-06+5.5501616234432515e-06j),(2.135885735662977e-06+8.51438963715739e-06j),(-9.00468206546251e-05+0.00016740703564967942j),(-0.0001270205498631804+0.00014690499329344137j),(-0.0017759447621463556-5.444573307295837e-05j),(-0.0012043310260314757-0.0008221776130236703j),(-0.00013570976602440095-0.005410447653024846j),(0.0015555979531209389-0.006456209651063768j),(0.010744981351681079-0.009550451538340311j),(0.01652067842486754-0.015600486226624587j),(0.041437514610874866-0.012262708195789805j),(0.03961143870675244-0.0021718324299645894j),(0.07420498353922579+0.006173567677051583j),(0.06395843580745317+0.013340373148532944j),(0.09024360800162559+0.022963902715641315j),(0.0839583262648689+0.02568877675032239j),(0.10278046777584561+0.02356500779615057j),(0.09988951767439086+0.035457661940507874j),(0.08429047588012248+0.021354138946465904j),(0.09737056085673541+0.013700145554945788j),(0.06057910790719592-0.004273830878750549j),(0.05975992240887555-0.005672561062588952j),(0.03641826249407061-0.011767778880653756j),(0.02920604790152452-0.024009728027669233j),(0.007802814978687804-0.009804601016021566j),(0.007770460500290642-0.013081271506526528j),(0.0011206808193844427-0.004470106132212145j),(-0.0030618719043242777-0.004096216855331101j),(-0.000999556926978242-0.0014754324340665692j),(-0.0008926554259846149+0.0003502260261102939j),(-4.0598022532938555e-05+5.4650879288054694e-05j),(-9.064955212247623e-05+9.479466246718994e-05j),(4.449153897143743e-06+5.5114150792096276e-06j),(3.511562684607443e-06-7.809018209508458e-07j),0j
