,-9.0,-8.5,-8.0,-7.5,-7.0,-6.5,-6.0,-5.5,-5.0,-4.5,-4.0,-3.5,-3.0,-2.5,-2.0,-1.5,-1.0,-0.5,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0
0.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.5399799624675384-0.07541685886554339j),(0.4600177677487911+0.07541921593626909j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
1.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.2633457078726944-0.029928716631287267j),(0.2766314709943829-0.04549090359484386j),(0.2484781855555755+0.042593557940595494j),(0.22759803178931742+0.07132795061169003j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
1.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.08053623326907962+0.016822040755089224j),(0.13645521428864107-0.09730808940566213j),(0.259576666239787+0.0018177618234348596j),(0.3117708177955961+0.044887503685108j),(0.11880252792854248-0.0014804406299846404j),(0.11859652467930375+0.03254412278688896j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.043779571071980085+0.017677414186111743j),(0.08729106108009319+0.007491506034205991j),(0.14018092005559488-0.03558594339438181j),(0.20537855618715845-0.022900971633130013j),(0.19772374756947209-0.021864858226170424j),(0.15024817961088704-0.01693931888282266j),(0.04615943982851112+0.013059099231004697j),(0.05159653449483053+0.015509336584509188j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.030769440478776416+0.02933347999840056j),(0.04320804016451051+0.04342694626577619j),(0.16178896902010156-0.00018760661889335984j),(0.13382866859076242-0.04987182609693656j),(0.1991242062472196-0.025602136689871262j),(0.2014676565748927+0.04202581292676082j),(0.1250935556450751+0.0003535361101862874j),(0.14967490500247366+0.03164518200577031j),(0.02274805871488152+0.018349265015638237j),(0.023120055292743625+0.012904458725836614j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.01872434953757506+0.027981592763433386j),(0.007414566712386342-0.006110871286356362j),(0.09361198468000462+0.02604824112703534j),(0.04482300979711781-0.02372218051143223j),(0.14227458582288963-0.02482428315844094j),(0.18505156497815758-0.01613609662863564j),(0.200162207053542+0.003026663177723698j),(0.16149433666423776+0.022750635771245746j),(0.056702685342825895-0.010351837721617624j),(0.06396263027164005+0.02851870794048481j),(0.009018567862616463+0.004119131771947411j),(0.007938348637458275+0.0039046250321548613j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0015161066993649558-0.00013799636623415415j),(0.012103058355946609+0.0026351915996238005j),(0.028175278289265443+0.011325808707532085j),(0.04164709826164938+0.005717280139763015j),(0.09658435916802804+0.004456903138011359j),(0.10279843928034171-0.007003142854410205j),(0.1276561735049849-0.04133998713186557j),(0.18034260711079605-0.007155701521217006j),(0.11904347318557386+0.015889819429042745j),(0.12222384552284256-0.024494251015683526j),(0.054700414308033095+0.007110830799478322j),(0.03659219267520739+0.01103670636289596j),(0.00627803825070497+0.0041598887191550945j),(0.003098468474250566+0.0042497607503650375j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
4.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.0033326676835830522+0.005286182381127699j),(0.0024359109669783024+0.004768498736455162j),(0.02868287904650315-0.0034053376598228947j),(0.024389470487724142+0.010378740795390303j),(0.10581190671089266-0.013892200940321255j),(0.09268974810933511-0.00989779167814579j),(0.14855980006591238-0.016487639377657095j),(0.16657261073957158-0.007788151317606933j),(0.1360326357786493+0.008672099388127727j),(0.1695432443552991-0.0036366938029668387j),(0.08977327732379971+0.01282053321593306j),(0.06408523059316484+0.012023966169605133j),(0.021718299033041424+0.0070295339997366296j),(0.023350453096032345+0.007515487954226183j),(0.003017645982855607+0.0014630243871799574j),(0.0017831748419263201+0.0016604662603155764j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
4.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0012518783207042623+0.0027331871843002784j),(0.0007600599703218682-0.0003890656668085664j),(0.011170373896230929+0.007263801298246385j),(0.017477390247432695+0.009000232001952877j),(0.04379098306689114+7.3548785358900845e-06j),(0.037934473834697724-0.009305020502875619j),(0.11253490201427162-0.004201479327146832j),(0.11956748559011372-0.016356376285140074j),(0.13244935502041494-0.021401987936318125j),(0.15071844162945897-0.020739149968940218j),(0.11675056022875187-0.009775020971138797j),(0.10825382477184002+0.005700258446557221j),(0.04549464814937088-0.0020236534542856454j),(0.06116756824663336+0.010462439326300059j),(0.00930950415522214+0.0005858806772428713j),(0.010621707622660839+0.005108806512683449j),(0.0017801313003214484+0.0008568234630536621j),(0.0008247146450851379+0.0010854476568612453j),0j,0j,0j,0j,0j,0j,0j,0j,0j
