,-9.0,-8.5,-8.0,-7.5,-7.0,-6.5,-6.0,-5.5,-5.0,-4.5,-4.0,-3.5,-3.0,-2.5,-2.0,-1.5,-1.0,-0.5,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0
0.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.1476785259344849-0.08710387600705778j),(0.8523248894965494+0.08709975993312001j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
1.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.13564502791748717-0.06644103666038378j),(0.01870120200303845-0.016578042530445404j),(0.158093580460424-0.0530583227301869j),(0.7146039628071119+0.12311197427060808j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
1.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.11646261169526644-0.03892029563517567j),(0.020834210989635622-0.021400656929944174j),(0.17978360446687514-0.039844252143616726j),(0.0569097950154058-0.023117218283597557j),(0.10969060994305402-0.04057294686092449j),(0.4534384298033433+0.13147613987770088j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.111097195604463-0.01835595331778385j),(0.01634678539242129-0.01675996480088877j),(0.09558937069490019-0.04704375979312784j),(0.04828839203847036-0.031544203686651104j),(0.12104440227242352-0.028432251452227233j),(0.06791899646579816-0.0446618732506751j),(0.13247799232370563-0.013738161203654606j),(0.4012342463104347+0.1391697619400115j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.10087038384039707-0.0065924428688561715j),(0.012057133207793698-0.011813759248524822j),(0.09627943999141368+0.0008728180623109878j),(0.03172252295953649-0.03129751302575876j),(0.11803512624121096+0.027553061599646447j),(0.07851929841740395-0.027268015936866494j),(0.12262756942625398-0.01746498972348496j),(0.045487953046360115-0.04751496173348024j),(0.09900576776486747+0.00291318764003632j),(0.28404593988883425+0.13171756837393303j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.08060270847777261-0.0074873286125131215j),(0.012251941476051235-0.011080465316565098j),(0.08394737274104702+0.0037996861422128535j),(0.027625507330481677-0.013469356889381967j),(0.07037426132686143-0.05495275084627839j),(0.07146419074615365-0.024870866588586234j),(0.10034433545009888+0.02346154873450965j),(0.06938094830396613-0.028413663819466226j),(0.0954430200403275+0.0017151204824502851j),(0.08834219971783164-0.027822887435450697j),(0.0885046982234954+0.009543127713942291j),(0.2039665682114113+0.07779494243746726j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.06923268291719933+0.01279118582205417j),(0.012442410447893197-0.007778622970790338j),(0.06151138198323539+0.01761543235664978j),(0.030842465790789766-0.011787266467318886j),(0.06282655766836125-0.03292248701368953j),(0.04983188519074151-0.019536261213891012j),(0.07559945649258853+0.006257576156448231j),(0.07580312886309835-0.026487400263395768j),(0.09693979384919432+0.005085878811519673j),(0.09246200812786265-0.02462337745276579j),(0.05123863377371311-0.027183574056895442j),(0.09780350734193638-0.006658922106249458j),(0.05372863092121169+0.04439107467485935j),(0.12872342192611358+0.01569214249249405j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
4.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.06015692883438962+0.011089410828380445j),(0.010104213253144917-0.0062224754681309315j),(0.05553656701409685+0.01411388269491041j),(0.02040129673355552-0.010381766114278913j),(0.05452770439353033+0.016880452778284042j),(0.03672145477412484-0.015569001650295306j),(0.07407371199492033-0.012833498552582968j),(0.07630661114129628-0.016226785055802922j),(0.05985952406767386+0.00534285294404315j),(0.08390002056629077-0.018304305100249312j),(0.08417761101230445-0.0029468768228207314j),(0.0879486531563391-0.036274784490795714j),(0.07926411734247152+0.012751763086479483j),(0.09856727910258553+0.023309512652758525j),(0.011513082270407298-0.02374193683197025j),(0.17271419399876603+0.09620801685184087j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
4.5,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.047931342518242805+0.021671896837043483j),(0.009869571105416175-0.0033700257767460247j),(0.040419587153591674+0.013391777663730217j),(0.025025202191459074-0.0027846475862244213j),(0.0632756663978081+0.0025396717043811128j),(0.024379150238424428-0.011668415183030311j),(0.06204464972675733-0.006230687164653248j),(0.041265501420669114-0.017038565052820365j),(0.06635284001566452-0.02690919372561809j),(0.06510819517634685-0.016510310585194976j),(0.07209731596397993+0.00210767390298235j),(0.10041308071169433+2.92194748964026e-05j),(0.05171337975294756+0.0011172918548446444j),(0.10261203975508937-0.013189479765688504j),(0.05044808450407649+0.022416018450442266j),(0.046168995057641715-0.0009338707679712281j),(0.026939412322873287+0.016212606866050812j),(0.11143749633664332+0.12110750437217511j),0j,0j,0j,0j,0j,0j,0j,0j,0j
5.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.04068511490773545+0.01681405160860196j),(0.008658277674046226-0.0016227714186687271j),(0.033515676513706995-0.0059967896053331644j),(0.017970344952942304-0.004637474210242668j),(0.03822216985542755+0.005134454155197213j),(0.024838066253382984-0.012229065423039422j),(0.06622572745715026+0.0017336570391670207j),(0.041530939142016395-0.012290807128003137j),(0.053847052931979805-0.014465421433688395j),(0.04184528171426486-0.014541755430253265j),(0.060186751532605005+0.0039701016949085805j),(0.07509747265316466-0.010830807919211946j),(0.0513924799105011-0.009847711257636097j),(0.07519167391178519+0.012310190580445055j),(0.03347150696871848-0.008736664373682089j),(0.09384305872236509-0.007241064069628954j),(0.03652441346938498+0.005937098837206474j),(0.07686091509190508+0.021086676388092286j),(0.006835671019209711-0.00488962654646948j),(0.12458168570814157+0.06875774453260879j),0j,0j,0j,0j,0j,0j,0j,0j
5.5,0j,0j,0j,0j,0j,0j,0j,0j,(0.030124415714351097+0.01637426079455458j),(0.007228109354448648-0.001327574966197629j),(0.03076090141328266+0.006685303519972322j),(0.01963889996140773+9.49681583708522e-05j),(0.039441159335697154+0.011644024863782259j),(0.028443629692639673-0.00611719150768749j),(0.04693019840705728-0.024910493590250164j),(0.03607212181009224-0.010288083625683953j),(0.07297670139499375-0.006535701801211884j),(0.051514625872884356-0.0035189766250222953j),(0.06087782027780443+0.004315386725715918j),(0.06832237922200461-0.012134048991097459j),(0.046761214022738695-0.017174786163299954j),(0.06701349966846915-0.015105103246046856j),(0.06022923724255922-0.008647791863008937j),(0.07479909024185134-0.008805262246948522j),(0.04963716887253697+0.0009951719231826414j),(0.0836412182229323+0.0007950980833368179j),(0.047149391969066416+0.004037117027759209j),(0.06821239911768799+0.010090898970881473j),(0.020756239075656904+0.00863158070403397j),(0.06610925596976633+0.03828935398428423j),0j,0j,0j,0j,0j,0j,0j
6.0,0j,0j,0j,0j,0j,0j,0j,(0.025346334111996136+0.01622517493651305j),(0.006360306403079138-8.034008848061259e-05j),(0.02706910538978942-0.0034205712749778606j),(0.014108684341674895+0.002621582707920178j),(0.03616045909954079-0.010856428847012241j),(0.024422241902161603-0.0031626397969169223j),(0.05766699507371471-0.01862738088425996j),(0.03532895346773068-0.00045401511374896597j),(0.054310159412814966-0.03418917894820704j),(0.042965682999192324-0.007785381745273823j),(0.05004100590630956-0.001806328610253551j),(0.053028591524773544+0.00045310769442933094j),(0.0684261111745199-0.0029892181601572317j),(0.0676729454120884-0.01737786396131168j),(0.07091311808488199-0.012130199536797977j),(0.07654809041104733-0.003886107201631088j),(0.06484642251452684-0.00219610813362178j),(0.057000165407454846+0.003665223343654711j),(0.053960776348361404+0.01715379133095217j),(0.06005331091982359+0.009493161436260356j),(0.02688385353248402+0.015379962170319884j),(0.04648210431368281-0.0029091003381991184j),(0.018042342915710708+0.01752692838186595j),(0.06953111998477057+0.09161965016666998j),0j,0j,0j,0j,0j,0j
6.5,0j,0j,0j,0j,0j,0j,(0.021129172135594114+0.021138397029208188j),(0.005469409612918384+0.0005675512616228719j),(0.012123041835808026+0.007943032401685465j),(0.008768613307753895-0.00128830580175266j),(0.02547803441114561+0.012288124857825563j),(0.018551703283307432-0.001024791123314054j),(0.04298890567208281+0.0067764485429816805j),(0.02674183141627495-0.006794403813445773j),(0.046164485089136044-0.00210864933034538j),(0.03628045915945992-0.0025533153459341177j),(0.05904775699137486-0.0048506216441771685j),(0.03668953147757444-0.010009530936983762j),(0.05384846450142832-0.006423523169419745j),(0.048307619032278405-0.017266008317372464j),(0.05656018949998075-0.014390556522053014j),(0.06043171048280415-0.01067655282142737j),(0.0630505729906719-0.0012846347366112403j),(0.06752463868210674-0.001995400509705185j),(0.04712205432420844-0.0064432784828118116j),(0.059569972771651096+0.006065780486430493j),(0.023864347803626847-0.005700152580705381j),(0.04676769602662838-0.00088843883291964j),(0.01795898677324335-0.001273041511857675j),(0.03070766067160568+0.0006851933964879455j),(0.002884899362241125-0.0016276144079849773j),(0.028371423890524803+0.041180909079957737j),0j,0j,0j,0j,0j
