-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.26198902461934126-0.1008320143230086j),(0.7380136051289934+0.10082709906119276j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.18768436272761607-0.06855179815062906j),(0.07430435184110781-0.03227847136976766j),(0.21735369314471553-0.03428711762093634j),(0.5206600876041197+0.1351109955798179j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.14211150167767153-0.026654232340862793j),(0.04557263855596802-0.041896206893461546j),(0.16951902536253416-0.030805610136608035j),(0.12213947261964976-0.03575911663585838j),(0.15528438434088013+0.0008954633285189681j),(0.3653769957015499+0.13421278112246993j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.11609168395461987+0.0029750240050484683j),(0.026019745465098477-0.029628075304301848j),(0.11950433427444412-0.02013024905312911j),(0.09558698046828767-0.052571242004030974j),(0.13147567241243616-0.010015526710809762j),(0.1459482051984585-0.02484696376726463j),(0.11242472080736163+0.012185264047256648j),(0.25295304726979473+0.12202572136013207j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.09284580466751348+0.015955763394188548j),(0.02324574226264965-0.012979804155580608j),(0.09136002299728607-0.004439307250589535j),(0.05416380315978712-0.045318337069937965j),(0.1037353210183651-0.027879340709459577j),(0.12332708162887872-0.03470757029269028j),(0.1037507148468752-0.0016711046392653165j),(0.1546222144818001-0.01099022635248217j),(0.07896187705537346+0.017238445744369765j),(0.17399202234261296+0.10478597594282843j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.06899466060620478+0.02044374918028219j),(0.023850875198656397-0.004487311895749018j),(0.07759389861688935+0.002062953036451029j),(0.03701207469549934-0.01948125238795903j),(0.0875377392169824-0.02138841994978431j),(0.07036092266627024-0.051808823234427495j),(0.09794297751578288-0.022060593180900867j),(0.12913489626599103-0.014318377829612754j),(0.08529570163279748+0.0021187229745286626j),(0.14828834903573512+0.004129621554350716j),(0.055837615602025895+0.017573415694764494j),(0.11815504168095141+0.08721170528189556j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.04862890445069567+0.022406329067665536j),(0.020365432831634785-0.0019621122627034968j),(0.06550204996231408+0.001088915024706547j),(0.035942945145217634-0.0035127409670073885j),(0.07826144559044695-0.012412816235898398j),(0.04628828460443716-0.028456041395570612j),(0.08752391670422363-0.023831889802837493j),(0.0807796534400656-0.05003736600305285j),(0.08988157321661273-0.014682584380368614j),(0.12454928051350413+0.0024826571871900288j),(0.0703135323621743+0.004990736850370279j),(0.13381241214260683+0.01671214539923435j),(0.03886509968513115+0.01648588412573542j),(0.07929048768558886+0.07072523845106116j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.03387830383371227+0.02283340873347587j),(0.014750303109901674-0.00042675948520278883j),(0.05313796059485114+0.00022853720948659518j),(0.03272959588603532-0.0011013884636805304j),(0.07132653575654696-0.00951352390226053j),(0.042877940060993776-0.006411490880062119j),(0.07652923257172227-0.01795066220721563j),(0.05728284330448456-0.03433670524577534j),(0.08257382873950692-0.02004458427081959j),(0.08808715497217147-0.04467525296454098j),(0.08024963531503945-0.006470545780695959j),(0.11461345019823208+0.013943761593931557j),(0.057485153515945256+0.007240210400127916j),(0.11519239686069777+0.02595756812945306j),(0.026934846313605095+0.014441288946505218j),(0.05235606089513746+0.05628357089220902j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.023540982370565636+0.02148513885183058j),(0.01033707389703395+0.001348482651766818j),(0.04254528356158008+0.0018978096052073977j),(0.02534295415956755-0.002095724333330673j),(0.06367307635089345-0.007366139963427653j),(0.04038310751728152-0.003248486849006016j),(0.07018530421885333-0.011757667279113938j),(0.049221922481348136-0.012603935512961746j),(0.07400528998403971-0.020092300966737343j),(0.06585120252989766-0.034288576353933134j),(0.07688096707586309-0.014179142159315582j),(0.09145560092950714-0.036966602538673586j),(0.06989424083809999-0.0002541635622088975j),(0.1022046193606932+0.021437976203479592j),(0.04672559147333487+0.008796744457030953j),(0.0954017381181384+0.03160181835951986j),(0.018409409263007725+0.012224671621670558j),(0.033946984839274975+0.04405865292825594j),0j,0j,0j,0j,0j,0j,0j,0j,0j
