(-0.0006073823789712988+0.0005370550156891556j),(-0.0001187121594832751+0.00032686100259759826j),(0.0023878140557261674+0.003800685168950156j),(0.0012149244232208395+0.0011229466810630754j),(0.006528214899432083+0.003326777337109743j),(0.003446310049400496+0.001842513616246732j),(0.012827888165170151+0.004298011421752463j),(0.007574948313439974+0.0024654647761351476j),(0.022091006223502352+0.004998464928963364j),(0.014218160567653576+0.0025531638545165224j),(0.03241705968441294+0.003063714289634858j),(0.023371510207613015+0.0012494309906170725j),(0.04236370879618397-0.0007720532267608951j),(0.03348526698711471-0.002403144696139879j),(0.04954240889155573-0.0051654358345564295j),(0.04205961540869623-0.007008763096677957j),(0.05409645128264399-0.008377467266606603j),(0.04861935391928259-0.009660496890077393j),(0.05553406704212808-0.00996940418131158j),(0.054495930878540905-0.010955460673779558j),(0.05373539512431212-0.009345806045506026j),(0.0572995858017405-0.010727229712449332j),(0.048849428744196635-0.006663740706227079j),(0.05540545401438462-0.008969526450999427j),(0.041983667625257785-0.0028091446569462265j),(0.04979588491657344-0.0009843966545184098j),(0.032562851653940225+0.0003733107854210253j),(0.04625550409841266+0.0014652690593905285j),(0.02270305602168424+0.004464678032776458j),(0.029672140209145683+0.00865824831679635j),(0.01391738269221128+0.005208676425981107j),(0.023797660041879817+0.008301538255543956j),(0.006898604332469496+0.005787493900407651j),(0.012394603208341666+0.011844835895399157j),(0.0016499995914939754+0.004197357579920984j),(0.0019851562447953308+0.011636600974438374j),(-0.000939723856879861+0.0010868572418457094j),(-0.003574377486323726+0.0011204080939484441j)
0j,(-0.0007260997017856382+0.0008639154102825477j),(-0.00010244891449444698+0.00047901591337804806j),(0.003705171517272937+0.004444629868151124j),(0.0017053087171422687+0.0013214796633721684j),(0.008269201324786585+0.0038478870251978264j),(0.0047327248468301795+0.0022595564185227315j),(0.015670141538762693+0.00450405128860219j),(0.010012003494852366+0.002925253471888116j),(0.02629732883185824+0.004626490221973066j),(0.018243677483327385+0.002556238672927677j),(0.03754512981874995+0.0017570133467072315j),(0.028604597986875653-0.0002519129558316822j),(0.047244746213387985-0.002923190160767028j),(0.03826795846143851-0.0051230266470330575j),(0.05333447918578055-0.007051161360210846j),(0.04603541628211034-0.008634583620872367j),(0.05668070787093102-0.009403262228631424j),(0.05346112469830587-0.011003548037714035j),(0.056569248912070255-0.009920922309907987j),(0.05796335367334194-0.012043099629349087j),(0.053072049929211614-0.00802940719987624j),(0.05718776292668731-0.010953164716072772j),(0.04706742363215617-0.00467941052059034j),(0.05436612340172195-0.0024302084123176675j),(0.037413733786236636-0.0013625484686408023j),(0.051649752628020844-0.001703065058387322j),(0.027168794654645553+0.00354231507897099j),(0.035186420494802244+0.008103807365889736j),(0.017188824857299743+0.005019507802955006j),(0.02848716725044474+0.007265997130646932j),(0.009227756994001385+0.00624449938097622j),(0.016528460080552948+0.012605101458842968j),(0.0027646949854289614+0.0050273126708282765j),(0.004662061128948112+0.014202887009578863j),(-0.0010268664002040506+0.0016310371612694961j),(-0.004514106071427363+0.0022073111649973083j),0j
0j,0j,(-0.0008285560000753037+0.001342931549109599j),(-4.441215354017701e-05+0.0006960535423710572j),(0.005454871579192016+0.0050700769110305815j),(0.002416713114508838+0.001542387799507066j),(0.010585206088597364+0.004565163593955033j),(0.006644966682406592+0.0025450101896983645j),(0.019037255733888207+0.004884473003144192j),(0.01340542288684857+0.002920380591362923j),(0.031135800212205262+0.0042624781161230375j),(0.02314112153365134+0.0014045323736291177j),(0.04300894274720943+0.000100693169603002j),(0.033693835907339584-0.002886525884041039j),(0.051819313080712776-0.005159665258771481j),(0.042584947078500864-0.007441621598102547j),(0.05678527949806258-0.00824410264697433j),(0.05118709453769007-0.010650433307914622j),(0.058955095049616484-0.009756071095772829j),(0.0572683284480443-0.012808639285382409j),(0.05726467584435601-0.0091549132726877j),(0.058035909780376135-0.012271296457408864j),(0.05222422069223956-0.006710587217088075j),(0.05880408928856602-0.003761080689222884j),(0.04262982989652072-0.003347691224396183j),(0.05687639349956588-0.005263628004281121j),(0.03218738021715701+0.002198757450689345j),(0.04130962156284088+0.0070676673783930085j),(0.021045662001131706+0.004578897834525217j),(0.03358946948864018+0.00575961756321513j),(0.012086411080095736+0.006526267281282347j),(0.021475190444677276+0.012959885325083156j),(0.004280971994654054+0.005889836396059117j),(0.008459384929389848+0.016859841932191283j),(-0.0010325951644500628+0.0023703039316324273j),(-0.005540969491886543+0.0038384100581568574j),0j,0j
0j,0j,0j,(-0.0008729784739131054+0.0020389871050771405j),(9.862127999109348e-05+0.0009901165040745665j),(0.007772937939094791+0.005622381048466468j),(0.003449918407842329+0.0016882374064600889j),(0.013780275582858662+0.005422083714067622j),(0.009181909084575432+0.002292206395256871j),(0.02326092445614423+0.0055128366629034736j),(0.01741275720712842+0.001980482812624769j),(0.03686445392555248+0.003686654959947487j),(0.028043141692535186-0.0008464758984561751j),(0.048660057307450544-0.0019392679396811503j),(0.03824085275055676-0.005776207612584686j),(0.05616381330334424-0.006825092133959294j),(0.047560448055510705-0.009859867859808556j),(0.060412271958899366-0.00903447934731379j),(0.05497083390092082-0.012737028006820795j),(0.06125295161545443-0.009827297092414075j),(0.05791840692668173-0.012624460927475037j),(0.057382503579420305-0.008801086579038721j),(0.0629529608156103-0.004878479395712623j),(0.04807578539269104-0.005592286266052465j),(0.06177296947577144-0.009048886043865993j),(0.03773364725626086+0.00043836199732419145j),(0.04791969966472876+0.005423270887075159j),(0.025577383029058716+0.0038436544326912463j),(0.039098758255109445+0.003782949699351431j),(0.015536286900421171+0.006556066405857003j),(0.027270130921820623+0.012750529787265805j),(0.0062914198320186175+0.006735789845928451j),(0.013631354968276384+0.019397744512939352j),(-0.0008909789318216417+0.0033518574256541224j),(-0.00657354824466891+0.006208795255668877j),0j,0j,0j
0j,0j,0j,0j,(-0.0007743710226385835+0.0030291089537513383j),(0.00038519536878842543+0.001351256608727726j),(0.010837635207488264+0.005959411248786573j),(0.004806321629110933+0.0015603720172613117j),(0.018155940376419877+0.006154090361428067j),(0.011868434547878748+0.001269298447331699j),(0.02880544859224144+0.006224189495172162j),(0.021444401049486254+0.00011547510758626054j),(0.04346352907611518+0.002724804849340453j),(0.032627298157277676-0.003783991359534344j),(0.05427408614931237-0.003931440632320959j),(0.04275695985680013-0.008590872318951786j),(0.06096771724985137-0.008094035031798893j),(0.051036553140003764-0.011891730180342622j),(0.0643468655204839-0.009879535951736525j),(0.056856047492412326-0.011714657145229356j),(0.06231562988073004-0.010736479908818427j),(0.06651376671782012-0.005610178475631928j),(0.05382218325481691-0.008068438011350368j),(0.06614992672539555-0.012899001852706763j),(0.043699330591293155-0.00174136602507691j),(0.05479877714601345+0.003085555170929241j),(0.03085465401349954+0.0027766451776689524j),(0.04504561297644112+0.001374711226541731j),(0.01963049375578416+0.006252538757427283j),(0.03390824993849483+0.011809749132365687j),(0.008898129573168618+0.007497070019266229j),(0.02042782067328644+0.02150845005165326j),(-0.0005050550046819978+0.00462498453083435j),(-0.007464489009051752+0.009560757141644116j),0j,0j,0j,0j
0j,0j,0j,0j,0j,(-0.00038919313396054787+0.004380376281687456j),(0.0008670054669492555+0.0017388415447956306j),(0.014776931111387646+0.005781005704761052j),(0.0062466184434460045+0.0010183303171481257j),(0.023777890357562486+0.0064052140863375285j),(0.014337251949077357-0.00014437658345856j),(0.035912835781782+0.00648421622041961j),(0.025088186413242446-0.002198673056916126j),(0.05100304370563669+0.0011396100132201087j),(0.03634338896107293-0.006745369022604681j),(0.06068816479883177-0.005776946067768509j),(0.04581082406118973-0.01028597093767153j),(0.06619375565718681-0.009699735350458925j),(0.054547745248231465-0.009649679807592718j),(0.0666554393849334-0.011943955651526237j),(0.06904276480082626-0.005883327788990582j),(0.05978713149128879-0.010462374321273055j),(0.06994406844120578-0.01657091325016491j),(0.05002867056184548-0.0043957587809855874j),(0.06159498564813688+4.129239454192103e-05j),(0.0369031938053671+0.0013035497990332699j),(0.05149049406276286-0.0013800017433934755j),(0.024409826429761174+0.005532172661507056j),(0.04132763727695137+0.009976673045719949j),(0.012211091044270978+0.008085902482372342j),(0.029062178671397473+0.022769926394444105j),(0.00026371520121419405+0.0062354743234183385j),(-0.007969472313036668+0.014185872501477395j),0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,(0.0004777914796913205+0.0061192361458519j),(0.0015583503924033923+0.0021075247359606812j),(0.01946518034502006+0.004691882965255901j),(0.007419710970136537+0.00033506726993159236j),(0.030695577966747687+0.005925896649049482j),(0.016468787140039635-0.0015950366747840752j),(0.044532517656722746+0.005880740512873414j),(0.028124998933798967-0.004186238491895735j),(0.05922193428363547-0.0014194978051959234j),(0.039166446374020905-0.007567335516721143j),(0.06733292376073885-0.008495690948145462j),(0.05085477144530116-0.006813797356732169j),(0.06988695497912918-0.012535209418512128j),(0.0699133091721846-0.005672174823992239j),(0.0657853788175847-0.01215420257408472j),(0.0730336237750109-0.019512919283437048j),(0.05669832386694868-0.007519654477603744j),(0.067863070950662-0.0036041277774934736j),(0.043760623300762684-0.0007495764505083745j),(0.0584868357822789-0.004379859746355452j),(0.02990703902657855+0.004304408515607195j),(0.04939044008254042+0.007111833241790634j),(0.016347041448262458+0.008397370398251506j),(0.03966483151732676+0.022639617310986234j),(0.0016083097655041532+0.008216084471037692j),(-0.007705635618462634+0.02042150585428148j),0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,(0.0020361177497984413+0.008226789166603533j),(0.0024526795680215865+0.002479425051380375j),(0.02443217862685204+0.0025476058408639883j),(0.008450143571500795+0.0001936540476793439j),(0.038714358447970894+0.004137316763707766j),(0.01812888264856647-0.0019178794006730173j),(0.05452891067281476+0.003612554354679995j),(0.030783813296632708-0.0037172519005491743j),(0.06760490425689032-0.005269613290135065j),(0.045598695605600495-0.0031904950005502727j),(0.07258917600239483-0.012118759140474469j),(0.06859344129106539-0.005121256663241517j),(0.07120723288519167-0.01308534314269297j),(0.07501509493625469-0.0209235678304254j),(0.06380473923845771-0.010742902725176577j),(0.07299011404443106-0.007626667914455184j),(0.0515712710567071-0.0034962103618569815j),(0.06606805103259346-0.007583995781605221j),(0.03617978682888465+0.002455744110061213j),(0.05786753756869751+0.003097362002154881j),(0.02142999850417723+0.008319307023409469j),(0.052220348106116816+0.020465555519792025j),(0.0037912940683018314+0.01057132197056786j),(-0.00609713263326931+0.028637776700168947j),0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,(0.0044887690777750695+0.010706255966978311j),(0.003645131258822548+0.002984591781890425j),(0.029237119733142337-0.00024322812106134352j),(0.009956387422727449+0.0011138036423613924j),(0.046886881929011054+0.0011057558410307086j),(0.021060279571358684+0.0005258428099333317j),(0.06425270192558279-0.0006302899328115339j),(0.03863104993715557+0.001326868686201158j),(0.07457283433583657-0.009786746933925552j),(0.0643369476622125-0.0033981013268534295j),(0.07684597956871486-0.0138412623504904j),(0.07535125190054764-0.020225402896296936j),(0.07087189975493334-0.013782900515059147j),(0.0765560069335535-0.011702437622654919j),(0.06023878085061895-0.006666048164462768j),(0.07424864949255248-0.010972379834084642j),(0.043391320630055984-0.00010647749103523049j),(0.06645635477438606-0.0022018381514642563j),(0.027591062103864167+0.007755427164532543j),(0.06648816550684224+0.015530534663287196j),(0.00716181423773549+0.01325427847375123j),(-0.002305544695422247+0.039209306828042315j),0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.008133866188975929+0.013690909925790057j),(0.0054903944054744405+0.0037542021377130266j),(0.03370296495915183-0.0028834545622836447j),(0.013250578133790498+0.003943669206904573j),(0.054696511432789904-0.0023116428207128406j),(0.029654686781962813+0.00564515822705535j),(0.07322941682609432-0.004948079386381451j),(0.05717851025117444+0.0006855682068687018j),(0.08173163028932738-0.013869859381645625j),(0.07414134453891881-0.017391245487559204j),(0.07805666642078764-0.01667484493268471j),(0.07824825261474694-0.015230321800109754j),(0.06917954326213804-0.010253753874218868j),(0.08269622219908528-0.014374428726276972j),(0.05179218937121134-0.003262523515351426j),(0.07488404459872801-0.008967828590540487j),(0.03496374408095906+0.006660019572448818j),(0.08190547571363732+0.00715345783349405j),(0.012173216166024643+0.01613258768929481j),(0.004856701319773178+0.05246380204200504j),0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.013624220215862872+0.017445208866644638j),(0.008684858393702024+0.004687838424940279j),(0.03826843795642237-0.0036272463069888915j),(0.022037123588303526+0.007450953203965903j),(0.062314338789746106-0.004116668662315182j),(0.04727731878739407+0.005337815617482484j),(0.08313129733410363-0.009599774954997586j),(0.07053027277662172-0.012072165595703734j),(0.08534339875179377-0.01918836275358711j),(0.0783974424291082-0.017391475939853924j),(0.07790749722657736-0.014512330537961101j),(0.09049064532167252-0.01796752456254543j),(0.06138641912216398-0.006659183760718744j),(0.08299708127321606-0.017314932756231624j),(0.04367926530180149+0.005085074728157949j),(0.09746974744703951-0.005125546998905443j),(0.01939874245022269+0.018939352557946394j),(0.017030533928537678+0.06859659012227519j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.022309041843195477+0.022133202616580895j),(0.01424654598346688+0.0049908090688781616j),(0.046058869198795135-0.0011662880124772576j),(0.03619990224598841+0.005698642584215339j),(0.07339249389485117-0.004476777344994961j),(0.06298554264136165-0.00482788435076575j),(0.09067685358305834-0.0168436956623593j),(0.07823956009469948-0.017543377643809338j),(0.08550164299158511-0.01903533254314623j),(0.0965111561017148-0.022187362466246682j),(0.07188855092528211-0.010291255462429321j),(0.09057517123353857-0.027180964720324184j),(0.05380836915837868+0.0032073173777118448j),(0.11160644838857536-0.02124182660711281j),(0.029541633432710886+0.02120208882364189j),(0.036430134253718924+0.08753608445010028j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.036555587303546855+0.027124248491331143j),(0.022617022481497252+0.002409723532624041j),(0.059642181153172026+0.002123722808070009j),(0.050585147321957236-0.0022991139118220634j),(0.08579376804636014-0.0070052019415536215j),(0.07604168592296327-0.015090741172975947j),(0.09287524744184576-0.019295790076107752j),(0.09852641543534574-0.02710650991785337j),(0.08348805093978336-0.014115284432903044j),(0.09711671455012269-0.038463348354905794j),(0.06534683090637133+0.0009915251275680135j),(0.12197427586984594-0.040171467570028874j),(0.04343942930873414+0.02213832697289736j),(0.06597293271190366+0.10873818888287884j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.05917269262342993+0.029534288242163448j),(0.03132050070256045-0.005559604641620065j),(0.0789078033538747+0.00538506758469462j),(0.06340731324846645-0.014984753048315693j),(0.0984289435862145-0.007110837003476453j),(0.09305568439863351-0.03054085036886861j),(0.09834727073036022-0.015860919669080775j),(0.10133945853338833-0.04999101654642066j),(0.07926485551067819-0.0025872117243756973j),(0.12523934720084712-0.05968894097503885j),(0.06208048723653596+0.020511279836262525j),(0.10941390551541089+0.13087629983602853j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0904933889231031+0.023975058195822154j),(0.03634569667214117-0.016840100850347827j),(0.10597071970128831+0.007240799968580673j),(0.0747350704177768-0.0303179172934771j),(0.116750190309889-0.00733394512510779j),(0.09901448845911343-0.05776059718201032j),(0.10067135428830905-0.00809070135708468j),(0.11782322347000254-0.07678148461851418j),(0.08667960801096483+0.0145086583072674j),(0.17149638984926188+0.15138696647520797j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.12683941744080773+0.00713537891499634j),(0.040141049303488156-0.02676784622181698j),(0.14056553473700475+0.003690516357587761j),(0.08259839263499986-0.055207849507336766j),(0.1331649704469092-0.009886193060199645j),(0.09976632434890068-0.08675773665709102j),(0.1187274331614016+0.0018899671535700484j),(0.2581785466352646+0.16589436001622695j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.16698093666401656-0.01963204773873378j),(0.045961011664416206-0.03853406431853128j),(0.17720235253142927-0.012982599607554154j),(0.07332676791178039-0.07782867682361719j),(0.15960457158813124-0.018808986980629626j),(0.37690928107846705+0.16778208560997626j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.21294235388552527-0.05816561934898298j),(0.04905233443705487-0.04265336054666198j),(0.201476203584673-0.048151667120115274j),(0.5365182765218163+0.14896984529416596j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.261995114914123-0.1008176542412224j),(0.7379997524348647+0.10081448633801016j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
