(1.0384184789466275e-06+6.292718730309643e-05j),(9.9711139409328e-06+3.858695666052568e-05j),(0.00042159578600877654+0.00014000718602478487j),(0.0002573570363100605+8.449012304655038e-05j),(0.0009174185619818993-0.00027410871190385397j),(0.0008126647166310069-1.1464224934865612e-05j),(0.0025587372860554703+1.6545071603886637e-05j),(0.0024964021119960574-4.907964848073016e-05j),(0.007471049249987851-0.0005564987982920803j),(0.00677921168203818-0.0003328485856883257j),(0.01576995283204957-0.0015050594370612559j),(0.015365916546792676-0.0004922910875958073j),(0.030643810048590087-0.0007675985248919313j),(0.030640480171730128-8.223952645504684e-05j),(0.05199029110963082+0.000683294958788154j),(0.053014323066538104+0.0012076661840241733j),(0.07582535105270827+0.002690655914969802j),(0.07919116082938843+0.002810508990155859j),(0.09407131822206857+0.003029355727477842j),(0.0983681714951021+0.0016195941982842395j),(0.0953372441415429+0.0002834083840330534j),(0.09903566312159569-0.0017953071055864535j),(0.07617350174125312-0.0014174935801066148j),(0.07672989731776908-0.0018894276594637203j),(0.04242019136808257-0.0010456112099107746j),(0.03658199182114815-0.0010026406925708893j),(0.010969273286994834-0.0012159662829079956j),(0.004049294347021599-0.0014271996288902778j),(-0.0015208498398116433-0.0008861128847013912j),(-0.003284158410758582-0.0007688838720396466j),(-0.0019255190185597673+0.00037738425969577734j),(-0.0017111183524970495+0.0010383936988322328j),(-0.0002374254684387505+0.0006860032122319221j),(0.00028456465300084796+0.0008420066133820902j),(0.00022436422378180345+7.170942529633405e-05j),(0.00023976036826573986-0.0001429061939598494j),(6.994664855464474e-06-5.077347490093545e-05j),(-4.902550221060939e-05-3.474981077384682e-05j)
0j,(1.1009144932353271e-05+0.00010151445742327782j),(2.1833152638598724e-05+6.086848206438135e-05j),(0.0006571203553299307+0.00016363029313881599j),(0.0004008124046085378+0.00010505638204996993j),(0.0013292631906569536-0.000390624093089074j),(0.001227039131224875-2.2785637381195613e-05j),(0.003828096642431614-9.705378953686533e-06j),(0.003706884211790116-9.547654182814033e-05j),(0.01054339969652938-0.0007937772170378081j),(0.009691606239193646-0.00039949537830643396j),(0.021444297912385737-0.0015976483114175793j),(0.021168222510581633-0.0003537114722303095j),(0.04011614832256265-0.0004957511410305525j),(0.040462653685835556+0.00038528376310043597j),(0.06454212040392417+0.0015061681014474615j),(0.06671972886279831+0.002114456718184048j),(0.08829717024101319+0.003387164508504775j),(0.09270735615448532+0.0026404840634188923j),(0.09973282574209244+0.002008839154800697j),(0.10434921418710802-0.0007882367005541021j),(0.09002454704200195-0.0007232139742585459j),(0.09303853987945213-0.0024869802788456117j),(0.0598656486333781-0.0008193557074830395j),(0.056549576973477865-0.0010440829109553734j),(0.022453033839938408-0.001003773593544961j),(0.014101585271095755-0.0014233031672124415j),(0.0009170320272784484-0.001219785242958277j),(-0.002240544476427877-0.001412225507423398j),(-0.0025645268036795896-0.00024284766880474097j),(-0.0028755300340816+0.0006508126850273803j),(-0.0007611675888485097+0.0007649562933386995j),(-0.0002040151109036368+0.0012761649414271105j),(0.0002511447669117585+0.00025186219510854444j),(0.00041588104333942927-5.957931618348076e-06j),(4.825119415585771e-05-6.523870962285555e-05j),(-4.2030037792588865e-05-8.552553611554941e-05j),0j
0j,0j,(3.284171799913238e-05+0.00016238350333183682j),(4.429767958277567e-05+9.511690955015293e-05j),(0.0010136361847810052+0.00017357175547014146j),(0.0006196152535216937+0.00012538691982293316j),(0.0019366750404056594-0.0005387871949439156j),(0.0018554294737209865-3.7434388981760506e-05j),(0.005679548826340132-6.768376172669016e-05j),(0.0054744925620449705-0.0001529660679411308j),(0.014760548064828398-0.0010401685056818204j),(0.013736303284030327-0.00044623410569178345j),(0.028876271427176806-0.00150483493054469j),(0.02895317454248547-0.00010164145831796043j),(0.05162574173454322-8.358048211317686e-06j),(0.05295621346885408+0.001136106983710665j),(0.07830589327492828+0.002485045956036808j),(0.08226534772820865+0.002912430397499682j),(0.09873976669089225+0.003115622616601585j),(0.10387180491104517+0.0006364595348089558j),(0.10021108039859482+0.0005845015476765525j),(0.10525713167588459-0.0026975943865019973j),(0.0778068699458518-0.0005120424003755888j),(0.07785853075180564-0.0012898413580934413j),(0.038557358761010796-0.0005730484040777058j),(0.030306454857275553-0.0011457103562341395j),(0.006248345171548271-0.0012811466762914809j),(0.001174262446492892-0.0015472124696804595j),(-0.002497816876012565-0.0010848742456980236j),(-0.003934071115932682-0.00022371807116251547j),(-0.0015060612310981193+0.000631648075630611j),(-0.0011331615290304654+0.0015326869581545931j),(0.0001679516420980484+0.000508450014290329j),(0.0005501080641910962+0.0002998061269095417j),(0.00011692782778448871-5.389685361947942e-05j),(6.223974177746307e-06-0.00015076676986043312j),0j,0j
0j,0j,0j,(7.713854487491903e-05+0.0002575014096999379j),(8.56488732732582e-05+0.00014712817851952648j),(0.0015476042422862472+0.00015183313208520294j),(0.0009512919446456988+0.0001416625223132355j),(0.0028407941370821098-0.0007178674877825398j),(0.0028075542422483037-5.4829688070343676e-05j),(0.008346488160178552-0.00016572704232952436j),(0.008022182633349806-0.00022387293152984085j),(0.020474717727550655-0.0012623306375641288j),(0.01933327684854066-0.0004350400253453728j),(0.03849623625788474-0.0011710408657565569j),(0.03926622661878514+0.00022082275186616736j),(0.06531590782361456+0.0009074710340840537j),(0.06842042914988956+0.0022419148185689455j),(0.09215125185339418+0.0031560591658702053j),(0.09746859247786474+0.0017522217643673097j),(0.10514370031353129+0.0020002086213100952j),(0.1115549394663325-0.00213984453468406j),(0.09391421890249135+2.7214789543687144e-05j),(0.09744510066407584-0.0017299761013167174j),(0.05822119541685359-7.12714262137883e-05j),(0.05284885454215165-0.0006167223481340693j),(0.01601533621882621-0.0011016173168730706j),(0.0083433205223917-0.0010726930439840553j),(-0.0009206994676721398-0.0017556691647445202j),(-0.0040361720426657895-0.0015128184962241431j),(-0.002395798459181551+0.00020416018959691596j),(-0.0025147603885123243+0.0013692620255027605j),(-0.00012451505418013286+0.0007950760956898508j),(0.0005133533271000784+0.0007941591822091642j),(0.0002047163164035939+1.410978655877864e-05j),(0.00012315764145857724-0.00020466498958999932j),0j,0j,0j
0j,0j,0j,0j,(0.00016278618856869467+0.00040463132514337525j),(0.00016011333570664136+0.00022500817779310268j),(0.002338785227687216+6.849086387186623e-05j),(0.001451363814407071+0.0001477631089410736j),(0.004196956861448739-0.0009204316720303j),(0.0042422554489025145-6.751507760065906e-05j),(0.01212642337657971-0.00032194960480043925j),(0.011693521302175141-0.00028089125590983176j),(0.028114529414968285-0.0014161919411649954j),(0.026996421674635764-0.0005232252792045158j),(0.050766152757253005-0.00042649616288272505j),(0.052790710233793454+0.0008460778304091932j),(0.08094592464414464+0.0023038895429612393j),(0.0852573644933725+0.002399969844578694j),(0.10436307799385681+0.0025087359372525935j),(0.11084530680773437-0.0007271522887288261j),(0.1058542805624743+0.0005878934990679283j),(0.11222051270466771-0.0018764736048561827j),(0.07913987510729499+0.0001743090205298122j),(0.07947531930548292-0.00014409604441444166j),(0.03159536684882281-0.0005432401440817223j),(0.02127544368425615-0.0003791139241568327j),(0.0030833163519229058-0.001795019042594125j),(-0.001798466169584132-0.0027164484590654855j),(-0.003158481247613954-0.0005521370056798492j),(-0.004163591015100773+0.0005941763358757724j),(-0.0007470483809626326+0.0009792201160333807j),(0.00011181113591877644+0.0014144933215438208j),(0.0002770312300520574+0.00017476437717430174j),(0.0003278831440855438-0.00019055265004151625j),0j,0j,0j,0j
0j,0j,0j,0j,0j,(0.0003228977958317098+0.000629642492072843j),(0.00029190164713945347+0.00033965470365813523j),(0.003498250447557229-0.00012339653952338241j),(0.002203023243279613+0.0001357123983247332j),(0.006236148677362736-0.0011236112371868531j),(0.006407519850868185-7.42367369200245e-05j),(0.017412445378038995-0.0005284024582381881j),(0.016963180441104717-0.0004686294934079087j),(0.038147839847305465-0.0014703974316975581j),(0.03732899009260064-0.0006223666907068245j),(0.06622803401573836+0.0010425284784773723j),(0.0690329436388415+0.0016281306197090712j),(0.09717078640047075+0.0030762383663170264j),(0.10306583359175589+0.0007434731869201946j),(0.11214335332972596+0.0010384590705834632j),(0.11998763076604764-0.001568946928784801j),(0.09808830922114278+0.000280825434088985j),(0.10576980917389588-0.0004718326630020476j),(0.052846321536166196+0.000502917970674541j),(0.042171418215075654+0.00024540830097087156j),(0.01069963743822188-0.0011673145274655051j),(0.004394096972989015-0.002965122697584941j),(-0.00310929366408741-0.0015464560574266432j),(-0.00555303906966797-0.0007684732012660189j),(-0.0017691308927110091+0.0008104437106424185j),(-0.0008935628852592599+0.0019437039187022581j),(0.0002583145277292369+0.0004500399059789424j),(0.0006049252991519392-1.5777713178689656e-05j),0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,(0.0006147970938409237+0.0009693022836213477j),(0.0005219450132152685+0.0005049455237372489j),(0.0051793320275720315-0.0004926247292618581j),(0.0033323056999564047+9.633818285441489e-05j),(0.009311306913354273-0.0012941082760421431j),(0.009616775388390897-0.00011007926368074923j),(0.02475888912924509-0.00088665924317024j),(0.024334376196743654-0.0006533933355937542j),(0.05114252815700773-0.0014388813726399557j),(0.05078591657979011-6.112490730351062e-05j),(0.08447528467134352+0.0027324801773409395j),(0.08847513998168087+0.0016354819293275726j),(0.11176205237700543+0.0021846315371060027j),(0.11984879884104159-0.0009695898791315533j),(0.11228330286445204+0.00043941396269884495j),(0.12627822011570405-0.0015632732559183059j),(0.07758110301210056+0.001373217748884991j),(0.07116077328717124+0.001148482135304571j),(0.02385744611760884-0.000399417034353355j),(0.01606772966654643-0.0016880615456968352j),(-0.0009739922859092415-0.0024444366300141354j),(-0.005618907961923302-0.002309516343403148j),(-0.003043508304984453-5.525537924419484e-06j),(-0.0026867850278205537+0.0019447348865953686j),(2.405198492555098e-05+0.0008094443625236586j),(0.0008632472114926418+0.0004342851807414116j),0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,(0.0011367390624714639+0.001474256380377857j),(0.0009190394628660638+0.0007373472043459829j),(0.007592600770824904-0.0011336284602237808j),(0.005028353522819352+3.0798662756115897e-05j),(0.013899654270343953-0.0014348622791498762j),(0.014341718717814029-0.00018929329514950444j),(0.03475157945360375-0.0013503464453353741j),(0.035052463562883045-0.0007012090836937359j),(0.06687600904224743-0.0007981327818528069j),(0.06895701925714136+0.0014845248768036246j),(0.10399371147343212+0.0028841544653261516j),(0.11064178031152311+5.753971136420913e-05j),(0.12096999523827297+0.001157988332601114j),(0.13588048960656512-0.002144777942638382j),(0.10268235208603539+0.0010217360771895665j),(0.10391124484243874+0.0023444374076292147j),(0.04483143913225629+0.00017824604640443578j),(0.034870449919209096+0.0006687150519147407j),(0.005054795190534276-0.0027561000216913397j),(-0.0025910829623522463-0.0032433116172084107j),(-0.004001826878675606-0.0015107704974582229j),(-0.005144269611249168+0.0008276054196738058j),(-0.0005861081423670527+0.0011116257569041426j),(0.0008872923898050576+0.001243766929703322j),0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,(0.002055774861501043+0.0022116178902518626j),(0.0015978802216582162+0.0010546339740077145j),(0.011023073051300129-0.00215745842464279j),(0.007578425963329986-3.211666037222988e-05j),(0.02066285031471114-0.001591837588080654j),(0.021403936524395005-0.00039520547406046984j),(0.048400121569301104-0.0016557949922210236j),(0.050150111162802935+0.00014384034200155656j),(0.08568306114260466+0.000543439218357538j),(0.09358241304929485+0.0011369797511937055j),(0.12105364931582291+0.0018053332326128568j),(0.13334801556674875-0.0008654756521504492j),(0.12350362851276561-0.00012078894788441512j),(0.13302120198216577+0.002458545082752791j),(0.07357355766903032+0.0009087537960262004j),(0.06253557852656258+0.0030927336800123566j),(0.01716653440041856-0.0022454269092744487j),(0.006023935221855015-0.0029688137846815483j),(-0.003560078946080596-0.00303066813474563j),(-0.0074320197139566835-0.0017248392072580659j),(-0.0017142297711154474+0.001041674943986097j),(0.00030114680102788093+0.002355438690045231j),0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0036536512521354466+0.0032662755012303436j),(0.0027462073150702174+0.0014725938534602102j),(0.015855283097362883-0.0036621633315953774j),(0.01140821635946553+6.837605249022873e-06j),(0.030658442693970674-0.001993561781188067j),(0.031725754200702616-0.0007946045773197595j),(0.06682446372462714-0.0007166868276385351j),(0.07073305803558447+0.001555791166448655j),(0.1085328100828606+0.00012543232449970806j),(0.12174308533578874+0.0017828439407049919j),(0.13265958926751162-0.000842650246936333j),(0.15145238075973+0.0008443713486315296j),(0.10507387453627318+0.0014943940429362802j),(0.09838963187894358+0.004957633100253486j),(0.037720136705578-0.0009554378066851214j),(0.023383067834817237-0.002221773292948843j),(-0.0001922614423796789-0.0029923567457030404j),(-0.0076250505684719114-0.0048486472680211255j),(-0.003367300061757262+9.311338569310856e-05j),(-0.0014131703849580564+0.003397146963303767j),0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.006399855860612506+0.0047389080006683465j),(0.004659999052665098+0.0019966176425005896j),(0.022603475490739038-0.00565193352150393j),(0.017121575560232048+0.00022872916115526816j),(0.04526239496352398-0.0030164511887906106j),(0.04737250425076571+0.00018886968325169864j),(0.090185047716599+0.0006508676772714676j),(0.10080990170300157+0.0021604168092411178j),(0.12946665747648659-0.0002517043402907792j),(0.15216313764518968-0.0011988299055661275j),(0.13195032109131596+0.0012012100537744823j),(0.135446364227472+0.005049823179461286j),(0.06801841743353228+0.0014033733021979328j),(0.052972118468817476-0.0034089833815319735j),(0.00813154064505998+0.00023216509175306532j),(-0.0025998977079424663-0.005537551712677662j),(-0.005217785580886564-0.0023035057919463192j),(-0.004780621186210228+0.0034902361469621246j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
