(4.0161557947420826e-05-1.603492761050874e-05j),(2.7144791582155814e-05-8.906155160881602e-06j),(0.0002831416261286913+8.27305893453648e-05j),(0.00020331302433096218+3.88498872011837e-05j),(0.0009507607697911408-5.206927984664783e-06j),(0.0008401514544121993+2.25776134992762e-05j),(0.004328623913283226+0.00017852058155830473j),(0.0032844828289266582+0.00013864752419513523j),(0.010027761062443958+0.0003738756208552219j),(0.008760613212086581+0.00017406782513133755j),(0.02254528116084999+0.00014897220399475754j),(0.01913787601643132+0.0002724891595446674j),(0.038955796213068584+0.0004732905469551943j),(0.03436957976392407+0.00022801599445765785j),(0.05675882094160512+0.0012750265190891422j),(0.05279988214761466+0.0004498405029086304j),(0.07149423891245274+8.941576548777435e-05j),(0.07075708106090298-0.0013274693465930238j),(0.07910415988543694-0.0020228796606815798j),(0.08103275781624025-0.0029297599364280958j),(0.07599261667364614-0.002539978844325973j),(0.07978317159945898-0.0023127221746031944j),(0.062232024290755805-0.0013082968430743j),(0.06661221536409029+8.431710498650953e-05j),(0.041378155641644675+0.00026899290583562414j),(0.04580952256550577+0.0017933733381692244j),(0.021703383210224286+0.0014829195757760172j),(0.02392591245245569+0.0020584805932934622j),(0.009147873185695158+0.0008125860172550718j),(0.010138319946614117+0.0013034159754888653j),(0.002847229287727045+0.0002404325684144016j),(0.0031940253775533597+0.0003623470677853466j),(0.0006083461797220495+2.6398154942300537e-05j),(0.0006976722375899278+3.0156866461315166e-05j),(7.748277191278273e-05-7.3756874632398724e-06j),(8.712699246921859e-05-9.533504246966619e-06j),(5.2642470999740415e-06-2.2458111196916057e-06j),(5.8024442648336305e-06-2.9740766347914953e-06j)
0j,(6.73065675162986e-05-2.4940902730829916e-05j),(4.5379641772113575e-05-1.3653907298232399e-05j),(0.00044107775422731955+0.00013523578429474624j),(0.0003199852284177448+6.303949410434486e-05j),(0.0014709366438684728-4.565843375925228e-05j),(0.0013026785309490862+1.9241773794529565e-05j),(0.006310467271810575+0.00029792781389933814j),(0.004798428835692904+0.00017868323483146475j),(0.013990053940851243+0.0003692629467335429j),(0.012256542027133376+0.00018878767759903655j),(0.029426843421887196+0.00023259543965792957j),(0.025380333626553+0.0002731128001524371j),(0.047945464889812245+0.00042806732577066345j),(0.0433745473411634+0.0006028352547812545j),(0.06618478486637211+0.0011220209814732025j),(0.06329005768738478-0.0003788238798765777j),(0.07896206898567407-0.0008589130741744176j),(0.07851718000813905-0.0023338991507064156j),(0.08162047639471824-0.002618046508638778j),(0.08390345572282562-0.002418847119545352j),(0.07187280286725148-0.0024327677524321944j),(0.07710107998206553-0.0007944151023539276j),(0.05174327206789137-0.00042852212594313735j),(0.05734035722476599+0.00041633257865576577j),(0.029847232630815807+0.0016467665279614261j),(0.03230355844364964+0.002614764692782193j),(0.013325590856914721+0.0009269661441046919j),(0.014845925934025509+0.001757972692912761j),(0.004440162900761242+0.00035812663608925305j),(0.005022495517412576+0.0005410278946237561j),(0.0010187280944474032+6.176980167563705e-05j),(0.0011683693555641244+6.662203832700345e-05j),(0.00013764264172842473-1.0064524018221832e-05j),(0.00015459630245023723-1.3020281006396635e-05j),(1.001248020288659e-05-3.888707702059668e-06j),(1.1066627019867717e-05-5.219852281837588e-06j),0j
0j,0j,(0.00011268656349565968-3.8594502023503826e-05j),(7.582841447558625e-05-2.0855096039218668e-05j),(0.0006852390890062345+0.0002191326441522207j),(0.0005022488722833504+0.00010133570645043066j),(0.002271380490065952-0.0001277366225796054j),(0.0020161595372748978+1.140737295550431e-05j),(0.009092794673312867+0.0004652020920573755j),(0.006933256821671069+0.00019906859846627827j),(0.019313485289025104+0.00035897464345670526j),(0.016961917701989012+0.0001427772038062727j),(0.037845563882000804+0.0003628278890264435j),(0.03318879524412933+0.0003815914138154846j),(0.05813172970177359+0.0006492172497074568j),(0.053537994661564677+0.0005916443181829112j),(0.0759375916566472+0.00015161675051639595j),(0.07292991507392789-0.0010829547845134042j),(0.08455010056272937-0.002109377751113071j),(0.0852733593743784-0.0021829780209169764j),(0.0802512063551497-0.0028529340765538628j),(0.08584063563677213-0.0023463557085489227j),(0.0631335120610223-0.0008796462403813765j),(0.06908883901246193-0.0013097310546357423j),(0.039994805643496646+0.0012984675850963166j),(0.04321674469005014+0.0032671795966610438j),(0.01893388056142683+0.0009948354801084347j),(0.021301617547053522+0.002117777770783506j),(0.006869753390316989+0.0005673223493694583j),(0.00775534746843709+0.0007707883961136641j),(0.0017072634057898018+0.0001283956643711725j),(0.0019433179183559373+0.00014144181643514715j),(0.0002437687789380241-1.3045853267401472e-05j),(0.0002732211955319194-1.640361173558225e-05j),(1.9015993811073766e-05-6.68086361629443e-06j),(2.10789843653069e-05-9.108497312127915e-06j),0j,0j
0j,0j,0j,(0.00018851555240233903-5.9449072507058727e-05j),(0.00012681917767352503-3.158312876682659e-05j),(0.0010606761910274655+0.00035205513894828993j),(0.0007845154426380197+0.0001584261095164063j),(0.003503045527230101-0.0002747322179095369j),(0.0031209234249221242-1.164816748940316e-05j),(0.012905215709433796+0.0006759124451763191j),(0.009977048509882297+0.000269748052723346j),(0.026298557544380652+0.00023197854777649228j),(0.023324552463862523+0.00020688138951781873j),(0.047710182536214105+0.0005374287977761963j),(0.04237348726929153+0.0008255854569276152j),(0.06929686519267818+0.00041523731249943854j),(0.06443431186204586+0.0004275714844397581j),(0.08443394087188132-0.0013586518194374736j),(0.08306588388736173-0.001485650830770813j),(0.08675836416538592-0.0028059143005802886j),(0.09070074558147714-0.003756921930889091j),(0.07539157940816821-0.001441183725166935j),(0.08048210127411787-0.0024189915148196952j),(0.051740416695301175+0.00023069142819794806j),(0.05681031408233804+0.0033175550684996333j),(0.026401078560538884+0.0012487970206508927j),(0.02963371241786556+0.002246859479789372j),(0.010601601279628513+0.000866010373185656j),(0.011783931846191495+0.0011202063654100177j),(0.002841095618429462+0.00021795208848923603j),(0.0032215528216752894+0.0002854983984491502j),(0.0004290098959695446-1.5653560948278137e-05j),(0.00048092131062957234-1.8096172268263837e-05j),(3.606556957630389e-05-1.1352734061320796e-05j),(4.009474426140334e-05-1.578925089937057e-05j),0j,0j,0j
0j,0j,0j,0j,(0.00031533566126192334-9.103130721447355e-05j),(0.00021208685013685498-4.692195435951865e-05j),(0.0016331167796449428+0.0005574091077766067j),(0.001224826447366305+0.00023899864063952705j),(0.005399172561260882-0.0005253449676745108j),(0.004795119695008591-4.817963689576094e-05j),(0.018087282164789286+0.0009938235028181756j),(0.01433812617468763+0.00032543517338455265j),(0.03528525251989102+0.00011335838509822262j),(0.03135072347339392+0.0002760312417959204j),(0.05873347489348897+0.0010868701922721496j),(0.05354702845887683+0.001137427580599411j),(0.08018479765823779-0.00029461220951095994j),(0.07699702358012236-0.0008612953349182198j),(0.09050364386742937-0.00198244645441423j),(0.09135319710626635-0.003876492056630919j),(0.08610657586118657-0.0026852597422851025j),(0.09127933449212895-0.0029475971844207275j),(0.06459468742420525-0.0009113724042885752j),(0.0720821434586453+0.0016712674420008755j),(0.03646849661340878+0.001877983601158465j),(0.03987087831424862+0.002473979448978461j),(0.016163691636392+0.001022060010467639j),(0.017750240220857263+0.0016726784328735917j),(0.004635179027302482+0.0003136199615700638j),(0.005313091352238404+0.0005175575500448259j),(0.0007495255378133527-1.4092746999495738e-05j),(0.0008415956840674009-1.4724721667038753e-05j),(6.833019115076524e-05-1.9024123328035494e-05j),(7.615986883763143e-05-2.714179380523061e-05j),0j,0j,0j,0j
0j,0j,0j,0j,0j,(0.0005274240233654803-0.00013795174043584237j),(0.0003533670417396596-6.82764948133764e-05j),(0.002504595932178456+0.0008646938606299053j),(0.0019242638786779666+0.00036133354788998125j),(0.00827007084995083-0.0009348072030471425j),(0.007275571507392418-4.4418792867383816e-05j),(0.025150026254140104+0.0013636412524639754j),(0.020021209377232077-3.4738632995707207e-05j),(0.046615144688107416+0.00042404776517385677j),(0.040811833708013674+0.0005935155842633314j),(0.07146927727244849+0.001630667158643346j),(0.0673515965170491+7.88504325816339e-05j),(0.08983102944393233-0.001234431420131942j),(0.08872273508980572-0.002649863421368626j),(0.09313488865267792-0.0032081694739483375j),(0.09927320565303631-0.003309912679097094j),(0.07811330240521723-0.0023216861529049265j),(0.08668948035119912-0.001184037273924122j),(0.04998740700223474+0.0019453009851183765j),(0.05239947558713688+0.003507282290122565j),(0.023939632826011466+0.0008452176353508764j),(0.026516471122491753+0.0021881174444071208j),(0.007397290606898114+0.0005067632742035167j),(0.008639208213368986+0.0008276568247548195j),(0.001309012627062099+3.5488070202582107e-06j),(0.0014616686145709158+2.6218425458919017e-06j),(0.00012944339221950143-3.1438299703939745e-05j),(0.00014448921148284155-4.6165588666046954e-05j),0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,(0.0008807935176366645-0.0002062256417456506j),(0.0005866822274054539-9.909958253862824e-05j),(0.0038422109161720796+0.0013251422206908153j),(0.0030145111972643872+0.0005565911959618155j),(0.012531186406154561-0.0015357531362623802j),(0.010959415091218271-2.0387880954630526e-05j),(0.03421207480577006+0.0013492569297004421j),(0.027606937421599878+2.1493845615610536e-05j),(0.05982056745403583+0.0009959506472601073j),(0.054470325317914965+0.0007115167842891011j),(0.08435130437859328+0.000998059530108751j),(0.08231939893880443-0.002601394183460315j),(0.09623539614477568-0.0012822267319997447j),(0.10214991435149712-0.003509180970624307j),(0.09025918037109522-0.003007685435549904j),(0.09859498677868682-0.0037655681018745604j),(0.06620812441089448+0.00026151341242472285j),(0.06842059529369927+0.00497795565082736j),(0.033965994338389816+0.00047539413798268406j),(0.038766366153682376+0.002037716188151211j),(0.011689505231380659+0.0009958659429361906j),(0.013738391735312643+0.001291783406645358j),(0.0022980320291439396+4.2687274097945736e-05j),(0.002525624368804632+5.735358598228432e-05j),(0.0002450400602849669-5.1182294047742575e-05j),(0.00027393098450204675-7.760332191284089e-05j),0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,(0.0014674796883873305-0.0003053208073167165j),(0.0009783002643867775-0.00014598827148371428j),(0.005878475959960984+0.0020277461521814033j),(0.004623034356189888+0.0007876166577549892j),(0.018867636170190095-0.002343678866637812j),(0.016603193660668973-0.00010643825757044144j),(0.045216243003913525+0.0014771182761010313j),(0.03959478032256019-0.00017607370692754163j),(0.07469675948597543+0.001883398619716957j),(0.0703743757692031-0.002116315250598108j),(0.09629734408740324+0.0005132693322838589j),(0.0982367284127297-0.0019822793226478117j),(0.10014974583219304-0.00280802917625537j),(0.10676435522509523-0.0035929431451631193j),(0.08209044846226496-0.003178488667095471j),(0.08758742275751315+0.004912722312534642j),(0.047040988169626256+0.00032789385389884584j),(0.05415234736437874+0.0007890327284527498j),(0.01857973240157141+0.0017244882180995872j),(0.021417102383814376+0.002229121884758843j),(0.004010674665366948+5.86076069149003e-05j),(0.00436155682605711+0.00018182913875626684j),(0.0004620677180325915-8.178671310426518e-05j),(0.0005189679712111315-0.000128784623990021j),0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,(0.002445786264914386-0.0004513016013547699j),(0.0016423299284481763-0.00020699939006715994j),(0.008859265822532957+0.0030224070106071796j),(0.007079035590720858+0.0009617359505909263j),(0.028391930006340403-0.0034117430130800527j),(0.02477419788805137-0.0002546535833433665j),(0.06003734959961575+0.0015555112120359891j),(0.052154210824648765-0.0011322171158292538j),(0.092917639909205+0.0008993896233066606j),(0.08689220111521267+0.0013084069623238604j),(0.1076429750616897-0.002776672901456178j),(0.11007732648876042-0.0013791840643494239j),(0.09683780372326484-0.005020136627499385j),(0.10549662983178508+0.00040774891975488585j),(0.06418120497861493+0.0013280660505394332j),(0.07191281800204473-0.0010912964776123718j),(0.02928022651436486+0.00220885605008124j),(0.03319819683782113+0.003956924270820473j),(0.006798438525700008-3.180734002660064e-06j),(0.00750352265833647+0.0003659234194604191j),(0.0008686527202884759-0.0001254782406620054j),(0.0009810299306837762-0.00021056964513871396j),0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.004088126446333757-0.0006582884500176041j),(0.002743051383838414-0.00024147491810174652j),(0.013195394407026877+0.0042256914758249196j),(0.01140086457712812+0.0012439466127333195j),(0.04176542774688801-0.004910243270903774j),(0.03462194379296296+0.0017944369239535878j),(0.07757000706082672-0.0013710579073505063j),(0.06823872989609114+0.0036667751101279703j),(0.11157214011512458-0.001458712327180963j),(0.10868335651766782-0.0021908641208283324j),(0.10903859597693041-0.0019635506418665513j),(0.11623818990070105-0.0071262669545405334j),(0.0860967190130374+0.0025156329995717655j),(0.09195466008318263-0.001804467047729306j),(0.04413902709953209+0.00204226003080515j),(0.05126910836648625+0.006094106384604981j),(0.0112090135208609+7.192154473179945e-05j),(0.012665777655538477+0.000533864986091553j),(0.0016360994013528772-0.00017110248004103239j),(0.001849671929584833-0.00033604524462271714j),0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.006831194557576078-0.0008997422188689934j),(0.004516591961054088-0.00022965218172445244j),(0.02007989903346399+0.005699382051706548j),(0.018291572467611487+0.0016282478776844082j),(0.05809584099277737-0.00474397984371945j),(0.048568575635626055+0.005289323665742001j),(0.09724104005548595-0.0029935280474767995j),(0.09912589336088316-0.0035625536462472944j),(0.12113140373972231-8.622225586368262e-05j),(0.11615007842339684-0.009617965967630619j),(0.10912737024382149+0.0005294264123106167j),(0.11370287913890788+9.283776128446409e-05j),(0.06434834112293916+0.0006201062321294754j),(0.07658153373582628+0.007183668776945627j),(0.018826191016599245+0.0009531003617487559j),(0.02078064556715204+0.0008071004728431993j),(0.0030940288690072953-0.0002012952149130248j),(0.0034857506939095255-0.0005071439484619996j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
