(0.004838403515426574+0.010212563413513577j),(0.0019348949075951923+0.0011855461531120647j),(0.014298079030785409+0.0025694293113844697j),(0.004098763559165497+0.0008445335445625287j),(0.01607959507351027+0.006065134961136398j),(0.007581479403248145+0.0008569616607312278j),(0.025373459220721498+0.003949886579238866j),(0.011562976118503704-2.3556341012558106e-07j),(0.030453308372885367+0.0003141632446298762j),(0.016409205268300114-0.0008277358005894521j),(0.03400275914694628-0.002763629112198103j),(0.022520569898897738-0.0028905269184048856j),(0.03750499726514912-0.004904924606881461j),(0.027751229214407144-0.006789919968224624j),(0.040117851042993306-0.006892648701051568j),(0.03048247352356225-0.009805611882553252j),(0.04145126581510927-0.008213313240374082j),(0.03421167210759723-0.008626890223169714j),(0.04167873063038515-0.00861712404374867j),(0.0420976248072427-0.010552716434670867j),(0.04055576881984069-0.007931819477106744j),(0.04283110688071783-0.013526661334173807j),(0.03864252070140931-0.006147467829069593j),(0.04565235649764356-0.009598861149100003j),(0.03547284651418336-0.003712105746680666j),(0.04799173259486008-0.011071633703409073j),(0.03175227116010315-0.0003688587442376573j),(0.04070008771394276-0.004937759785898227j),(0.02725232486493698+0.0014838652040204826j),(0.05053681831265049+0.010948716768441112j),(0.01880955871586016+0.004305676352539517j),(0.04459113413830609-0.002420109259090062j),(0.013103717731164768+0.0076414592193481895j),(0.057893319720719066+0.026282207910326115j),(0.0019705316152339226+0.010609252255005166j),(-0.022278731127399455+0.04325099665798353j)
0j,(0.006773269458890178+0.011398162975618149j),(0.0023964730463028553+0.0011787848721387841j),(0.016000291190445368+0.002235309332871742j),(0.004825589569008204+0.0008075301497873677j),(0.018835446264401732+0.006114637272229385j),(0.008767144878470079+0.0007301493915376185j),(0.028169256474136265+0.003219572833964128j),(0.013626010133995408-8.563940463515482e-05j),(0.03323653729364314-0.0004278233793563871j),(0.019734610876887045-0.0020962339312212285j),(0.03678881700744804-0.0035578170235381866j),(0.024928585200555915-0.005774254524342459j),(0.04032775749121599-0.005920485705309719j),(0.02832600358403564-0.008596654719513699j),(0.04227450986343385-0.008101453032401645j),(0.03295548173088976-0.00809078180503862j),(0.042707665659383734-0.008749247926542593j),(0.041327910157610476-0.010923065009126902j),(0.042448692110961646-0.008246468305661628j),(0.04220031606086919-0.014545530471904027j),(0.041186901682594264-0.006912612525641186j),(0.04588222315860591-0.010938293084424079j),(0.0384129330014809-0.004807591076939625j),(0.0484821248698564-0.013106480969063843j),(0.034982809310862596-0.0016766008270233106j),(0.04225540830591783-0.005341955667586737j),(0.03019747591948888+3.5894975925627114e-05j),(0.0564211271771282+0.008682262175631988j),(0.02136825993930008+0.003750804837063991j),(0.04791858750714891-0.0056765483504823576j),(0.015482200375345255+0.0075625765179609455j),(0.06723923000125497+0.021720822651498654j),(0.0037578986055830195+0.012203180081430176j),(-0.020308152171342134+0.05386046066569142j),0j
0j,0j,(0.00916971492636273+0.01257701328764606j),(0.0029416441463160636+0.0011078823690222914j),(0.01788415612093866+0.001935119973371748j),(0.005739542294377558+0.000709113507567761j),(0.021863008465307393+0.0061357659813903054j),(0.01045695892908043+0.0005354900167500419j),(0.03133827560943526+0.002598551348316621j),(0.016351206862512645-0.001191421552367216j),(0.03662000289757471-0.001332509039732581j),(0.021776776689078348-0.004661052614030764j),(0.039940730461518005-0.004670941457865681j),(0.025773984214190634-0.007110395216120207j),(0.04287988851409419-0.007406595766390231j),(0.03136214638429257-0.007403466958968355j),(0.043868016229768374-0.00878858351635449j),(0.03997550269512913-0.011063227222673151j),(0.04406031196098465-0.00860879240650543j),(0.041126341065522605-0.01531435170772237j),(0.04352299243546746-0.0074773307898063366j),(0.04555315108058687-0.012114372894450243j),(0.04151622987490009-0.005736094187116655j),(0.048392688325284074-0.014796950935627228j),(0.038502748623680236-0.0031164277687308916j),(0.04387942484225919-0.005386094791009988j),(0.03335936835593063-0.0016318967287527134j),(0.06236305819384814+0.005712910524863704j),(0.02425581601784115+0.0030057786995700596j),(0.05114393166049956-0.009243498785421071j),(0.018143045445506135+0.007318281049067623j),(0.07664935468853715+0.015449902358810356j),(0.006072212324899035+0.013833884219470995j),(-0.01655016900168514+0.06606388313453268j),0j,0j
0j,0j,0j,(0.012111334037154357+0.013684974625428418j),(0.003556062452991274+0.0009533425299548002j),(0.02006755366483732+0.0016910872011343093j),(0.006825551060762317+0.0004604103493548974j),(0.025494373717398072+0.0062109423205337164j),(0.01253635957053141-0.0002872576428377101j),(0.03515311366293565+0.0016945093127806224j),(0.018283142971632804-0.0031957061273033406j),(0.04011371020543643-0.0027977531593425726j),(0.022835066020437923-0.0057189902991748014j),(0.042879701418643223-0.006062247144902949j),(0.029238189395349872-0.006578935000332057j),(0.04500395338588148-0.008230913111982999j),(0.0379804599558965-0.010909545898403027j),(0.045863296528026856-0.008941962121354896j),(0.03956036231185285-0.015782728472266576j),(0.04562658567777304-0.008140138585419393j),(0.044527195232178345-0.013006327169242582j),(0.04454917786030572-0.006584937044574862j),(0.04778487184495289-0.015938605057096763j),(0.04212445416924317-0.004593717734165758j),(0.0456701890473663-0.005162100955090737j),(0.036712595179736476-0.003339862786841388j),(0.06815176701395083+0.0019424624937061075j),(0.027570954864135216+0.002139135773116473j),(0.05425264519558435-0.013128845778471994j),(0.021147274021757846+0.0068917198047064535j),(0.08578044658572218+0.007337803960620691j),(0.009012147424493907+0.015430821801973697j),(-0.010477824173277639+0.07989804099768416j),0j,0j,0j
0j,0j,0j,0j,(0.01566737539082854+0.014638412067453156j),(0.0042409403642418+0.0007226631687897326j),(0.022652075564516455+0.0014290719157761462j),(0.008011234100400638+5.672900780132745e-05j),(0.030019420071921963+0.005867050997751899j),(0.014242624920590198-0.0016925884403242268j),(0.03919360373762155+0.0001915021103039065j),(0.019529146479426343-0.004277716439607649j),(0.043419636512692185-0.004238910319716543j),(0.026322955668782254-0.005655019702202554j),(0.04579495752329234-0.006985950123681856j),(0.035220591595729184-0.010351322222147775j),(0.04776404152598292-0.008788792426223805j),(0.0374629305589775-0.01592894565784553j),(0.0479610064406331-0.00879551499993366j),(0.04254493477494139-0.013554483691286569j),(0.04760901591273394-0.007591528380050956j),(0.046720553178552504-0.01624648207583218j),(0.04561394333573086-0.006276304400329008j),(0.04774230748364271-0.0047537102535871525j),(0.04005297223444584-0.0050015731122240795j),(0.0735926745073188-0.002667148692337456j),(0.03127200439542504+0.0012703899502012443j),(0.057267005959568594-0.017304999530696696j),(0.02455682184633303+0.006315957844907518j),(0.09423490869639237-0.0026727490901132245j),(0.01269307983443995+0.01690277080321007j),(-0.0014654841901414195+0.09532916686516026j),0j,0j,0j,0j
0j,0j,0j,0j,0j,(0.01990830152960956+0.015361188921603599j),(0.0050411289768640954+0.0003962556319751608j),(0.025622085346478446+0.0010898426726728685j),(0.009322905877196455-0.00043097121919223136j),(0.03493898009404097+0.00460557248382811j),(0.015541558187142972-0.0026790619063236645j),(0.04318110351185616-0.0014069851634067863j),(0.022468636446135386-0.004519382783111253j),(0.04727392576430787-0.005374306744723857j),(0.03160022646908644-0.009245409631632926j),(0.049415474230644275-0.00809149320466307j),(0.034949589167025875-0.01558591586933978j),(0.050277660293860466-0.00913163532787401j),(0.03946576576715124-0.013830442131187158j),(0.05104025367168696-0.008519087866524657j),(0.045109138676501216-0.015507454763162978j),(0.0492209078119367-0.008329751758287821j),(0.05006295214356455-0.004215283703942961j),(0.04329395892903501-0.006814227488886416j),(0.07847049676807621-0.007991346618660274j),(0.03517548933441419+0.0003233252915116607j),(0.06017832477664032-0.0216727411066903j),(0.028360986162053896+0.005638890241078732j),(0.10155863193378904-0.014501590613819313j),(0.0172334637316409+0.01814535528869827j),(0.011227862306970426+0.11223226846842377j),0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,(0.02494942697215913+0.01575757843626753j),(0.005964102112692439-0.00011974958706680518j),(0.028980799830741123+0.0007789985329891501j),(0.01086678226325209-0.0010454068543664426j),(0.03961354026716669+0.002972200965003998j),(0.01776612189582515-0.0030519280726035844j),(0.04788354210399013-0.0028741521592559357j),(0.02693645960786786-0.007081566868652566j),(0.05193776320470404-0.007537744581647511j),(0.031960793909624675-0.014344943871354822j),(0.05240452323508625-0.009332243726157347j),(0.035512446475621795-0.013904564180706054j),(0.05423096719989395-0.009057055529135265j),(0.04288463533946483-0.01379011939937411j),(0.053265253007717346-0.01023555684961051j),(0.05239950636715453-0.0037064436942053267j),(0.04688502917674922-0.008838100908785285j),(0.0824378288664172-0.013698951904992006j),(0.03932700205789207-0.00110585712291971j),(0.06285898748144304-0.026120322529035768j),(0.03249520474697094+0.004771779308924008j),(0.10719717403574293-0.027882338472790886j),(0.022722928560723166+0.019020259953905345j),(0.02846168467505606+0.13037797439888849j),0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,(0.0309135381437377+0.01563798419795459j),(0.006898496813495282-0.0008712774248849536j),(0.032949018109774304+0.0006053385681403602j),(0.012601280618999023-0.001873563275904486j),(0.044778247528986986+0.0017942777760154745j),(0.021290209189703712-0.004522655569597198j),(0.053529777611038276-0.005432722863157314j),(0.028678193835389935-0.011413805796817608j),(0.05522056968548293-0.010468544363534558j),(0.03154621375252637-0.013250281933411757j),(0.056370721985521156-0.009986060250745795j),(0.04018181589798976-0.011525248475372998j),(0.056934284898585326-0.011321016187398947j),(0.054302253899096715-0.0035764855568934596j),(0.05136313573075161-0.010365041156013827j),(0.08493753727149687-0.019329524402989347j),(0.04438574965058419-0.003206668349338349j),(0.06507870946210458-0.030651361631298273j),(0.037107725739183174+0.0034261759102744557j),(0.11046278874915724-0.04239951153515418j),(0.029230203980609416+0.0192896438886591j),(0.05118508596976702+0.1493985973111759j),0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,(0.037812058584491944+0.014766889774869337j),(0.007796275032644977-0.0017107169205233521j),(0.03775398209274773+0.00044307544779260825j),(0.01451171961488014-0.002734655502524993j),(0.051556685598865684+6.728213673520833e-06j),(0.02379184726660211-0.007385087192695979j),(0.058416039966884076-0.009461020161038659j),(0.028535005262505384-0.01142398596586588j),(0.058231744689059145-0.012294302975155456j),(0.03754808858004475-0.009132444347526263j),(0.05900496538654636-0.012377878336954033j),(0.055351774036978565-0.004453316315375368j),(0.05588534335420703-0.010443806348426364j),(0.08534940268563776-0.024527258197236557j),(0.050951728643854055-0.005166306130528044j),(0.0666530014667311-0.035356884216726385j),(0.04281197664330783+0.0014999470038751872j),(0.11066372534423005-0.05757496606187725j),(0.03690753884562699+0.018602370536942935j),(0.08041589739806441+0.16868860976575287j),0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.04560838296416787+0.013056392803945563j),(0.008934686996189004-0.002553404985639141j),(0.04333103262098472+0.00026259355875936927j),(0.01709709324876653-0.003503939466658627j),(0.058251279585281784-0.0038738797137506734j),(0.02550556849534635-0.0078100079731827565j),(0.061445381504977185-0.013074193528444317j),(0.03518523586818241-0.007205477278353246j),(0.06059515775936881-0.014220167190268685j),(0.05538647560794896-0.006439482508631888j),(0.05897096718507869-0.010391508136761339j),(0.08311487538326737-0.029093741573359762j),(0.05812023777904568-0.0058761830920586065j),(0.06740108787915881-0.040232808000689575j),(0.05020428186746753-0.00028920490559987064j),(0.10742766024623193-0.07275451519910646j),(0.046048963631328176+0.01668024374346692j),(0.11732419039373383+0.18729133842435391j),0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.054543165709137434+0.010503242760930818j),(0.010587860683270304-0.0038263276588205277j),(0.049840503950618155+0.000585977948466545j),(0.020865278522075602-0.004779517322646089j),(0.06289142602412902-0.0069034121795071846j),(0.032674382147813784-0.006414014575611611j),(0.06395680465805527-0.013864409341882013j),(0.0537879870999676-0.008720672641227853j),(0.06219462417417575-0.0119386515445727j),(0.07806605083155216-0.03313034132456882j),(0.06402004259926458-0.006353853172363415j),(0.06694804541283834-0.04510383004344496j),(0.05857405398953734-0.0010038692988799947j),(0.10087468174580994-0.08656557531468298j),(0.05675842262968145+0.013522611653688897j),(0.16337407101355625+0.2039718867024901j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
