(-0.000890513675948454+0.0019430272555648128j),(6.335476658495215e-05+0.0007358616792499396j),(0.006108587113192892+0.0049755652162382456j),(0.002163194296500895+0.0012066864177246012j),(0.009477232783077811+0.003596697949526143j),(0.004972387558851674+0.0017129440616844222j),(0.01645008064180777+0.005804888042404532j),(0.009596242942355823+0.00185884530429342j),(0.026186110260051996+0.004414110948040711j),(0.015714147674561148+0.000912656238047994j),(0.03425584876429991+0.0005860296733173911j),(0.02269936886982136-0.0015800547698077562j),(0.040180409388123346-0.0035851140171126524j),(0.028923265895437783-0.005104839163844609j),(0.04422814407490134-0.0064268939544776926j),(0.03430564765001163-0.006987516077540817j),(0.04712128833005103-0.008050133560851287j),(0.04137205757697626-0.007978647939021486j),(0.04847512202070877-0.008521706958052573j),(0.047403869718909586-0.010110480573126572j),(0.0480140871172708-0.00781397792003766j),(0.0494006262173148-0.011484539873681376j),(0.045741775961514554-0.006038075386872482j),(0.04945192559402457-0.005644982551306368j),(0.04098084511855657-0.004043248043112621j),(0.05411095289313006-0.0026487469413568215j),(0.03368815294232336-0.0003941132418626301j),(0.04517963541852845-0.0018383959107584262j),(0.02657340731710165+0.002475384115061024j),(0.042307686913898634+0.007558357340538105j),(0.017511679128443425+0.004884750756386593j),(0.027499877303488626+0.005539783595275158j),(0.011054281779183857+0.005566468572434531j),(0.02479060232912493+0.013139074636832442j),(0.003912109826379908+0.005658012232760384j),(0.008946305621679966+0.018784790228930523j),(-0.0011306824653935788+0.0024271356630051915j),(-0.006899882405484485+0.004391159614808918j)
0j,(-0.0008271715206671662+0.0026788928115437697j),(0.00021269494579633972+0.0009497991165643382j),(0.008059055916712899+0.005232489347706917j),(0.0028121426165620333+0.001262021180959293j),(0.011637494233984422+0.004047737727217515j),(0.006357688764928443+0.0016869508610031744j),(0.019688710454357217+0.0059769421569784405j),(0.011801541964804417+0.0015751189149708295j),(0.030098888052058032+0.003751766808486122j),(0.018709300733558202-2.669958175528218e-05j),(0.03824616492391737-0.0009672264119252065j),(0.025649664367050046-0.0032965323566315334j),(0.04345429987367205-0.0053933582986188j),(0.03160243157383765-0.005908336337566476j),(0.046931621753712224-0.007505954159459427j),(0.03912074084002143-0.007543444384435727j),(0.049372948965570596-0.008485072843818648j),(0.04583669435128183-0.010243682802544346j),(0.050042712496557236-0.008388201271400638j),(0.048633894559765585-0.012049712612270494j),(0.04878119153700085-0.0072483718917246654j),(0.050660729192319634-0.00611062577499015j),(0.044533380654969805-0.0055718307478388246j),(0.05743756618065594-0.005057819133888046j),(0.037654577236950135-0.0016335609640471668j),(0.04833899303518119-0.0036274208364976404j),(0.03052905482120012+0.0013954526381177855j),(0.04787981937620748+0.005481124649473859j),(0.021001212442181744+0.004553116958121039j),(0.03132479924324217+0.004975239561704074j),(0.013686785155848192+0.005449740389081806j),(0.03030964439764837+0.01237014174252302j),(0.005535193502000443+0.00633552346190263j),(0.013873564416132007+0.021146663617801865j),(-0.0010151696480405802+0.003296099912983233j),(-0.00803055203284492+0.006818359217696491j),0j
0j,0j,(-0.0006144922332773975+0.0036286992842809443j),(0.0004496747646975605+0.0011982210062575537j),(0.010421489604082602+0.005296340546844589j),(0.0036169200022501424+0.0012391499488476104j),(0.014378306364894577+0.004495676350062954j),(0.00798462940647267+0.001399475026729706j),(0.02350574765714428+0.006152745630665832j),(0.014264501734710904+0.0009185586033250727j),(0.034543896754352675+0.0028066139937967115j),(0.021672546228459225-0.0012979233735345623j),(0.042223563764371114-0.002965748395309442j),(0.028644767320614765-0.00443001190369859j),(0.04641225044228978-0.006871598324372935j),(0.036206349476340924-0.006870265061268536j),(0.04984634609830077-0.008178900597336707j),(0.04339486387542931-0.010061921171693198j),(0.0518151964033132-0.008666589211892754j),(0.04716855976420321-0.012014418751246139j),(0.05150842284274077-0.008423118235241257j),(0.0514902053505662-0.006297321691145006j),(0.047952143780298474-0.007061086871772938j),(0.06021308381255127-0.007669377822558011j),(0.04175826434938652-0.0029596584571656478j),(0.05117762615712168-0.005432459907245565j),(0.03481624233759681+0.0001720256484767525j),(0.053351490522253825+0.0028985511889354342j),(0.025057321431532904+0.0039786314028078815j),(0.03558564921235142+0.004432812751598057j),(0.016740454190658942+0.005096072041807989j),(0.03643116568763067+0.010879310430413187j),(0.007565222952726173+0.006940725986561327j),(0.020123396717782044+0.02309759613209479j),(-0.000714683753251966+0.004384548097708391j),(-0.009045694038543328+0.010114538451434077j),0j,0j
0j,0j,0j,(-0.000164836295275085+0.004826932674609045j),(0.0008042961576484816+0.0014691718212724012j),(0.013234078673759584+0.00506638706689538j),(0.004562949628208191+0.0010833789791926517j),(0.017800066540921394+0.0048119177670485945j),(0.009656258905732101+0.0008708091005177635j),(0.028114135841943267+0.006200637397623917j),(0.016843632382287043+8.418423075579562e-05j),(0.03937302485026212+0.0014246068942311175j),(0.025016202809280536-0.0025415131590536687j),(0.04585243321292954-0.004854145974815201j),(0.03286723680219489-0.005960055616070179j),(0.04975170818549215-0.007781663312349244j),(0.0401869718540704-0.009534216783250653j),(0.05305465847228807-0.008706422209982379j),(0.045009935701263416-0.011326523572578698j),(0.0539741856037812-0.00935417382543316j),(0.051802549768341075-0.006248249882084553j),(0.05119649165811564-0.008471624477631412j),(0.0622543744478492-0.010324138595581143j),(0.045911315759473145-0.0044057206320509594j),(0.05355007272807948-0.007226291800809656j),(0.03938614231782837-0.0011652770543815324j),(0.0584620555981254-4.018664505768242e-05j),(0.029705622440484143+0.0031114918233680687j),(0.0404009582985029+0.003930943343102233j),(0.020242187922650142+0.004481111479215125j),(0.04311276009153435+0.008558280793659055j),(0.01005883069738217+0.007417292157254567j),(0.02782809460443105+0.02431774779032902j),(-0.00013955412590734712+0.00572053392083152j),(-0.009760328544765193+0.014499182884193464j),0j,0j,0j
0j,0j,0j,0j,(0.0006394380141940183+0.006296123703457849j),(0.0013049230746674425+0.0017405815874185662j),(0.01649207257419656+0.004409269001924688j),(0.005559956497504652+0.0007804067462291904j),(0.021896478292115884+0.004902452411609548j),(0.011368337318668901+0.00040611005430476934j),(0.03358957798036881+0.005878867129272302j),(0.019884441972030827-0.0007673431083377465j),(0.04450503569784931-0.0003494121735533379j),(0.028883962602351848-0.0044778048614915475j),(0.04983609213439434-0.006336283941838746j),(0.036312883035086-0.008580767413231945j),(0.05362618562397028-0.008735012070313077j),(0.04211651786377845-0.010087231594264041j),(0.0559484057217888-0.009945483926136j),(0.051448231729626655-0.006090232847328082j),(0.054328876366248655-0.009511665969905828j),(0.06332571280582229-0.012726991678555528j),(0.05012567997303497-0.00606816566349575j),(0.055252543559516934-0.009006231135830647j),(0.04420917133641934-0.00262523886916531j),(0.06292232925394403-0.0030728502346367434j),(0.03492583506936763+0.0018682527612030166j),(0.04590813919355486+0.0034592142294799285j),(0.02419872322985833+0.0035839062129403862j),(0.05028433808940904+0.005343028823260127j),(0.013070599838220157+0.0076965953294350535j),(0.037057357771384206+0.02441100680095229j),(0.0008294423155604494+0.007324006475325584j),(-0.009899802845868413+0.02021983105027381j),0j,0j,0j,0j
0j,0j,0j,0j,0j,(0.0019443364315657736+0.008036733302562825j),(0.0019686909412130913+0.0019903580120311966j),(0.02008330175017068+0.0031994152064416604j),(0.006513455108420177+0.0005007220956516849j),(0.02675147511299646+0.004807955728518245j),(0.01350189078917354+0.00010388387562590938j),(0.03997230554750155+0.005007821830248672j),(0.023474455659924055-0.0022782927058657546j),(0.04991489647999571-0.00254880320956485j),(0.031863617320225295-0.006856221620148945j),(0.054285751913193306-0.0080608091940894j),(0.03860457802447908-0.008499532272004227j),(0.057138418434988306-0.010322569521538627j),(0.0502633888550998-0.0060134790341464074j),(0.05713355946425883-0.010021775073108334j),(0.06307477187303509-0.01454751123080839j),(0.05458038002745625-0.0076905189854067765j),(0.05608109328006115-0.01080020522092091j),(0.049297446752928395-0.004273676474212252j),(0.06644920251987006-0.005814170156569228j),(0.04068231210366716+0.00011709467792679696j),(0.052221902991926125+0.0029643564984168976j),(0.028612481916996366+0.0023638527807869777j),(0.057826831360509964+0.0012315266660286681j),(0.016656242657447605+0.007695688928321262j),(0.047779906840269594+0.022908511890504836j),(0.002347866368967423+0.009199095348647974j),(-0.009070238527955816+0.027543969271802315j),0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,(0.003912999826788357+0.010027130744062336j),(0.0028162447745234106+0.002225387127484571j),(0.02378045672158486+0.0014748676766818134j),(0.007610954650299559+0.0005465836181023348j),(0.03264250796962163+0.0043653576942009505j),(0.016150606540089544-0.0003249170988300883j),(0.047296345524653276+0.0030546373234229553j),(0.02627768880860728-0.004041425226635432j),(0.05550112395260173-0.005363552584149168j),(0.03456785775616962-0.006370813013216875j),(0.058322688729407865-0.010189438458697186j),(0.047974458955734836-0.005921546815724449j),(0.059427599648276194-0.010414096120697316j),(0.06114560005282333-0.015579555496274785j),(0.059063298470842636-0.008989085983567542j),(0.05595686602583683-0.01248697167089043j),(0.054704913482413985-0.006003276750909669j),(0.0687745424801977-0.007832484235034081j),(0.046972208225368114-0.002254194733550833j),(0.05936490264539281+0.0023194765948863112j),(0.03353987229306398+0.0007627429731186745j),(0.0655519543528281-0.0037259947245921908j),(0.020887388951254596+0.007321710313881433j),(0.059820441618525545+0.019281165055317153j),(0.004615451048287968+0.011323099143586276j),(-0.006722193313440969+0.036743211324681446j),0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,(0.006729214060594113+0.012252572966442115j),(0.00393367085905235+0.002476298408079477j),(0.02745765238377995-0.00045468639509703564j),(0.009260743419462926+0.000968844512416603j),(0.039532386581413496+0.0030717107712682074j),(0.019006919020587196-0.0005578494765841073j),(0.05456729212602725-0.00042869163793693514j),(0.029780231786182536-0.0031803723251340394j),(0.06028895332362215-0.008553827677117523j),(0.04430185312231769-0.005155508768639136j),(0.06199550919634263-0.010955059838340905j),(0.05748127077042463-0.015869208705623142j),(0.0630924731138605-0.010123820661499902j),(0.05498023749920409-0.013885266199749289j),(0.06004022389961687-0.0075903586885899535j),(0.06967115574074134-0.008730443606991116j),(0.053808534558333475-0.005103988545507547j),(0.0671965936710988+0.001272362522730612j),(0.03914124198093003-0.0012063325903710626j),(0.07321475892700988-0.009463031231354687j),(0.025877097543269646+0.006500171782520412j),(0.07282269013050675+0.012970924134263265j),(0.007884801227543328+0.013632109314587445j),(-0.0021064884363008185+0.048066466211592634j),0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,(0.010662852293473775+0.01472894864329535j),(0.005498246542667052+0.002711920421114034j),(0.031220019654798554-0.0021975220239483528j),(0.011806200649740615+0.0018424770634660366j),(0.046733012424920437+0.0006716806127662345j),(0.02319967064867745+0.0005950969015880948j),(0.06114805433971857-0.004203749043905192j),(0.03909291157975822-0.00311771697052442j),(0.06549810733092389-0.010591194109540682j),(0.052596871562441944-0.014386023771515925j),(0.06688046988583084-0.012437598504610172j),(0.05333440048379316-0.014565258511432665j),(0.06473862268163573-0.009443450120855906j),(0.0688934636285908-0.0085306277769037j),(0.06081830888684081-0.007788693230732798j),(0.0754083218191544-0.0005222380418467128j),(0.045597703578950814-0.0033087141998908607j),(0.08056657363474011-0.01591356889831141j),(0.03178943139200673+0.005244643993257064j),(0.08623057366733959+0.003467672274240406j),(0.012468792743153217+0.016003725412644585j),(0.0057786637177999235+0.061698729205435746j),0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.01616106695894863+0.017440977859897483j),(0.007710062058827488+0.0028002284559032697j),(0.0353159819024289-0.003154885368626703j),(0.016407396424486062+0.0030797255128781707j),(0.053525335925255595-0.0018123445743627765j),(0.03188621064399477+0.0009050997618665572j),(0.06835520943872352-0.008226014801932649j),(0.047095645064192684-0.010138462908233838j),(0.07099994740302581-0.014838091608584986j),(0.051372087751745295-0.014349166709399511j),(0.06884320869265309-0.012653349763258603j),(0.06698142596723337-0.0078046899629564195j),(0.06665123386298903-0.010167814200118225j),(0.08341266782707293-0.0032428651262568324j),(0.05281502076288655-0.005067519121343591j),(0.08738989746220692-0.022961609435812484j),(0.0387743335779417+0.003739800365389076j),(0.09927900130594644-0.009522003875787183j),(0.01874052069761982+0.018234834622448425j),(0.018247931436509435+0.07770258772969035j),0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.023871105719770438+0.020241360580095936j),(0.010850535295576705+0.0025372004584720805j),(0.04087268786241924-0.0026116893168449083j),(0.02386372786770542+0.0026375373312891456j),(0.0615482051919098-0.0035441040630802625j),(0.040943937468112555-0.0042639722927078905j),(0.07450756260426321-0.014100097677478635j),(0.04965409031461923-0.012082786919247879j),(0.07271844859430922-0.01710404542925773j),(0.06473846693006986-0.006979671754861198j),(0.0710869708303712-0.013476861897176163j),(0.08996477070965772-0.00704517542580664j),(0.060100272068377356-0.0063651482794590455j),(0.09339013725683618-0.030331739001368725j),(0.04681465884138747+0.0023031323813674127j),(0.11093402336615718-0.025783882445296197j),(0.027118810730920297+0.020002509478295072j),(0.0369890840224166+0.09593750727716407j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
