 (1.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (2.251120246159221405e-01-3.277077591498572112e-02j), (-2.763143428467722956e-02-2.059692074275317267e-02j), (4.500580173214464852e-02+5.558733395047452119e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.417806624104836682e-02-1.114476584478352530e-03j), (7.991375214227869339e-02-1.314874916915180665e-02j), (3.138850063686389469e-02-8.362638799734176120e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-5.441628999501595121e-02+1.820543716663688694e-01j), (-3.764228724212800858e-02+1.216971163440718623e-02j), (4.486939675714254894e-02+2.295009710820485049e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (3.135608584931089404e-01-9.245114202313452212e-02j), (-1.068170686732689001e-02+1.184321794823445101e-01j), (-8.043364412587197809e-02-8.323743786566549507e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-7.846339836309884630e-02+1.131619975446941651e-02j), (3.168567211715444393e-02-1.076175527203158261e-01j), (-6.696284286566538124e-02-1.706648612802268983e-01j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.385142397434375450e-01-4.618994706084628143e-02j), (-1.886101322065680819e-02+6.677883378834567618e-02j), (-1.122565022661588946e-02+3.340528241306876811e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.890034483630801732e-02-2.639639738366787031e-04j), (1.825980707439053274e-01+5.622123128275074294e-03j), (2.539459908759899021e-01-6.753760284823905058e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-3.302441086006461385e-02+1.464957475106868669e-02j), (1.965205236844054237e-01-1.891487698630012204e-01j), (6.651802679103041571e-02+3.533930437893987309e-01j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-7.225578691083509725e-03+8.811619880475608790e-02j), (3.379517350048908981e-03+7.783574371295770566e-02j), (1.872661715042686983e-02-1.505818804562199936e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (5.621029529153767634e-02-2.957330652076364461e-02j), (5.214857842706385055e-02-1.373823149818534650e-01j), (2.869803405709348693e-03+1.370576955394336438e-01j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.189509143783686052e-02-3.512632769914154907e-02j), (1.099404988030133409e-02+9.093798881627382369e-02j), (-6.750604548064467747e-02-4.668342664075581655e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-3.365297993939279225e-02+2.630575916157422700e-01j), (1.881842822768529100e-01+1.052236929232498730e-01j), (5.079849930660210872e-02-2.267879044199384020e-01j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (9.294899777600781204e-03+1.354218813726438576e-02j), (-1.469431918482668187e-01-1.118463946124444441e-01j), (6.258092042253469989e-02+3.427433251401616754e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (7.626510950240747433e-02-1.007968194036785031e-01j), (4.129802484805657897e-02+4.998568055793203846e-02j), (-9.165149760937296719e-02-1.007998125871062689e-01j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.164027287547116096e-03+7.283249672216986215e-02j), (1.108184381185103318e-01-1.115377772529124734e-03j), (1.211359725362438737e-02-1.082627506546033486e-02j)
