 (1.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.573537932401547490e-01-3.569529754941699103e-03j), (1.105906180271847700e-02-4.092377736074918892e-02j), (1.028414314214094391e-02+1.369493303610320317e-02j), (1.302163436484544135e-01-3.323648515929578801e-02j), (-3.679926987598681684e-03+1.547102254725197384e-02j), (2.232970484477929743e-02+1.517986742053212745e-03j), (-1.893781529989771450e-02+2.468634513995424280e-03j), (1.341984992338133773e-02+9.414182143170883241e-03j), (-5.454281381595401171e-03-5.315672347827308380e-02j), (9.052901485464713918e-03+3.384028640220385770e-02j), (1.974264317067968982e-02+2.080660325951902770e-02j), (1.216548088275905617e-02+2.134781220767089510e-02j), (-2.250511032795260782e-02-5.889739799517034781e-03j), (3.012576153838423740e-02+1.866573585997963192e-02j), (-4.500696214157994500e-03-2.083367843748299905e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.953466236248446036e-02-7.207816870555981605e-04j), (-2.426954116293419950e-02+4.675695837626286586e-03j), (1.990438395145264008e-02-1.742825504788085914e-02j), (1.804593649036835903e-02+9.398201125905457365e-02j), (6.078150368203998066e-02-6.138985426865772865e-02j), (-2.758594981648097508e-02-3.393983746224245313e-02j), (2.410232315029596159e-02+1.017168541661845824e-02j), (4.159476298093213453e-02-5.322406913964484315e-02j), (-1.505664525803440332e-02-1.310153206219953625e-02j), (8.856738813525699347e-03-2.703570686924417280e-02j), (-3.227013860670227552e-02+1.418436479324556958e-02j), (-4.673914906668175800e-03+2.945689890777321990e-02j), (2.564323855177643580e-02-3.625432103416652285e-02j), (-2.542352010016285871e-03+2.853927579472857745e-02j), (2.433609221716231084e-03+1.588799571535303920e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-5.467398779710640894e-02+1.185201057435569111e-01j), (2.483756484822735935e-02-5.593110419634884228e-03j), (-2.880044771855734542e-02+1.871256176129820759e-02j), (2.613507386335082311e-02+2.538569395917208635e-02j), (-1.115830733580942119e-02+6.277176008073820368e-02j), (4.988485982718539324e-03+1.760564812761768183e-02j), (-8.139183330862434160e-03-3.661425381658054562e-02j), (-5.703287222956194419e-02-2.507195733865252851e-02j), (-1.822310092480111665e-02+1.342999704185924258e-02j), (2.377614082447339350e-02+4.121552364253556339e-02j), (-6.465210558224355510e-03-2.001061671186041627e-02j), (1.578969520268323073e-02-1.386616245895375132e-02j), (-3.855279659499877970e-02+1.999435262460326490e-02j), (4.486195718606817567e-02-3.444025021840582158e-03j), (3.601568788547020172e-02-7.365621521151694863e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (2.251120246159221405e-01-3.277077591498571418e-02j), (-2.763143428467722956e-02-2.059692074275317267e-02j), (4.500580173214464852e-02+5.558733395047452813e-02j), (1.807352029892610179e-01-2.926057596742224348e-02j), (-1.401229743321883055e-02+1.922066329736577678e-02j), (2.359214573404906125e-03-6.196697460273677127e-02j), (2.129039165836627088e-03+3.569172123044778849e-02j), (-6.093816612074777310e-03+2.239515461850277375e-02j), (-7.632339580793972948e-03+4.250066217291621762e-02j), (-4.070204250530889967e-02-7.284580884895267006e-02j), (3.257103466876638711e-04+1.225456482987643050e-02j), (-1.977622987963023604e-02+3.808067837684108586e-02j), (3.791105262652576247e-02+1.535804715620446743e-02j), (-2.506816964319927982e-02-2.618003850139868915e-02j), (1.874872394278759031e-03-6.065967053506976514e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-5.542038669921048322e-02+7.784856269921228318e-03j), (-3.135855881484179986e-02+4.053387511434344143e-02j), (-1.365451872647657598e-02-4.244328798664751684e-02j), (2.399062390241466294e-02-1.066822651276332079e-02j), (-4.414689201952682295e-03+2.800314403970958696e-02j), (-2.143520856579233386e-02-5.968593644609193616e-03j), (1.316711663828378041e-03-4.094471952319758690e-02j), (-3.777968128734063985e-02-1.415538613651489384e-02j), (1.619261472838255379e-05+1.024676687229564460e-02j), (-1.743629294725046464e-02-7.340384199369601702e-03j), (2.240123303389893183e-02+2.300553908300342898e-02j), (2.556871407679486841e-02-3.356644864818831425e-02j), (-1.410871264941759504e-02+6.576220942888611615e-03j), (1.797558621434192788e-02-4.642903615754205571e-02j), (-5.640048132454461398e-03+5.837036096515454790e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.002855089766286900e-01-2.068071805893006293e-02j), (1.930038154386259008e-03-1.996756443631667738e-02j), (1.856379964110422762e-02+3.053590414133802028e-02j), (-5.286011688979402184e-02+1.497004194985049157e-02j), (-2.533119315665722637e-03-3.951043608725087614e-02j), (2.115362380176721499e-02-1.382845307349537048e-02j), (2.109027940813656965e-02+4.703935408585985939e-02j), (-3.124414582741095320e-02+9.755657403285917942e-04j), (1.078434309032598416e-03+2.729060171862087922e-02j), (-2.529112203994769020e-02-5.117673555772821875e-02j), (-4.620845420356717997e-02-4.570490437406544439e-04j), (-6.946138182512046066e-02-1.255963411348244661e-03j), (7.318470910221515358e-02-3.982924599450192275e-03j), (-2.953511054514762479e-02+6.170218516213737438e-03j), (1.262034236749574011e-02-3.702111939931258117e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.976852959030426224e-02-5.680115698125047692e-03j), (-2.416640913601347113e-02-4.624535677625080110e-02j), (5.407416216175986445e-02-2.700934496389096467e-02j), (3.792041360840871927e-02+3.327047789807680012e-02j), (3.460814105032088833e-02-3.025998538046897890e-02j), (-2.369280108478730162e-02+2.054858326794703829e-02j), (4.152415767294461574e-02+1.232128030676680856e-02j), (2.284078283858671787e-02-2.443738455048662106e-02j), (-1.316447749916557601e-02-1.591001367904672746e-03j), (1.061503317844919581e-02-2.840766254214818071e-02j), (3.175866822349756452e-02-2.991471073965417879e-02j), (2.853635260216192543e-02+1.238944279671088007e-02j), (-4.667523202706175267e-02+1.386866302881011905e-02j), (2.297166481464871929e-02+1.785436909046606707e-02j), (2.726136814181931434e-02-3.952513004668892216e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.417806624104836336e-02-1.114476584478351663e-03j), (7.991375214227869339e-02-1.314874916915180665e-02j), (3.138850063686390163e-02-8.362638799734176120e-02j), (4.072968265527834864e-02+9.228893367375605450e-02j), (4.211131243383293282e-02-1.080268350286471973e-01j), (-3.167650744957940107e-02+3.858907491768315268e-02j), (-6.979484226947009484e-02+8.051306462101731620e-02j), (2.052825507782381903e-02+6.411974912052385844e-02j), (1.258789550529925971e-01+3.135881696910944316e-02j), (3.345002663461495857e-02-7.575996669803826411e-02j), (1.804345229433348269e-02+1.065175732792010554e-02j), (4.837310080603561546e-02-4.739676438364417294e-02j), (5.600669532022526688e-03+1.613429884303938661e-02j), (-1.030871402076422028e-01+1.650020013236891750e-02j), (-2.781136979522113792e-02-4.388083558634146841e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.395230201950422438e-02+5.892862338121732796e-02j), (1.930655205689564427e-03-4.908011872172945295e-03j), (3.668560853101444485e-03+2.910945936056114763e-02j), (-4.819396864604886914e-03-1.884390945600631848e-02j), (-2.474056618218279865e-02-4.293521016429661247e-02j), (-7.630140825400332817e-03+1.409147651621388102e-02j), (5.513098896764240253e-03-2.018631139026210580e-03j), (-1.569760135512643026e-02+2.113034640928126984e-02j), (-1.010627978699672053e-02+1.116359997004073325e-02j), (4.678857380419040174e-02-2.041357166422362243e-02j), (-1.517260094705333816e-02-3.113257425932840217e-02j), (-6.782855136404345245e-03+2.342720998462221108e-02j), (-2.745614331797973165e-02+2.134850458522412342e-02j), (2.645277890382850133e-02+2.583338861089673477e-02j), (-1.973487368280686660e-02-8.037253399303685014e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (4.231861547290438619e-02-1.709215491132055204e-02j), (3.296826492657370378e-02-6.741713737823048190e-03j), (4.668412164635620497e-03-4.525119943332523570e-02j), (-1.400317520163182373e-02-1.465785231999153768e-04j), (3.936738452413274941e-02+1.259269227203687475e-02j), (2.652277726178911554e-02+2.898088864442817728e-02j), (-1.343330418074171161e-02+1.475973037799805385e-03j), (-2.237694812811079348e-02+1.118096602360747586e-02j), (3.474875857464541917e-02-3.385173730136720183e-02j), (-8.107057811304621553e-03+3.165533179320064588e-02j), (2.836749440604149908e-02-2.577137736473566988e-04j), (1.493785841124137259e-02-2.582955097167225281e-02j), (-8.437447976768017860e-03+3.327112430884280464e-02j), (-6.486573202767076385e-03-2.379459087930686778e-02j), (-5.602309507151908771e-03+2.479778666562223316e-02j)
