 (1.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.983983839302678187e-01+1.164993830205210967e-01j), (-6.632490141674814675e-03-2.211856535251476713e-03j), (-1.028933872675464288e-02-1.013968672475244401e-02j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.020331552319510650e-03-1.091677420753452143e-02j), (1.931214563524261867e-03-1.610195727855621940e-03j), (-3.108671956579842598e-03+4.176105111791419272e-03j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.421459201160472094e-03+1.248618701019245034e-02j), (5.058737099763573270e-04+9.293639050413295306e-04j), (2.706037416438728666e-03-2.200155849475938889e-03j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.132499970509373705e-01-1.130403237616257051e-01j), (1.460985516543102276e-02+7.432353514850586693e-03j), (-6.208904875603949922e-03+4.507757294540125359e-02j), (1.983983839302678187e-01+1.164993830205210967e-01j), (-1.374452694439066286e-02+2.410084826872914768e-02j), (-5.318044139608861650e-04+2.377533601027123286e-02j), (3.379718036697180322e-02+6.635440602289592593e-04j), (-6.632490141674813808e-03-2.211856535251476713e-03j), (-1.484430669576439037e-02+5.767190212596651384e-03j), (-1.332175441395505935e-02-3.519312014380633624e-02j), (1.498975652744847023e-02-3.009517889245419409e-02j), (-1.028933872675464288e-02-1.013968672475244227e-02j), (1.066543240120272802e-02-4.838428770799516054e-02j), (-4.248971982542085711e-03-8.254802037406111515e-03j), (-1.205312033118507292e-02-4.165505067855927723e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (6.730388398276354080e-03-2.274063146653105237e-03j), (1.950506109198531235e-02+3.324796761425555941e-02j), (-3.201411035715324288e-03+3.637959061614262635e-02j), (0.000000000000000000e+00+0.000000000000000000e+00j), (4.470966285672518109e-02+4.174953866684441572e-02j), (-1.980533842140484550e-03+3.114935290116244843e-02j), (-1.844489651612271977e-02+3.058384074750599303e-03j), (0.000000000000000000e+00+0.000000000000000000e+00j), (4.116068822458503716e-03-3.215426732732281495e-03j), (-2.650265226328618259e-02+3.067689032590273108e-03j), (2.159898686780307997e-02-7.498061453473229762e-03j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.683821175592132777e-02-1.506467433705691375e-02j), (1.136193822104074672e-02-3.493075069230898444e-02j), (-7.247114611460818423e-03-9.499437020237302617e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.446815530175338911e-03+1.406191697631359663e-02j), (1.323242713715660698e-02+3.463281287904846468e-04j), (2.804004088053702048e-03+3.683331961488003122e-03j), (0.000000000000000000e+00+0.000000000000000000e+00j), (1.846746820343291582e-03-8.781503000995267635e-03j), (1.438923615614305304e-02+5.176873357861295523e-03j), (-5.110092687408826148e-03+3.219952543508141155e-04j), (0.000000000000000000e+00+0.000000000000000000e+00j), (1.880667112734664415e-03+3.838570293682192196e-03j), (-3.959087992115339558e-03+4.442942345658741827e-04j), (-7.242606302290303206e-04-4.580641587440542270e-03j), (0.000000000000000000e+00+0.000000000000000000e+00j), (1.586920614519034961e-03-2.312488044798096786e-03j), (-2.890162379881498593e-03+1.184967917250200368e-03j), (-2.430922728761691909e-03+6.569356426144765462e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (2.324999404869159889e-02+9.968639705701770951e-03j), (-3.842020143697114781e-03-7.070995017134161335e-04j), (1.173069227447105529e-03-6.163197247330038861e-03j), (0.000000000000000000e+00+0.000000000000000000e+00j), (1.369969282781835452e-03-2.372309330288548210e-03j), (-5.317620395043178190e-03-4.515029790090269515e-03j), (8.779609658151727412e-04+3.942798322088471741e-04j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.172044397552321048e-03-9.199116313708328215e-04j), (2.059405860983771520e-03-1.193809922437680813e-03j), (-1.641745305603723869e-04+3.538087410138445214e-04j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-4.842434545376750549e-04+3.285650553705165688e-03j), (8.035475450445667134e-05+4.192562795216462496e-03j), (1.428067736714579410e-04-2.588571455678341862e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.262893370499890686e-02-1.359936844151988546e-02j), (-7.353430437519906798e-03-3.964248200328637436e-03j), (-2.082431247622797826e-02-5.838122039451465808e-03j), (-2.020331552319510650e-03-1.091677420753452143e-02j), (-1.272270330393942932e-02+6.912870553440587408e-03j), (-3.274337880444441306e-03-3.363006480994997632e-02j), (-1.358692238937478022e-02-2.122123983358197886e-03j), (1.931214563524261650e-03-1.610195727855621723e-03j), (1.594700731675914238e-02+2.414888105510566447e-03j), (-1.503272372666799488e-03+1.955160180102450372e-03j), (5.468370300578111187e-03+1.229502950002277738e-02j), (-3.108671956579842598e-03+4.176105111791419272e-03j), (1.951434452420840095e-03-1.358021420288759058e-02j), (1.920953705419476548e-02+1.364700968350917448e-02j), (-1.610852130246716481e-03-6.607090659844090316e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.708812325227873283e-02+4.481457425853921893e-03j), (2.771062165159042176e-03-1.147336219636366748e-02j), (6.804503264602434522e-03-9.989834505241639278e-04j), (0.000000000000000000e+00+0.000000000000000000e+00j), (6.687105110911582481e-03+5.358462313727205490e-04j), (5.756868596308151349e-03-1.673374595430281511e-02j), (-4.228881256485291645e-03+7.449555599515416543e-03j), (0.000000000000000000e+00+0.000000000000000000e+00j), (5.571985780223914775e-03-4.678195856179609424e-03j), (3.357977128203006533e-04+5.713709591897670609e-03j), (1.762998043453788957e-03-6.707835863980993402e-04j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.182730896391283835e-02-4.302430058131034374e-04j), (-2.937214144546940013e-03-4.385988884652474058e-03j), (4.263941260846181719e-03-1.968736879045716003e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (9.687643692705728837e-03+3.509242230787693734e-02j), (-1.237800084624411700e-03-5.536505010924480663e-03j), (7.855167285792757220e-03-2.580756772607966341e-03j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-9.162737618694837341e-03+6.762776283387955320e-03j), (-5.459769228808361748e-03-1.992717463889647975e-02j), (5.337292321347742244e-03+1.651297712421933434e-02j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-6.729083740402894663e-04-4.887611633823729651e-03j), (-6.344194786654606087e-03+3.244002313004703923e-03j), (-5.615717355201782154e-03+1.931347127246333620e-03j), (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.191970632380293191e-03+4.138054139147294766e-03j), (5.811598564621026433e-03+4.199482933797470813e-03j), (7.896416308639662290e-03-5.821024144067417014e-03j)
