 (1.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.666509629806159076e-01+2.160895803748181729e-02j), (3.930430089012073441e-02-3.422079488772952066e-02j), (3.341968788946598351e-02-2.646362578047041850e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (2.904622939521677577e-02-6.804506365379468791e-02j), (3.243755777898026105e-02-3.091261099194476947e-02j), (6.843874844235023477e-05-3.604124882937294327e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.293298395739313732e-02-5.187589559683426776e-02j), (2.195370317273933475e-02-1.694160548643007178e-02j), (4.545739083810810752e-04-2.216121887131817375e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (2.486739372411637117e-01+9.552070788366003734e-03j), (-2.299185863211252942e-02+7.722674525919548914e-04j), (2.988667467898947425e-02-1.301012004328020583e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (6.396919841507932303e-02+5.491560797513669184e-02j), (-5.228158226964879293e-03+6.238319029587007306e-03j), (2.469790288670217857e-03+1.171692065818594891e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (6.124538169171642524e-03-4.088611607951673360e-02j), (-2.161284522940096903e-03+1.419884174679515590e-03j), (-2.258929949874329598e-03+6.377023444779436265e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.785821190690948038e-02-6.749881592433064521e-03j), (8.887987747580991874e-03-4.249801976004562859e-03j), (-6.404102046636871506e-04+1.889913329043449615e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (3.733764427886189508e-02-8.788391619263824506e-02j), (1.208412338201446390e-01-1.539797951404964053e-02j), (2.920157034141975666e-02-3.594349583210341287e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.794423366578470902e-02-3.688518162075699741e-02j), (-1.884579382341547774e-02+5.342084599743505968e-02j), (2.294526827203327915e-02+6.674913807239386647e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-7.474132750017049853e-02-2.794814008510518311e-02j), (3.651757411518506691e-02-2.534597266994758138e-02j), (-1.523030128393807262e-02-1.410772134090403605e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-6.257480004605578405e-02-2.720092329163818767e-02j), (1.867406752171159312e-02-1.876080146761684164e-02j), (-9.424916510495517583e-03-8.178961832608888302e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.318892092023363737e-02-6.062546122025815054e-02j), (8.132768626117468924e-02-3.276518043280236998e-03j), (3.598801383426648154e-02-2.118643637046434963e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (2.594248372659813812e-02-1.330283197192803392e-02j), (2.828493588242826304e-02+2.125287576367109951e-02j), (2.540725310980519736e-02+2.300459522664149992e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-4.004867765796394502e-02+8.125799333535294044e-02j), (7.052115643241382761e-04+5.963803592192340464e-03j), (2.288321282787822084e-02-2.304866578334400368e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-4.748957116401154172e-03+4.409290872123260152e-02j), (1.031565375773518117e-02-9.212775490686865576e-03j), (1.287476991598491063e-02-9.814907413209167722e-03j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (3.135647825082494844e-01-9.244735973676972141e-02j), (-1.635844832876105215e-01+1.394312171236182230e-01j), (-1.249584415625025619e-01+1.233493917256673067e-01j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (2.693082771466703482e-02+4.053652798130485263e-02j), (-4.872970333431567852e-02-4.013650370314380406e-02j), (-4.909099146356244066e-03+7.076998920433462403e-02j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (2.080818850283955648e-02-2.527715708302297540e-02j), (-4.800883086628633667e-02+3.572801559878730632e-03j), (6.197020282619144366e-02+1.682025303996365767e-02j)
