,0.0,-0.5,0.5,-1.0,1.0,-1.5,1.5,-2.0,2.0,-2.5,2.5,-3.0,3.0,-3.5,3.5,-4.0,4.0,-4.5,4.5,-5.0,5.0,-5.5,5.5,-6.0,6.0,-6.5,6.5,-7.0,7.0,-7.5,7.5,-8.0,8.0,-8.5,8.5,-9.0,9.0,-9.5,9.5
0.0,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0.5,(0.45243248250222534-0.0131209495279049j),0j,(0.5475669083367084+0.013122197358007553j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
1.0,(0.08500657639694026+0.0036152026342324665j),(0.08500657639694026+0.0036152026342324665j),(0.45243248250222534-0.0131209495279049j),0j,(0.5475669083367084+0.013122197358007553j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
1.5,(0.10868689907992393+0.019557538739719965j),(0.08500657639694026+0.0036152026342324665j),(0.1463325138379008-0.008712028963022164j),(0.08500657639694026+0.0036152026342324665j),(0.3213650526719668+0.0010470947062295498j),0j,(0.22620326057137133+0.012075526466996878j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.0,(0.15646746613312404-0.010275473233391523j),(0.11882185137514717+0.017994094469350606j),(0.0908510496074307+0.030114611962608163j),(0.036991168548332905-0.0020024334642323345j),(0.16614227912338442-0.026424523442876095j),(0.036991168548332905-0.0020024334642323345j),(0.16334188837034122-0.013773631857209586j),0j,(0.06286324908811185+0.02584862485960357j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.5,(0.1142315943881619+0.028370545198495533j),(0.08992735264200732-0.010884143075062058j),(0.1934364568254199-0.0324976827854435j),(0.061585893390018194-0.0013769181251226518j),(0.09332667458545651+0.015049074398246045j),(0.019803531064060458-0.0036771300495606583j),(0.1333829882769486-0.027268070885225256j),(0.019803531064060458-0.0036771300495606583j),(0.06891770402645156-0.006663991519070572j),0j,(-0.006053155542185567+0.03251194249474073j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3.0,(0.13967848190552565-0.026925164806327003j),(0.07516829755893879+0.0007474702504613595j),(0.12234768585776742+0.01578269908177052j),(0.057482725970789905-0.010679866031870568j),(0.17414489831317242-0.03952172393706511j),(0.041528862662082666-0.005427744423242795j),(0.07854056520974491+0.0014643744192868943j),(0.011673388017340355-0.002095788575431472j),(0.07726868340074003-0.01952170000485348j),(0.011673388017340355-0.002095788575431472j),(0.017187288340850048+0.00219071373720624j),0j,(-0.023239759432392783+0.030320675136314548j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3.5,(0.09661541070159627+0.004239284782980455j),(0.10338497290652661-0.02356862833991201j),(0.15491633233102894-0.04358946116818424j),(0.061874067951889905-0.0050921803007785175j),(0.10894826032289147+0.0017239523437347012j),(0.037656796157575445-0.006500526538464444j),(0.12109324716470075-0.03589404611018934j),(0.02703404672834102-0.003668772953954739j),(0.04952795454681425-0.005477589532387838j),(0.007173338420972797-0.0007956382296820211j),(0.032041741331650206-0.006746245609560738j),(0.007173338420972797-0.0007956382296820211j),(-0.002871810938577664+0.007499218265338213j),0j,(-0.02036767626255251+0.02282113707337288j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
4.0,(0.133162403911115-0.04062199288318614j),(0.0834582439902688-0.002733998693942171j),(0.10148500125509156-0.00046912688677215163j),(0.07489245925971877-0.01617805046673639j),(0.13728649939106596-0.05257234191093036j),(0.044832295927840035-0.004820289398572768j),(0.07825118178194365-0.00786548629660437j),(0.02500883230897874-0.003257203864304305j),(0.06795445868052302-0.022621047193450153j),(0.01785992907377118-0.0023054428935391524j),(0.024221394859001235-0.005404180515484431j),(0.004557162409130605-1.8926155221490664e-06j),(0.00519770278374793+0.00435273638163821j),(0.004557162409130605-1.8926155221490664e-06j),(-0.00753281441937929+0.008658977948931426j),0j,(-0.01283479699591059+0.014162028953072035j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
4.5,(0.09501242525666383-0.005922537086804945j),(0.10754390434635012-0.032312660908171746j),(0.13766256758587647-0.054691381999134404j),(0.06580680501362698-0.005157000410765805j),(0.08980703082396596-0.010307765315514025j),(0.05382207242185298-0.010175036024771548j),(0.10085691194292372-0.04744094532804491j),(0.03246850476215833-0.004417678607714776j),(0.04709510116737186-0.009616748725275159j),(0.016889724366384307-0.0009088555606284936j),(0.02813970066870847-0.007309014010336881j),(0.01213824470511219-0.0009543863514072388j),(0.007161768831018931-0.0016894446265120037j),(0.0029213691423562033+0.0004054517349466961j),(-0.005762844829170577+0.010166175633487831j),(0.0029213691423562033+0.0004054517349466961j),(-0.006183726487750972+0.0070485464197715545j),0j,(-0.006651079748126683+0.007113465007459313j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
