-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.4819328514065803+0.0100439863101039j),(0.5180726581951675-0.010047283038290467j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.26756558695763083+0.07239322401026962j),(0.21436591470344424-0.06234677962766283j),(0.24543961084310525-0.03495920454683358j),(0.2726354382107421+0.02490974336754365j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.14737915666826445+0.006595997510393666j),(0.12018621168799085+0.06579882710482479j),(0.24160528757432684+0.021353208231472444j),(0.21820172785649694-0.11865864424839787j),(0.14379172243188887-0.016046845462836936j),(0.12884491318494076+0.0409554605475933j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.07327521626507942-0.02214791609522985j),(0.0741039841237742+0.028744741173528883j),(0.1548516180029333+0.04045328449736433j),(0.20694073773657817+0.04669984589598057j),(0.1668516732663883+0.022762347974546102j),(0.1951428092954381-0.1574687200078127j),(0.07469357096726682+0.0003185385053721228j),(0.05415202946684981+0.04063647707419106j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.03186519466215183-0.026324906604620016j),(0.04141015817244469+0.004177470684853685j),(0.1093463201966783+0.03433067235345104j),(0.11960902495807055+0.034868029970090704j),(0.16810632279745233+0.022881223893212163j),(0.2056878926244042+0.04658162546144386j),(0.13124862036851673-0.0304019993044608j),(0.1385881655911096-0.12674933031401958j),(0.03519027640565145+0.01141544689178282j),(0.018962152842477136+0.029220901186259488j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.009738114985531234-0.021036805272781182j),(0.022127279121572908-0.005287850385562218j),(0.09101071284853583+0.0215254800648516j),(0.05974555113237481+0.016983275360646973j),(0.1525831050153174+0.025184192874719322j),(0.1351324734783868+0.03256561012161411j),(0.15881215806964016+0.014231893573381916j),(0.17812597470388258+0.0019480075353194672j),(0.07224013874976606-0.04285225640265554j),(0.10153841990529332-0.07248251877528575j),(0.01583045635165259+0.011861552867060872j),(0.0031319035933865865+0.01735934805059407j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.0006889504521342652-0.013153830368729358j),(0.010427248638208503-0.007882899116674735j),(0.07231324478375803+4.116827680135382e-05j),(0.04082459015169408+0.01619700329399293j),(0.12244436917734448+0.007689300294052376j),(0.08988402196744363+0.034479063805250745j),(0.14173061925084654+0.0293574480615755j),(0.15221489691445733+0.01744031875483625j),(0.13271284788341406-0.012815444272169033j),(0.11765444550423002-0.02808897841079895j),(0.0434180000025368-0.026127698530437275j),(0.07395098635422431-0.034493886533352947j),(0.005431322486378309+0.008221088597436583j),(-0.0022993225899015203+0.009138300312205395j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.003963698790320239-0.006299568141881401j),(0.0032748630295959522-0.006854280682705509j),(0.049642624977632055-0.01446014647619993j),(0.033097859849112635+0.006618864862486056j),(0.08485920045983919-0.005022158658734848j),(0.07840974533569567+0.02890934106709562j),(0.12115799618516863+0.027114381553127426j),(0.11045676182859832+0.036722772165911986j),(0.13647158551753336+0.027508879991310454j),(0.14845726979439386-0.02288397897273421j),(0.08921437337462632-0.01996010829668135j),(0.07185866980347155-0.03425691777596352j),(0.031024347310602572-0.0148132251568606j),(0.04835808652798615-0.011459968704733843j),(0.0007391764013516024+0.005096263914749732j),(-0.003038460281423658+0.004042075945118708j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.0036631348438294436-0.0019568005600099j),(-0.00030051493573830714-0.0043428104054371915j),(0.029211453195216928-0.019769812493846524j),(0.02370612744994497-0.001544299823571448j),(0.05301097578526421-0.007661944918630614j),(0.06494629047613129+0.009259210270494098j),(0.09854921369897796+0.015651295677409364j),(0.10101866643822713+0.040373200380445985j),(0.12216667931999081+0.03184952363873335j),(0.12476212501271915+0.03238262864985603j),(0.11283833216394999+0.0005376804498253632j),(0.12483432188955759-0.04338205035209291j),(0.061061719652532105-0.016501054393237107j),(0.04182150825081026-0.03256943723428921j),(0.019974749371146166-0.007773247991267093j),(0.029122632528063623+0.001409315389071424j),(-0.0006679334444989274+0.002723224130583014j),(-0.0023705165572668416+0.0013188787818048842j),0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.002289240753773371+6.26450108722365e-05j),(-0.0013738834001481874-0.002019479287586307j),(0.013813190161635874-0.018753041758496153j),(0.015097880070245371-0.005359391651633857j),(0.03439894247968277-0.004152685596837718j),(0.042318337503806494-0.0050533115434099884j),(0.07832893630475192+0.008714784813543222j),(0.08516677106175882+0.016196321138208264j),(0.11095375589390344+0.026695860935518977j),(0.11223194230173542+0.04552745225744743j),(0.11616998381986257+0.019867060973186j),(0.12143122636433128+0.013053594281858878j),(0.08413504474854282-0.013019466023594349j),(0.10176175183062519-0.04686406386668898j),(0.03811563992624073-0.01447677179049354j),(0.023680676927553688-0.02586616147679592j),(0.012261158896651329-0.001945871735955727j),(0.01619364051222663+0.006078295442301587j),(-0.0008878433036764408+0.0011654265591765716j),(-0.0014826742202972295+0.00015346787152460553j),0j,0j,0j,0j,0j,0j,0j,0j
