 (1.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.089889176675361698e-01+0.000000000000000000e+00j), (-2.257687399539656456e-02+0.000000000000000000e+00j), (-7.378294130344905744e-04+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.161341008384031842e-01+0.000000000000000000e+00j), (-4.536881733124650123e-02+0.000000000000000000e+00j), (1.649863781377849253e-03+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.007128935492344890e-01+0.000000000000000000e+00j), (-1.368039271013994362e-01+0.000000000000000000e+00j), (-9.552445058637711039e-02+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.176309572326024039e-01+0.000000000000000000e+00j), (-2.413590560730346710e-02+0.000000000000000000e+00j), (3.812320050732844606e-02+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-5.263774065782679361e-03+0.000000000000000000e+00j), (1.695107116609487208e-02+0.000000000000000000e+00j), (2.226575428297093359e-02+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (3.797974677559122058e-03+0.000000000000000000e+00j), (3.043334400170063028e-02+0.000000000000000000e+00j), (4.516304612592430406e-02+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (3.379533256123110757e-02+0.000000000000000000e+00j), (4.159583616553071128e-02+0.000000000000000000e+00j), (1.910264325326901935e-01+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.204198619718318958e-01+0.000000000000000000e+00j), (-4.781981610740753535e-02+0.000000000000000000e+00j), (7.185062345563847375e-02+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.614440048491325858e-02+0.000000000000000000e+00j), (2.295057474442880469e-02+0.000000000000000000e+00j), (-5.122383750866758845e-03+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (2.046859853759921966e-02+0.000000000000000000e+00j), (2.842084845978037205e-02+0.000000000000000000e+00j), (-2.274789096051916051e-02+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (2.759937061847525172e-02+0.000000000000000000e+00j), (5.940178692241365049e-02+0.000000000000000000e+00j), (-7.214152999467680905e-02+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (8.025430066325595080e-02+0.000000000000000000e+00j), (-3.862789963020571427e-01+0.000000000000000000e+00j), (1.358620429280305852e-01+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.363666493143258877e-02+0.000000000000000000e+00j), (5.985150460194110095e-02+0.000000000000000000e+00j), (1.703327385218873433e-02+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.375692605339580626e-02+0.000000000000000000e+00j), (6.916942224438885067e-02+0.000000000000000000e+00j), (3.191109159367450793e-02+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-7.291965364960015239e-02+0.000000000000000000e+00j), (1.514580670337143942e-01+0.000000000000000000e+00j), (8.135482861490443696e-02+0.000000000000000000e+00j)
