 (1.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.087390337856005001e-01+0.000000000000000000e+00j), (6.599854989060834065e-02+0.000000000000000000e+00j), (-1.142140896064785666e-01+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (5.336440117801274224e-02+0.000000000000000000e+00j), (7.281904861048453526e-02+0.000000000000000000e+00j), (-7.949794458077069637e-02+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.217580463793155321e-01+0.000000000000000000e+00j), (-4.711906315692748065e-02+0.000000000000000000e+00j), (-1.605983883221833233e-02+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.176302614950191644e-01+0.000000000000000000e+00j), (-1.755594436256424085e-01+0.000000000000000000e+00j), (2.017947496146027531e-01+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (3.754437272925356672e-02+0.000000000000000000e+00j), (-7.301648048758968557e-02+0.000000000000000000e+00j), (1.080670592777207423e-01+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (2.814934335002518273e-02+0.000000000000000000e+00j), (-4.229272352335628621e-02+0.000000000000000000e+00j), (5.475872938072071788e-02+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.491610084844155297e-02+0.000000000000000000e+00j), (4.909658375380417800e-02+0.000000000000000000e+00j), (4.914090746554827110e-02+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (3.791008764082694216e-02+0.000000000000000000e+00j), (-2.167262228722137973e-01+0.000000000000000000e+00j), (7.705814647173406251e-02+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.063899742191615053e-02+0.000000000000000000e+00j), (2.435454342980506240e-02+0.000000000000000000e+00j), (-1.086825588843011170e-01+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-9.777578963423958977e-03+0.000000000000000000e+00j), (-6.041662393424728633e-02+0.000000000000000000e+00j), (-1.384873782493547534e-01+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-2.474342307646246880e-02+0.000000000000000000e+00j), (2.984573811051785541e-02+0.000000000000000000e+00j), (-1.504569104523700677e-02+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (-1.122601490901323495e-01+0.000000000000000000e+00j), (4.491437108817078472e-02+0.000000000000000000e+00j), (2.154938563155545383e-01+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (3.385977588474931022e-02+0.000000000000000000e+00j), (5.434816172745565721e-02+0.000000000000000000e+00j), (2.209907468103900277e-02+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (3.153098871348672394e-02+0.000000000000000000e+00j), (4.483579395481755714e-02+0.000000000000000000e+00j), (7.580360044169121014e-03+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (7.292253280334297372e-02+0.000000000000000000e+00j), (-6.072316183939391321e-02+0.000000000000000000e+00j), (8.601633253766022280e-02+0.000000000000000000e+00j)
